"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H6","392","JPN","Japan","070993","000","WLD","World",2022,"Gross Exports",1232.336773
"H6","398","KAZ","Kazakhstan","070993","000","WLD","World",2022,"Gross Exports",90.67041
"H6","400","JOR","Jordan","070993","000","WLD","World",2022,"Gross Exports",24.425
"H6","404","KEN","Kenya","070993","000","WLD","World",2022,"Gross Exports",103.059263
"H6","410","KOR","Korea Rep.","070993","000","WLD","World",2022,"Gross Exports",1330.359
"H6","417","KGZ","Kyrgyzstan","070993","000","WLD","World",2022,"Gross Exports",421.472
"H6","428","LVA","Latvia","070993","000","WLD","World",2022,"Gross Exports",1076.72011
"H6","440","LTU","Lithuania","070993","000","WLD","World",2022,"Gross Exports",293.079
"H6","442","LUX","Luxemberg","070993","000","WLD","World",2022,"Gross Exports",1020.402501
"H6","450","MDG","Madagascar","070993","000","WLD","World",2022,"Gross Exports",61.038699
"H6","458","MYS","Malaysia","070993","000","WLD","World",2022,"Gross Exports",4257.239631
"H6","480","MUS","Mauritius","070993","000","WLD","World",2022,"Gross Exports",22.462708
"H6","484","MEX","Mexico","070993","000","WLD","World",2022,"Gross Exports",475627.237
"H6","499","MNT","Montenegro","070993","000","WLD","World",2022,"Gross Exports",0.041644
"H6","504","MAR","Morocco","070993","000","WLD","World",2022,"Gross Exports",46400.433407
"H6","516","NAM","Namibia","070993","000","WLD","World",2022,"Gross Exports",778.975069
"H6","524","NPL","Nepal","070993","000","WLD","World",2022,"Gross Exports",0.398514
"H6","528","NLD","Netherlands","070993","000","WLD","World",2022,"Gross Exports",68539.027463
"H6","554","NZL","New Zealand","070993","000","WLD","World",2022,"Gross Exports",33924.814019
"H6","558","NIC","Nicaragua","070993","000","WLD","World",2022,"Gross Exports",267.642
"H6","586","PAK","Pakistan","070993","000","WLD","World",2022,"Gross Exports",754.587606
"H6","591","PAN","Panama","070993","000","WLD","World",2022,"Gross Exports",2788.16
"H6","604","PER","Peru","070993","000","WLD","World",2022,"Gross Exports",2075.129175
