GE_ElectionYear,VoteShare_REFORM,Party
2024,0.189,Reform UK
2024,0.1981,Reform UK
2024,0.122,Reform UK
2024,0.2238,Reform UK
2024,0.191,Reform UK
2024,0.2036,Reform UK
2024,0.0,Reform UK
2024,0.177,Reform UK
2024,0.2398,Reform UK
2024,0.292,Reform UK
2024,0.0,Reform UK
2024,0.0808,Reform UK
2024,0.1636,Reform UK
2024,0.1622,Reform UK
2024,0.1294,Reform UK
2024,0.1583,Reform UK
2024,0.1589,Reform UK
2024,0.0,Reform UK
2024,0.2572,Reform UK
2024,0.2312,Reform UK
2024,0.1722,Reform UK
2024,0.049,Reform UK
2024,0.1201,Reform UK
2024,0.1611,Reform UK
2024,0.1452,Reform UK
2024,0.1598,Reform UK
2024,0.1354,Reform UK
2024,0.1574,Reform UK
2024,0.155,Reform UK
2024,0.1042,Reform UK
2024,0.2614,Reform UK
2024,0.1968,Reform UK
2024,0.141,Reform UK
2024,0.1522,Reform UK
2024,0.1993,Reform UK
2024,0.1951,Reform UK
2024,0.1677,Reform UK
2024,0.187,Reform UK
2024,0.1798,Reform UK
2024,0.1159,Reform UK
2024,0.0983,Reform UK
2024,0.2015,Reform UK
2024,0.1501,Reform UK
2024,0.2198,Reform UK
2024,0.218,Reform UK
2024,0.193,Reform UK
2024,0.1775,Reform UK
2024,0.0767,Reform UK
2024,0.1931,Reform UK
2024,0.2102,Reform UK
2024,0.0,Reform UK
2024,0.0905,Reform UK
2024,0.0777,Reform UK
2024,0.0716,Reform UK
2024,0.0461,Reform UK
2024,0.1748,Reform UK
2024,0.2151,Reform UK
2024,0.1547,Reform UK
2024,0.0593,Reform UK
2024,0.1285,Reform UK
2024,0.2256,Reform UK
2024,0.1774,Reform UK
2024,0.2909,Reform UK
2024,0.1987,Reform UK
2024,0.167,Reform UK
2024,0.079,Reform UK
2024,0.2044,Reform UK
2024,0.1465,Reform UK
2024,0.1435,Reform UK
2024,0.0627,Reform UK
2024,0.0549,Reform UK
2024,0.2862,Reform UK
2024,0.2529,Reform UK
2024,0.0862,Reform UK
2024,0.1345,Reform UK
2024,0.1889,Reform UK
2024,0.201,Reform UK
2024,0.1362,Reform UK
2024,0.2605,Reform UK
2024,0.1639,Reform UK
2024,0.0632,Reform UK
2024,0.1472,Reform UK
2024,0.1707,Reform UK
2024,0.234,Reform UK
2024,0.2185,Reform UK
2024,0.1143,Reform UK
2024,0.2173,Reform UK
2024,0.1846,Reform UK
2024,0.3027,Reform UK
2024,0.1678,Reform UK
2024,0.0992,Reform UK
2024,0.1814,Reform UK
2024,0.133,Reform UK
2024,0.11,Reform UK
2024,0.0632,Reform UK
2024,0.1443,Reform UK
2024,0.1519,Reform UK
2024,0.1043,Reform UK
2024,0.2184,Reform UK
2024,0.209,Reform UK
2024,0.1215,Reform UK
2024,0.1943,Reform UK
2024,0.1872,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.0,Reform UK
2024,0.2336,Reform UK
2024,0.1498,Reform UK
2024,0.1459,Reform UK
2024,0.2565,Reform UK
2024,0.1593,Reform UK
2024,0.2159,Reform UK
2024,0.0775,Reform UK
2024,0.1615,Reform UK
2024,0.1525,Reform UK
2024,0.0,Reform UK
2024,0.3079,Reform UK
2024,0.0892,Reform UK
2024,0.0984,Reform UK
2024,0.1963,Reform UK
2024,0.1298,Reform UK
2024,0.1666,Reform UK
2024,0.0,Reform UK
2024,0.1889,Reform UK
2024,0.2309,Reform UK
2024,0.1993,Reform UK
2024,0.1529,Reform UK
2024,0.1669,Reform UK
2024,0.1925,Reform UK
2024,0.23,Reform UK
2024,0.1776,Reform UK
2024,0.1896,Reform UK
2024,0.1792,Reform UK
2024,0.1407,Reform UK
2024,0.2226,Reform UK
2024,0.1698,Reform UK
2024,0.1801,Reform UK
2024,0.1469,Reform UK
2024,0.1819,Reform UK
2024,0.1761,Reform UK
2024,0.0689,Reform UK
2024,0.1641,Reform UK
2024,0.1794,Reform UK
2024,0.2408,Reform UK
2024,0.084,Reform UK
2024,0.1971,Reform UK
2024,0.2252,Reform UK
2024,0.1834,Reform UK
2024,0.135,Reform UK
2024,0.1073,Reform UK
2024,0.1872,Reform UK
2024,0.2324,Reform UK
2024,0.2089,Reform UK
2024,0.1795,Reform UK
2024,0.0632,Reform UK
2024,0.1492,Reform UK
2024,0.2457,Reform UK
2024,0.1405,Reform UK
2024,0.242,Reform UK
2024,0.2414,Reform UK
2024,0.2162,Reform UK
2024,0.0,Reform UK
2024,0.1973,Reform UK
2024,0.0,Reform UK
2024,0.0482,Reform UK
2024,0.1464,Reform UK
2024,0.0448,Reform UK
2024,0.1192,Reform UK
2024,0.1146,Reform UK
2024,0.1587,Reform UK
2024,0.2698,Reform UK
2024,0.1308,Reform UK
2024,0.1814,Reform UK
2024,0.1699,Reform UK
2024,0.1216,Reform UK
2024,0.1752,Reform UK
2024,0.1711,Reform UK
2024,0.1383,Reform UK
2024,0.0326,Reform UK
2024,0.1146,Reform UK
2024,0.1601,Reform UK
2024,0.2482,Reform UK
2024,0.1236,Reform UK
2024,0.1983,Reform UK
2024,0.18,Reform UK
2024,0.1411,Reform UK
2024,0.255,Reform UK
2024,0.2518,Reform UK
2024,0.164,Reform UK
2024,0.15,Reform UK
2024,0.0481,Reform UK
2024,0.1878,Reform UK
2024,0.22,Reform UK
2024,0.1801,Reform UK
2024,0.0399,Reform UK
2024,0.1226,Reform UK
2024,0.1195,Reform UK
2024,0.0763,Reform UK
2024,0.1527,Reform UK
2024,0.0,Reform UK
2024,0.144,Reform UK
2024,0.1522,Reform UK
2024,0.0542,Reform UK
2024,0.2073,Reform UK
2024,0.1562,Reform UK
2024,0.1961,Reform UK
2024,0.04,Reform UK
2024,0.2383,Reform UK
2024,0.1593,Reform UK
2024,0.1048,Reform UK
2024,0.2909,Reform UK
2024,0.1109,Reform UK
2024,0.1585,Reform UK
2024,0.2013,Reform UK
2024,0.215,Reform UK
2024,0.1313,Reform UK
2024,0.132,Reform UK
2024,0.071,Reform UK
2024,0.1946,Reform UK
2024,0.0,Reform UK
2024,0.07,Reform UK
2024,0.077,Reform UK
2024,0.1789,Reform UK
2024,0.2085,Reform UK
2024,0.0,Reform UK
2024,0.1445,Reform UK
2024,0.0978,Reform UK
2024,0.1825,Reform UK
2024,0.1395,Reform UK
2024,0.212,Reform UK
2024,0.1852,Reform UK
2024,0.2409,Reform UK
2024,0.0586,Reform UK
2024,0.084,Reform UK
2024,0.103,Reform UK
2024,0.1286,Reform UK
2024,0.195,Reform UK
2024,0.1247,Reform UK
2024,0.1015,Reform UK
2024,0.0977,Reform UK
2024,0.2319,Reform UK
2024,0.228,Reform UK
2024,0.1392,Reform UK
2024,0.146,Reform UK
2024,0.2159,Reform UK
2024,0.1483,Reform UK
2024,0.1713,Reform UK
2024,0.1068,Reform UK
2024,0.2144,Reform UK
2024,0.153,Reform UK
2024,0.1568,Reform UK
2024,0.0988,Reform UK
2024,0.109,Reform UK
2024,0.1157,Reform UK
