time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,pcon_code,pcon_name,starts,starts_since_may_2010,starts_since_may_2015
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000011,845,East Sussex,,,1990,510,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,850,Hampshire,,,9050,2020,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000046,921,Isle of Wight,,,820,220,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,886,Kent,,,5020,1180,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000035,887,Medway,,,1510,350,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000042,826,Milton Keynes,,,1120,280,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,931,Oxfordshire,,,2540,500,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000044,851,Portsmouth,,,680,170,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000038,870,Reading,,,690,150,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000039,871,Slough,,,480,120,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000045,852,Southampton,,,1050,240,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000030,936,Surrey,,,4020,910,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000037,869,West Berkshire,,,720,140,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,938,West Sussex,,,2950,760,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000040,868,Windsor and Maidenhead,,,450,90,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,,,2660,570,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000022,800,Bath and North East Somerset,,,680,140,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000028,837,Bournemouth,,,990,200,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,801,"Bristol, City of",,,2100,480,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,908,Cornwall,,,3750,670,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E10000008,878,Devon,,,5170,1120,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E10000009,835,Dorset,,,4810,1200,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E10000013,916,Gloucestershire,,,2820,600,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,802,North Somerset,,,1210,210,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,879,Plymouth,,,2290,560,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000029,836,Poole,,,790,170,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E10000027,933,Somerset,,,3070,690,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000025,803,South Gloucestershire,,,1560,300,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000030,866,Swindon,,,1080,270,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000027,880,Torbay,,,910,200,z
200910,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,865,Wiltshire,,,3790,870,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,,,5320,1440,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,,,1820,430,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,,,2050,400,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,884,"Herefordshire, County of",,,1060,200,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,,,2050,540,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000051,893,Shropshire,,,2490,560,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000029,334,Solihull,,,1080,210,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,860,Staffordshire,,,4720,1170,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000021,861,Stoke-on-Trent,,,1860,470,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000020,894,Telford and Wrekin,,,980,230,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,,,1680,440,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,937,Warwickshire,,,2470,580,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,,,1560,380,z
200910,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000034,885,Worcestershire,,,2590,580,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,,,1990,480,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,,,2720,540,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,,,1230,260,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,,,2440,640,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,,,5400,1250,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",,,1970,530,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,,,2600,630,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,,,3650,870,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,,,890,220,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,,,930,210,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,815,North Yorkshire,,,4430,680,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,,,1820,490,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,,,3530,880,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,,,1980,490,z
200910,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,816,York,,,950,240,z
200910,Academic year,Local authority,E92000001,England,z,Outside of England and unknown,z,z,Outside of England and unknown,,,2790,810,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,831,Derby,,,2600,3050,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,,,7750,8830,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,,,2540,2810,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,,,5710,6290,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,925,Lincolnshire,,,6070,6940,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,928,Northamptonshire,,,5800,6650,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,892,Nottingham,,,2640,3070,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,,,7530,8610,z
201011,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,857,Rutland,,,230,250,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,,,850,940,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000003,873,Cambridgeshire,,,3220,3670,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000056,823,Central Bedfordshire,,,1630,1860,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,881,Essex,,,10930,12460,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,919,Hertfordshire,,,6440,7130,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000032,821,Luton,,,1430,1560,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,926,Norfolk,,,6200,7160,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,874,Peterborough,,,1400,1600,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000033,882,Southend-on-Sea,,,1150,1320,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000029,935,Suffolk,,,5360,6160,z
201011,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,,,1150,1320,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000002,301,Barking and Dagenham,,,1420,1560,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000003,302,Barnet,,,1190,1290,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,,,1730,1960,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,,,1470,1600,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000006,305,Bromley,,,1540,1760,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000007,202,Camden,,,700,780,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000001,201,City of London,,,40,40,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000008,306,Croydon,,,2270,2510,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,307,Ealing,,,1770,1910,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000010,308,Enfield,,,1550,1680,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000011,203,Greenwich,,,1860,2030,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000012,204,Hackney,,,1140,1260,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,205,Hammersmith and Fulham,,,690,750,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000014,309,Haringey,,,1260,1370,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000015,310,Harrow,,,1090,1170,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000016,311,Havering,,,1450,1640,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,,,1780,1990,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000018,313,Hounslow,,,1300,1460,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000019,206,Islington,,,870,970,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,207,Kensington and Chelsea,,,310,340,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000021,314,Kingston upon Thames,,,590,650,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000022,208,Lambeth,,,1450,1610,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,209,Lewisham,,,1580,1760,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000024,315,Merton,,,950,1040,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,,,1990,2120,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000026,317,Redbridge,,,1170,1290,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000027,318,Richmond upon Thames,,,460,530,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000028,210,Southwark,,,1590,1740,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,319,Sutton,,,1210,1370,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000030,211,Tower Hamlets,,,1690,1810,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000031,320,Waltham Forest,,,1580,1740,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,212,Wandsworth,,,920,1030,z
201011,Academic year,Local authority,E92000001,England,E12000007,London,E09000033,213,Westminster,,,840,920,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,,,6980,7750,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,,,1430,1590,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,,,2660,3010,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,,,1080,1180,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,,,1750,1980,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,,,3010,3460,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,,,2920,3340,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,,,3860,4400,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,,,1860,2100,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,,,2270,2610,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,,,2290,2580,z
201011,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,,,4440,5100,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,,,1550,1750,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,,,1800,2080,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,,,2820,3160,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,,,1720,1980,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,,,3080,3530,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,,,3290,3720,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,,,5280,5850,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,,,1810,2080,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,,,2580,2980,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,,,11920,13340,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,,,6470,7450,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,,,4760,5470,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,,,2510,2840,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,,,2350,2700,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,,,2710,3140,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,,,3370,3900,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,,,2070,2380,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,,,3180,3700,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,,,3020,3430,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,,,1660,1940,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,,,2440,3050,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,,,4150,4750,z
201011,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,,,4140,4660,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000036,867,Bracknell Forest,,,810,910,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000043,846,Brighton and Hove,,,1500,1710,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000002,825,Buckinghamshire,,,2690,3120,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000011,845,East Sussex,,,3910,4410,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,850,Hampshire,,,11230,13240,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000046,921,Isle of Wight,,,1690,1910,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,886,Kent,,,9040,10220,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000035,887,Medway,,,2440,2790,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000042,826,Milton Keynes,,,1980,2260,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,931,Oxfordshire,,,3600,4100,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000044,851,Portsmouth,,,1390,1570,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000038,870,Reading,,,1330,1480,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000039,871,Slough,,,780,900,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000045,852,Southampton,,,1850,2090,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000030,936,Surrey,,,5130,6050,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000037,869,West Berkshire,,,1020,1160,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,938,West Sussex,,,4780,5530,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000040,868,Windsor and Maidenhead,,,660,750,z
201011,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,,,2520,3100,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000022,800,Bath and North East Somerset,,,1030,1170,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000028,837,Bournemouth,,,1600,1810,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,801,"Bristol, City of",,,3520,4000,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000052,908,Cornwall,,,5050,5720,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E10000008,878,Devon,,,6900,8020,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E10000009,835,Dorset,,,5500,6700,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E10000013,916,Gloucestershire,,,4140,4750,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,802,North Somerset,,,2020,2230,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,879,Plymouth,,,3160,3710,z
201011,Academic year,Local authority,E92000001,England,E12000009,South West,E06000029,836,Poole,,,1130,1300,z
