economy,maths,maths_se,reading,reading_se,science,science_se,flagged,code
Kurdistan Region (Iraq),338.75739000000004,1.7730800000000002,311.53031000000004,2.0251200000000003,352.19140000000004,1.7890400000000002,False,
Kyrgyzstan,363.80642,1.9783800000000002,344.3976,2.39211,362.52939000000003,2.1803500000000002,False,
Latvia,460.49274,1.7023100000000002,429.67871,2.0281700000000003,468.36741000000006,2.05396,False,
Lebanon,377.13808000000006,3.0241700000000002,330.90273,3.3391,372.00568000000004,3.4527600000000005,False,
Lithuania,470.49147000000005,1.87433,464.05377000000004,1.91423,487.73903,1.7807600000000001,False,
Luxembourg,458.14300000000003,0.8803300000000001,443.23219000000006,1.0539,473.77035000000006,1.05451,False,
Macao (China),549.3016200000001,1.1471900000000002,501.05358000000007,1.15548,540.8138600000001,1.1273600000000001,False,
Malaysia,397.42258000000004,2.1980600000000003,392.77186,2.1576400000000002,419.20273000000003,2.15916,False,
Malta,439.08271,1.7833500000000002,414.62566000000004,1.60789,452.52701,1.54688,False,
Mauritius,406.85479000000004,3.6681900000000005,405.33343,3.5020400000000005,438.16395000000006,4.19413,False,
Mexico,387.58717,1.85817,407.93756,2.15977,413.56537000000003,2.00143,False,
Moldova,410.13014000000004,2.5569800000000003,403.70106000000004,2.89801,421.94704,2.8449400000000002,False,
Mongolia,418.64226,2.29449,374.25273000000004,1.74944,424.03375000000005,2.12886,False,
Montenegro,411.05801,1.11695,418.37127000000004,1.21567,435.18445,1.31231,False,
Morocco,354.75514000000004,2.9551700000000003,321.12710000000004,3.48335,357.97978,3.3258400000000004,False,
Netherlands,483.27027000000004,2.8882800000000004,441.34494,2.89487,485.45141000000007,2.82147,True,
New Zealand,479.61907,2.16515,497.04447000000005,2.4203900000000003,509.39792000000006,2.31097,True,
North Macedonia,379.79204000000004,0.9707800000000001,357.44372000000004,0.9933400000000001,378.49815,1.03898,False,
Norway,451.78008000000005,2.02015,452.8013,2.0868700000000002,470.21226,2.0224900000000003,True,
Palestinian Authority,354.33698000000004,1.77553,349.87623,1.8664600000000002,358.73953,1.94727,False,
Paraguay,333.73066,1.58776,352.21577,2.02789,355.24408000000005,1.9713100000000001,False,
Peru,382.43938,2.44829,390.13724,2.9088800000000004,405.60048000000006,2.52937,False,
Philippines,370.63089,1.6984700000000001,366.91855000000004,2.371,373.31850000000003,2.28703,False,
Poland,484.12092,2.7584000000000004,481.53744000000006,2.8471400000000004,495.06703000000005,2.7425,False,
Portugal,459.94304000000005,3.4547900000000005,462.02744,3.2280900000000003,481.71602,3.5177300000000002,False,
Qatar,416.16179000000005,1.34722,418.02844000000005,1.35345,434.39970000000005,1.34026,False,
Romania,419.12421000000006,4.53293,412.94947,3.97826,424.70915,4.15019,False,
Rwanda,311.64827,3.02509,300.94391,2.0149500000000002,317.28649,3.4961,False,
Saudi Arabia,389.88586000000004,2.40002,387.28413,2.3810200000000004,413.43007000000006,2.6454600000000004,False,
Serbia,416.7354,2.9969,414.59850000000006,3.3726800000000003,428.99464000000006,2.92876,False,
Singapore,562.8974800000001,1.5715500000000002,534.90002,1.9405400000000002,559.8505600000001,1.7129,False,SGP
Slovak Republic,469.09830000000005,2.4458200000000003,447.96713000000005,2.56108,474.87211,2.5045800000000003,False,
Slovenia,459.83559,1.18578,444.74764000000005,1.29403,483.72204000000005,1.2773500000000002,False,
Spain,457.44885000000005,1.6868200000000002,451.35575000000006,1.9380300000000001,477.12730000000005,1.9043100000000002,False,
Sweden,464.25122000000005,2.5086600000000003,466.43629000000004,3.1495200000000003,485.11066000000005,2.9938700000000003,False,
Switzerland,499.14704000000006,2.59294,470.0529,2.9209300000000002,501.23764000000006,2.59131,False,
Thailand,406.76478000000003,2.87827,391.82964000000004,3.0112,432.24049,3.1885800000000004,False,
Türkiye,461.54657000000003,2.39744,472.09549000000004,2.3062500000000004,494.26907000000006,2.3050200000000003,False,
Ukrainian regions (17 of 27),430.99203000000006,2.55628,418.4229,2.49562,448.08230000000003,2.49101,False,
United Arab Emirates,452.58868,2.15876,432.81079000000005,1.6169000000000002,458.06699000000003,1.9743800000000002,False,
United Kingdom,487.57374000000004,2.1993,494.23095000000006,2.0213900000000002,511.35575000000006,2.10211,False,
United States,462.84782,5.39684,489.51893,5.836790000000001,501.58324000000005,5.816520000000001,True,USA
Uruguay,404.87885000000006,1.9451800000000001,423.21268000000003,2.04774,444.54929000000004,1.8163200000000002,False,
Viet Nam,443.18598000000003,4.24258,391.53666000000004,3.6585500000000004,457.42088,3.92831,False,
Zambia,313.63332,9.27476,324.87812,8.1965,336.95473000000004,10.99202,False,
