Year,20_year_avg,peak_blossom
1496,102 days 10:48:00,97 days
1497,102 days 08:24:00,108 days
1498,101 days 10:48:00,97 days
1499,101 days 12:00:00,111 days
1500,101 days 03:36:00,97 days
1501,101 days 00:00:00,103 days
1502,101 days 08:24:00,115 days
1503,101 days 16:48:00,108 days
1504,102 days 13:12:00,114 days
1505,103 days 03:36:00,106 days
1506,103 days 12:00:00,106 days
1507,104 days 06:00:00,108 days
1508,104 days 15:36:00,111 days
1509,104 days 18:00:00,102 days
1510,105 days 09:36:00,110 days
1511,105 days 14:24:00,111 days
1512,105 days 15:36:00,109 days
1513,106 days 03:36:00,110 days
1514,106 days 02:24:00,105 days
1515,106 days 22:48:00,111 days
1516,107 days 07:12:00,104 days
1517,107 days 04:48:00,106 days
1518,108 days 02:24:00,115 days
1519,108 days 02:24:00,111 days
1520,108 days 12:00:00,105 days
1521,108 days 16:48:00,107 days
1522,108 days 02:24:00,103 days
1523,108 days 03:36:00,109 days
1524,107 days 21:36:00,109 days
1525,107 days 19:12:00,104 days
1526,108 days 03:36:00,113 days
1527,108 days 00:00:00,105 days
1528,107 days 18:00:00,106 days
1529,108 days 00:00:00,107 days
1530,107 days 20:24:00,107 days
1531,107 days 10:48:00,103 days
1532,107 days 09:36:00,108 days
1533,107 days 10:48:00,111 days
1534,107 days 14:24:00,108 days
1535,106 days 19:12:00,95 days
1536,107 days 00:00:00,108 days
1537,107 days 02:24:00,108 days
1538,106 days 22:48:00,112 days
1539,107 days 09:36:00,120 days
1540,108 days 06:00:00,122 days
1541,108 days 08:24:00,109 days
1542,108 days 07:12:00,102 days
1543,108 days 19:12:00,119 days
1544,108 days 16:48:00,107 days
1545,108 days 08:24:00,97 days
1546,108 days 07:12:00,112 days
1547,108 days 06:00:00,104 days
1548,108 days 20:24:00,118 days
1549,109 days 08:24:00,117 days
1550,109 days 13:12:00,111 days
1551,109 days 20:24:00,109 days
1552,109 days 15:36:00,104 days
1553,110 days 01:12:00,119 days
1555,109 days 16:48:00,101 days
1556,110 days 22:48:00,120 days
1557,110 days 04:48:00,93 days
1558,110 days 08:24:00,111 days
1559,109 days 13:12:00,96 days
1560,108 days 13:12:00,100 days
1561,107 days 13:12:00,102 days
1562,107 days 01:12:00,99 days
1563,106 days 21:36:00,99 days
1564,106 days 09:36:00,109 days
1565,106 days 18:00:00,114 days
1566,106 days 18:00:00,97 days
1567,106 days 13:12:00,108 days
1568,106 days 15:36:00,106 days
1570,106 days 08:24:00,112 days
1571,105 days 21:36:00,108 days
1572,105 days 16:48:00,107 days
1574,105 days 03:36:00,98 days
1576,105 days 09:36:00,109 days
1577,104 days 10:48:00,100 days
1579,104 days 12:00:00,102 days
1580,103 days 08:24:00,97 days
1581,103 days 22:48:00,105 days
1583,103 days 19:12:00,108 days
1584,104 days 07:12:00,106 days
1585,104 days 13:12:00,105 days
1586,104 days 18:00:00,106 days
1587,105 days 01:12:00,105 days
1588,105 days 09:36:00,106 days
1589,105 days 04:48:00,105 days
1590,104 days 14:24:00,102 days
1591,104 days 10:48:00,94 days
1592,103 days 22:48:00,98 days
1593,104 days 07:12:00,113 days
1594,103 days 08:24:00,93 days
1595,103 days 12:00:00,111 days
1596,103 days 08:24:00,104 days
1597,104 days 03:36:00,114 days
1598,104 days 04:48:00,110 days
1599,104 days 08:24:00,103 days
1600,104 days 07:12:00,101 days
1601,104 days 02:24:00,93 days
1602,104 days 04:48:00,107 days
1603,103 days 18:00:00,99 days
1604,103 days 04:48:00,95 days
1605,103 days 04:48:00,105 days
1606,103 days 04:48:00,106 days
1607,103 days 10:48:00,110 days
1609,103 days 13:12:00,108 days
1610,103 days 19:12:00,110 days
1612,103 days 01:12:00,87 days
1613,103 days 15:36:00,106 days
1614,103 days 21:36:00,103 days
1615,103 days 18:00:00,110 days
1616,105 days 04:48:00,122 days
1617,105 days 00:00:00,107 days
1618,104 days 21:36:00,102 days
1619,103 days 20:24:00,93 days
1621,103 days 19:12:00,109 days
1622,103 days 22:48:00,106 days
1623,104 days 13:12:00,113 days
1624,105 days 12:00:00,112 days
1625,104 days 21:36:00,95 days
1626,104 days 22:48:00,100 days
1628,105 days 09:36:00,104 days
1629,105 days 18:00:00,112 days
1632,105 days 15:36:00,104 days
1633,105 days 01:12:00,98 days
1634,104 days 10:48:00,96 days
1635,103 days 19:12:00,97 days
1637,104 days 16:48:00,105 days
1638,104 days 15:36:00,105 days
1639,104 days 21:36:00,108 days
1640,104 days 13:12:00,103 days
1641,104 days 07:12:00,117 days
1642,104 days 15:36:00,114 days
1643,105 days 06:00:00,114 days
1644,105 days 20:24:00,105 days
1645,105 days 08:24:00,99 days
1646,104 days 09:36:00,87 days
1647,104 days 08:24:00,112 days
1649,103 days 22:48:00,104 days
1650,104 days 07:12:00,102 days
1651,104 days 15:36:00,107 days
1652,104 days 19:12:00,107 days
1653,104 days 19:12:00,112 days
1654,104 days 19:12:00,104 days
1655,105 days 02:24:00,104 days
1656,105 days 10:48:00,103 days
1658,106 days 00:00:00,108 days
1660,106 days 07:12:00,111 days
1661,105 days 16:48:00,93 days
1662,105 days 19:12:00,110 days
1663,105 days 21:36:00,105 days
1664,105 days 07:12:00,105 days
1665,105 days 04:48:00,112 days
1666,104 days 21:36:00,108 days
1667,105 days 06:00:00,112 days
1668,105 days 19:12:00,110 days
1669,106 days 15:36:00,104 days
1670,106 days 03:36:00,102 days
1671,106 days 18:00:00,116 days
1672,107 days 06:00:00,112 days
1673,107 days 03:36:00,105 days
1674,107 days 13:12:00,115 days
1675,107 days 12:00:00,111 days
1676,107 days 10:48:00,103 days
1677,107 days 01:12:00,96 days
1678,107 days 08:24:00,109 days
1679,107 days 15:36:00,114 days
1680,107 days 13:12:00,109 days
1681,108 days 09:36:00,110 days
1682,108 days 02:24:00,104 days
1683,108 days 06:00:00,108 days
1684,108 days 21:36:00,118 days
1685,108 days 14:24:00,106 days
1686,108 days 09:36:00,104 days
1687,108 days 00:00:00,104 days
1688,108 days 04:48:00,114 days
1689,107 days 20:24:00,97 days
1690,107 days 09:36:00,93 days
1691,106 days 18:00:00,103 days
1692,106 days 14:24:00,109 days
1693,106 days 16:48:00,107 days
1694,106 days 09:36:00,109 days
1695,106 days 20:24:00,120 days
1696,107 days 09:36:00,114 days
1697,108 days 03:36:00,111 days
1698,107 days 18:00:00,101 days
1699,106 days 21:36:00,97 days
1700,107 days 06:00:00,116 days
1701,107 days 08:24:00,112 days
1702,107 days 22:48:00,116 days
1703,107 days 16:48:00,103 days
1704,107 days 10:48:00,113 days
1705,107 days 14:24:00,109 days
1706,108 days 03:36:00,115 days
1707,108 days 12:00:00,111 days
1708,107 days 22:48:00,103 days
1709,108 days 09:36:00,106 days
1713,108 days 22:48:00,104 days
1714,109 days 04:48:00,108 days
1715,109 days 02:24:00,107 days
1716,109 days 06:00:00,110 days
1717,108 days 16:48:00,98 days
1718,107 days 19:12:00,102 days
1719,107 days 04:48:00,102 days
1720,107 days 08:24:00,114 days
1721,107 days 01:12:00,95 days
1722,107 days 04:48:00,100 days
1723,106 days 14:24:00,104 days
1724,105 days 22:48:00,99 days
1725,105 days 10:48:00,106 days
1726,106 days 02:24:00,116 days
1727,106 days 01:12:00,112 days
1728,105 days 19:12:00,104 days
1729,105 days 07:12:00,105 days
1731,104 days 22:48:00,104 days
1732,105 days 04:48:00,108 days
1733,105 days 06:00:00,107 days
1734,105 days 03:36:00,102 days
1735,104 days 19:12:00,101 days
1736,104 days 18:00:00,106 days
1737,103 days 21:36:00,93 days
1738,104 days 01:12:00,101 days
1739,104 days 10:48:00,110 days
1740,105 days 02:24:00,115 days
1741,104 days 20:24:00,109 days
1742,105 days 13:12:00,109 days
1743,105 days 22:48:00,108 days
1744,105 days 15:36:00,98 days
1745,105 days 22:48:00,105 days
1746,106 days 03:36:00,110 days
1747,105 days 09:36:00,101 days
1748,104 days 14:24:00,96 days
1749,104 days 09:36:00,100 days
1750,104 days 15:36:00,110 days
1751,104 days 14:24:00,103 days
1752,104 days 16:48:00,110 days
1753,104 days 03:36:00,96 days
1754,104 days 19:12:00,115 days
1755,105 days 18:00:00,120 days
1756,105 days 21:36:00,109 days
1757,106 days 20:24:00,112 days
1758,106 days 20:24:00,101 days
1759,106 days 19:12:00,109 days
1760,106 days 04:48:00,103 days
1761,105 days 04:48:00,89 days
1762,105 days 01:12:00,106 days
1763,105 days 06:00:00,112 days
1764,105 days 06:00:00,98 days
1765,105 days 07:12:00,106 days
1766,105 days 10:48:00,113 days
1767,105 days 10:48:00,101 days
1768,106 days 12:00:00,117 days
1769,106 days 18:00:00,105 days
1770,106 days 12:00:00,105 days
1771,106 days 13:12:00,104 days
1772,106 days 08:24:00,106 days
1773,106 days 13:12:00,100 days
1774,106 days 07:12:00,110 days
1775,105 days 06:00:00,99 days
1776,105 days 04:48:00,108 days
1777,104 days 19:12:00,104 days
1778,105 days 07:12:00,111 days
1779,104 days 15:36:00,96 days
1780,104 days 22:48:00,109 days
1781,105 days 01:12:00,91 days
1782,105 days 04:48:00,109 days
1783,104 days 18:00:00,103 days
1784,105 days 02:24:00,105 days
1785,105 days 04:48:00,108 days
1786,104 days 20:24:00,106 days
1787,105 days 01:12:00,105 days
1788,104 days 15:36:00,109 days
1789,104 days 16:48:00,106 days
1790,105 days 09:36:00,119 days
1791,105 days 03:36:00,99 days
1792,104 days 21:36:00,101 days
1793,105 days 04:48:00,106 days
1794,104 days 21:36:00,104 days
1795,105 days 14:24:00,113 days
1796,105 days 08:24:00,103 days
1797,105 days 00:00:00,97 days
1798,104 days 22:48:00,110 days
1799,105 days 07:12:00,103 days
1800,105 days 00:00:00,103 days
1801,105 days 16:48:00,105 days
1802,105 days 01:12:00,96 days
1803,105 days 09:36:00,110 days
1804,105 days 08:24:00,104 days
1805,104 days 14:24:00,93 days
1806,105 days 00:00:00,114 days
1807,105 days 13:12:00,116 days
1808,105 days 00:00:00,98 days
1809,105 days 01:12:00,107 days
1810,104 days 02:24:00,100 days
1811,104 days 15:36:00,110 days
1812,105 days 14:24:00,120 days
1813,105 days 15:36:00,107 days
1814,106 days 02:24:00,113 days
1815,106 days 00:00:00,111 days
1816,106 days 00:00:00,103 days
1817,106 days 15:36:00,110 days
1818,106 days 10:48:00,106 days
1819,106 days 14:24:00,106 days
1820,106 days 04:48:00,95 days
1821,106 days 09:36:00,109 days
1822,106 days 16:48:00,102 days
1823,106 days 12:00:00,106 days
1824,106 days 16:48:00,108 days
1825,107 days 18:00:00,114 days
1826,107 days 12:00:00,109 days
1827,106 days 16:48:00,100 days
1828,107 days 10:48:00,113 days
1829,107 days 16:48:00,112 days
1830,107 days 22:48:00,105 days
1831,108 days 03:36:00,114 days
1832,107 days 19:12:00,113 days
1833,107 days 19:12:00,107 days
1834,107 days 16:48:00,111 days
1835,107 days 18:00:00,112 days
1836,108 days 04:48:00,112 days
1837,108 days 06:00:00,111 days
1838,108 days 09:36:00,109 days
1839,109 days 02:24:00,120 days
1840,109 days 14:24:00,105 days
1841,109 days 12:00:00,107 days
1842,109 days 04:48:00,96 days
1843,109 days 04:48:00,106 days
1844,109 days 02:24:00,106 days
1845,108 days 12:00:00,102 days
1846,107 days 22:48:00,98 days
1847,108 days 07:12:00,107 days
1848,107 days 18:00:00,102 days
1849,107 days 03:36:00,100 days
1850,107 days 08:24:00,109 days
1851,106 days 18:00:00,102 days
1852,106 days 18:00:00,113 days
1853,106 days 12:00:00,102 days
1854,106 days 01:12:00,102 days
1855,105 days 12:00:00,101 days
1856,105 days 10:48:00,111 days
1857,105 days 07:12:00,108 days
1858,105 days 01:12:00,104 days
1859,104 days 13:12:00,110 days
1860,104 days 22:48:00,113 days
1861,104 days 14:24:00,100 days
1862,105 days 15:36:00,117 days
1863,106 days 06:00:00,118 days
1864,106 days 04:48:00,105 days
1865,105 days 22:48:00,97 days
1866,106 days 03:36:00,102 days
1867,105 days 20:24:00,101 days
1868,105 days 22:48:00,104 days
1869,106 days 04:48:00,105 days
1870,105 days 16:48:00,99 days
1871,105 days 19:12:00,104 days
1873,105 days 08:24:00,104 days
1874,105 days 14:24:00,107 days
1875,105 days 15:36:00,103 days
1876,106 days 03:36:00,111 days
1877,105 days 19:12:00,104 days
1878,105 days 10:48:00,101 days
1879,105 days 08:24:00,102 days
1880,105 days 08:24:00,110 days
1881,105 days 07:12:00,112 days
1882,105 days 03:36:00,97 days
1883,104 days 15:36:00,107 days
1884,104 days 04:48:00,109 days
1885,104 days 14:24:00,113 days
1886,105 days 03:36:00,108 days
1887,105 days 12:00:00,109 days
1888,105 days 19:12:00,107 days
1889,106 days 01:12:00,109 days
1890,105 days 16:48:00,98 days
1891,105 days 16:48:00,99 days
1892,106 days 06:00:00,115 days
1893,106 days 12:00:00,109 days
1894,106 days 01:12:00,98 days
1896,106 days 04:48:00,106 days
1897,105 days 22:48:00,106 days
1898,106 days 03:36:00,108 days
1899,106 days 01:12:00,99 days
1900,106 days 01:12:00,102 days
1901,105 days 15:36:00,102 days
1902,104 days 22:48:00,98 days
1903,105 days 01:12:00,99 days
1904,105 days 02:24:00,108 days
1905,104 days 21:36:00,105 days
1906,104 days 12:00:00,105 days
1907,104 days 06:00:00,103 days
1908,103 days 21:36:00,102 days
1909,103 days 22:48:00,108 days
1910,103 days 16:48:00,104 days
1911,103 days 16:48:00,98 days
1912,104 days 00:00:00,105 days
1913,103 days 09:36:00,103 days
1914,103 days 01:12:00,102 days
1915,103 days 06:00:00,102 days
1916,103 days 13:12:00,112 days
1917,103 days 09:36:00,103 days
1918,103 days 04:48:00,104 days
1920,103 days 10:48:00,104 days
1922,103 days 09:36:00,101 days
1923,103 days 03:36:00,97 days
1924,103 days 19:12:00,111 days
1925,104 days 06:00:00,108 days
1926,104 days 06:00:00,108 days
1927,104 days 08:24:00,107 days
1928,104 days 10:48:00,107 days
1929,104 days 10:48:00,103 days
1930,104 days 02:24:00,95 days
1931,103 days 22:48:00,105 days
1932,104 days 00:00:00,105 days
1933,104 days 09:36:00,106 days
1934,104 days 08:24:00,104 days
1935,104 days 07:12:00,102 days
1936,104 days 18:00:00,111 days
1937,104 days 15:36:00,100 days
1938,103 days 22:48:00,98 days
1939,104 days 00:00:00,104 days
1940,104 days 07:12:00,110 days
1941,104 days 02:24:00,100 days
1942,103 days 20:24:00,96 days
1943,104 days 01:12:00,101 days
1944,103 days 12:00:00,100 days
1946,102 days 22:48:00,97 days
1947,102 days 21:36:00,107 days
1948,102 days 15:36:00,102 days
1949,102 days 15:36:00,107 days
1950,102 days 10:48:00,99 days
1951,102 days 14:24:00,98 days
1952,102 days 14:24:00,105 days
1953,102 days 09:36:00,101 days
1954,102 days 00:00:00,98 days
1955,101 days 15:36:00,97 days
1956,101 days 12:00:00,99 days
1957,101 days 02:24:00,103 days
1958,101 days 01:12:00,99 days
1959,100 days 18:00:00,92 days
1960,100 days 07:12:00,95 days
1961,99 days 18:00:00,99 days
1962,99 days 20:24:00,102 days
1963,100 days 02:24:00,101 days
1964,100 days 00:00:00,99 days
1965,100 days 12:00:00,110 days
1966,100 days 12:00:00,97 days
1967,100 days 00:00:00,97 days
1968,99 days 20:24:00,99 days
1969,99 days 13:12:00,101 days
1970,99 days 22:48:00,107 days
1971,99 days 22:48:00,98 days
1972,99 days 15:36:00,99 days
1973,99 days 10:48:00,97 days
1974,99 days 12:00:00,99 days
1975,99 days 15:36:00,100 days
1976,99 days 15:36:00,99 days
1977,99 days 03:36:00,93 days
1978,99 days 09:36:00,104 days
1979,99 days 15:36:00,97 days
1980,100 days 00:00:00,102 days
1981,100 days 00:00:00,99 days
1982,99 days 13:12:00,93 days
1983,99 days 10:48:00,99 days
1984,99 days 22:48:00,109 days
1985,99 days 09:36:00,99 days
1986,99 days 15:36:00,102 days
1987,99 days 13:12:00,95 days
1988,99 days 21:36:00,106 days
1989,99 days 12:00:00,93 days
1990,98 days 13:12:00,88 days
1991,98 days 12:00:00,97 days
1992,98 days 06:00:00,94 days
1993,98 days 06:00:00,97 days
1994,98 days 06:00:00,99 days
1995,98 days 04:48:00,99 days
1996,98 days 09:36:00,103 days
1997,98 days 14:24:00,97 days
1998,97 days 22:48:00,91 days
1999,97 days 19:12:00,94 days
2000,97 days 16:48:00,100 days
2001,97 days 13:12:00,96 days
2002,97 days 10:48:00,91 days
2003,97 days 09:36:00,98 days
2004,96 days 13:12:00,92 days
2005,96 days 13:12:00,99 days
2006,96 days 08:24:00,98 days
2007,96 days 10:48:00,97 days
2008,95 days 21:36:00,95 days
2009,96 days 00:00:00,95 days
2010,96 days 08:24:00,95 days
2011,96 days 10:48:00,99 days
2012,96 days 19:12:00,101 days
2013,96 days 14:24:00,93 days
2014,96 days 08:24:00,94 days
