Date of travel,Number of tickets,30 day moving average
2021-06-03,1066045,853715.0
2021-06-04,1111043,865703.0
2021-06-05,1158246,878104.0
2021-06-06,609289,868305.0
2021-06-07,935188,879102.0
2021-06-08,960764,896319.0
2021-06-09,999008,905593.0
2021-06-10,1041000,915041.0
2021-06-11,1169805,928238.0
2021-06-12,1150220,940554.0
2021-06-13,718581,934399.0
2021-06-14,969612,940861.0
2021-06-15,971543,959226.0
2021-06-16,1015034,966037.0
2021-06-17,1002605,971225.0
2021-06-18,1152730,979591.0
2021-06-19,1050178,983948.0
2021-06-20,586001,968085.0
2021-06-21,917136,965242.0
2021-06-22,970773,978342.0
2021-06-23,1006302,984133.0
2021-06-24,1051769,990328.0
2021-06-25,1216412,1000067.0
2021-06-26,1195457,1005912.0
2021-06-27,626107,986022.0
2021-06-28,948332,978432.0
2021-06-29,976585,985079.0
2021-06-30,1016442,989625.0
2021-07-01,1081297,990309.0
2021-07-02,1224423,996598.0
2021-07-03,1068088,996666.0
2021-07-04,618392,980244.0
2021-07-05,956027,973503.0
2021-07-06,947667,984783.0
2021-07-07,1036208,988150.0
2021-07-08,1045924,990989.0
2021-07-09,1205645,997877.0
2021-07-10,1129540,1000828.0
2021-07-11,795645,988356.0
2021-07-12,908087,980285.0
2021-07-13,925613,987186.0
2021-07-14,999701,988189.0
2021-07-15,1039176,990443.0
2021-07-16,1211490,996992.0
2021-07-17,1208056,1003840.0
2021-07-18,733410,989863.0
2021-07-19,996356,988069.0
2021-07-20,989923,1001533.0
2021-07-21,1051695,1006018.0
2021-07-22,1097893,1010255.0
2021-07-23,1266444,1018927.0
2021-07-24,1233352,1024980.0
2021-07-25,664121,1006570.0
2021-07-26,1010104,1000391.0
2021-07-27,1000602,1012875.0
2021-07-28,1037824,1015858.0
2021-07-29,1140871,1021334.0
2021-07-30,1229312,1028430.0
2021-07-31,1273263,1034828.0
2021-08-01,755903,1019211.0
2021-08-02,1040824,1018302.0
2021-08-03,1055700,1032879.0
2021-08-04,1124549,1038497.0
2021-08-05,1122056,1044310.0
2021-08-06,1253407,1051550.0
2021-08-07,1245828,1058213.0
2021-08-08,733328,1042469.0
2021-08-09,1026238,1039026.0
2021-08-10,1139212,1050478.0
2021-08-11,1158947,1058840.0
2021-08-12,1215209,1068493.0
2021-08-13,1330705,1079527.0
2021-08-14,1372148,1090626.0
2021-08-15,772189,1075982.0
2021-08-16,1087451,1071962.0
2021-08-17,1099111,1084152.0
2021-08-18,1158865,1089569.0
2021-08-19,1192953,1096337.0
2021-08-20,1357038,1106515.0
2021-08-21,1364812,1115412.0
2021-08-22,783028,1099298.0
2021-08-23,1125637,1095708.0
2021-08-24,1154966,1112069.0
2021-08-25,1222950,1119164.0
2021-08-26,1287323,1128722.0
2021-08-27,1445987,1142327.0
2021-08-28,1464512,1153115.0
2021-08-29,951716,1143862.0
2021-08-30,969573,1133739.0
2021-08-31,1164094,1147345.0
2021-09-01,1195582,1152504.0
2021-09-02,1234494,1158464.0
2021-09-03,1402032,1167713.0
2021-09-04,1378853,1176273.0
2021-09-05,784922,1160657.0
2021-09-06,1200910,1159160.0
2021-09-07,1257936,1176646.0
2021-09-08,1289940,1185437.0
2021-09-09,1304856,1190958.0
2021-09-10,1494398,1202140.0
2021-09-11,1490955,1211331.0
2021-09-12,833691,1194764.0
2021-09-13,1230242,1190034.0
2021-09-14,1233517,1205411.0
2021-09-15,1314872,1212992.0
2021-09-16,1382146,1222427.0
2021-09-17,1535953,1234996.0
2021-09-18,1567100,1247468.0
2021-09-19,842604,1230320.0
2021-09-20,1259022,1226794.0
2021-09-21,1330210,1245033.0
2021-09-22,1388578,1253798.0
2021-09-23,1428945,1262930.0
2021-09-24,1643920,1276963.0
2021-09-25,1697515,1290636.0
2021-09-26,939458,1273752.0
2021-09-27,1311128,1268639.0
2021-09-28,1377862,1282844.0
2021-09-29,1438354,1298470.0
2021-09-30,1512502,1310083.0
2021-10-01,1667874,1325826.0
2021-10-02,1507821,1334937.0
2021-10-03,991609,1321256.0
2021-10-04,1318941,1319259.0
2021-10-05,1345470,1337944.0
2021-10-06,1403776,1344707.0
2021-10-07,1466791,1351668.0
2021-10-08,1646739,1363562.0
2021-10-09,1542533,1371484.0
2021-10-10,867541,1350589.0
2021-10-11,1320488,1344907.0
2021-10-12,1396629,1363671.0
2021-10-13,1418520,1369947.0
2021-10-14,1495534,1378681.0
2021-10-15,1669213,1390493.0
2021-10-16,1568497,1396704.0
2021-10-17,889607,1375159.0
2021-10-18,1312059,1366658.0
2021-10-19,1352415,1383652.0
2021-10-20,1401006,1388385.0
2021-10-21,1497987,1393977.0
2021-10-22,1668498,1403308.0
2021-10-23,1585608,1408530.0
2021-10-24,916889,1384295.0
2021-10-25,1345199,1372552.0
2021-10-26,1434945,1389068.0
2021-10-27,1491392,1395077.0
2021-10-28,1532828,1400242.0
2021-10-29,1660055,1407632.0
2021-10-30,1613355,1410994.0
2021-10-31,824999,1382898.0
2021-11-01,1345325,1377482.0
2021-11-02,1405396,1391275.0
2021-11-03,1419614,1394630.0
2021-11-04,1518397,1400395.0
2021-11-05,1627929,1407866.0
2021-11-06,1587038,1411875.0
2021-11-07,935496,1388166.0
2021-11-08,1317672,1380671.0
2021-11-09,1392731,1398177.0
2021-11-10,1426082,1401697.0
2021-11-11,1514982,1405642.0
2021-11-12,1690696,1414715.0
2021-11-13,1706191,1421737.0
2021-11-14,930756,1397121.0
2021-11-15,1335581,1389358.0
2021-11-16,1409182,1406677.0
2021-11-17,1450118,1411279.0
2021-11-18,1544044,1417666.0
2021-11-19,1763656,1429755.0
2021-11-20,1811538,1440206.0
2021-11-21,982944,1417355.0
2021-11-22,1338861,1409130.0
2021-11-23,1432743,1426325.0
2021-11-24,1485750,1431010.0
2021-11-25,1590968,1436211.0
2021-11-26,1922121,1450568.0
2021-11-27,1578376,1452087.0
2021-11-28,951232,1428459.0
2021-11-29,1322261,1418756.0
2021-11-30,1415276,1438432.0
2021-12-01,1468650,1442543.0
2021-12-02,1556944,1447594.0
2021-12-03,1754428,1458755.0
2021-12-04,1745278,1466317.0
2021-12-05,990589,1445073.0
2021-12-06,1316522,1436056.0
2021-12-07,1339828,1449533.0
2021-12-08,1427734,1453202.0
2021-12-09,1523276,1457554.0
2021-12-10,1758031,1468619.0
2021-12-11,1712974,1475218.0
2021-12-12,961328,1450906.0
2021-12-13,1182272,1433442.0
2021-12-14,1180419,1441764.0
2021-12-15,1250991,1438944.0
2021-12-16,1248100,1433575.0
2021-12-17,1445545,1433423.0
2021-12-18,1483239,1431396.0
2021-12-19,867428,1401522.0
2021-12-20,1103238,1377912.0
2021-12-21,1060482,1380496.0
2021-12-22,1090468,1372216.0
2021-12-23,1085373,1360637.0
2021-12-24,779221,1337086.0
2021-12-25,6314,1284265.0
2021-12-26,50353,1221872.0
2021-12-27,840618,1197280.0
2021-12-28,798911,1192203.0
2021-12-29,901030,1178162.0
2021-12-30,936787,1162212.0
2021-12-31,924933,1144088.0
2022-01-01,505037,1109025.0
2022-01-02,630514,1071561.0
2022-01-03,694800,1036545.0
2022-01-04,829612,1031179.0
2022-01-05,843457,1015410.0
2022-01-06,854114,999220.0
2022-01-07,973803,984089.0
2022-01-08,929972,964312.0
2022-01-09,643114,927148.0
2022-01-10,906373,900262.0
2022-01-11,929474,899200.0
2022-01-12,997559,893043.0
2022-01-13,997900,886959.0
2022-01-14,1158482,883875.0
2022-01-15,1179557,881590.0
2022-01-16,648765,855031.0
2022-01-17,996851,838818.0
2022-01-18,1017060,843806.0
2022-01-19,1051864,842093.0
2022-01-20,1123106,844181.0
2022-01-21,1288668,850787.0
2022-01-22,1253040,856376.0
2022-01-23,670320,852746.0
2022-01-24,1052519,887620.0
2022-01-25,1114305,923085.0
2022-01-26,1147439,933312.0
2022-01-27,1225747,947540.0
2022-01-28,1429735,965164.0
2022-01-29,1387157,980176.0
2022-01-30,755055,974513.0
2022-01-31,1153566,996131.0
2022-02-01,1263111,1017218.0
2022-02-02,1280385,1036737.0
2022-02-03,1337076,1053652.0
2022-02-04,1485330,1075048.0
2022-02-05,1472912,1095675.0
2022-02-06,739044,1087850.0
2022-02-07,1208326,1097128.0
2022-02-08,1339956,1120356.0
2022-02-09,1374172,1135949.0
2022-02-10,1429829,1152628.0
2022-02-11,1576215,1171916.0
2022-02-12,1410064,1185655.0
2022-02-13,787663,1173295.0
2022-02-14,1316294,1177852.0
2022-02-15,1338450,1200842.0
2022-02-16,1338867,1212243.0
2022-02-17,1460110,1227011.0
2022-02-18,720070,1215951.0
2022-02-19,1146649,1216736.0
2022-02-20,683281,1196556.0
2022-02-21,1073774,1190581.0
2022-02-22,1444720,1216394.0
2022-02-23,1517133,1231881.0
2022-02-24,1557759,1246663.0
2022-02-25,1732176,1266154.0
2022-02-26,1726938,1282861.0
2022-02-27,930529,1266220.0
2022-02-28,1357440,1265230.0
2022-03-01,1762512,1298812.0
2022-03-02,1540504,1311710.0
2022-03-03,1808857,1329901.0
2022-03-04,1729535,1344873.0
2022-03-05,1584501,1353120.0
2022-03-06,853030,1332044.0
2022-03-07,1375094,1328783.0
2022-03-08,1485460,1353664.0
2022-03-09,1488708,1363010.0
2022-03-10,1573762,1370803.0
2022-03-11,1648594,1379951.0
2022-03-12,1584360,1385102.0
2022-03-13,861444,1361276.0
2022-03-14,1382236,1360348.0
2022-03-15,1505787,1384286.0
2022-03-16,1510612,1390763.0
2022-03-17,1642666,1400904.0
2022-03-18,1730670,1413964.0
2022-03-19,1635086,1419796.0
2022-03-20,915317,1426304.0
2022-03-21,1378619,1434037.0
2022-03-22,1485536,1460779.0
2022-03-23,1539932,1476317.0
2022-03-24,1626130,1482364.0
2022-03-25,1763718,1490584.0
2022-03-26,1685155,1494830.0
2022-03-27,898089,1467027.0
2022-03-28,1400839,1456157.0
2022-03-29,1492808,1474900.0
2022-03-30,1493186,1479425.0
2022-03-31,1592313,1473752.0
2022-04-01,1668869,1478030.0
2022-04-02,1539885,1469065.0
2022-04-03,917053,1441982.0
2022-04-04,1347824,1434093.0
2022-04-05,1478531,1454943.0
2022-04-06,1484665,1458595.0
2022-04-07,1563847,1461208.0
2022-04-08,1637889,1466181.0
2022-04-09,1626882,1467951.0
2022-04-10,940666,1444354.0
2022-04-11,1414627,1438696.0
2022-04-12,1515266,1460490.0
2022-04-13,1598805,1467709.0
2022-04-14,1739931,1475514.0
2022-04-15,1497638,1475081.0
2022-04-16,1527147,1471231.0
2022-04-17,885275,1443051.0
2022-04-18,1040983,1423248.0
2022-04-19,1561146,1444775.0
2022-04-20,1634753,1453313.0
2022-04-21,1660850,1459157.0
2022-04-22,1657542,1463077.0
2022-04-23,1632113,1463277.0
2022-04-24,923650,1435274.0
2022-04-25,1468922,1428066.0
2022-04-26,1631040,1452498.0
2022-04-27,1648218,1460744.0
2022-04-28,1754792,1469477.0
2022-04-29,1828421,1480651.0
2022-04-30,1815273,1488083.0
2022-05-01,1105218,1469295.0
2022-05-02,1126601,1455519.0
2022-05-03,1642480,1479700.0
2022-05-04,1646325,1489650.0
2022-05-05,1747710,1498623.0
2022-05-06,1762981,1507900.0
2022-05-07,1688052,1512040.0
2022-05-08,985673,1490299.0
2022-05-09,1478191,1485343.0
2022-05-10,1620994,1508021.0
2022-05-11,1667687,1516456.0
2022-05-12,1770746,1524972.0
2022-05-13,1761474,1530394.0
2022-05-14,1775193,1531570.0
2022-05-15,1029204,1515955.0
2022-05-16,1479660,1514372.0
2022-05-17,1679031,1540831.0
2022-05-18,1697367,1562710.0
2022-05-19,1775740,1569863.0
2022-05-20,1780148,1574710.0
2022-05-21,1738521,1577299.0
2022-05-22,1078124,1557985.0
2022-05-23,1505845,1553776.0
2022-05-24,1710586,1580007.0
2022-05-25,1758702,1589667.0
2022-05-26,1867502,1597549.0
2022-05-27,1963226,1608049.0
2022-05-28,1928194,1613829.0
2022-05-29,1144683,1591038.0
2022-05-30,1598019,1583796.0
2022-05-31,1718507,1604239.0
2022-06-01,1909433,1630333.0
2022-06-02,1724717,1633075.0
2022-06-03,1623077,1632300.0
2022-06-04,1552047,1625777.0
2022-06-05,1016130,1600882.0
2022-06-06,1801610,1604668.0
2022-06-07,1767372,1630724.0
2022-06-08,1737288,1639361.0
