Country,Country Code,Year,Value
France,FRA,1982,21.3986952
United Kingdom,GBR,1982,25.89367025
Italy,ITA,1982,21.11997187
Japan,JPN,1982,13.62984342
United States,USA,1982,8.469732989
Canada,CAN,1983,24.92499691
Spain,ESP,1983,19.07531886
France,FRA,1983,22.43632708
United Kingdom,GBR,1983,26.02439064
Italy,ITA,1983,20.33291502
Japan,JPN,1983,13.00926538
United States,USA,1983,7.622264819
Canada,CAN,1984,27.93656085
Spain,ESP,1984,21.30305966
France,FRA,1984,23.83548081
United Kingdom,GBR,1984,27.82086117
Italy,ITA,1984,21.00461603
Japan,JPN,1984,14.09975987
United States,USA,1984,7.489078324
Canada,CAN,1985,27.54691247
Spain,ESP,1985,20.86474105
France,FRA,1985,23.32434548
United Kingdom,GBR,1985,28.17700885
Italy,ITA,1985,21.11259293
Japan,JPN,1985,13.61937136
United States,USA,1985,6.98807254
Canada,CAN,1986,26.98763838
Spain,ESP,1986,18.19732542
France,FRA,1986,20.38347844
United Kingdom,GBR,1986,25.09605836
Italy,ITA,1986,18.70392109
Japan,JPN,1986,10.70077176
United States,USA,1986,7.009254676
Canada,CAN,1987,26.0034196
Spain,ESP,1987,17.72484277
France,FRA,1987,19.59735182
United Kingdom,GBR,1987,24.60977224
Italy,ITA,1987,17.98405078
Japan,JPN,1987,9.752995797
United States,USA,1987,7.495919336
Canada,CAN,1988,26.05288932
Spain,ESP,1988,17.30278708
France,FRA,1988,20.36672557
United Kingdom,GBR,1988,22.16280579
Italy,ITA,1988,17.57798807
Japan,JPN,1988,9.40921479
United States,USA,1988,8.49052352
Canada,CAN,1989,25.046346
Spain,ESP,1989,16.60237742
France,FRA,1989,21.65815382
United Kingdom,GBR,1989,22.63317529
Italy,ITA,1989,18.51665852
Japan,JPN,1989,9.934752016
United States,USA,1989,8.938790197
Canada,CAN,1990,25.07429896
Spain,ESP,1990,15.72479816
France,FRA,1990,20.97573338
United Kingdom,GBR,1990,23.32156486
Italy,ITA,1990,18.2594375
Japan,JPN,1990,10.05009591
United States,USA,1990,9.254732068
Canada,CAN,1991,24.35331653
Spain,ESP,1991,15.76071981
France,FRA,1991,21.33488442
United Kingdom,GBR,1991,22.58773686
Italy,ITA,1991,17.03600935
Japan,JPN,1991,9.616174714
United States,USA,1991,9.660905122
Canada,CAN,1992,26.19913256
Spain,ESP,1992,16.18754892
France,FRA,1992,21.33055935
United Kingdom,GBR,1992,22.9155971
Italy,ITA,1992,17.47918996
Japan,JPN,1992,9.518285025
United States,USA,1992,9.708914906
Canada,CAN,1993,29.14259936
Spain,ESP,1993,17.70888761
France,FRA,1993,20.79257941
United Kingdom,GBR,1993,24.82334083
Italy,ITA,1993,20.39909608
Japan,JPN,1993,8.913913995
United States,USA,1993,9.547180392
Canada,CAN,1994,32.78158824
Spain,ESP,1994,20.31113543
France,FRA,1994,21.66032273
United Kingdom,GBR,1994,26.06885155
Italy,ITA,1994,21.87108847
Japan,JPN,1994,8.839827126
United States,USA,1994,9.893147416
Canada,CAN,1995,36.09805428
Spain,ESP,1995,21.82709927
France,FRA,1995,22.62292606
United Kingdom,GBR,1995,25.78062911
Italy,ITA,1995,24.67248952
Japan,JPN,1995,8.816470433
United States,USA,1995,10.63922388
Canada,CAN,1996,37.09843993
Spain,ESP,1996,23.0323608
France,FRA,1996,23.05564473
United Kingdom,GBR,1996,26.36119179
Italy,ITA,1996,23.70468222
Japan,JPN,1996,9.315745084
United States,USA,1996,10.74663556
Canada,CAN,1997,38.13297019
Spain,ESP,1997,25.66978901
France,FRA,1997,25.52319542
United Kingdom,GBR,1997,25.76900688
Italy,ITA,1997,24.14979055
Japan,JPN,1997,10.38369564
United States,USA,1997,11.11975771
Canada,CAN,1998,40.02917476
Spain,ESP,1998,26.10194733
France,FRA,1998,26.12649198
United Kingdom,GBR,1998,24.42962
Italy,ITA,1998,24.06295229
Japan,JPN,1998,10.3738061
United States,USA,1998,10.51526253
Canada,CAN,1999,41.861185
Spain,ESP,1999,26.35150901
France,FRA,1999,26.07653539
United Kingdom,GBR,1999,24.30534255
Italy,ITA,1999,23.20074169
Japan,JPN,1999,9.805539002
United States,USA,1999,10.30933722
Canada,CAN,2000,44.20923582
Spain,ESP,2000,28.56335793
France,FRA,2000,28.59497425
United Kingdom,GBR,2000,25.65982165
Italy,ITA,2000,25.6277321
Japan,JPN,2000,10.4634942
United States,USA,2000,10.69277273
Canada,CAN,2001,42.03995509
Spain,ESP,2001,27.86161916
France,FRA,2001,28.2658952
United Kingdom,GBR,2001,25.54716504
Italy,ITA,2001,25.64901167
Japan,JPN,2001,10.07679996
United States,USA,2001,9.703448209
Canada,CAN,2002,40.05865859
Spain,ESP,2002,26.55399492
France,FRA,2002,27.53105026
United Kingdom,GBR,2002,24.510361
Italy,ITA,2002,24.40746734
Japan,JPN,2002,10.85544561
United States,USA,2002,9.131385654
Canada,CAN,2003,36.8659852
Spain,ESP,2003,25.62890612
France,FRA,2003,26.11196897
United Kingdom,GBR,2003,24.05649057
Italy,ITA,2003,23.30219291
Japan,JPN,2003,11.46580158
United States,USA,2003,9.035652405
Canada,CAN,2004,37.32777131
Spain,ESP,2004,25.41198482
France,FRA,2004,26.46883632
United Kingdom,GBR,2004,24.07228892
Italy,ITA,2004,24.00982842
Japan,JPN,2004,12.78626462
United States,USA,2004,9.628747873
Canada,CAN,2005,36.85670732
Spain,ESP,2005,24.97926904
France,FRA,2005,27.03305104
United Kingdom,GBR,2005,25.27151047
Italy,ITA,2005,24.60109238
Japan,JPN,2005,13.81589572
United States,USA,2005,9.98205641
Canada,CAN,2006,35.40245922
Spain,ESP,2006,25.2413025
France,FRA,2006,27.93505509
United Kingdom,GBR,2006,27.51212944
Italy,ITA,2006,26.17348843
Japan,JPN,2006,15.65737405
United States,USA,2006,10.64138951
Canada,CAN,2007,34.22955516
Spain,ESP,2007,25.98473881
France,FRA,2007,27.85325751
United Kingdom,GBR,2007,25.51156032
Italy,ITA,2007,27.36104225
Japan,JPN,2007,17.28912737
United States,USA,2007,11.4637893
Canada,CAN,2008,34.39500555
Spain,ESP,2008,25.62392917
France,FRA,2008,28.11938486
United Kingdom,GBR,2008,27.50596135
Italy,ITA,2008,26.86277469
Japan,JPN,2008,17.23554338
United States,USA,2008,12.42584392
Canada,CAN,2009,28.51583432
Spain,ESP,2009,23.06169417
France,FRA,2009,24.83554721
United Kingdom,GBR,2009,26.88155103
Italy,ITA,2009,22.39916173
Japan,JPN,2009,12.41956575
United States,USA,2009,10.93221906
Canada,CAN,2010,29.16738193
Spain,ESP,2010,25.95167935
France,FRA,2010,26.78829984
United Kingdom,GBR,2010,28.85674267
Italy,ITA,2010,25.07404985
Japan,JPN,2010,14.91850345
United States,USA,2010,12.34135543
Canada,CAN,2011,30.67839192
Spain,ESP,2011,29.5349622
France,FRA,2011,28.42133748
United Kingdom,GBR,2011,31.38759406
Italy,ITA,2011,26.87246347
Japan,JPN,2011,14.77446226
United States,USA,2011,13.56346378
Canada,CAN,2012,30.35302552
Spain,ESP,2012,31.45511995
France,FRA,2012,29.20302719
United Kingdom,GBR,2012,30.61856843
Italy,ITA,2012,28.37924284
Japan,JPN,2012,14.41477461
United States,USA,2012,13.64405127
Canada,CAN,2013,30.33193867
Spain,ESP,2013,32.95195248
France,FRA,2013,29.36473787
United Kingdom,GBR,2013,30.28942477
Italy,ITA,2013,28.63324308
Japan,JPN,2013,15.78415673
United States,USA,2013,13.55349188
Canada,CAN,2014,31.73657587
Spain,ESP,2014,33.46797623
France,FRA,2014,29.6666845
United Kingdom,GBR,2014,28.57621473
Italy,ITA,2014,29.10882819
Japan,JPN,2014,17.41865535
United States,USA,2014,13.50821421
Canada,CAN,2015,31.84996096
Spain,ESP,2015,33.61086067
France,FRA,2015,30.59262238
United Kingdom,GBR,2015,27.84595067
Italy,ITA,2015,29.71598237
Japan,JPN,2015,17.43675984
United States,USA,2015,12.41114863
Canada,CAN,2016,31.50257241
Spain,ESP,2016,33.8624576
France,FRA,2016,30.24753718
United Kingdom,GBR,2016,28.90233952
Italy,ITA,2016,29.32789075
Japan,JPN,2016,16.05796924
United States,USA,2016,11.88815923
Canada,CAN,2017,31.45441015
Spain,ESP,2017,35.13056434
France,FRA,2017,30.94863319
United Kingdom,GBR,2017,30.89035103
Italy,ITA,2017,30.73373332
Japan,JPN,2017,17.5914391
United States,USA,2017,12.17748103
Canada,CAN,2018,32.32540373
Spain,ESP,2018,35.14506267
France,FRA,2018,31.71366721
United Kingdom,GBR,2018,31.58011136
Italy,ITA,2018,31.3535542
Japan,JPN,2018,18.3149456
United States,USA,2018,12.28711076
Canada,CAN,2019,32.35269582
Spain,ESP,2019,34.90690181
France,FRA,2019,31.59205541
United Kingdom,GBR,2019,31.63478028
Italy,ITA,2019,31.60241973
Japan,JPN,2019,17.46352643
United States,USA,2019,11.79500678
Canada,CAN,2020,29.47364723
Spain,ESP,2020,30.77926024
France,FRA,2020,27.32773557
United Kingdom,GBR,2020,29.69199083
Italy,ITA,2020,29.43227703
Japan,JPN,2020,15.5285155
United States,USA,2020,10.08355786
Canada,CAN,2021,31.21635296
Spain,ESP,2021,34.17642294
France,FRA,2021,30.03499435
United Kingdom,GBR,2021,29.59731253
Italy,ITA,2021,32.11291448
Japan,JPN,2021,18.12547664
United States,USA,2021,10.80797936
Canada,CAN,2022,33.84504756
Spain,ESP,2022,40.87406425
France,FRA,2022,34.68639972
United Kingdom,GBR,2022,33.43046097
Italy,ITA,2022,36.50740165
Japan,JPN,2022,21.54172312
United States,USA,2022,11.63390862
Canada,CAN,2023,33.53640807
Spain,ESP,2023,38.95596725
France,FRA,2023,32.67942635
United Kingdom,GBR,2023,32.17265199
Italy,ITA,2023,35.05454365
Japan,JPN,2023,
United States,USA,2023,
