ITL125CD,ITL125NM,ITL225CD,ITL225NM,ITL325CD,ITL325NM,LAU125CD,LAU125NM,LAD24CD,LAD24NM,ObjectId
TLD,North West (England),TLD6,Cheshire,TLD63,Cheshire West and Chester,E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,41
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E06000006,Halton,E06000006,Halton,42
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E08000011,Knowsley,E08000011,Knowsley,43
TLD,North West (England),TLD7,Merseyside,TLD71,East Merseyside,E08000013,St. Helens,E08000013,St. Helens,44
TLD,North West (England),TLD7,Merseyside,TLD72,Liverpool,E08000012,Liverpool,E08000012,Liverpool,45
TLD,North West (England),TLD7,Merseyside,TLD73,Sefton,E08000014,Sefton,E08000014,Sefton,46
TLD,North West (England),TLD7,Merseyside,TLD74,Wirral,E08000015,Wirral,E08000015,Wirral,47
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE11,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",48
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE12,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,49
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,50
TLE,Yorkshire and The Humber,TLE1,East Yorkshire and Northern Lincolnshire,TLE13,North and North East Lincolnshire,E06000013,North Lincolnshire,E06000013,North Lincolnshire,51
TLE,Yorkshire and The Humber,TLE2,North Yorkshire,TLE21,York,E06000014,York,E06000014,York,52
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000218,North Warwickshire,E07000218,North Warwickshire,53
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000219,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,54
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000220,Rugby,E07000220,Rugby,55
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000221,Stratford-on-Avon,E07000221,Stratford-on-Avon,56
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000222,Warwick,E07000222,Warwick,57
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG21,Telford and Wrekin,E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,58
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG22,Shropshire,E06000051,Shropshire,E06000051,Shropshire,59
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG23,Stoke-on-Trent,E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,60
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000192,Cannock Chase,E07000192,Cannock Chase,61
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000193,East Staffordshire,E07000193,East Staffordshire,62
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000194,Lichfield,E07000194,Lichfield,63
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000195,Newcastle-under-Lyme,E07000195,Newcastle-under-Lyme,64
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000196,South Staffordshire,E07000196,South Staffordshire,65
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000197,Stafford,E07000197,Stafford,66
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000198,Staffordshire Moorlands,E07000198,Staffordshire Moorlands,67
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000199,Tamworth,E07000199,Tamworth,68
TLG,West Midlands (England),TLG3,West Midlands,TLG31,Birmingham,E08000025,Birmingham,E08000025,Birmingham,69
TLG,West Midlands (England),TLG3,West Midlands,TLG32,Solihull,E08000029,Solihull,E08000029,Solihull,70
TLG,West Midlands (England),TLG3,West Midlands,TLG33,Coventry,E08000026,Coventry,E08000026,Coventry,71
TLG,West Midlands (England),TLG3,West Midlands,TLG36,Dudley,E08000027,Dudley,E08000027,Dudley,72
TLG,West Midlands (England),TLG3,West Midlands,TLG37,Sandwell,E08000028,Sandwell,E08000028,Sandwell,73
TLG,West Midlands (England),TLG3,West Midlands,TLG38,Walsall,E08000030,Walsall,E08000030,Walsall,74
TLG,West Midlands (England),TLG3,West Midlands,TLG39,Wolverhampton,E08000031,Wolverhampton,E08000031,Wolverhampton,75
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH21,Luton,E06000032,Luton,E06000032,Luton,76
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH24,Bedford,E06000055,Bedford,E06000055,Bedford,77
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH25,Central Bedfordshire,E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,78
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000095,Broxbourne,E07000095,Broxbourne,79
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000099,North Hertfordshire,E07000099,North Hertfordshire,80
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000241,Welwyn Hatfield,E07000241,Welwyn Hatfield,81
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000242,East Hertfordshire,E07000242,East Hertfordshire,82
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000243,Stevenage,E07000243,Stevenage,83
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000096,Dacorum,E07000096,Dacorum,84
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000098,Hertsmere,E07000098,Hertsmere,85
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000102,Three Rivers,E07000102,Three Rivers,86
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000103,Watford,E07000103,Watford,87
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000240,St Albans,E07000240,St Albans,88
TLH,East (England),TLH3,Essex,TLH31,Southend-on-Sea,E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,89
TLH,East (England),TLH3,Essex,TLH32,Thurrock,E06000034,Thurrock,E06000034,Thurrock,90
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000067,Braintree,E07000067,Braintree,91
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000071,Colchester,E07000071,Colchester,92
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000076,Tendring,E07000076,Tendring,93
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000072,Epping Forest,E07000072,Epping Forest,94
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000073,Harlow,E07000073,Harlow,95
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000077,Uttlesford,E07000077,Uttlesford,96
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000068,Brentwood,E07000068,Brentwood,97
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000070,Chelmsford,E07000070,Chelmsford,98
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000074,Maldon,E07000074,Maldon,99
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000066,Basildon,E07000066,Basildon,100
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000069,Castle Point,E07000069,Castle Point,101
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000075,Rochford,E07000075,Rochford,102
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH41,Peterborough,E06000031,Peterborough,E06000031,Peterborough,103
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000008,Cambridge,E07000008,Cambridge,104
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,E07000178,Oxford,E07000178,Oxford,105
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,E07000179,South Oxfordshire,E07000179,South Oxfordshire,106
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,E07000180,Vale of White Horse,E07000180,Vale of White Horse,107
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ14,Oxfordshire CC,E07000181,West Oxfordshire,E07000181,West Oxfordshire,108
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,E06000036,Bracknell Forest,E06000036,Bracknell Forest,109
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,E06000039,Slough,E06000039,Slough,110
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ15,Berkshire East,E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,111
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,E06000037,West Berkshire,E06000037,West Berkshire,112
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,E06000038,Reading,E06000038,Reading,113
TLJ,South East (England),TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ16,Berkshire West,E06000041,Wokingham,E06000041,Wokingham,114
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ21,Brighton and Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,115
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,E07000061,Eastbourne,E07000061,Eastbourne,116
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,E07000062,Hastings,E07000062,Hastings,117
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,E07000063,Lewes,E07000063,Lewes,118
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,E07000064,Rother,E07000064,Rother,119
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ22,East Sussex CC,E07000065,Wealden,E07000065,Wealden,120
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000207,Elmbridge,E07000207,Elmbridge,121
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000209,Guildford,E07000209,Guildford,122
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000212,Runnymede,E07000212,Runnymede,123
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000213,Spelthorne,E07000213,Spelthorne,124
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000214,Surrey Heath,E07000214,Surrey Heath,125
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000216,Waverley,E07000216,Waverley,126
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ25,West Surrey,E07000217,Woking,E07000217,Woking,127
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,E07000208,Epsom and Ewell,E07000208,Epsom and Ewell,128
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,E07000210,Mole Valley,E07000210,Mole Valley,129
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,E07000211,Reigate and Banstead,E07000211,Reigate and Banstead,130
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ26,East Surrey,E07000215,Tandridge,E07000215,Tandridge,131
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),E07000223,Adur,E07000223,Adur,132
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),E07000224,Arun,E07000224,Arun,133
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),E07000225,Chichester,E07000225,Chichester,134
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ27,West Sussex (South West),E07000229,Worthing,E07000229,Worthing,135
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),E07000226,Crawley,E07000226,Crawley,136
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),E07000227,Horsham,E07000227,Horsham,137
TLJ,South East (England),TLJ2,"Surrey, East and West Sussex",TLJ28,West Sussex (North East),E07000228,Mid Sussex,E07000228,Mid Sussex,138
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ31,Portsmouth,E06000044,Portsmouth,E06000044,Portsmouth,139
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ32,Southampton,E06000045,Southampton,E06000045,Southampton,140
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ34,Isle of Wight,E06000046,Isle of Wight,E06000046,Isle of Wight,141
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,E07000086,Eastleigh,E07000086,Eastleigh,142
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,E07000087,Fareham,E07000087,Fareham,143
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,E07000088,Gosport,E07000088,Gosport,144
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ35,South Hampshire,E07000090,Havant,E07000090,Havant,145
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,E07000085,East Hampshire,E07000085,East Hampshire,146
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,E07000091,New Forest,E07000091,New Forest,147
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,E07000093,Test Valley,E07000093,Test Valley,148
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ36,Central Hampshire,E07000094,Winchester,E07000094,Winchester,149
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane,150
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,E07000089,Hart,E07000089,Hart,151
TLJ,South East (England),TLJ3,Hampshire and Isle of Wight,TLJ37,North Hampshire,E07000092,Rushmoor,E07000092,Rushmoor,152
TLJ,South East (England),TLJ4,Kent,TLJ41,Medway,E06000035,Medway,E06000035,Medway,153
TLJ,South East (England),TLJ4,Kent,TLJ43,Kent Thames Gateway,E07000107,Dartford,E07000107,Dartford,154
TLJ,South East (England),TLJ4,Kent,TLJ43,Kent Thames Gateway,E07000109,Gravesham,E07000109,Gravesham,155
TLJ,South East (England),TLJ4,Kent,TLJ43,Kent Thames Gateway,E07000113,Swale,E07000113,Swale,156
TLJ,South East (England),TLJ4,Kent,TLJ44,East Kent,E07000106,Canterbury,E07000106,Canterbury,157
TLJ,South East (England),TLJ4,Kent,TLJ44,East Kent,E07000108,Dover,E07000108,Dover,158
TLJ,South East (England),TLJ4,Kent,TLJ44,East Kent,E07000112,Folkestone and Hythe,E07000112,Folkestone and Hythe,159
TLJ,South East (England),TLJ4,Kent,TLJ44,East Kent,E07000114,Thanet,E07000114,Thanet,160
TLJ,South East (England),TLJ4,Kent,TLJ45,Mid Kent,E07000105,Ashford,E07000105,Ashford,161
TLJ,South East (England),TLJ4,Kent,TLJ45,Mid Kent,E07000110,Maidstone,E07000110,Maidstone,162
TLJ,South East (England),TLJ4,Kent,TLJ46,West Kent,E07000111,Sevenoaks,E07000111,Sevenoaks,163
TLJ,South East (England),TLJ4,Kent,TLJ46,West Kent,E07000115,Tonbridge and Malling,E07000115,Tonbridge and Malling,164
TLJ,South East (England),TLJ4,Kent,TLJ46,West Kent,E07000116,Tunbridge Wells,E07000116,Tunbridge Wells,165
TLK,South West (England),TLK3,Cornwall and Isles of Scilly,TLK30,Cornwall and Isles of Scilly,E06000052,Cornwall,E06000052,Cornwall,166
TLK,South West (England),TLK3,Cornwall and Isles of Scilly,TLK30,Cornwall and Isles of Scilly,E06000053,Isles of Scilly,E06000053,Isles of Scilly,167
TLK,South West (England),TLK4,Devon,TLK41,Plymouth,E06000026,Plymouth,E06000026,Plymouth,168
TLK,South West (England),TLK4,Devon,TLK42,Torbay,E06000027,Torbay,E06000027,Torbay,169
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000040,East Devon,E07000040,East Devon,170
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000041,Exeter,E07000041,Exeter,171
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000042,Mid Devon,E07000042,Mid Devon,172
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000043,North Devon,E07000043,North Devon,173
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000044,South Hams,E07000044,South Hams,174
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000045,Teignbridge,E07000045,Teignbridge,175
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000046,Torridge,E07000046,Torridge,176
TLK,South West (England),TLK4,Devon,TLK43,Devon CC,E07000047,West Devon,E07000047,West Devon,177
TLK,South West (England),TLK5,West of England,TLK51,"Bristol, City of",E06000023,"Bristol, City of",E06000023,"Bristol, City of",178
TLK,South West (England),TLK5,West of England,TLK52,Bath & North East Somerset and South Gloucestershire,E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,179
TLK,South West (England),TLK5,West of England,TLK52,Bath & North East Somerset and South Gloucestershire,E06000025,South Gloucestershire,E06000025,South Gloucestershire,180
TLK,South West (England),TLK6,"North Somerset, Somerset and Dorset",TLK61,North Somerset,E06000024,North Somerset,E06000024,North Somerset,181
TLK,South West (England),TLK6,"North Somerset, Somerset and Dorset",TLK62,Somerset,E06000066,Somerset,E06000066,Somerset,182
TLK,South West (England),TLK6,"North Somerset, Somerset and Dorset",TLK63,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole",E06000058,"Bournemouth, Christchurch and Poole",183
TLK,South West (England),TLK6,"North Somerset, Somerset and Dorset",TLK64,Dorset,E06000059,Dorset,E06000059,Dorset,184
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK71,Swindon,E06000030,Swindon,E06000030,Swindon,185
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK72,Wiltshire,E06000054,Wiltshire,E06000054,Wiltshire,186
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000078,Cheltenham,E07000078,Cheltenham,187
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000079,Cotswold,E07000079,Cotswold,188
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000080,Forest of Dean,E07000080,Forest of Dean,189
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000081,Gloucester,E07000081,Gloucester,190
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000082,Stroud,E07000082,Stroud,191
TLK,South West (England),TLK7,Gloucestershire and Wiltshire,TLK73,Gloucestershire CC,E07000083,Tewkesbury,E07000083,Tewkesbury,192
TLL,Wales,TLL3,North Wales,TLL31,Isle of Anglesey,W06000001,Isle of Anglesey,W06000001,Isle of Anglesey,193
TLL,Wales,TLL3,North Wales,TLL32,Gwynedd,W06000002,Gwynedd,W06000002,Gwynedd,194
TLL,Wales,TLL3,North Wales,TLL33,Conwy and Denbighshire,W06000003,Conwy,W06000003,Conwy,195
TLL,Wales,TLL3,North Wales,TLL33,Conwy and Denbighshire,W06000004,Denbighshire,W06000004,Denbighshire,196
TLL,Wales,TLL3,North Wales,TLL34,Flintshire and Wrexham,W06000005,Flintshire,W06000005,Flintshire,197
TLL,Wales,TLL3,North Wales,TLL34,Flintshire and Wrexham,W06000006,Wrexham,W06000006,Wrexham,198
TLL,Wales,TLL4,Mid and South West Wales,TLL41,Mid Wales,W06000008,Ceredigion,W06000008,Ceredigion,199
TLL,Wales,TLL4,Mid and South West Wales,TLL41,Mid Wales,W06000023,Powys,W06000023,Powys,200
TLL,Wales,TLL4,Mid and South West Wales,TLL42,South West Wales,W06000009,Pembrokeshire,W06000009,Pembrokeshire,201
TLL,Wales,TLL4,Mid and South West Wales,TLL42,South West Wales,W06000010,Carmarthenshire,W06000010,Carmarthenshire,202
TLL,Wales,TLL4,Mid and South West Wales,TLL43,Swansea,W06000011,Swansea,W06000011,Swansea,203
TLL,Wales,TLL4,Mid and South West Wales,TLL44,Neath Port Talbot,W06000012,Neath Port Talbot,W06000012,Neath Port Talbot,204
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,W06000013,Bridgend,W06000013,Bridgend,205
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,206
TLL,Wales,TLL5,South East Wales,TLL51,Central Valleys and Bridgend,W06000024,Merthyr Tydfil,W06000024,Merthyr Tydfil,207
TLL,Wales,TLL5,South East Wales,TLL52,Cardiff and Vale of Glamorgan,W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,208
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000009,East Cambridgeshire,E07000009,East Cambridgeshire,209
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000010,Fenland,E07000010,Fenland,210
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000011,Huntingdonshire,E07000011,Huntingdonshire,211
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000012,South Cambridgeshire,E07000012,South Cambridgeshire,212
