date,value,source
2012-10-01,478,
2012-11-01,479,
2012-12-01,476,
2013-01-01,475,
2013-02-01,475,
2013-03-01,465,
2013-04-01,489,
2013-05-01,479,
2013-06-01,477,
2013-07-01,475,
2013-08-01,474,
2013-09-01,474,
2013-10-01,473,
2013-11-01,473,
2013-12-01,473,
2014-01-01,474,
2014-02-01,477,
2014-03-01,465,
2014-04-01,473,
2014-05-01,473,
2014-06-01,472,
2014-07-01,470,
2014-08-01,471,
2014-09-01,474,
2014-10-01,476,
2014-11-01,476,
2014-12-01,480,
2015-01-01,478,
2015-02-01,482,
2015-03-01,483,
2015-04-01,483,
2015-05-01,483,
2015-06-01,482,
2015-07-01,484,
2015-08-01,484,
2015-09-01,483,
2015-10-01,484,
2015-11-01,484,
2015-12-01,486,
2016-01-01,488,
2016-02-01,486,
2016-03-01,488,
2016-04-01,494,
2016-05-01,491,
2016-06-01,490,
2016-07-01,492,
2016-08-01,490,
2016-09-01,489,
2016-10-01,490,
2016-11-01,491,
2016-12-01,487,
2017-01-01,487,
2017-02-01,488,
2017-03-01,489,
2017-04-01,488,
2017-05-01,488,
2017-06-01,493,
2017-07-01,488,
2017-08-01,489,
2017-09-01,490,
2017-10-01,488,
2017-11-01,488,
2017-12-01,488,
2018-01-01,486,
2018-02-01,488,
2018-03-01,491,
2018-04-01,491,
2018-05-01,490,
2018-06-01,492,
2018-07-01,492,
2018-08-01,494,
2018-09-01,493,
2018-10-01,497,
2018-11-01,493,
2018-12-01,493,
2019-01-01,494,
2019-02-01,495,
2019-03-01,496,
2019-04-01,500,
2019-05-01,501,
2019-06-01,502,
2019-07-01,503,
2019-08-01,502,
2019-09-01,504,
2019-10-01,502,
2019-11-01,501,
2019-12-01,498,
2020-01-01,500,
2020-02-01,498,
2020-03-01,494,
2020-04-01,492,
2020-05-01,493,
2020-06-01,491,
2020-07-01,497,
2020-08-01,509,
2020-09-01,512,
2020-10-01,516,
2020-11-01,522,
2020-12-01,519,
2021-01-01,516,
2021-02-01,514,
2021-03-01,509,
2021-04-01,527,
2021-05-01,527,
2021-06-01,522,
2021-07-01,523,
2021-08-01,522,
2021-09-01,521,
2021-10-01,520,
2021-11-01,517,
2021-12-01,525,
2022-01-01,518,
2022-02-01,516,
2022-03-01,527,
2022-04-01,513,
2022-05-01,511,
2022-06-01,513,
2022-07-01,508,
2022-08-01,509,
2022-09-01,506,
2022-10-01,506,
2022-11-01,506,
2022-12-01,505,
2023-01-01,505,
2023-02-01,506,
2023-03-01,510,
2023-04-01,512,
2023-05-01,512,
2023-06-01,522,
2023-07-01,516,
2023-08-01,514,
2023-09-01,515,
2023-10-01,512,
2023-11-01,513,
2023-12-01,513,
2024-01-01,513,
2024-02-01,516,
2024-03-01,518,
