"Government expenditure, percent of GDP (% of GDP)",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.30875521,18.21583649,19.78107414,21.32635322,22.24903552,23.69049425,26.83746956,26.31279303,28.95868035,33.6136243,34.68221852,31.11795535,35.41805075,30.8582779,33.67696764,34.66620027,32.52824859,32.15722805,29.52847121,30.38892671,31.19004977,30.27289505,27.83038108,29.74076375,29.02032985,29.32333764,26.64753299,26.99529614,35.8275126,38.16121874,38.1028166,44.91613071,55.21753981
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.38720826,21.09796036,19.91122794,18.19950001,19.02827452,16.49721845,17.96411923,18.29664052,21.55022765,18.73698045,19.01923413,18.8304833,19.04058421,18.57329524,20.88350154,20.92518291,22.03573543,23.00666722,22.48615033,22.49714821,25.28568317,24.41223925,22.18132842,22.34558797,24.27237478,25.89948093,26.85253798,27.72608407,25.08484658,23.38490186,23.50665216,22.62669107,23.10280359,23.12529999,25.03658647,33.05210505,27.0440079,23.27626554
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.08115883,21.37305313,22.25397361,23.69529174,24.84539936,27.64757518,23.6584107,26.24045204,25.93799048,22.80241635,22.95469574,20.25231665,21.17322015,26.39353345,25.39772635,25.4693615,23.7831993,24.39685463,25.71075697,25.98095289,24.85242486,26.70133034,26.07408475,27.12074459,28.31908988,31.02195466,31.05251,29.37298963,26.34973647,29.47930937,30.43041658,27.58617316,27.05233507,28.36723385,26.90617646,29.56038759,33.22851359,37.85299406,37.00862137
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.94585763,41.1651847,37.73156748,33.7941252,32.41309936,33.34230912,35.59816711,34.5307481,30.31478794,33.13314975,36.939241,35.86381875,33.11597883,31.09398898,28.15070541,27.26903678,29.45289666,26.67965636,37.06573232,33.01158642,32.58083827,32.96976574,35.18702394,39.67630813,39.88308622,34.4549385,32.06712295,33.97970636,33.67656505,39.06762186,31.89652579,28.22763998
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.89828363,14.44041139,15.37756712,14.05771941,13.46870211,14.62399695,13.98160278,15.71234507,15.51507552,17.0699506,18.14490404,18.66902243,21.28355096,22.17195829,20.93858658,21.11859737,21.69869107,23.25146071,22.97151722,22.09029363,23.09986474,22.94690564,23.96309153,22.4630224,22.55234976,24.19223168,26.56370612,25.79587138,26.57263525
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.93030517,50.52897669,53.0417462,58.00521868,49.70279078,46.7470416,51.67344567,46.06273194,52.10342912,50.71132721,60.35408861,63.64745263,53.09576133,59.11044596,54.74516716,60.69773592,56.12604226,55.40907603,46.84238284,56.31546165,44.62770012,39.89550074,38.97971012,43.55089103,41.89645407,26.98863412,32.11741087,34.57591316,36.33647474,38.60127382,37.79232874,32.70495227,31.11626464,34.30382241,32.25043808,32.6744238,30.94545006,45.91582037,38.38388922,32.4184556
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.3677919,53.27009486,48.70993858,45.85080354,47.96613431,52.77232945,45.30664385,45.44716645,40.37946455,37.91992238,39.72617935,38.82071773,36.38061976,36.99438989,44.40764172,42.14031016,41.35455759,41.10882098,42.47436326,43.25691348,45.56348751,42.54576375,39.49490905,39.66951804,40.53344234,44.75170641,45.57391396,42.27934035
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.10298462,45.14665811,45.37057782,46.21673029,47.01856431,47.53382733,48.71168023,47.26140832,47.15479848,46.627359,46.3937816,45.53912737,43.40969678,45.0525633,49.36105189,50.17586123,50.85648136,49.3544036,60.26723871,50.84218386,48.71051101,46.16276655,44.07004671,43.46928588,43.37670304,51.35434447,49.46134953,47.03608315
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.240675,17.32194844,20.0628778,20.39178325,23.31935907,17.77080204,21.61377833,23.15823053,26.93814942,29.16110864,38.08628533,34.77824788,40.14848163,41.66614218,38.66585343,37.48690048,36.31538955,35.42045358,36.79703191,38.71914432,37.35691672,32.56498844,33.71591178,33.42868794,31.54890206,33.52572228
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.9119997,22.50819969,23.64819908,15.39360046,15.84000015,16.39419937,15.62129974,18.53050041,20.16290092,20.04560089,18.44860077,17.58279991,17.61639977,17.83779907,17.06900024,16.47249985,16.89480019,18.76589966,19.91950035,20.30039978,21.12989998,19.76709938,18.22669983,17.2098999,15.94589996,17.2038002,17.75790024,28.30800056,26.24209976,29.01300049,29.62179947,29.6576004,28.46199989,24.99699974,22.70420074,24.24939919,23.82740021,19.24679947,18.41270065,21.51210022,21.19779968,18.66110039,18.57819939,17.06959915,17.8654995,18.75819969,18.2833004,16.65259933,15.71590042,15.94569969,15.90639973,11.26720047,18.21750069,18.25250053,18.79759979,19.44050026,18.81259918,20.04990005,19.90200043,22.9218998,21.04210091,19.05780029,21.24880028,23.0345993,27.32699966,26.81399918,26.47579956,21.83959961,23.2609005,23.76849937,25.11919975,25.22970009,26.80290031,27.77869987,27.9993,23.85350037,29.60149956,28.70219994,27.80290031,29.82069969,29.09889984,31.31999969,27.18479919,28.48110008,27.85350037,27.07349968,26.66889954,22.64644389,22.62016839,22.21331159,22.61884787,22.70767818,25.14036745,24.66660211,24.42855584,26.00853164,28.45742681,28.28095975,28.06130253,28.61868327,28.9100835,29.32105957,30.16409016,29.90856691,29.8599594,30.1522855,31.39381142,34.57348009,32.58731447,32.46580024
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.455319881,7.734809875,7.841790199,6.837110043,7.158919811,7.468220234,8.663809776,9.620019913,9.398779869,9.227199554,10.6729002,11.15670013,10.31340027,10.49989986,15.87520027,11.7560997,9.63891983,11.82380009,14.63739967,14.19740009,15.29310036,11.18560028,9.478409767,6.302629948,10.11439991,10.50510025,15.24619961,10.48989964,11.60280037,9.430190086,8.678279877,11.77029991,8.141630173,8.733750343,8.921250343,9.342599869,9.188139915,9.737660408,8.970129967,8.371089935,9.244170189,9.054590225,9.007499695,8.46833992,9.547860146,8.611660004,10.15320015,10.16839981,9.791009903,8.139530182,8.520179749,8.779899597,9.086549759,9.019989967,8.301440239,8.484740257,8.646780014,8.457960129,8.434439659,9.015720367,9.951230049,9.176639557,9.648779869,11.28439999,10.99989986,15.88490009,11.41559982,13.56019974,9.884480476,13.93060017,12.11639977,19.64459991,13.29839993,15.22809982,14.4677,11.81770039,11.92070007,10.41660023,12.88609982,12.38140011,10.55379963,10.83699989,13.55070019,14.93560028,13.91419983,12.86270046,no data,no data,no data,no data,19.64970016,19.72120094,15.75409985,25.84119987,21.22640038,21.74349976,13.79819965,13.92099953,11.12689972,11.28719997,11.67010021,8.703089714,9.087940216,8.466990471,8.782569885,8.948740005,9.121850014,8.065159798,10.91090012,10.49250031,11.01599979,9.973600388,10.56050014,12.37059975,12.72290039,14.02830029,11.75139999,12.48519993,12.81610012,12.26949978,12.25329971,13.95940018,12.49209976,9.884449959,11.40989971,11.37279987,11.49279976,12.82699966,14.33549976,14.32970047,16.3355999,18.13629913,21.47529984,25.96109962,27.0454998,27.62709999,28.39069939,31.14599991,28.64019966,32.09249878,32.75120163,30.20770073,33.79460144,41.23910141,32.59489822,44.4632988,43.23260117,41.65209961,41.08750153,39.92979813,39.19469833,38.65919876,38.90819931,38.41009903,38.88779831,38.43640137,38.35010147,39.21179962,41.45700073,46.26309967,45.62220001,46.15464159,49.47047049,46.38734879,45.33307896,44.04828159,42.46226737,41.31340259,41.81253785,42.28394244,51.90042984,49.97701037,47.11139599
Sri Lanka,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.35264482,26.4219815,23.02830901,23.17653066,24.1018851,24.76406271,23.096941,21.40540144,21.37325469,20.5099045,21.73224655,22.40623447,20.80152239,19.34448909,19.26637969,20.14545988,20.52297545,19.87563504,19.08661078,21.01211489,19.31026098,19.13164003,17.31499479,16.60928983,17.17109444,19.26880354,18.21499833,17.88419371,17.54324895,19.45318081,20.95328754,20.00964568,18.52160472
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.96500862,45.70000289,50.42081622,23.68570875,19.55146613,12.87801379,9.305089076,7.380384509,7.789469307,8.395855651,10.36163795,9.866310688,10.54064285,12.54346021,16.51169464,19.74966108,18.82358559,19.5833154,19.71183549,18.75479889,17.35109907,18.23295943,16.48162125,15.32352358,13.51041309,12.37844585,9.976238018,12.81240776,16.83968424,18.65514572,10.7282547,9.745163149,17.70130986
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.67172683,26.64137044,24.42855968,21.15222717,19.75799041,20.24400469,21.39011837,21.11012936,30.3450535,19.61341391,24.36234151,21.83755099,22.1987254,19.1770309,20.81280736,22.20545532,22.20874539,22.58193248,20.49941763,24.02134583,21.02682468,21.0488122,26.65165299,26.87071507,27.19863617,29.14417858,27.06287647,27.19899002,26.15178126,40.82372265,30.49203127,33.80428644,30.90707306
Sweden,6.343307018,5.446875095,5.28484869,7.122656345,8.147619247,7.655147076,7.053846359,6.774509907,15.64319515,12.5730772,9.613333702,7.002790928,5.011023521,13.01183224,12.38455868,5.205036163,5.695070267,5.268275738,5.685616493,5.882724285,5.355445385,6.322377682,6.058362961,5.527681828,6.141034603,5.633881569,5.994603157,5.847747803,5.633122921,4.073040962,6.835866451,6.381321907,5.95654583,5.895750523,6.00449419,5.733780384,6.096850395,6.673007488,6.300510406,5.766267776,5.721411228,5.737590313,5.654976368,5.319103718,4.948578358,5.442080498,5.377024174,5.148847103,5.105317116,5.371663094,5.09163332,5.457864285,5.487356186,4.951272964,5.059164047,4.846393108,4.884414196,4.954309464,6.646563053,6.586710453,6.515558243,5.922475815,6.13828516,6.610635757,7.444779396,7.311123848,7.986885071,5.895725727,6.384051323,6.050880909,5.957632542,5.727173805,5.619606018,5.38478899,6.746072769,7.03655386,6.909003258,7.090992451,8.258859634,7.652941227,6.772761822,6.628853321,6.015947342,6.13406229,6.281811714,6.597318649,7.635403633,8.012038231,7.226448059,6.866048336,6.844136238,7.14983511,6.951708794,7.072886944,7.092773438,6.504876614,7.876467228,6.421802521,6.356181622,6.62288475,7.232897758,7.955064297,8.45055294,7.946396351,8.57023716,8.551695824,7.785435677,7.841030598,9.113387108,9.399999619,8.484726906,8.321791649,7.131421089,6.683840275,6.938837528,9.312419891,7.790094852,9.977894783,18.17746544,7.911856174,7.633423328,11.97985744,11.55152416,5.319420815,9.578477859,9.482702255,9.244506836,9.44642067,8.499367714,8.69069767,8.725387573,9.609589577,11.22886944,13.64403534,11.13552189,12.10327148,10.9175787,10.37884426,11.77623272,13.14215088,22.72519302,27.44289398,26.35168839,26.77171326,26.40675926,26.04380035,17.74287224,16.64380455,17.18078804,19.48263359,18.27738571,17.02782631,19.17865944,21.85791588,21.49624825,21.2011795,21.55479813,22.25090027,24.0443573,24.28358078,24.43450928,23.70198441,23.37260437,24.35606956,23.38292503,24.59205246,26.47860718,27.73480034,28.34302902,28.71349907,29.5147934,29.8346653,31.94180489,31.06224442,30.06868744,30.56516647,32.34024048,35.66090012,39.10068893,39.87851715,41.02310181,46.09653854,46.35728073,48.61228943,46.71177673,47.59448242,42.13570786,40.91618729,37.90259552,35.80357742,37.95822525,40.97883606,45.87023926,69.4,67.1,63,61,58.7,56.4,56,53.1,52.5,53.6,53.8,52.5,52.3,51.1,49.3,50,52.4,50.4,48.73597906,49.9048646,50.61264754,49.67841552,48.39013067,48.75741529,48.24074927,48.78760791,48.10564916,51.02307455,48.15649447,47.3225784
