country,year,debt_gdp,gdp,debt,iso3,short_country,id
Greece,2023,1.68,242.385,407.2068,GRC,Greece,300
Grenada,2023,0.602,1.306,0.786212,GRD,Grenada,308
Guatemala,2023,0.28300000000000003,102.765,29.082495,GTM,Guatemala,320
Guinea,2023,0.316,23.205,7.33278,GIN,Guinea,324
Guinea-Bissau,2023,0.7390000000000001,1.991,1.4713490000000002,GNB,Guinea-Bissau,624
Guyana,2023,0.299,16.329,4.882371,GUY,Guyana,328
Haiti,2023,0.196,25.986,5.093256,HTI,Haiti,332
Honduras,2023,0.46299999999999997,33.992,15.738295999999998,HND,Honduras,340
Hong Kong SAR,2023,0.061,385.546,23.518306,HKG,Hong Kong,344
Hungary,2023,0.687,203.829,140.03052300000002,HUN,Hungary,348
Iceland,2023,0.612,30.57,18.70884,ISL,Iceland,352
India,2023,0.8190000000000001,3732.224,3056.6914560000005,IND,India,356
Indonesia,2023,0.39,1417.387,552.78093,IDN,Indonesia,360
Iran,2023,0.306,366.438,112.130028,IRN,Iran,364
Iraq,2023,0.49200000000000005,254.993,125.456556,IRQ,Iraq,368
Ireland,2023,0.42700000000000005,589.569,251.74596300000002,IRL,Ireland,372
Israel,2023,0.5820000000000001,521.688,303.62241600000004,ISR,Israel,376
Italy,2023,1.4369999999999998,2186.082,3141.3998339999994,ITA,Italy,380
Jamaica,2023,0.723,18.761,13.564203,JAM,Jamaica,388
Japan,2023,2.552,4230.862,10797.159824,JPN,Japan,392
Jordan,2023,0.938,50.022,46.920635999999995,JOR,Jordan,400
Kazakhstan,2023,0.23399999999999999,259.292,60.67432799999999,KAZ,Kazakhstan,398
Kenya,2023,0.7020000000000001,112.749,79.149798,KEN,Kenya,404
Kiribati,2023,0.131,0.246,0.032226,KIR,Kiribati,296
"Korea, Republic of",2023,0.5429999999999999,1709.232,928.1129759999999,KOR,"Korea, Republic of",410
Kosovo,2023,0.213,10.469,2.229897,SRB,Serbia,688
Kuwait,2023,0.034,159.687,5.429358000000001,KWT,Kuwait,414
Kyrgyz Republic,2023,0.47,12.681,5.960069999999999,KGZ,Kyrgyzstan,417
Latvia,2023,0.406,46.668,18.947208,LVA,Latvia,428
Lesotho,2023,0.613,2.373,1.454649,LSO,Lesotho,426
Liberia,2023,0.523,4.347,2.2734810000000003,LBR,Liberia,430
Lithuania,2023,0.361,79.427,28.673147,LTU,Lithuania,440
Luxembourg,2023,0.276,89.095,24.590220000000002,LUX,Luxembourg,442
Macao SAR,2023,0.0,38.48,0.0,MAC,Macao,446
Madagascar,2023,0.54,15.763,8.51202,MDG,Madagascar,450
Malawi,2023,0.7859999999999999,13.176,10.356335999999999,MWI,Malawi,454
Malaysia,2023,0.669,430.895,288.268755,MYS,Malaysia,458
Maldives,2023,1.103,6.977,7.6956310000000006,MDV,Maldives,462
Mali,2023,0.518,21.309,11.038062,MLI,Mali,466
Malta,2023,0.541,20.311,10.988251,MLT,Malta,470
Marshall Islands,2023,0.18100000000000002,0.277,0.05013700000000001,MHL,Marshall Islands,584
Mauritania,2023,0.495,10.357,5.126715,MRT,Mauritania,478
Mauritius,2023,0.797,14.819,11.810743,MUS,Mauritius,480
Mexico,2023,0.527,1811.468,954.6436360000001,MEX,Mexico,484
Moldova,2023,0.35100000000000003,16.0,5.6160000000000005,MDA,"Moldova, Republic of",498
Mongolia,2023,0.6990000000000001,18.782,13.128618000000001,MNG,Mongolia,496
Montenegro,2023,0.6579999999999999,7.058,4.644163999999999,MNE,Montenegro,499
Morocco,2023,0.6970000000000001,147.343,102.698071,MAR,Morocco,504
Mozambique,2023,0.897,21.936,19.676592,MOZ,Mozambique,508
Myanmar,2023,0.575,74.861,43.045075,MMR,Myanmar,104
Namibia,2023,0.6759999999999999,12.647,8.549372,NAM,Namibia,516
Nauru,2023,0.29100000000000004,0.15,0.04365,NRU,Nauru,520
Nepal,2023,0.467,41.339,19.305313,NPL,Nepal,524
Netherlands,2023,0.495,1092.748,540.91026,NLD,Netherlands,528
New Zealand,2023,0.461,249.415,114.980315,NZL,New Zealand,554
Nicaragua,2023,0.415,17.353,7.201495,NIC,Nicaragua,558
Niger,2023,0.48700000000000004,17.073,8.314551000000002,NER,Niger,562
Nigeria,2023,0.38799999999999996,390.002,151.320776,NGA,Nigeria,566
North Macedonia,2023,0.516,15.801,8.153316,MKD,North Macedonia,807
Norway,2023,0.374,546.768,204.491232,NOR,Norway,578
Oman,2023,0.382,108.282,41.363724,OMN,Oman,512
Pakistan,2023,0.7659999999999999,340.636,260.927176,PAK,Pakistan,586
Palau,2023,0.8540000000000001,0.267,0.22801800000000003,PLW,Palau,585
Panama,2023,0.528,82.348,43.479744000000004,PAN,Panama,591
Papua New Guinea,2023,0.495,31.692,15.68754,PNG,Papua New Guinea,598
Paraguay,2023,0.409,44.142,18.054078,PRY,Paraguay,600
Peru,2023,0.33899999999999997,264.636,89.711604,PER,Peru,604
Philippines,2023,0.5760000000000001,435.675,250.94880000000003,PHL,Philippines,608
Poland,2023,0.498,842.172,419.401656,POL,Poland,616
Portugal,2023,1.083,276.432,299.375856,PRT,Portugal,620
Puerto Rico,2023,0.16699999999999998,117.515,19.625004999999998,PRI,Puerto Rico,630
Qatar,2023,0.414,235.5,97.497,QAT,Qatar,634
Romania,2023,0.51,350.414,178.71114,ROU,Romania,642
Russian Federation,2023,0.212,1862.47,394.84364,RUS,Russia,643
Rwanda,2023,0.633,13.927,8.815790999999999,RWA,Rwanda,646
Saint Kitts and Nevis,2023,0.532,1.069,0.568708,KNA,Saint Kitts and Nevis,659
Saint Lucia,2023,0.742,2.469,1.8319979999999998,LCA,Saint Lucia,662
Saint Vincent and the Grenadines,2023,0.862,1.039,0.8956179999999999,VCT,Saint Vincent and the Grenadines,670
Samoa,2023,0.36200000000000004,0.939,0.339918,WSM,Samoa,882
San Marino,2023,0.74,1.998,1.47852,SMR,San Marino,674
Saudi Arabia,2023,0.24100000000000002,1069.437,257.734317,SAU,Saudi Arabia,682
Senegal,2023,0.81,31.141,25.22421,SEN,Senegal,686
Serbia,2023,0.513,75.015,38.482695,SRB,Serbia,688
Seychelles,2023,0.608,2.085,1.26768,SYC,Seychelles,690
Sierra Leone,2023,0.889,3.519,3.128391,SLE,Sierra Leone,694
Singapore,2023,1.679,497.347,835.045613,SGP,Singapore,702
Slovak Republic,2023,0.5670000000000001,133.044,75.43594800000001,SVK,Slovakia,703
Slovenia,2023,0.685,68.394,46.84989000000001,SVN,Slovenia,705
Solomon Islands,2023,0.222,1.69,0.37518,SLB,Solomon Islands,90
South Africa,2023,0.737,380.906,280.72772199999997,ZAF,South Africa,710
"South Sudan, Republic of",2023,0.604,6.267,3.7852680000000003,SSD,South Sudan,728
Spain,2023,1.073,1582.054,1697.543942,ESP,Spain,724
Sudan,2023,2.56,25.569,65.45664,SDN,Sudan,729
Suriname,2023,1.07,3.539,3.7867300000000004,SUR,Suriname,740
Sweden,2023,0.32299999999999995,597.11,192.86652999999998,SWE,Sweden,752
Switzerland,2023,0.395,905.684,357.74518,CHE,Switzerland,756
São Tomé and Príncipe,2023,0.585,0.674,0.39429,STP,Sao Tome and Principe,678
Taiwan Province of China,2023,0.266,751.93,200.01337999999998,TWN,"Taiwan, Province of China",158
Tajikistan,2023,0.335,11.816,3.9583600000000003,TJK,Tajikistan,762
Tanzania,2023,0.426,84.033,35.798058,TZA,"Tanzania, United Republic of",834
Thailand,2023,0.614,512.193,314.486502,THA,Thailand,764
Timor-Leste,2023,0.16399999999999998,2.023,0.33177199999999996,TLS,Timor-Leste,626
Togo,2023,0.672,9.111,6.122592000000001,TGO,Togo,768
Tonga,2023,0.41100000000000003,0.547,0.22481700000000004,TON,Tonga,776
Trinidad and Tobago,2023,0.525,27.887,14.640675000000002,TTO,Trinidad and Tobago,780
Tunisia,2023,0.778,51.271,39.888838,TUN,Tunisia,788
Turkmenistan,2023,0.051,81.822,4.172922,TKM,Turkmenistan,795
Tuvalu,2023,0.08,0.063,0.00504,TUV,Tuvalu,798
"Türkiye, Republic of",2023,0.344,1154.6,397.1823999999999,TUR,Turkey,792
Uganda,2023,0.483,52.39,25.30437,UGA,Uganda,800
Ukraine,2023,0.8809999999999999,173.413,152.776853,UKR,Ukraine,804
United Arab Emirates,2023,0.294,509.179,149.698626,ARE,United Arab Emirates,784
United Kingdom,2023,1.041,3332.059,3468.6734189999997,GBR,United Kingdom,826
United States,2023,1.2329999999999999,26949.643,33228.90981899999,USA,United States,840
Uruguay,2023,0.616,76.244,46.966304,URY,Uruguay,858
Uzbekistan,2023,0.35100000000000003,90.392,31.727592,UZB,Uzbekistan,860
Vanuatu,2023,0.46799999999999997,1.166,0.545688,VUT,Vanuatu,548
Vietnam,2023,0.34,433.356,147.34104000000002,VNM,Viet Nam,704
Yemen,2023,0.664,21.045,13.973880000000001,YEM,Yemen,887
Zimbabwe,2023,0.9540000000000001,32.424,30.932496,ZWE,Zimbabwe,716
