id,name,nominal,pct
17421,Saujon,55 ,0.2
17434,Surgères,126 ,0.4
17452,La Tremblade,20 ,0.1
18003,Les Aix-d'Angillon,< 20,0.1
18015,Aubigny-sur-Nère,< 20,0.1
18033,Bourges,64 ,0.1
18057,Châteaumeillant,138 ,1.4
18087,Dun-sur-Auron,< 20,0.1
18108,La Guerche-sur-l'Aubois,< 20,0.0
18109,Henrichemont,s,s
18141,Mehun-sur-Yèvre,< 20,0.1
18197,Saint-Amand-Montrond,41 ,0.1
18207,Saint-Florent-sur-Cher,< 20,0.0
18241,Sancerre,< 20,0.1
18242,Sancoins,50 ,0.6
18279,Vierzon,46 ,0.1
19005,Allassac,< 20,0.0
19010,Argentat,121 ,1.3
19019,Beaulieu-sur-Dordogne,s,s
19028,Bort-les-Orgues,< 20,0.1
19031,Brive-la-Gaillarde,73 ,0.1
19073,Égletons,54 ,0.4
19121,Lubersac,159 ,1.9
19136,Meymac,s,s
19138,Meyssac,76 ,1.3
19148,Neuvic,s,s
19153,Objat,125 ,0.9
19269,Treignac,156 ,3.1
19272,Tulle,62 ,0.2
19275,Ussel,35 ,0.2
19276,Uzerche,237 ,1.4
2A004,Ajaccio,33 ,0.0
2A130,Grosseto-Prugna,< 20,0.1
2A247,Porto-Vecchio,< 20,0.0
2A249,Propriano,< 20,0.0
2B033,Bastia,< 20,0.0
2B050,Calvi,39 ,0.2
2B096,Corte,< 20,0.0
2B123,Ghisonaccia,< 20,0.0
2B207,Penta-di-Casinca,< 20,0.0
21023,Arnay-le-Duc,32 ,0.4
21038,Auxonne,< 20,0.1
21054,Beaune,80 ,0.2
21154,Châtillon-sur-Seine,67 ,0.3
21231,Dijon,198 ,0.1
21292,Genlis,< 20,0.0
21317,Is-sur-Tille,< 20,0.1
21425,Montbard,28 ,0.2
21464,Nuits-Saint-Georges,24 ,0.1
21501,Pouilly-en-Auxois,77 ,0.8
21554,Saint-Jean-de-Losne,31 ,0.2
21584,Saulieu,60 ,0.5
21603,Semur-en-Auxois,55 ,0.4
21607,Seurre,< 20,0.1
21663,Venarey-les-Laumes,30 ,0.3
22004,Bégard,170 ,0.9
22007,Binic,33 ,0.2
22020,Broons,197 ,1.6
22025,Callac,602 ,7.8
22046,Le Mené,171 ,2.4
22050,Dinan,453 ,0.7
22054,Erquy,s,s
22070,Guingamp,263 ,0.7
22093,Lamballe-Armor,119 ,0.3
22113,Lannion,93 ,0.1
22121,Lanvollon,24 ,0.3
22136,Loudéac,555 ,1.5
22143,Matignon,59 ,0.4
22147,Merdrignac,201 ,3.0
22162,Paimpol,58 ,0.2
22172,Plancoët,145 ,0.9
22186,Pléneuf-Val-André,< 20,0.1
22194,Plestin-les-Grèves,134 ,0.9
22203,Ploeuc-sur-Lié,55 ,0.9
22206,Châtelaudren-Plouagat,21 ,0.2
22207,Plouaret,43 ,0.7
22222,Plouha,< 20,0.2
22251,Pordic,< 20,0.1
22262,Quintin,75 ,0.4
22266,Rostrenen,945 ,4.7
22278,Saint-Brieuc,62 ,0.1
22362,Tréguier,84 ,0.5
23008,Aubusson,337 ,1.5
23013,Auzances,127 ,1.4
23030,Bourganeuf,300 ,3.3
23031,Boussac,184 ,2.1
23075,Dun-le-Palestel,186 ,3.1
23076,Évaux-les-Bains,105 ,1.4
23096,Guéret,359 ,0.9
23176,La Souterraine,747 ,3.3
24035,Belvès,159 ,2.3
24037,Bergerac,909 ,1.1
24064,Brantôme,220 ,2.0
24067,Le Bugue,364 ,2.8
24164,Excideuil,354 ,2.7
24167,Eymet,851 ,9.0
24223,Lalinde,413 ,2.7
24291,Montignac,176 ,1.8
24294,Montpon-Ménestérol,219 ,1.3
24299,Mussidan,138 ,1.3
24309,Neuvic,142 ,1.3
24311,Nontron,838 ,5.2
24322,Périgueux,149 ,0.2
24352,Ribérac,1.223 ,4.8
24354,La Roche-Chalais - Saint-Aigulin,193 ,2.1
24372,Saint-Astier,58 ,0.4
24396,Saint-Cyprien,s,s
24520,Sarlat-la-Canéda,342 ,1.2
24547,Terrasson-Lavilledieu,114 ,0.6
24551,Thiviers,304 ,2.7
24571,Vergt,40 ,0.8
25047,Baume-les-Dames,< 20,0.0
25056,Besançon,71 ,0.0
25315,L'Isle-sur-le-Doubs,< 20,0.0
25334,Levier,s,s
25356,Maîche,< 20,0.0
25388,Montbéliard,30 ,0.0
25411,Morteau,< 20,0.0
25434,Ornans,< 20,0.1
25462,Pontarlier,23 ,0.0
25463,Pont-de-Roide-Vermondans,< 20,0.0
25527,Saint-Vit,< 20,0.0
25532,Saône,< 20,0.0
25578,Valdahon,< 20,0.0
26037,Beaumont-lès-Valence,< 20,0.1
26063,Buis-les-Baronnies,59 ,1.0
26064,Chabeuil,< 20,0.0
26108,Crest,48 ,0.2
26113,Die,50 ,0.4
26114,Dieulefit,28 ,0.4
26116,Donzère,< 20,0.0
26165,Livron-sur-Drôme,< 20,0.1
26198,Montélimar,61 ,0.1
26220,Nyons,67 ,0.5
26235,Pierrelatte,< 20,0.0
26281,Romans-sur-Isère,44 ,0.1
26301,Saint-Donat-sur-l'Herbasse,< 20,0.0
26307,Saint-Jean-en-Royans,< 20,0.1
26324,Saint-Paul-Trois-Châteaux,26 ,0.2
26325,Saint-Rambert-d'Albon,< 20,0.0
26333,Saint-Vallier,< 20,0.0
26362,Valence,47 ,0.0
27016,Les Andelys,< 20,0.1
27051,Beaumont-le-Roger,24 ,0.1
27056,Bernay,44 ,0.2
27103,Bourg-Achard,< 20,0.0
27112,Breteuil,< 20,0.1
27116,Brionne,23 ,0.1
27165,Conches-en-Ouche,< 20,0.0
27198,Mesnils-sur-Iton,< 20,0.0
27226,Étrépagny,< 20,0.0
27229,Évreux,25 ,0.0
27230,Ézy-sur-Eure,20 ,0.1
27246,Fleury-sur-Andelle,< 20,0.1
27275,Gaillon,< 20,0.0
27284,Gisors,< 20,0.0
27375,Louviers,41 ,0.1
27428,Le Neubourg,< 20,0.0
27448,Pacy-sur-Eure,20 ,0.1
27467,Pont-Audemer,127 ,0.2
27469,Pont-de-l'Arche,< 20,0.0
27493,Romilly-sur-Andelle,< 20,0.0
27507,Saint-André-de-l'Eure,< 20,0.0
27679,Verneuil-sur-Avre,22 ,0.1
27681,Vernon,50 ,0.1
28015,Auneau,< 20,0.0
28051,Bonneval,< 20,0.0
28061,Brou,< 20,0.1
28085,Chartres,68 ,0.1
28088,Châteaudun,< 20,0.1
28089,Châteauneuf-en-Thymerais,< 20,0.0
28103,Cloyes-sur-le-Loir,< 20,0.1
28116,Courville-sur-Eure,< 20,0.1
28134,Dreux,< 20,0.0
28140,Épernon,58 ,0.3
28196,Illiers-Combray,< 20,0.0
28199,Janville,< 20,0.0
28214,La Loupe,< 20,0.1
28227,Maintenon,< 20,0.1
28279,Nogent-le-Roi,< 20,0.1
28280,Nogent-le-Rotrou,36 ,0.1
28348,Saint-Lubin-des-Joncherets - Nonancourt,< 20,0.1
28373,Senonches,s,s
28422,Voves,< 20,0.0
29004,Bannalec,36 ,0.5
29019,Brest,116 ,0.1
29020,Briec,< 20,0.2
29024,Carhaix-Plouguer,204 ,1.4
29026,Châteaulin,63 ,0.5
29027,Châteauneuf-du-Faou,275 ,2.4
29039,Concarneau,21 ,0.1
29042,Crozon,60 ,0.4
29046,Douarnenez,52 ,0.2
29053,Le Faou,< 20,0.2
29058,Fouesnant,< 20,0.1
29069,Guilers,< 20,0.0
29081,Huelgoat,525 ,6.8
29103,Landerneau,21 ,0.1
29105,Landivisiau,42 ,0.2
29124,Lesneven,31 ,0.1
29147,Mellac,32 ,0.5
29150,Moëlan-sur-Mer,32 ,0.3
29151,Morlaix,113 ,0.2
29158,Penmarch,< 20,0.1
29160,Plabennec,< 20,0.0
29162,Pleyben,62 ,0.9
29174,Plonéour-Lanvern,< 20,0.1
29178,Ploudalmézeau,< 20,0.1
29185,Plouescat,25 ,0.2
29195,Plouguerneau - Lannilis,< 20,0.1
29197,Plouhinec - Audierne,88 ,0.4
29199,Plouigneau,< 20,0.2
29217,Pont-Aven,28 ,0.3
29220,Pont-l'Abbé,< 20,0.1
29232,Quimper,71 ,0.1
29233,Quimperlé,24 ,0.1
29241,Rosporden,31 ,0.2
29259,Saint-Pol-de-Léon,28 ,0.1
29260,Saint-Renan,< 20,0.1
29274,Scaër,92 ,0.9
29302,Pont-de-Buis-lès-Quimerch,< 20,0.2
30003,Aigues-Mortes,< 20,0.1
30007,Alès,284 ,0.2
30028,Bagnols-sur-Cèze,69 ,0.2
30032,Beaucaire,29 ,0.1
30034,Bellegarde,< 20,0.0
30037,Bessèges,< 20,0.2
30062,Calvisson,35 ,0.3
30132,La Grand-Combe,31 ,0.2
30141,Laudun-l'Ardoise,< 20,0.1
30155,Manduel,< 20,0.1
30189,Nîmes,117 ,0.1
30202,Pont-Saint-Esprit,24 ,0.1
30210,Quissac,55 ,0.5
30212,Remoulins,45 ,0.2
30221,Roquemaure,< 20,0.0
30258,Saint-Gilles,20 ,0.1
30263,Saint-Hippolyte-du-Fort,39 ,0.5
30269,Saint-Jean-du-Gard,s,s
30321,Sommières,57 ,0.3
30334,Uzès,235 ,0.9
30341,Vauvert,< 20,0.0
30344,Vergèze,< 20,0.1
30350,Le Vigan,39 ,0.3
31020,Aspet,50 ,1.0
31033,Auterive,< 20,0.1
31042,Bagnères-de-Luchon,41 ,0.5
31066,Bessières,< 20,0.0
31080,Boulogne-sur-Gesse,381 ,4.3
31098,Cadours,62 ,1.0
31106,Caraman,31 ,0.3
31107,Carbonne,< 20,0.1
31118,Castelnau-d'Estrétefonds,< 20,0.1
31135,Cazères,70 ,0.4
31187,Fonsorbes,87 ,0.5
31202,Fronton,< 20,0.0
31232,Grenade,85 ,0.6
31239,L'Isle-en-Dodon,167 ,2.6
31324,Martres-Tolosane,81 ,0.9
31358,Montastruc-la-Conseillère,< 20,0.1
31375,Montesquieu-Volvestre,42 ,0.8
31390,Montréjeau,117 ,0.6
31396,Nailloux,< 20,0.2
31451,Revel,70 ,0.3
31454,Rieumes,20 ,0.1
31483,Saint-Gaudens,112 ,0.4
31499,Saint-Lys,50 ,0.3
31523,Salies-du-Salat,43 ,0.4
31555,Toulouse,2.698 ,0.3
31572,Venerque,< 20,0.0
31573,Verfeil,< 20,0.1
31582,Villefranche-de-Lauragais,42 ,0.3
31584,Villemur-sur-Tarn,38 ,0.3
32013,Auch,114 ,0.3
32096,Cazaubon,88 ,1.1
32107,Condom,240 ,1.7
32119,Eauze,142 ,1.5
32132,Fleurance,138 ,1.0
32147,Gimont,63 ,0.6
32160,L'Isle-Jourdain,181 ,1.1
32208,Lectoure,129 ,1.7
32213,Lombez,s,s
32233,Marciac,s,s
32242,Masseube,111 ,1.7
32249,Mauvezin,56 ,0.8
32256,Mirande,268 ,2.1
32296,Nogaro,185 ,2.0
