date,share.index,rebased_share_index,party,group
01/10/1926,44.84351386,101.7033439,Conservative,2
01/11/1926,45.3102865,101.9802571,Conservative,2
01/12/1926,45.24360469,101.9408732,Conservative,2
01/01/1927,46.17714996,102.4870385,Conservative,2
01/02/1927,46.6439226,102.7559943,Conservative,2
01/03/1927,46.34385448,102.583405,Conservative,2
01/04/1927,46.81062711,102.8513982,Conservative,2
01/05/1927,47.21071794,103.0789882,Conservative,2
01/06/1927,47.17737704,103.0600962,Conservative,2
01/07/1927,47.34408155,103.1544231,Conservative,2
01/08/1927,47.64414967,103.3233777,Conservative,2
01/09/1927,48.07758141,103.565554,Conservative,2
01/10/1927,48.67771765,103.897295,Conservative,2
01/11/1927,48.64437675,103.8789725,Conservative,2
01/12/1927,48.97778577,104.0616349,Conservative,2
01/01/1928,49.3111948,104.243058,Conservative,2
01/02/1928,49.24451299,104.2068717,Conservative,2
01/03/1928,50.57814909,104.9214544,Conservative,2
01/04/1928,51.57837617,105.445133,Conservative,2
01/05/1928,52.61194415,105.9757051,Conservative,2
01/06/1928,50.91155812,105.0971559,Conservative,2
01/07/1928,50.57814909,104.9214544,Conservative,2
01/08/1928,51.41167166,105.3585623,Conservative,2
01/09/1928,52.24519422,105.7886402,Conservative,2
01/10/1928,52.91201227,106.1277908,Conservative,2
01/11/1928,53.14539859,106.2454846,Conservative,2
01/12/1928,52.94535317,106.1446359,Conservative,2
01/01/1929,54.47903469,106.9082612,Conservative,2
01/02/1929,54.01226205,106.6781532,Conservative,2
01/03/1929,53.71219393,106.5291742,Conservative,2
01/04/1929,53.17873949,106.2622558,Conservative,2
01/05/1929,52.47858054,105.9078328,Conservative,2
01/06/1929,52.64528505,100,Labour,3
01/07/1929,54.01226205,100.6467495,Labour,3
01/08/1929,54.81244371,101.0177818,Labour,3
01/09/1929,55.14585274,101.1707825,Labour,3
01/10/1929,53.61217122,100.459167,Labour,3
01/11/1929,49.01112668,98.19533365,Labour,3
01/12/1929,49.04446758,98.21249091,Labour,3
01/01/1930,48.91110397,98.14379178,Labour,3
01/02/1930,48.77774036,98.07490508,Labour,3
01/03/1930,48.44433133,97.90186094,Labour,3
01/04/1930,49.3111948,98.3493305,Labour,3
01/05/1930,47.91087689,97.62249766,Labour,3
01/06/1930,45.17692289,96.14009534,Labour,3
01/07/1930,45.74371823,96.4546616,Labour,3
01/08/1930,43.67658228,95.28797818,Labour,3
01/09/1930,44.87685477,95.97195874,Labour,3
01/10/1930,42.34294618,94.50559804,Labour,3
01/11/1930,41.74280993,94.14545293,Labour,3
01/12/1930,39.50896946,92.75783002,Labour,3
01/01/1931,39.74235578,92.90642798,Labour,3
01/02/1931,39.60899217,92.82162206,Labour,3
01/03/1931,39.67567398,92.86406065,Labour,3
01/04/1931,37.77524253,91.625676,Labour,3
01/05/1931,34.07440236,89.02430107,Labour,3
01/06/1931,34.54117499,89.3675681,Labour,3
01/07/1931,35.14131124,89.80215806,Labour,3
01/08/1931,32.74076626,100,Conservative,4
01/09/1931,29.84010774,97.34085214,Conservative,4
01/10/1931,33.54094792,100.6921372,Conservative,4
01/11/1931,33.14085709,100.3481576,Conservative,4
01/12/1931,30.24019857,97.72262855,Conservative,4
01/01/1932,30.94035752,98.37874117,Conservative,4
01/02/1932,30.57360759,98.03693676,Conservative,4
01/03/1932,30.90701662,98.34783592,Conservative,4
01/04/1932,28.17306261,95.69300643,Conservative,4
01/05/1932,30.6736303,98.13056108,Conservative,4
01/06/1932,26.30597207,93.72746455,Conservative,4
01/07/1932,28.17306261,95.69300643,Conservative,4
01/08/1932,30.84033481,98.28592526,Conservative,4
01/09/1932,32.27399362,99.58839836,Conservative,4
01/10/1932,32.10728911,99.43995359,Conservative,4
01/11/1932,32.27399362,99.58839836,Conservative,4
01/12/1932,31.9405846,99.29073607,Conservative,4
01/01/1933,32.14063001,99.46970411,Conservative,4
01/02/1933,32.0406073,99.38035976,Conservative,4
01/03/1933,32.07394821,99.41017216,Conservative,4
01/04/1933,32.10728911,99.43995359,Conservative,4
01/05/1933,33.47426611,100.6350931,Conservative,4
01/06/1933,35.00794763,101.9192149,Conservative,4
01/07/1933,37.24178809,103.692304,Conservative,4
01/08/1933,37.47517441,103.8713785,Conservative,4
01/09/1933,37.84192434,104.1505404,Conservative,4
01/10/1933,36.80835636,103.3567395,Conservative,4
01/11/1933,35.90815199,102.6469877,Conservative,4
01/12/1933,36.14153831,102.8326916,Conservative,4
01/01/1934,37.94194705,104.2262059,Conservative,4
01/02/1934,38.6087651,104.7256022,Conservative,4
01/03/1934,38.74212871,104.8244458,Conservative,4
01/04/1934,39.10887863,105.0945213,Conservative,4
01/05/1934,38.642106,104.7503451,Conservative,4
01/06/1934,38.17533336,104.401986,Conservative,4
01/07/1934,37.64187892,103.9986074,Conservative,4
01/08/1934,37.20844719,103.6666303,Conservative,4
01/09/1934,37.10842448,103.5894711,Conservative,4
01/10/1934,37.50851531,103.8968695,Conservative,4
01/11/1934,37.97528795,104.2513835,Conservative,4
01/12/1934,37.84192434,104.1505404,Conservative,4
01/01/1935,38.57542419,104.700838,Conservative,4
01/02/1935,37.90860614,104.2010063,Conservative,4
01/03/1935,36.67499275,103.2526936,Conservative,4
01/04/1935,37.17510629,103.6409337,Conservative,4
01/05/1935,38.14199246,104.3769405,Conservative,4
01/06/1935,38.54208329,104.6760523,Conservative,4
01/07/1935,38.54208329,104.6760523,Conservative,4
01/08/1935,39.17556044,105.1433538,Conservative,4
01/09/1935,37.57519712,103.9477836,Conservative,4
01/10/1935,37.54185622,103.9223378,Conservative,4
01/11/1935,39.44228766,105.3378558,Conservative,4
01/12/1935,40.0424239,105.770719,Conservative,4
01/01/1936,41.3093782,106.6636237,Conservative,4
01/02/1936,42.24292347,107.3042005,Conservative,4
01/03/1936,41.74280993,106.9628155,Conservative,4
01/04/1936,42.37628708,107.394554,Conservative,4
01/05/1936,41.60944632,106.8710887,Conservative,4
01/06/1936,41.70946903,106.9399113,Conservative,4
01/07/1936,42.04287805,107.168134,Conservative,4
01/08/1936,43.17646874,107.9307746,Conservative,4
01/09/1936,43.57655957,108.1951696,Conservative,4
01/10/1936,45.3102865,109.3135112,Conservative,4
01/11/1936,45.81040004,109.6281644,Conservative,4
01/12/1936,45.91042274,109.6906827,Conservative,4
01/01/1937,46.24383177,109.8980977,Conservative,4
01/02/1937,46.07712726,109.7945778,Conservative,4
01/03/1937,45.57701372,109.481756,Conservative,4
01/04/1937,44.81017296,108.9953656,Conservative,4
01/05/1937,44.07667311,108.5222704,Conservative,4
01/06/1937,43.04310513,107.8420982,Conservative,4
01/07/1937,42.97642332,107.7976569,Conservative,4
01/08/1937,42.94308242,107.7754104,Conservative,4
01/09/1937,41.14267369,106.5477132,Conservative,4
01/10/1937,39.14221954,105.118948,Conservative,4
01/11/1937,38.10865156,104.351873,Conservative,4
01/12/1937,38.50874239,104.6512452,Conservative,4
01/01/1938,38.37537878,104.5518015,Conservative,4
01/02/1938,37.17510629,103.6409337,Conservative,4
01/03/1938,35.00794763,101.9192149,Conservative,4
01/04/1938,36.27490192,102.9382704,Conservative,4
01/05/1938,35.37469755,102.2179489,Conservative,4
01/06/1938,34.84124311,101.7823907,Conservative,4
01/07/1938,36.44160643,103.0696995,Conservative,4
01/08/1938,36.0081747,102.7267225,Conservative,4
01/09/1938,34.80790221,101.7549473,Conservative,4
01/10/1938,35.34135665,102.1909195,Conservative,4
01/11/1938,35.67476568,102.4600729,Conservative,4
01/12/1938,34.80790221,101.7549473,Conservative,4
01/01/1939,34.6078568,101.5897329,Conservative,4
01/02/1939,34.40781138,101.4235607,Conservative,4
01/03/1939,34.20776597,101.2564196,Conservative,4
01/04/1939,33.3409025,100.5206633,Conservative,4
01/05/1939,34.17442506,101.2284677,Conservative,4
01/06/1939,33.97437965,101.0601818,Conservative,4
01/07/1939,33.64097062,100.7774909,Conservative,4
01/08/1939,33.40758431,100.5779353,Conservative,4
01/09/1939,31.9405846,99.29073607,Conservative,4
01/10/1939,33.24087979,100.4345402,Conservative,4
01/11/1939,33.70765243,100.8342526,Conservative,4
01/12/1939,33.60762972,100.7490679,Conservative,4
01/01/1940,33.60762972,100.7490679,Conservative,4
01/02/1940,34.20776597,101.2564196,Conservative,4
01/03/1940,34.57451589,101.5621043,Conservative,4
01/04/1940,34.34112958,101.3679552,Conservative,4
01/05/1940,32.44069813,100,Coalition,5
01/06/1940,28.80653976,96.58530655,Coalition,5
01/07/1940,28.17306261,95.94622931,Coalition,5
01/08/1940,29.10660788,96.88313796,Coalition,5
01/09/1940,29.3733351,97.14531058,Coalition,5
01/10/1940,30.24019857,97.98122221,Coalition,5
01/11/1940,31.14040294,98.82429493,Coalition,5
01/12/1940,31.17374384,98.85504985,Coalition,5
01/01/1941,31.84056189,99.46333655,Coalition,5
01/02/1941,31.30710745,98.9777415,Coalition,5
01/03/1941,31.04038023,98.7318322,Coalition,5
01/04/1941,30.94035752,98.63907104,Coalition,5
01/05/1941,31.24042564,98.91646114,Coalition,5
01/06/1941,31.37378925,99.03889146,Coalition,5
01/07/1941,32.17397091,99.7627192,Coalition,5
01/08/1941,32.74076626,100.26462,Coalition,5
01/09/1941,33.3409025,100.7866612,Coalition,5
01/10/1941,33.17419799,100.6425983,Coalition,5
01/11/1941,33.74099333,101.1294939,Coalition,5
01/12/1941,33.20753889,100.6714687,Coalition,5
01/01/1942,33.74099333,101.1294939,Coalition,5
01/02/1942,32.40735723,99.97044681,Coalition,5
01/03/1942,32.20731182,99.79248665,Coalition,5
01/04/1942,32.17397091,99.7627192,Coalition,5
01/05/1942,32.40735723,99.97044681,Coalition,5
01/06/1942,32.70742535,100.2353378,Coalition,5
01/07/1942,32.74076626,100.26462,Coalition,5
01/08/1942,33.00749348,100.4978098,Coalition,5
01/09/1942,33.57428882,100.9871436,Coalition,5
01/10/1942,34.77456131,101.9966689,Coalition,5
01/11/1942,35.67476568,102.7312028,Coalition,5
01/12/1942,35.54140207,102.6235604,Coalition,5
01/01/1943,36.57497004,103.4474307,Coalition,5
01/02/1943,36.47494734,103.3687256,Coalition,5
01/03/1943,36.67499275,103.5259209,Coalition,5
01/04/1943,37.14176539,103.8894006,Coalition,5
01/05/1943,37.40849261,104.0950578,Coalition,5
01/06/1943,37.3418108,104.0437813,Coalition,5
01/07/1943,38.00862885,104.5524755,Coalition,5
01/08/1943,38.14199246,104.6531428,Coalition,5
01/09/1943,38.40871968,104.8534256,Coalition,5
01/10/1943,38.30869697,104.778483,Coalition,5
01/11/1943,37.74190163,104.350077,Coalition,5
01/12/1943,37.84192434,104.4261436,Coalition,5
01/01/1944,38.24201517,104.7284125,Coalition,5
01/02/1944,38.57542419,104.9778974,Coalition,5
01/03/1944,38.642106,105.0275355,Coalition,5
01/04/1944,38.6754469,105.0523224,Coalition,5
01/05/1944,39.04219683,105.3235773,Coalition,5
01/06/1944,39.60899217,105.7378177,Coalition,5
01/07/1944,40.07576481,106.07453,Coalition,5
01/08/1944,40.20912842,106.1700134,Coalition,5
01/09/1944,39.40894676,105.592296,Coalition,5
01/10/1944,39.54231037,105.6893923,Coalition,5
01/11/1944,39.9757421,106.0027087,Coalition,5
01/12/1944,39.9757421,106.0027087,Coalition,5
01/01/1945,40.37583293,106.2889233,Coalition,5
01/02/1945,40.20912842,106.1700134,Coalition,5
01/03/1945,40.44251473,106.3363498,Coalition,5
01/04/1945,40.84260556,106.6192772,Coalition,5
01/05/1945,41.17601459,106.8529409,Coalition,5
01/06/1945,41.17601459,106.8529409,Coalition,5
01/07/1945,41.57610542,100,Labour,6
01/08/1945,40.54253744,99.32464896,Labour,6
01/09/1945,40.84260556,99.52247618,Labour,6
01/10/1945,41.3427191,99.84898059,Labour,6
01/11/1945,41.70946903,100.0859166,Labour,6
01/12/1945,41.80949174,100.150174,Labour,6
01/01/1946,42.24292347,100.4268578,Labour,6
01/02/1946,42.10955986,100.3420279,Labour,6
01/03/1946,41.60944632,100.021505,Labour,6
01/04/1946,42.24292347,100.4268578,Labour,6
01/05/1946,43.30983235,101.0960105,Labour,6
01/06/1946,44.14335491,101.6074146,Labour,6
01/07/1946,44.0433322,101.5465584,Labour,6
01/08/1946,43.30983235,101.0960105,Labour,6
01/09/1946,42.00953715,100.2782289,Labour,6
01/10/1946,41.2760373,99.80567558,Labour,6
01/11/1946,42.27626437,100.4480235,Labour,6
01/12/1946,43.40985506,101.1578962,Labour,6
01/01/1947,43.77660498,101.3835969,Labour,6
01/02/1947,42.90974152,100.84703,Labour,6
01/03/1947,43.30983235,101.0960105,Labour,6
01/04/1947,42.87640062,100.826177,Labour,6
01/05/1947,43.44319596,101.1784931,Labour,6
01/06/1947,43.27649145,101.0753501,Labour,6
01/07/1947,43.57655957,101.2607229,Labour,6
01/08/1947,40.90928737,99.56624038,Labour,6
01/09/1947,39.34226495,98.51842123,Labour,6
01/10/1947,39.64233307,98.72226099,Labour,6
01/11/1947,40.0424239,98.99166022,Labour,6
01/12/1947,41.07599188,99.67533955,Labour,6
01/01/1948,41.67612813,100.0644633,Labour,6
01/02/1948,40.40917383,99.23625531,Labour,6
01/03/1948,40.0424239,98.99166022,Labour,6
01/04/1948,41.37606,99.87060691,Labour,6
01/05/1948,42.07621896,100.3207784,Labour,6
01/06/1948,41.67612813,100.0644633,Labour,6
01/07/1948,40.57587834,99.34670194,Labour,6
01/08/1948,40.47585564,99.28048854,Labour,6
01/09/1948,40.30915112,99.16976841,Labour,6
01/10/1948,40.20912842,99.10311633,Labour,6
01/11/1948,40.64256015,99.39075358,Labour,6
01/12/1948,40.54253744,99.32464896,Labour,6
01/01/1949,40.64256015,99.39075358,Labour,6
01/02/1949,40.67590105,99.41275231,Labour,6
01/03/1949,39.37560585,98.54114673,Labour,6
01/04/1949,39.20890134,98.42732624,Labour,6
01/05/1949,39.37560585,98.54114673,Labour,6
01/06/1949,37.84192434,97.47532209,Labour,6
01/07/1949,37.275129,97.07046166,Labour,6
01/08/1949,37.275129,97.07046166,Labour,6
01/09/1949,38.00862885,97.59324513,Labour,6
01/10/1949,39.14221954,98.38166249,Labour,6
01/11/1949,38.37537878,97.85086555,Labour,6
01/12/1949,38.97551502,98.26716189,Labour,6
01/01/1950,39.17556044,98.40450408,Labour,6
01/02/1950,39.00885593,98.29010114,Labour,6
01/03/1950,39.20890134,98.42732624,Labour,6
01/04/1950,39.54231037,98.65448634,Labour,6
01/05/1950,39.70901488,98.76734915,Labour,6
01/06/1950,40.34249203,99.19194902,Labour,6
01/07/1950,39.37560585,98.54114673,Labour,6
01/08/1950,39.47562856,98.60920794,Labour,6
01/09/1950,40.50919654,99.30257783,Labour,6
01/10/1950,41.04265098,99.65355518,Labour,6
01/11/1950,41.38851601,99.87868194,Labour,6
01/12/1950,40.52385342,99.31228268,Labour,6
01/01/1951,41.82084731,100.1574595,Labour,6
01/02/1951,43.29077371,101.0842024,Labour,6
01/03/1951,41.4173381,99.8973575,Labour,6
01/04/1951,44.81834429,102.0145244,Labour,6
01/05/1951,46.2882707,102.8802749,Labour,6
01/06/1951,46.23062652,102.846845,Labour,6
01/07/1951,43.37723997,101.1377324,Labour,6
01/08/1951,44.47247926,101.8066929,Labour,6
01/09/1951,46.05769401,102.7463048,Labour,6
01/10/1951,46.25944861,100,Conservative,7
01/11/1951,42.54139947,97.81475682,Conservative,7
01/12/1951,41.50380436,97.17075836,Conservative,7
01/01/1952,38.79615597,95.41125784,Conservative,7
01/02/1952,38.14955337,94.97291789,Conservative,7
01/03/1952,36.85634818,94.07349729,Conservative,7
01/04/1952,38.59409266,95.27506634,Conservative,7
01/05/1952,36.00768226,93.46593474,Conservative,7
01/06/1952,34.83571505,92.60294926,Conservative,7
01/07/1952,37.05841149,94.21609258,Conservative,7
01/08/1952,38.67491799,95.32962831,Conservative,7
01/09/1952,38.67491799,95.32962831,Conservative,7
01/10/1952,38.91739396,95.49263267,Conservative,7
01/11/1952,38.83656864,95.438411,Conservative,7
01/12/1952,39.40234591,95.81561652,Conservative,7
01/01/1953,40.33183715,96.42370701,Conservative,7
01/02/1953,41.42297904,97.11991894,Conservative,7
01/03/1953,41.786693,97.34791992,Conservative,7
01/04/1953,40.77637644,96.70959602,Conservative,7
01/05/1953,39.28110792,95.73524477,Conservative,7
01/06/1953,39.76605987,96.05525631,Conservative,7
01/07/1953,40.93802709,96.81278354,Conservative,7
01/08/1953,42.23123228,97.62390782,Conservative,7
01/09/1953,43.32237417,98.28920279,Conservative,7
01/10/1953,44.3731034,98.91420591,Conservative,7
01/11/1953,45.42383262,99.52458114,Conservative,7
01/12/1953,45.70672126,99.68650121,Conservative,7
01/01/1954,47.32322776,100.5929561,Conservative,7
01/02/1954,48.69725828,101.3394218,Conservative,7
01/03/1954,48.77808361,101.3826733,Conservative,7
01/04/1954,50.79871673,102.441285,Conservative,7
01/05/1954,53.10223849,103.5979078,Conservative,7
01/06/1954,53.78925375,103.9331642,Conservative,7
01/07/1954,55.2441096,104.629204,Conservative,7
01/08/1954,58.35588461,106.058382,Conservative,7
01/09/1954,59.68950247,106.6476986,Conservative,7
01/10/1954,62.63962683,107.9058776,Conservative,7
01/11/1954,61.91219891,107.6012336,Conservative,7
01/12/1954,61.46765962,107.4132952,Conservative,7
01/01/1955,64.70067262,108.7501984,Conservative,7
01/02/1955,59.97239111,106.7710114,Conservative,7
01/03/1955,59.20455052,106.4349392,Conservative,7
01/04/1955,60.57858105,107.0333061,Conservative,7
01/05/1955,63.40746742,108.2236319,Conservative,7
01/06/1955,67.04460704,109.6783182,Conservative,7
01/07/1955,67.89327296,110.0063805,Conservative,7
01/08/1955,63.20540411,108.140387,Conservative,7
01/09/1955,62.0334369,107.6522554,Conservative,7
01/10/1955,59.85115312,106.7182344,Conservative,7
01/11/1955,60.82105702,107.1374898,Conservative,7
01/12/1955,62.43756352,107.8216106,Conservative,7
01/01/1956,59.4470265,106.5415358,Conservative,7
01/02/1956,56.37566415,105.1580108,Conservative,7
01/03/1956,56.13318818,105.0455942,Conservative,7
01/04/1956,61.18477098,107.2929891,Conservative,7
01/05/1956,58.76001124,106.2383732,Conservative,7
01/06/1956,58.51753526,106.1305276,Conservative,7
01/07/1956,58.51753526,106.1305276,Conservative,7
01/08/1956,59.48743916,106.5592597,Conservative,7
01/09/1956,58.96207455,106.3279051,Conservative,7
01/10/1956,57.95175799,105.8771401,Conservative,7
01/11/1956,53.9509044,104.0114256,Conservative,7
01/12/1956,56.82020344,105.3628578,Conservative,7
01/01/1957,60.65940637,107.0680802,Conservative,7
01/02/1957,61.10394566,107.2585137,Conservative,7
01/03/1957,61.3868343,107.3789786,Conservative,7
01/04/1957,64.98356126,108.8639813,Conservative,7
01/05/1957,65.38768788,109.0256719,Conservative,7
01/06/1957,66.23635379,109.3619939,Conservative,7
01/07/1957,66.47882977,109.4572947,Conservative,7
01/08/1957,64.6198473,108.7175977,Conservative,7
01/09/1957,58.63877325,106.1845061,Conservative,7
01/10/1957,55.12287161,104.571905,Conservative,7
01/11/1957,55.80988688,104.8949476,Conservative,7
01/12/1957,54.9208083,104.4761259,Conservative,7
01/01/1958,53.76747133,103.9226004,Conservative,7
01/02/1958,50.9665101,102.52729,Conservative,7
01/03/1958,54.31667941,104.1876496,Conservative,7
01/04/1958,56.84303659,105.3733362,Conservative,7
01/05/1958,57.22748225,105.549133,Conservative,7
01/06/1958,60.08336428,106.8192265,Conservative,7
01/07/1958,60.1932059,106.8668623,Conservative,7
01/08/1958,63.70813763,108.3470106,Conservative,7
01/09/1958,65.85004915,109.2094409,Conservative,7
01/10/1958,67.99196068,110.044263,Conservative,7
01/11/1958,68.65101038,110.2958464,Conservative,7
01/12/1958,73.15451666,111.952957,Conservative,7
01/01/1959,71.78149645,111.458804,Conservative,7
01/02/1959,73.59388312,112.1091288,Conservative,7
01/03/1959,74.03324959,112.264371,Conservative,7
01/04/1959,77.3834189,113.4186525,Conservative,7
01/05/1959,79.85485527,114.2385786,Conservative,7
01/06/1959,80.0196177,114.2923346,Conservative,7
01/07/1959,78.59167668,113.8227264,Conservative,7
01/08/1959,85.3469361,115.9733012,Conservative,7
01/09/1959,83.58947023,115.430642,Conservative,7
01/10/1959,95.78188968,118.9816757,Conservative,7
01/11/1959,98.14348443,119.6169188,Conservative,7
01/12/1959,104.8987439,121.352975,Conservative,7
01/01/1960,104.3495358,121.2160686,Conservative,7
01/02/1960,102.1527034,120.661141,Conservative,7
01/03/1960,102.9765156,120.8706249,Conservative,7
01/04/1960,97.2647515,119.382353,Conservative,7
01/05/1960,100.7796832,120.308218,Conservative,7
01/06/1960,98.03364282,119.5877132,Conservative,7
01/07/1960,98.19840524,119.6315094,Conservative,7
01/08/1960,103.5257236,121.0093519,Conservative,7
01/09/1960,102.4822283,120.7451366,Conservative,7
01/10/1960,103.8552485,121.0922353,Conservative,7
01/11/1960,98.69269252,119.7624583,Conservative,7
01/12/1960,99.95587111,120.0941488,Conservative,7
01/01/1961,104.569219,121.2709174,Conservative,7
01/02/1961,109.0727253,122.3706228,Conservative,7
01/03/1961,113.740994,123.4636357,Conservative,7
01/04/1961,116.2124304,124.0242627,Conservative,7
01/05/1961,114.7295685,123.6893347,Conservative,7
01/06/1961,105.5028727,121.5027466,Conservative,7
01/07/1961,102.5920699,120.7730751,Conservative,7
01/08/1961,98.5828509,119.7334153,Conservative,7
01/09/1961,97.15490989,119.3528834,Conservative,7
01/10/1961,94.73839432,118.6959815,Conservative,7
01/11/1961,95.9466521,119.0265006,Conservative,7
01/12/1961,97.42951393,119.4264951,Conservative,7
01/01/1962,97.64919716,119.4852352,Conservative,7
01/02/1962,98.5828509,119.7334153,Conservative,7
01/03/1962,96.05649372,119.0563411,Conservative,7
01/04/1962,100.56,120.2513044,Conservative,7
01/05/1962,96.645,119.2156409,Conservative,7
01/06/1962,88.72,116.9842064,Conservative,7
01/07/1962,87.655,116.6692389,Conservative,7
01/08/1962,92.4,118.0441651,Conservative,7
01/09/1962,89.985,117.3534465,Conservative,7
01/10/1962,91.53,117.7974375,Conservative,7
01/11/1962,95.185,118.818639,Conservative,7
01/12/1962,94.95,118.7541696,Conservative,7
01/01/1963,94.49,118.627511,Conservative,7
01/02/1963,95.7,118.9593683,Conservative,7
01/03/1963,97.67,119.4907908,Conservative,7
01/04/1963,98.54,119.7220764,Conservative,7
01/05/1963,99.01,119.8461758,Conservative,7
01/06/1963,98.09,119.602702,Conservative,7
01/07/1963,99.08,119.8646082,Conservative,7
01/08/1963,102.01,120.6246819,Conservative,7
01/09/1963,103.52,121.00791,Conservative,7
01/10/1963,105.11,121.405446,Conservative,7
01/11/1963,106.22,121.6794227,Conservative,7
01/12/1963,107.86,122.0790214,Conservative,7
01/01/1964,105.53,121.5094517,Conservative,7
01/02/1964,102.07,120.6400174,Conservative,7
01/03/1964,104.87,121.3458275,Conservative,7
01/04/1964,106.23,121.6818779,Conservative,7
01/05/1964,104.76,121.3184567,Conservative,7
01/06/1964,103.36,120.9675687,Conservative,7
01/07/1964,107.25,121.9311044,Conservative,7
01/08/1964,108.3,122.1851972,Conservative,7
01/09/1964,108.84,122.3149159,Conservative,7
01/10/1964,106.13,100,Labour,8
01/11/1964,101.19,98.97817266,Labour,8
01/12/1964,97.43,98.16641515,Labour,8
01/01/1965,99,98.50911242,Labour,8
01/02/1965,101.11,98.96121743,Labour,8
01/03/1965,97.43,98.16641515,Labour,8
01/04/1965,98.2,98.3351742,Labour,8
01/05/1965,100.11,98.74813777,Labour,8
01/06/1965,96.18,97.88959492,Labour,8
01/07/1965,93.53,97.29064094,Labour,8
01/08/1965,95.18,97.66553594,Labour,8
01/09/1965,97.24,98.12456816,Labour,8
01/10/1965,102.51,99.25601507,Labour,8
01/11/1965,104.99,99.76847961,Labour,8
01/12/1965,103.52,99.46620115,Labour,8
01/01/1966,105.12,99.79500771,Labour,8
01/02/1966,108.23,100.4200481,Labour,8
01/03/1966,105.73,99.91904921,Labour,8
01/04/1966,104.87,99.74396295,Labour,8
01/05/1966,107.92,100.3585564,Labour,8
01/06/1966,109.45,100.660349,Labour,8
01/07/1966,104.81,99.7316941,Labour,8
01/08/1966,93.6,97.30667945,Labour,8
01/09/1966,92.52,97.05788245,Labour,8
01/10/1966,91.59,96.84130222,Labour,8
01/11/1966,89.88,96.43727215,Labour,8
01/12/1966,92.48,97.04861207,Labour,8
01/01/1967,95.8,97.80472814,Labour,8
01/02/1967,95.23,97.67679469,Labour,8
01/03/1967,96.43,97.94524567,Labour,8
01/04/1967,101.59,99.06274824,Labour,8
01/05/1967,103.6,99.4827618,Labour,8
01/06/1967,104.03,99.57155681,Labour,8
01/07/1967,106.49,100.0725953,Labour,8
01/08/1967,107.5,100.2749627,Labour,8
01/09/1967,112.65,101.2781392,Labour,8
01/10/1967,118.61,102.3833662,Labour,8
01/11/1967,124.12,103.3568132,Labour,8
01/12/1967,122.18,103.0190939,Labour,8
01/01/1968,123.7,103.2841486,Labour,8
01/02/1968,127.01,103.8502459,Labour,8
01/03/1968,129.96,104.3424761,Labour,8
01/04/1968,144.27,106.5818618,Labour,8
01/05/1968,149.15,107.2950098,Labour,8
01/06/1968,152.19,107.7275646,Labour,8
01/07/1968,160.18,108.8245018,Labour,8
01/08/1968,163.84,109.3088272,Labour,8
01/09/1968,166.76,109.6875321,Labour,8
01/10/1968,161.82,109.042876,Labour,8
01/11/1968,163.97,109.3258305,Labour,8
01/12/1968,168.6,109.9227771,Labour,8
01/01/1969,176.7,110.9287301,Labour,8
