DateTime,tax_type,tax_rate
2021-04-01,Small profits rate,
2022-04-01,Small profits rate,
2023-04-01,Small profits rate,
2023-04-01,Small profits rate,0.19
2024-04-01,Small profits rate,0.19
2025-04-01,Small profits rate,0.19
1973-04-01,Main rate,0.52
1974-04-01,Main rate,0.52
1975-04-01,Main rate,0.52
1975-04-01,Main rate,0.52
1976-04-01,Main rate,0.52
1977-04-01,Main rate,0.52
1978-04-01,Main rate,0.52
1979-04-01,Main rate,0.52
1979-04-01,Main rate,0.52
1980-01-01,Main rate,0.52
1980-01-01,Main rate,0.52
1981-04-01,Main rate,0.52
1982-04-01,Main rate,0.52
1982-04-01,Main rate,0.52
1983-04-01,Main rate,0.52
1983-04-01,Main rate,0.5
1984-04-01,Main rate,0.5
1984-04-01,Main rate,0.45
1985-04-01,Main rate,0.45
1985-04-01,Main rate,0.4
1986-04-01,Main rate,0.4
1986-04-01,Main rate,0.35
1987-04-01,Main rate,0.35
1987-04-01,Main rate,0.35
1988-04-01,Main rate,0.35
1988-04-01,Main rate,0.35
1989-04-01,Main rate,0.35
1990-04-01,Main rate,0.35
1990-04-01,Main rate,0.34
1991-04-01,Main rate,0.34
1991-04-01,Main rate,0.33
1992-04-01,Main rate,0.33
1993-06-01,Main rate,0.33
1993-06-01,Main rate,0.33
1994-04-01,Main rate,0.33
1995-04-01,Main rate,0.33
1996-04-01,Main rate,0.33
1996-04-01,Main rate,0.33
1997-04-01,Main rate,0.33
1997-04-01,Main rate,0.31
1998-04-01,Main rate,0.31
1999-04-01,Main rate,0.31
1999-04-01,Main rate,0.3
2000-04-01,Main rate,0.3
2001-04-01,Main rate,0.3
2002-04-01,Main rate,0.3
2002-04-01,Main rate,0.3
2003-04-01,Main rate,0.3
2004-04-01,Main rate,0.3
2005-04-01,Main rate,0.3
2006-04-01,Main rate,0.3
2006-04-01,Main rate,0.3
2007-04-01,Main rate,0.3
2007-04-01,Main rate,0.3
2008-04-01,Main rate,0.3
2008-04-01,Main rate,0.28
2009-04-01,Main rate,0.28
2010-04-01,Main rate,0.28
2011-03-01,Main rate,0.28
2011-03-01,Main rate,0.28
2011-04-01,Main rate,0.28
2011-04-01,Main rate,0.26
2012-04-01,Main rate,0.26
2012-04-01,Main rate,0.24
2013-04-01,Main rate,0.24
2013-04-01,Main rate,0.23
2014-04-01,Main rate,0.23
2014-04-01,Main rate,0.21
2015-01-01,Main rate,0.21
2015-01-01,Main rate,0.21
2015-04-01,Main rate,0.21
2015-04-01,Main rate,0.2
2016-01-01,Main rate,0.2
2016-01-01,Main rate,0.2
2016-04-01,Main rate,0.2
2016-04-01,Main rate,0.2
2017-04-01,Main rate,0.2
2017-04-01,Main rate,0.19
2018-04-01,Main rate,0.19
2019-04-01,Main rate,0.19
2020-04-01,Main rate,0.19
2021-04-01,Main rate,0.19
2022-04-01,Main rate,0.19
2023-04-01,Main rate,0.19
2023-04-01,Main rate,0.25
2024-04-01,Main rate,0.25
2025-04-01,Main rate,0.25
1973-04-01,Patent box rate,
1974-04-01,Patent box rate,
1975-04-01,Patent box rate,
1975-04-01,Patent box rate,
1976-04-01,Patent box rate,
1977-04-01,Patent box rate,
1978-04-01,Patent box rate,
1979-04-01,Patent box rate,
1979-04-01,Patent box rate,
1980-01-01,Patent box rate,
1980-01-01,Patent box rate,
1981-04-01,Patent box rate,
1982-04-01,Patent box rate,
1982-04-01,Patent box rate,
1983-04-01,Patent box rate,
1983-04-01,Patent box rate,
1984-04-01,Patent box rate,
1984-04-01,Patent box rate,
1985-04-01,Patent box rate,
1985-04-01,Patent box rate,
1986-04-01,Patent box rate,
1986-04-01,Patent box rate,
1987-04-01,Patent box rate,
1987-04-01,Patent box rate,
1988-04-01,Patent box rate,
1988-04-01,Patent box rate,
1989-04-01,Patent box rate,
1990-04-01,Patent box rate,
1990-04-01,Patent box rate,
1991-04-01,Patent box rate,
1991-04-01,Patent box rate,
1992-04-01,Patent box rate,
1993-06-01,Patent box rate,
1993-06-01,Patent box rate,
1994-04-01,Patent box rate,
1995-04-01,Patent box rate,
1996-04-01,Patent box rate,
1996-04-01,Patent box rate,
1997-04-01,Patent box rate,
1997-04-01,Patent box rate,
1998-04-01,Patent box rate,
1999-04-01,Patent box rate,
1999-04-01,Patent box rate,
2000-04-01,Patent box rate,
2001-04-01,Patent box rate,
2002-04-01,Patent box rate,
2002-04-01,Patent box rate,
2003-04-01,Patent box rate,
2004-04-01,Patent box rate,
2005-04-01,Patent box rate,
2006-04-01,Patent box rate,
2006-04-01,Patent box rate,
2007-04-01,Patent box rate,
2007-04-01,Patent box rate,
2008-04-01,Patent box rate,
2008-04-01,Patent box rate,
2009-04-01,Patent box rate,
2010-04-01,Patent box rate,
2011-03-01,Patent box rate,
2011-03-01,Patent box rate,
2011-04-01,Patent box rate,
2011-04-01,Patent box rate,
2012-04-01,Patent box rate,
2012-04-01,Patent box rate,
2013-04-01,Patent box rate,0.24
2013-04-01,Patent box rate,0.1
2014-04-01,Patent box rate,0.1
2014-04-01,Patent box rate,0.1
2015-01-01,Patent box rate,0.1
2015-01-01,Patent box rate,0.1
2015-04-01,Patent box rate,0.1
2015-04-01,Patent box rate,0.1
2016-01-01,Patent box rate,0.1
2016-01-01,Patent box rate,0.1
2016-04-01,Patent box rate,0.1
2016-04-01,Patent box rate,0.1
2017-04-01,Patent box rate,0.1
2017-04-01,Patent box rate,0.1
2018-04-01,Patent box rate,0.1
2019-04-01,Patent box rate,0.1
2020-04-01,Patent box rate,0.1
2021-04-01,Patent box rate,0.1
2022-04-01,Patent box rate,0.1
2023-04-01,Patent box rate,0.1
2023-04-01,Patent box rate,0.1
2024-04-01,Patent box rate,0.1
2025-04-01,Patent box rate,0.1
