country_code,year,gdp_per_hour,indexed_2000,p10,p90
COL,2019,16.6736545604948,219.9780863311453,112.82315704504768,219.9496804785964
COL,2020,19.9319541361203,262.9653332324875,114.12420197413894,229.2672017515385
COL,2021,18.6637219113769,246.23335064220737,115.52379133507482,242.81399760127127
COL,2022,21.295846778043,280.95937840373296,114.89515334036724,261.32531394956897
COL,2023,18.3335989479836,241.87798766657727,114.60564836443956,240.21474771711718
COL,2024,22.2360092130744,293.3630858542068,115.95562727554262,294.32620970159763
CRI,1995,15.3907307042555,95.9483458893855,73.7287099532162,119.15794100451153
CRI,1996,15.4520616926197,96.33069335542746,78.28575490181568,95.44325262887716
CRI,1997,15.2319309111578,94.95836186795836,82.55805453775649,120.84553546820604
CRI,1998,15.400514468087,96.0093394818434,90.56580611858341,98.57605642354187
CRI,1999,15.7565769222861,98.22909136823516,93.32340216806978,125.09885976387092
CRI,2000,16.0406420367046,100.0,100.0,100.0
CRI,2001,15.9462720550218,99.41168201704856,99.92210708877577,130.14958514213373
CRI,2002,16.0546034341917,100.08703764759012,100.07003879457697,112.9141862624287
CRI,2003,16.2808591079434,101.49755272070237,101.10170135197774,143.08608166613882
CRI,2004,16.6885389369657,104.03909580912386,103.59517462071307,128.13986034782982
CRI,2005,16.3981451493533,102.22873318805227,102.41753553303921,169.77326069660705
CRI,2006,17.0450030770111,106.26135187113019,106.36716301113105,152.86255982958795
CRI,2007,17.2769464706741,107.70732512539433,107.60781837840227,173.8745015838049
CRI,2008,17.82123733162,111.10052384961273,107.02448773829661,166.8277879232891
CRI,2009,18.3263950377354,114.24976005200091,105.7490664780711,173.91482001758484
CRI,2010,20.4673639154978,127.59691207287005,105.90222399779203,166.44317037272864
CRI,2011,21.4499388302775,133.72244565520015,108.95620079869195,180.43075115664453
CRI,2012,21.1509134656114,131.8582723634961,105.37574340122478,176.0323580881275
CRI,2013,22.2574659276679,138.7567023610265,108.9135688534266,190.73485473224028
CRI,2014,22.823358390264,142.2845690218572,107.60143025708284,181.8643256072528
CRI,2015,23.557258184406,146.85982101278546,111.57575360781838,204.26970091518817
CRI,2016,24.5901451176519,153.29900799097763,109.75213327284052,198.27358864357458
CRI,2017,25.1696380328806,156.91166210982578,112.92094199837705,211.68474587727326
CRI,2018,25.6352438352203,159.81432524060503,112.48580492122971,212.09309167065194
CRI,2019,26.3433205308806,164.2285917895378,112.82315704504768,219.9496804785964
CRI,2020,30.35580123461,189.2430562638895,114.12420197413894,229.2672017515385
CRI,2021,28.7568280336958,179.2747944121794,115.52379133507482,242.81399760127127
CRI,2022,27.4307440551618,171.0077688436291,114.89515334036724,261.32531394956897
CRI,2023,29.3119425892157,182.735469828099,114.60564836443956,240.21474771711718
CZE,1995,29.4906681852695,90.80916467226045,73.7287099532162,119.15794100451153
CZE,1996,30.59730427558,94.21677477881845,78.28575490181568,95.44325262887716
CZE,1997,30.491643423104,93.89141851046854,82.55805453775649,120.84553546820604
CZE,1998,30.5207089892584,93.98091867935673,90.56580611858341,98.57605642354187
CZE,1999,31.1261022712552,95.8450764492301,93.32340216806978,125.09885976387092
CZE,2000,32.475431628189,100.0,100.0,100.0
CZE,2001,34.9305105135692,107.55980371096645,99.92210708877577,130.14958514213373
CZE,2002,35.4499422979012,109.1592644672667,100.07003879457697,112.9141862624287
CZE,2003,37.1829747148092,114.49570598634939,101.10170135197774,143.08608166613882
CZE,2004,38.7088461450626,119.19424686402915,103.59517462071307,128.13986034782982
CZE,2005,40.6368926852906,125.13118578543347,102.41753553303921,169.77326069660705
CZE,2006,43.0764071567815,132.6430627619149,106.36716301113105,152.86255982958795
CZE,2007,44.8732072090013,138.17586082535976,107.60781837840227,173.8745015838049
CZE,2008,44.6959382920229,137.63000536450568,107.02448773829661,166.8277879232891
