country,year,capital_per_worker
United States,1997,171220.9
United States,1998,175155.2
United States,1999,179513.4
United States,2000,184041.0
United States,2001,187762.5
United States,2002,190737.3
United States,2003,193913.5
United States,2004,197492.6
United States,2005,201425.4
United States,2006,205124.4
United States,2007,208114.8
United States,2008,210028.2
United States,2009,210006.2
United States,2010,210083.2
United States,2011,210460.3
United States,2012,211393.2
United States,2013,212499.7
United States,2014,213979.0
United States,2015,215637.7
United States,2016,217280.4
United States,2017,219140.5
United States,2018,221400.6
United States,2019,223705.8
United States,2020,226213.7
United States,2021,229769.6
United States,2022,232744.4
United States,2023,235307.9
