year,country,value,p10,p90
2019,Italy,0.10873072992640821,,
2020,Italy,0.10648912142482328,,
2021,Italy,0.11320478034301631,,
2022,Italy,0.1169652193819185,,
2023,Italy,0.1111333945081815,,
2024,Italy,0.11051830148433865,,
1994,Japan,0.1641807725378005,,
1995,Japan,0.17010353451358118,,
1996,Japan,0.1749847496676855,,
1997,Japan,0.17726320561263134,,
1998,Japan,0.17328919021788353,,
1999,Japan,0.16607308994510006,,
2000,Japan,0.17062398198640052,,
2001,Japan,0.16708087723987355,,
2002,Japan,0.15587496689570077,,
2003,Japan,0.15683458894292512,,
2004,Japan,0.1584409848944345,,
2005,Japan,0.16694346606935087,,
2006,Japan,0.17195538914536015,,
2007,Japan,0.1716796620393389,,
2008,Japan,0.17184086810787988,,
2009,Japan,0.15630975491091412,,
2010,Japan,0.14870039518873812,,
2011,Japan,0.1543467077723961,,
2012,Japan,0.1580463507945558,,
2013,Japan,0.16041007225075066,,
2014,Japan,0.1661369940113069,,
2015,Japan,0.1700695292829075,,
2016,Japan,0.16753716167436297,,
2017,Japan,0.17008261115621262,,
2018,Japan,0.17458416280398797,,
2019,Japan,0.17382402348188997,,
2020,Japan,0.170947991831682,,
2021,Japan,0.1720170908367015,,
2022,Japan,0.18140876279647294,,
2023,Japan,0.1818716448799444,,
1970,OECD,,0.09704509487263026,0.15750493901288068
1971,OECD,,0.09661185673366993,0.15448583332666058
1972,OECD,,0.09979289848683806,0.14888997515929497
1973,OECD,,0.10254214192025637,0.14787698720656944
1974,OECD,,0.10672708387712487,0.1484704548304955
1975,OECD,,0.1013095689050254,0.17913972446377255
1976,OECD,,0.10187038105178661,0.16614079288437558
1977,OECD,,0.10530369248542533,0.1581658969115973
1978,OECD,,0.10826653847335678,0.151751722248951
1979,OECD,,0.1105483935347927,0.15548105836205703
1980,OECD,,0.11432870401468913,0.14505844685517832
1981,OECD,,0.11582784267692375,0.15387667123685286
1982,OECD,,0.11423249776051345,0.15290534082342128
1983,OECD,,0.10358780101275426,0.15962846131869107
1984,OECD,,0.0982872704709551,0.16140311470669783
1985,OECD,,0.10177515993169399,0.16325704785438577
1986,OECD,,0.10196466153265674,0.1692034739381803
1987,OECD,,0.10446071801917162,0.17221498625894455
1988,OECD,,0.10652224122337534,0.17704657832975504
1989,OECD,,0.10791189465634288,0.19003190058519046
1990,OECD,,0.10448154410368904,0.1839116880975272
1991,OECD,,0.0992736682265612,0.1549920896987739
1992,OECD,,0.09520729483039568,0.17482034039528874
1993,OECD,,0.0960532335698435,0.17976449688312818
1994,OECD,,0.09511971153683256,0.18520704455697812
1995,OECD,,0.09412724951771986,0.17667414916384153
1996,OECD,,0.09709897491841459,0.18372453037275777
1997,OECD,,0.10487825858585705,0.19892896305394647
1998,OECD,,0.10899353521492422,0.20304463143955423
1999,OECD,,0.11125103446381432,0.18643440874258413
2000,OECD,,0.10939850085217906,0.1945123578515178
2001,OECD,,0.109287369784068,0.20083109498837787
2002,OECD,,0.0996031065531287,0.19461130317580222
2003,OECD,,0.09573104315514533,0.18622590121118476
2004,OECD,,0.09743017191981089,0.19127120657028562
2005,OECD,,0.0995393666048853,0.19084531450848907
2006,OECD,,0.10068533316044659,0.19368679312254147
2007,OECD,,0.11172338938453022,0.1964994165332724
2008,OECD,,0.10894697539356604,0.19285636864112596
2009,OECD,,0.09711469206690365,0.15734205777495539
2010,OECD,,0.09403225332997661,0.15217045394283044
2011,OECD,,0.1038689068689995,0.1769307178504542
2012,OECD,,0.09906383660876289,0.18416970284820014
2013,OECD,,0.1014101165296871,0.17862563033753925
2014,OECD,,0.10318942102754974,0.16876688920277993
2015,OECD,,0.10401424396796405,0.18653100092574154
2016,OECD,,0.10373373491393151,0.1751527581693145
2017,OECD,,0.1031158424042144,0.17008261115621262
2018,OECD,,0.10283002420578206,0.17458416280398797
2019,OECD,,0.10873072992640821,0.183731092981251
2020,OECD,,0.10166681868261421,0.19636808247366055
2021,OECD,,0.10365016481811777,0.18378304880368698
2022,OECD,,0.09873103234093687,0.18469548875893094
2023,OECD,,0.09731376543531516,0.184591997908204
2024,OECD,,0.09852095156031487,0.1602271999028498
1995,United Kingdom,0.12277157772472574,,
1996,United Kingdom,0.13008190593569005,,
1997,United Kingdom,0.1254659434827379,,
1998,United Kingdom,0.12836107554417414,,
1999,United Kingdom,0.12726623083191704,,
2000,United Kingdom,0.1281283972341482,,
2001,United Kingdom,0.1253139824534874,,
2002,United Kingdom,0.12079980178228525,,
2003,United Kingdom,0.11486080814129432,,
2004,United Kingdom,0.10714143087820988,,
2005,United Kingdom,0.11927961466567931,,
2006,United Kingdom,0.11048116475427566,,
2007,United Kingdom,0.11452515226563419,,
2008,United Kingdom,0.11008433938723652,,
2009,United Kingdom,0.09683757587028369,,
2010,United Kingdom,0.09554107804057223,,
2011,United Kingdom,0.0961534661321179,,
2012,United Kingdom,0.09906383660876289,,
2013,United Kingdom,0.1014101165296871,,
2014,United Kingdom,0.10360221986852734,,
2015,United Kingdom,0.11002865121451286,,
2016,United Kingdom,0.1159109217834597,,
2017,United Kingdom,0.11523434333608933,,
2018,United Kingdom,0.11233404204076435,,
2019,United Kingdom,0.11271389074200557,,
2020,United Kingdom,0.10724095410218724,,
2021,United Kingdom,0.10746939274587816,,
2022,United Kingdom,0.11015521810000913,,
2023,United Kingdom,0.11101373319322506,,
2024,United Kingdom,0.11106655136572449,,
1970,United States,0.08908045839699616,,
1971,United States,0.08794079700476745,,
1972,United States,0.09213906544394171,,
1973,United States,0.09689232876097259,,
1974,United States,0.10176975401279949,,
1975,United States,0.09595976981477888,,
1976,United States,0.09671124130730462,,
1977,United States,0.10293799770009579,,
1978,United States,0.1111447997724103,,
1979,United States,0.1172512201536692,,
1980,United States,0.11890041917091855,,
1981,United States,0.12125039873204024,,
1982,United States,0.11933767351947162,,
1983,United States,0.11027347540119269,,
1984,United States,0.11630857142574108,,
1985,United States,0.11677424573845598,,
1986,United States,0.11083513060331711,,
1987,United States,0.1043836369759117,,
1988,United States,0.10302041196706604,,
1989,United States,0.10427203017594368,,
1990,United States,0.10480075611120593,,
1991,United States,0.1000056997831646,,
1992,United States,0.09779049424975156,,
1993,United States,0.09976235532857551,,
1994,United States,0.10192081057893546,,
1995,United States,0.1084902134873803,,
1996,United States,0.1116923539617016,,
1997,United States,0.1150838840732178,,
1998,United States,0.11792944732305655,,
1999,United States,0.120664857817927,,
2000,United States,0.12372977651246445,,
2001,United States,0.11606201478010306,,
2002,United States,0.10191618565760346,,
2003,United States,0.09899515120303429,,
2004,United States,0.09890911138693356,,
2005,United States,0.1028844030809568,,
2006,United States,0.10718215800230797,,
2007,United States,0.11047504571573687,,
2008,United States,0.11010333068785629,,
2009,United States,0.09471257454465415,,
2010,United States,0.0950954055263977,,
2011,United States,0.10143443489926651,,
2012,United States,0.10795694836399955,,
2013,United States,0.10674864281261584,,
2014,United States,0.11312025155641096,,
2015,United States,0.1114998568736113,,
2016,United States,0.1105602562479284,,
2017,United States,0.11099881083628904,,
2018,United States,0.11424724285547452,,
2019,United States,0.11311666834261982,,
2020,United States,0.10942602463542218,,
2021,United States,0.10725559204733431,,
2022,United States,0.11011846449313202,,
2023,United States,0.1136792768875053,,
