firm_size,management_score,density
100-149 employees,0.47,0.88
250+ employees,0.47,0.5
10-19 employees,0.47,1.6
20-49 employees,0.5,1.5
50-99 employees,0.48,1.07
100-149 employees,0.5,1.08
250+ employees,0.49,0.67
10-19 employees,0.49,1.64
20-49 employees,0.52,1.7
50-99 employees,0.5,1.23
100-149 employees,0.52,1.32
250+ employees,0.51,0.85
10-19 employees,0.52,1.67
20-49 employees,0.54,1.93
50-99 employees,0.52,1.43
100-149 employees,0.54,1.59
250+ employees,0.53,1.06
10-19 employees,0.54,1.73
20-49 employees,0.57,2.17
50-99 employees,0.55,1.68
100-149 employees,0.56,1.92
250+ employees,0.55,1.33
10-19 employees,0.56,1.79
20-49 employees,0.59,2.38
50-99 employees,0.57,1.96
100-149 employees,0.58,2.26
250+ employees,0.57,1.67
10-19 employees,0.58,1.87
20-49 employees,0.61,2.56
50-99 employees,0.59,2.24
100-149 employees,0.6,2.58
250+ employees,0.59,2.03
10-19 employees,0.6,1.94
20-49 employees,0.63,2.65
50-99 employees,0.61,2.5
100-149 employees,0.63,2.83
250+ employees,0.62,2.46
10-19 employees,0.62,2
20-49 employees,0.65,2.68
50-99 employees,0.63,2.77
100-149 employees,0.65,3.05
250+ employees,0.64,2.85
10-19 employees,0.64,2.04
20-49 employees,0.68,2.6
50-99 employees,0.65,2.99
100-149 employees,0.67,3.19
250+ employees,0.66,3.19
10-19 employees,0.66,2.03
20-49 employees,0.7,2.43
50-99 employees,0.67,3.09
100-149 employees,0.69,3.22
250+ employees,0.68,3.44
10-19 employees,0.68,1.98
20-49 employees,0.72,2.21
50-99 employees,0.69,3.1
100-149 employees,0.71,3.15
250+ employees,0.7,3.61
10-19 employees,0.7,1.86
20-49 employees,0.74,1.95
50-99 employees,0.72,2.99
100-149 employees,0.74,2.96
250+ employees,0.72,3.63
10-19 employees,0.73,1.67
20-49 employees,0.76,1.66
50-99 employees,0.74,2.78
100-149 employees,0.76,2.67
250+ employees,0.75,3.48
10-19 employees,0.75,1.45
20-49 employees,0.79,1.37
50-99 employees,0.76,2.48
100-149 employees,0.78,2.32
250+ employees,0.77,3.15
10-19 employees,0.77,1.22
20-49 employees,0.81,1.11
50-99 employees,0.78,2.12
100-149 employees,0.8,1.94
250+ employees,0.79,2.73
10-19 employees,0.79,1
20-49 employees,0.83,0.87
50-99 employees,0.8,1.73
100-149 employees,0.82,1.55
250+ employees,0.81,2.25
10-19 employees,0.81,0.77
20-49 employees,0.85,0.65
50-99 employees,0.82,1.33
100-149 employees,0.84,1.16
250+ employees,0.83,1.75
10-19 employees,0.83,0.57
20-49 employees,0.88,0.45
50-99 employees,0.84,0.96
100-149 employees,0.87,0.81
250+ employees,0.85,1.3
10-19 employees,0.85,0.4
20-49 employees,0.9,0.28
50-99 employees,0.87,0.66
100-149 employees,0.89,0.53
250+ employees,0.87,0.9
10-19 employees,0.87,0.27
20-49 employees,0.92,0.15
50-99 employees,0.89,0.43
100-149 employees,0.91,0.31
250+ employees,0.9,0.57
10-19 employees,0.89,0.17
20-49 employees,0.94,0.08
50-99 employees,0.91,0.26
100-149 employees,0.93,0.16
250+ employees,0.92,0.33
10-19 employees,0.91,0.11
20-49 employees,0.96,0.04
50-99 employees,0.93,0.15
100-149 employees,0.95,0.08
250+ employees,0.94,0.18
10-19 employees,0.94,0.05
20-49 employees,0.99,0.02
50-99 employees,0.95,0.08
100-149 employees,0.98,0.05
250+ employees,0.96,0.09
10-19 employees,0.96,0.03
20-49 employees,1.01,0.01
50-99 employees,0.97,0.03
100-149 employees,1,0.02
250+ employees,0.98,0.05
10-19 employees,0.98,0.01
20-49 employees,1.03,0
50-99 employees,0.99,0.01
100-149 employees,1.02,0.01
250+ employees,1,0.02
