Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
"Cooks, Short Order",30360,133290.0,35-2015,154.0,1.9046,0.94
"Hotel, Motel, and Resort Desk Clerks",28910,243180.0,43-4081,98.0,2.5993,0.94
Tire Builders,51650,18360.0,51-9197,390.0,1.8606,0.94
Agricultural Inspectors,44720,14000.0,45-2011,427.0,3.1029,0.94
Paralegals and Legal Assistants,59200,345240.0,23-2011,74.0,5.191599999999999,0.94
Manicurists and Pedicurists,31130,138020.0,39-5092,149.0,1.7951,0.95
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",39950,52610.0,43-5111,264.0,2.3805,0.95
"Textile Cutting Machine Setters, Operators, and Tenders",34420,10700.0,51-6062,460.0,1.6768999999999998,0.95
Bill and Account Collectors,39470,202840.0,43-3011,114.0,3.3798,0.95
Nuclear Power Reactor Operators,115870,5450.0,51-8011,507.0,3.2732,0.95
"Library Assistants, Clerical",31150,77660.0,43-4121,223.0,2.85,0.95
Operating Engineers and Other Construction Equipment Operators,51430,423040.0,47-2073,55.0,2.3184,0.95
Print Binding and Finishing Workers,36970,39030.0,51-5113,305.0,2.1012000000000004,0.95
Animal Breeders,45320,1270.0,45-2021,551.0,2.3153,0.95
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",37050,165820.0,51-4072,131.0,1.8396,0.95
Adhesive Bonding Machine Operators and Tenders,38780,11320.0,51-9191,454.0,2.0737,0.95
Landscaping and Groundskeeping Workers,35890,914230.0,37-3011,22.0,2.7467,0.95
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",38910,73800.0,51-4033,228.0,2.2128,0.95
Postal Service Clerks,56200,77690.0,43-5051,222.0,2.348,0.95
"Dispatchers, Except Police, Fire, and Ambulance",44830,206370.0,43-5032,111.0,3.0499,0.96
Receptionists and Information Clerks,33960,1011170.0,43-4171,21.0,2.6479,0.96
"Office Clerks, General",38040,2517350.0,43-9061,7.0,3.4469,0.96
Compensation and Benefits Managers,131280,16850.0,11-3111,402.0,6.3334,0.96
"Switchboard Operators, Including Answering Service",34670,47430.0,43-2011,280.0,2.2554,0.96
"Rock Splitters, Quarry",46010,3910.0,47-5051,521.0,3.023,0.96
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",41000,1826710.0,43-6014,10.0,3.3798,0.96
"Model Makers, Wood",46940,720.0,51-7031,553.0,2.2477,0.96
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",33720,23830.0,51-6064,362.0,1.4615999999999998,0.96
Locomotive Engineers,74570,36440.0,53-4011,308.0,2.34,0.96
"Cooks, Restaurant",34110,1321480.0,35-2014,15.0,2.6535,0.96
"Ushers, Lobby Attendants, and Ticket Takers",27650,98350.0,39-3031,196.0,1.8408,0.96
Billing and Posting Clerks,42810,441980.0,43-3021,51.0,3.5515000000000003,0.96
Bridge and Lock Tenders,47280,3690.0,53-6011,525.0,2.05,0.97
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",36830,63680.0,51-7042,239.0,1.9076,0.97
Shoe Machine Operators and Tenders,33060,2960.0,51-6042,535.0,1.8475,0.97
Farm Labor Contractors,49330,550.0,13-1074,556.0,1.7108,0.97
Textile Bleaching and Dyeing Machine Operators and Tenders,32680,6640.0,51-6061,493.0,2.5328,0.97
Dental Laboratory Technicians,46050,33330.0,51-9081,316.0,2.6702,0.97
