Date,Adj Close,Close,High,Low,Open,Midmarket_Rate
2016-08-24,0.010038,0.010038,0.010049,0.009852,0.010038,0.009951
2016-08-25,0.010037,0.010037,0.010048,0.009877,0.010039,0.009962
2016-08-26,0.010038,0.010038,0.010048,0.009995,0.010038,0.010021
2016-08-29,0.010044,0.010044,0.010048,0.009872,0.009872,0.00996
2016-08-30,0.01005,0.01005,0.010054,0.009872,0.010044,0.009963
2016-08-31,0.010056,0.010056,0.010057,0.009996,0.010049,0.010027
2016-09-01,0.01006,0.01006,0.010062,0.010008,0.010013,0.010035
2016-09-02,0.010058,0.010058,0.010064,0.010023,0.010062,0.010044
2016-09-05,0.010044,0.010044,0.010064,0.010016,0.010061,0.01004
2016-09-06,0.010049,0.010049,0.010058,0.01,0.010044,0.010029
2016-09-07,0.010048,0.010048,0.010053,0.010002,0.010045,0.010028
2016-09-08,0.010048,0.010048,0.010059,0.009881,0.010049,0.00997
2016-09-09,0.009886,0.009886,0.010064,0.009886,0.010049,0.009975
2016-09-12,0.010048,0.010048,0.010056,0.010012,0.010054,0.010034
2016-09-13,0.01006,0.01006,0.010065,0.009891,0.010045,0.009978
2016-09-14,0.010058,0.010058,0.010066,0.010011,0.010059,0.010038
2016-09-15,0.010063,0.010063,0.010066,0.010006,0.010061,0.010036
2016-09-16,0.01005,0.01005,0.010063,0.010003,0.010063,0.010033
2016-09-19,0.010049,0.010049,0.010065,0.009877,0.009948,0.009971
2016-09-20,0.010055,0.010055,0.010061,0.010009,0.010048,0.010035
2016-09-21,0.010045,0.010045,0.010066,0.010013,0.010055,0.01004
2016-09-22,0.010059,0.010059,0.010064,0.009886,0.010052,0.009975
2016-09-23,0.010054,0.010054,0.010069,0.009886,0.010059,0.009978
2016-09-26,0.01005,0.01005,0.010066,0.010019,0.010066,0.010043
2016-09-27,0.010049,0.010049,0.010063,0.009891,0.010024,0.009977
2016-09-28,0.010039,0.010039,0.010056,0.009877,0.010046,0.009966
2016-09-29,0.010048,0.010048,0.010062,0.010003,0.01004,0.010032
2016-09-30,0.010048,0.010048,0.010066,0.010007,0.01005,0.010036
2016-10-03,0.010059,0.010059,0.010065,0.009877,0.01004,0.009971
2016-10-04,0.010059,0.010059,0.010062,0.009881,0.010055,0.009972
2016-10-05,0.010054,0.010054,0.010062,0.010006,0.010058,0.010034
2016-10-06,0.01005,0.01005,0.010059,0.010007,0.010056,0.010033
2016-10-07,0.010058,0.010058,0.01006,0.009877,0.010055,0.009968
2016-10-10,0.010049,0.010049,0.010059,0.010011,0.010053,0.010035
2016-10-11,0.010051,0.010051,0.01006,0.010019,0.010049,0.010039
2016-10-12,0.010052,0.010052,0.010058,0.010021,0.010048,0.010039
2016-10-13,0.010052,0.010052,0.010059,0.009867,0.01005,0.009963
2016-10-14,0.010041,0.010041,0.010057,0.010002,0.010048,0.01003
2016-10-17,0.010051,0.010051,0.010057,0.010004,0.010037,0.01003
2016-10-18,0.010052,0.010052,0.010057,0.009875,0.010053,0.009966
2016-10-19,0.010045,0.010045,0.010058,0.01,0.010054,0.010029
2016-10-20,0.010034,0.010034,0.010046,0.009857,0.010046,0.009952
