Date,Value,Series,Age_Midpoint,Date Label
1998,37.7, Aged 50-64,57.0,1998
1999,37.2, Aged 50-64,57.0,1999
2000,36.6, Aged 50-64,57.0,2000
2001,36.0, Aged 50-64,57.0,2001
2002,35.3, Aged 50-64,57.0,2002
2003,34.3, Aged 50-64,57.0,2003
2004,34.0, Aged 50-64,57.0,2004
2005,33.6, Aged 50-64,57.0,2005
2006,33.1, Aged 50-64,57.0,2006
2007,32.9, Aged 50-64,57.0,2007
2008,32.3, Aged 50-64,57.0,2008
2009,31.8, Aged 50-64,57.0,2009
2010,31.8, Aged 50-64,57.0,2010
2011,31.6, Aged 50-64,57.0,2011
2012,30.4, Aged 50-64,57.0,2012
2013,29.1, Aged 50-64,57.0,2013
2014,28.5, Aged 50-64,57.0,2014
2015,27.9, Aged 50-64,57.0,2015
2016,26.9, Aged 50-64,57.0,2016
2017,26.6, Aged 50-64,57.0,2017
2018,25.9, Aged 50-64,57.0,2018
2019,25.5, Aged 50-64,57.0,2019
2020,25.9, Aged 50-64,57.0,2020
2021,26.5, Aged 50-64,57.0,2021
2022,27.2, Aged 50-64,57.0,2022
1992,40.4, Aged 16-17,16.5,1992
1993,45.3, Aged 16-17,16.5,1993
1994,44.9, Aged 16-17,16.5,1994
1995,43.5, Aged 16-17,16.5,1995
1996,42.0, Aged 16-17,16.5,1996
1997,40.0, Aged 16-17,16.5,1997
1998,39.8, Aged 16-17,16.5,1998
1999,41.4, Aged 16-17,16.5,1999
2000,42.4, Aged 16-17,16.5,2000
2001,44.2, Aged 16-17,16.5,2001
2002,45.5, Aged 16-17,16.5,2002
2003,46.2, Aged 16-17,16.5,2003
2004,47.7, Aged 16-17,16.5,2004
2005,50.1, Aged 16-17,16.5,2005
2006,53.0, Aged 16-17,16.5,2006
2007,54.1, Aged 16-17,16.5,2007
2008,55.5, Aged 16-17,16.5,2008
2009,59.7, Aged 16-17,16.5,2009
2010,62.3, Aged 16-17,16.5,2010
2011,62.7, Aged 16-17,16.5,2011
2012,63.2, Aged 16-17,16.5,2012
2013,65.6, Aged 16-17,16.5,2013
2014,67.0, Aged 16-17,16.5,2014
2015,66.0, Aged 16-17,16.5,2015
2016,66.5, Aged 16-17,16.5,2016
2017,67.6, Aged 16-17,16.5,2017
2018,68.6, Aged 16-17,16.5,2018
2019,69.2, Aged 16-17,16.5,2019
2020,73.7, Aged 16-17,16.5,2020
2021,73.7, Aged 16-17,16.5,2021
2022,69.2, Aged 16-17,16.5,2022
