date,month,value,year,series
1993-11-01,November,63.8,1993,All items
1993-12-01,December,64.0,1993,All items
1994-01-01,January,64.0,1994,All items
1994-02-01,February,64.2,1994,All items
1994-03-01,March,64.4,1994,All items
1994-04-01,April,64.9,1994,All items
1994-05-01,May,65.1,1994,All items
1994-06-01,June,65.1,1994,All items
1994-07-01,July,64.7,1994,All items
1994-08-01,August,65.1,1994,All items
1994-09-01,September,65.2,1994,All items
1994-10-01,October,65.1,1994,All items
1994-11-01,November,65.2,1994,All items
1994-12-01,December,65.5,1994,All items
1995-01-01,January,65.5,1995,All items
1995-02-01,February,65.7,1995,All items
1995-03-01,March,66.0,1995,All items
1995-04-01,April,66.4,1995,All items
1995-05-01,May,66.7,1995,All items
1995-06-01,June,66.8,1995,All items
1995-07-01,July,66.6,1995,All items
1995-08-01,August,66.9,1995,All items
1995-09-01,September,67.2,1995,All items
1995-10-01,October,67.1,1995,All items
1995-11-01,November,67.1,1995,All items
1995-12-01,December,67.5,1995,All items
1996-01-01,January,67.4,1996,All items
1996-02-01,February,67.7,1996,All items
1996-03-01,March,67.9,1996,All items
1996-04-01,April,68.3,1996,All items
1996-05-01,May,68.6,1996,All items
1996-06-01,June,68.7,1996,All items
1996-07-01,July,68.3,1996,All items
1996-08-01,August,68.7,1996,All items
1996-09-01,September,69.0,1996,All items
1996-10-01,October,69.1,1996,All items
1996-11-01,November,69.2,1996,All items
1996-12-01,December,69.4,1996,All items
1997-01-01,January,69.2,1997,All items
1997-02-01,February,69.3,1997,All items
1997-03-01,March,69.4,1997,All items
1997-04-01,April,69.7,1997,All items
1997-05-01,May,70.0,1997,All items
1997-06-01,June,70.1,1997,All items
1997-07-01,July,70.0,1997,All items
1997-08-01,August,70.3,1997,All items
1997-09-01,September,70.5,1997,All items
1997-10-01,October,70.6,1997,All items
1997-11-01,November,70.6,1997,All items
1997-12-01,December,70.7,1997,All items
1998-01-01,January,70.4,1998,All items
1998-02-01,February,70.6,1998,All items
1998-03-01,March,70.8,1998,All items
1998-04-01,April,71.2,1998,All items
1998-05-01,May,71.5,1998,All items
1998-06-01,June,71.4,1998,All items
1998-07-01,July,71.2,1998,All items
1998-08-01,August,71.4,1998,All items
1998-09-01,September,71.7,1998,All items
1998-10-01,October,71.7,1998,All items
1998-11-01,November,71.8,1998,All items
1998-12-01,December,72.0,1998,All items
1999-01-01,January,71.8,1999,All items
1999-02-01,February,71.9,1999,All items
1999-03-01,March,72.3,1999,All items
1999-04-01,April,72.6,1999,All items
1999-05-01,May,72.8,1999,All items
1999-06-01,June,72.7,1999,All items
1999-07-01,July,72.4,1999,All items
1999-08-01,August,72.6,1999,All items
1999-09-01,September,72.8,1999,All items
1999-10-01,October,72.8,1999,All items
1999-11-01,November,72.9,1999,All items
1999-12-01,December,73.1,1999,All items
2000-01-01,January,72.6,2000,All items
2000-02-01,February,72.8,2000,All items
2000-03-01,March,73.0,2000,All items
2000-04-01,April,73.3,2000,All items
2000-05-01,May,73.5,2000,All items
2000-06-01,June,73.6,2000,All items
2000-07-01,July,73.3,2000,All items
2000-08-01,August,73.3,2000,All items
2000-09-01,September,73.8,2000,All items
2000-10-01,October,73.8,2000,All items
2000-11-01,November,74.0,2000,All items
2000-12-01,December,74.0,2000,All items
2001-01-01,January,73.5,2001,All items
2001-02-01,February,73.7,2001,All items
2001-03-01,March,73.9,2001,All items
2001-04-01,April,74.4,2001,All items
2001-05-01,May,74.9,2001,All items
2001-06-01,June,75.0,2001,All items
2001-07-01,July,74.5,2001,All items
2001-08-01,August,74.8,2001,All items
2001-09-01,September,75.0,2001,All items
2001-10-01,October,74.9,2001,All items
2001-11-01,November,74.9,2001,All items
2001-12-01,December,75.0,2001,All items
2002-01-01,January,74.8,2002,All items
2002-02-01,February,75.0,2002,All items
2002-03-01,March,75.2,2002,All items
2002-04-01,April,75.6,2002,All items
2002-05-01,May,75.8,2002,All items
2002-06-01,June,75.8,2002,All items
2002-07-01,July,75.6,2002,All items
2002-08-01,August,75.8,2002,All items
2002-09-01,September,76.0,2002,All items
2002-10-01,October,76.1,2002,All items
2002-11-01,November,76.1,2002,All items
2002-12-01,December,76.3,2002,All items
2003-01-01,January,75.9,2003,All items
2003-02-01,February,76.1,2003,All items
2003-03-01,March,76.4,2003,All items
2003-04-01,April,76.8,2003,All items
2003-05-01,May,76.8,2003,All items
2003-06-01,June,76.7,2003,All items
2003-07-01,July,76.6,2003,All items
2003-08-01,August,76.8,2003,All items
2003-09-01,September,77.0,2003,All items
2003-10-01,October,77.1,2003,All items
2003-11-01,November,77.1,2003,All items
2003-12-01,December,77.3,2003,All items
2004-01-01,January,77.0,2004,All items
2004-02-01,February,77.2,2004,All items
2004-03-01,March,77.3,2004,All items
2004-04-01,April,77.6,2004,All items
2004-05-01,May,77.9,2004,All items
2004-06-01,June,77.9,2004,All items
2004-07-01,July,77.7,2004,All items
2004-08-01,August,77.9,2004,All items
2004-09-01,September,77.9,2004,All items
2004-10-01,October,78.1,2004,All items
2004-11-01,November,78.3,2004,All items
2004-12-01,December,78.6,2004,All items
2005-01-01,January,78.3,2005,All items
2005-02-01,February,78.5,2005,All items
2005-03-01,March,78.8,2005,All items
2005-04-01,April,79.1,2005,All items
2005-05-01,May,79.4,2005,All items
2005-06-01,June,79.4,2005,All items
2005-07-01,July,79.5,2005,All items
2005-08-01,August,79.7,2005,All items
2005-09-01,September,79.9,2005,All items
2005-10-01,October,80.0,2005,All items
2005-11-01,November,80.0,2005,All items
2005-12-01,December,80.3,2005,All items
2006-01-01,January,80.0,2006,All items
2006-02-01,February,80.2,2006,All items
2006-03-01,March,80.4,2006,All items
2006-04-01,April,80.9,2006,All items
2006-05-01,May,81.3,2006,All items
2006-06-01,June,81.5,2006,All items
2006-07-01,July,81.5,2006,All items
2006-08-01,August,81.8,2006,All items
2006-09-01,September,81.9,2006,All items
2006-10-01,October,82.0,2006,All items
2006-11-01,November,82.2,2006,All items
2006-12-01,December,82.6,2006,All items
2007-01-01,January,82.1,2007,All items
2007-02-01,February,82.4,2007,All items
2007-03-01,March,82.8,2007,All items
2007-04-01,April,83.1,2007,All items
2007-05-01,May,83.3,2007,All items
2007-06-01,June,83.5,2007,All items
2007-07-01,July,83.1,2007,All items
2007-08-01,August,83.4,2007,All items
2007-09-01,September,83.5,2007,All items
2007-10-01,October,83.8,2007,All items
2007-11-01,November,84.1,2007,All items
2007-12-01,December,84.5,2007,All items
2008-01-01,January,84.1,2008,All items
2008-02-01,February,84.6,2008,All items
2008-03-01,March,84.9,2008,All items
2008-04-01,April,85.6,2008,All items
2008-05-01,May,86.1,2008,All items
2008-06-01,June,86.6,2008,All items
2008-07-01,July,86.6,2008,All items
2008-08-01,August,87.1,2008,All items
2008-09-01,September,87.5,2008,All items
2008-10-01,October,87.3,2008,All items
2008-11-01,November,87.3,2008,All items
2008-12-01,December,87.1,2008,All items
2009-01-01,January,86.6,2009,All items
2009-02-01,February,87.2,2009,All items
2009-03-01,March,87.3,2009,All items
2009-04-01,April,87.5,2009,All items
2009-05-01,May,87.9,2009,All items
2009-06-01,June,88.1,2009,All items
2009-07-01,July,88.0,2009,All items
2009-08-01,August,88.3,2009,All items
2009-09-01,September,88.3,2009,All items
2009-10-01,October,88.4,2009,All items
2009-11-01,November,88.6,2009,All items
2009-12-01,December,88.9,2009,All items
2010-01-01,January,88.8,2010,All items
2010-02-01,February,89.0,2010,All items
2010-03-01,March,89.4,2010,All items
2010-04-01,April,89.9,2010,All items
2010-05-01,May,90.1,2010,All items
2010-06-01,June,90.2,2010,All items
2010-07-01,July,90.0,2010,All items
2010-08-01,August,90.4,2010,All items
2010-09-01,September,90.4,2010,All items
2010-10-01,October,90.6,2010,All items
2010-11-01,November,90.9,2010,All items
2010-12-01,December,91.7,2010,All items
2011-01-01,January,91.8,2011,All items
2011-02-01,February,92.3,2011,All items
2011-03-01,March,92.6,2011,All items
2011-04-01,April,93.3,2011,All items
2011-05-01,May,93.5,2011,All items
2011-06-01,June,93.5,2011,All items
2011-07-01,July,93.5,2011,All items
2011-08-01,August,93.9,2011,All items
2011-09-01,September,94.5,2011,All items
2011-10-01,October,94.5,2011,All items
2011-11-01,November,94.7,2011,All items
2011-12-01,December,95.0,2011,All items
2012-01-01,January,94.7,2012,All items
2012-02-01,February,95.2,2012,All items
2012-03-01,March,95.4,2012,All items
2012-04-01,April,95.9,2012,All items
2012-05-01,May,95.9,2012,All items
2012-06-01,June,95.6,2012,All items
2012-07-01,July,95.7,2012,All items
2012-08-01,August,96.1,2012,All items
2012-09-01,September,96.4,2012,All items
2012-10-01,October,96.8,2012,All items
2012-11-01,November,97.0,2012,All items
2012-12-01,December,97.3,2012,All items
2013-01-01,January,97.0,2013,All items
2013-02-01,February,97.5,2013,All items
2013-03-01,March,97.8,2013,All items
2013-04-01,April,98.0,2013,All items
2013-05-01,May,98.2,2013,All items
2013-06-01,June,98.0,2013,All items
2013-07-01,July,98.0,2013,All items
2013-08-01,August,98.4,2013,All items
2013-09-01,September,98.7,2013,All items
2013-10-01,October,98.8,2013,All items
2013-11-01,November,98.8,2013,All items
2013-12-01,December,99.2,2013,All items
2014-01-01,January,98.7,2014,All items
2014-02-01,February,99.1,2014,All items
2014-03-01,March,99.3,2014,All items
2014-04-01,April,99.6,2014,All items
2014-05-01,May,99.6,2014,All items
2014-06-01,June,99.8,2014,All items
2014-07-01,July,99.6,2014,All items
2014-08-01,August,99.9,2014,All items
2014-09-01,September,100.0,2014,All items
2014-10-01,October,100.1,2014,All items
2014-11-01,November,99.9,2014,All items
2014-12-01,December,99.9,2014,All items
2015-01-01,January,99.2,2015,All items
2015-02-01,February,99.5,2015,All items
2015-03-01,March,99.6,2015,All items
2015-04-01,April,99.9,2015,All items
2015-05-01,May,100.1,2015,All items
2015-06-01,June,100.1,2015,All items
2015-07-01,July,100.0,2015,All items
2015-08-01,August,100.3,2015,All items
2015-09-01,September,100.2,2015,All items
2015-10-01,October,100.3,2015,All items
2015-11-01,November,100.3,2015,All items
2015-12-01,December,100.4,2015,All items
2016-01-01,January,99.9,2016,All items
2016-02-01,February,100.1,2016,All items
2016-03-01,March,100.4,2016,All items
2016-04-01,April,100.6,2016,All items
2016-05-01,May,100.8,2016,All items
2016-06-01,June,101.0,2016,All items
2016-07-01,July,100.9,2016,All items
2016-08-01,August,101.2,2016,All items
2016-09-01,September,101.5,2016,All items
2016-10-01,October,101.6,2016,All items
2016-11-01,November,101.8,2016,All items
2016-12-01,December,102.2,2016,All items
2017-01-01,January,101.8,2017,All items
2017-02-01,February,102.4,2017,All items
2017-03-01,March,102.7,2017,All items
2017-04-01,April,103.2,2017,All items
2017-05-01,May,103.5,2017,All items
2017-06-01,June,103.5,2017,All items
2017-07-01,July,103.5,2017,All items
2017-08-01,August,104.0,2017,All items
2017-09-01,September,104.3,2017,All items
2017-10-01,October,104.4,2017,All items
2017-11-01,November,104.7,2017,All items
2017-12-01,December,105.0,2017,All items
2018-01-01,January,104.5,2018,All items
2018-02-01,February,104.9,2018,All items
2018-03-01,March,105.1,2018,All items
2018-04-01,April,105.5,2018,All items
2018-05-01,May,105.9,2018,All items
2018-06-01,June,105.9,2018,All items
2018-07-01,July,105.9,2018,All items
2018-08-01,August,106.5,2018,All items
2018-09-01,September,106.6,2018,All items
2018-10-01,October,106.7,2018,All items
2018-11-01,November,106.9,2018,All items
2018-12-01,December,107.1,2018,All items
2019-01-01,January,106.4,2019,All items
2019-02-01,February,106.8,2019,All items
2019-03-01,March,107.0,2019,All items
2019-04-01,April,107.6,2019,All items
2019-05-01,May,107.9,2019,All items
2019-06-01,June,107.9,2019,All items
2019-07-01,July,108.0,2019,All items
2019-08-01,August,108.3,2019,All items
2019-09-01,September,108.4,2019,All items
2019-10-01,October,108.3,2019,All items
2019-11-01,November,108.5,2019,All items
2019-12-01,December,108.5,2019,All items
2020-01-01,January,108.3,2020,All items
2020-02-01,February,108.6,2020,All items
2020-03-01,March,108.6,2020,All items
2020-04-01,April,108.6,2020,All items
2020-05-01,May,108.6,2020,All items
2020-06-01,June,108.8,2020,All items
2020-07-01,July,109.2,2020,All items
2020-08-01,August,108.8,2020,All items
2020-09-01,September,109.2,2020,All items
2020-10-01,October,109.2,2020,All items
2020-11-01,November,109.1,2020,All items
2020-12-01,December,109.4,2020,All items
2021-01-01,January,109.3,2021,All items
2021-02-01,February,109.4,2021,All items
2021-03-01,March,109.7,2021,All items
2021-04-01,April,110.4,2021,All items
2021-05-01,May,111.0,2021,All items
2021-06-01,June,111.4,2021,All items
2021-07-01,July,111.4,2021,All items
2021-08-01,August,112.1,2021,All items
2021-09-01,September,112.4,2021,All items
2021-10-01,October,113.4,2021,All items
2021-11-01,November,114.1,2021,All items
2021-12-01,December,114.7,2021,All items
2022-01-01,January,114.6,2022,All items
2022-02-01,February,115.4,2022,All items
2022-03-01,March,116.5,2022,All items
2022-04-01,April,119.0,2022,All items
2022-05-01,May,119.7,2022,All items
2022-06-01,June,120.5,2022,All items
2022-07-01,July,121.2,2022,All items
2022-08-01,August,121.8,2022,All items
2022-09-01,September,122.3,2022,All items
2022-10-01,October,124.3,2022,All items
2022-11-01,November,124.8,2022,All items
2022-12-01,December,125.3,2022,All items
2023-01-01,January,124.8,2023,All items
2023-02-01,February,126.0,2023,All items
2023-03-01,March,126.8,2023,All items
2023-04-01,April,128.3,2023,All items
2023-05-01,May,129.1,2023,All items
2023-06-01,June,129.4,2023,All items
2023-07-01,July,129.0,2023,All items
2023-08-01,August,129.4,2023,All items
2023-09-01,September,130.1,2023,All items
1988-01-01,January,48.2,1988,Food
1988-02-01,February,48.5,1988,Food
1988-03-01,March,48.6,1988,Food
1988-04-01,April,48.9,1988,Food
1988-05-01,May,49.0,1988,Food
1988-06-01,June,49.0,1988,Food
1988-07-01,July,48.5,1988,Food
1988-08-01,August,48.7,1988,Food
1988-09-01,September,48.9,1988,Food
1988-10-01,October,48.9,1988,Food
1988-11-01,November,49.3,1988,Food
1988-12-01,December,49.7,1988,Food
1989-01-01,January,50.1,1989,Food
1989-02-01,February,50.3,1989,Food
1989-03-01,March,50.5,1989,Food
1989-04-01,April,51.1,1989,Food
1989-05-01,May,51.5,1989,Food
1989-06-01,June,51.6,1989,Food
1989-07-01,July,51.3,1989,Food
1989-08-01,August,51.5,1989,Food
1989-09-01,September,51.9,1989,Food
1989-10-01,October,52.5,1989,Food
1989-11-01,November,53.0,1989,Food
1989-12-01,December,53.5,1989,Food
1990-01-01,January,54.3,1990,Food
1990-02-01,February,54.8,1990,Food
1990-03-01,March,55.0,1990,Food
1990-04-01,April,55.5,1990,Food
1990-05-01,May,56.1,1990,Food
1990-06-01,June,56.0,1990,Food
1990-07-01,July,55.3,1990,Food
1990-08-01,August,55.9,1990,Food
1990-09-01,September,56.1,1990,Food
1990-10-01,October,56.1,1990,Food
1990-11-01,November,56.6,1990,Food
1990-12-01,December,57.0,1990,Food
1991-01-01,January,57.5,1991,Food
1991-02-01,February,58.2,1991,Food
1991-03-01,March,58.2,1991,Food
1991-04-01,April,58.8,1991,Food
1991-05-01,May,58.7,1991,Food
1991-06-01,June,59.3,1991,Food
1991-07-01,July,58.4,1991,Food
1991-08-01,August,59.0,1991,Food
1991-09-01,September,58.5,1991,Food
1991-10-01,October,58.5,1991,Food
1991-11-01,November,59.1,1991,Food
1991-12-01,December,59.2,1991,Food
1992-01-01,January,59.7,1992,Food
1992-02-01,February,60.0,1992,Food
1992-03-01,March,60.1,1992,Food
1992-04-01,April,59.8,1992,Food
1992-05-01,May,60.1,1992,Food
1992-06-01,June,59.9,1992,Food
1992-07-01,July,59.0,1992,Food
1992-08-01,August,59.2,1992,Food
1992-09-01,September,59.0,1992,Food
1992-10-01,October,59.2,1992,Food
1992-11-01,November,59.1,1992,Food
1992-12-01,December,59.7,1992,Food
1993-01-01,January,59.9,1993,Food
1993-02-01,February,60.6,1993,Food
1993-03-01,March,61.0,1993,Food
1993-04-01,April,60.7,1993,Food
1993-05-01,May,61.5,1993,Food
1993-06-01,June,61.1,1993,Food
1993-07-01,July,61.1,1993,Food
1993-08-01,August,61.1,1993,Food
1993-09-01,September,60.8,1993,Food
1993-10-01,October,60.2,1993,Food
1993-11-01,November,59.9,1993,Food
1993-12-01,December,60.1,1993,Food
1994-01-01,January,60.4,1994,Food
1994-02-01,February,60.7,1994,Food
1994-03-01,March,61.1,1994,Food
1994-04-01,April,61.3,1994,Food
1994-05-01,May,61.8,1994,Food
1994-06-01,June,61.8,1994,Food
1994-07-01,July,61.4,1994,Food
1994-08-01,August,61.5,1994,Food
1994-09-01,September,60.9,1994,Food
1994-10-01,October,60.7,1994,Food
1994-11-01,November,61.0,1994,Food
1994-12-01,December,61.6,1994,Food
1995-01-01,January,62.0,1995,Food
1995-02-01,February,62.3,1995,Food
1995-03-01,March,62.8,1995,Food
1995-04-01,April,62.7,1995,Food
1995-05-01,May,63.8,1995,Food
1995-06-01,June,63.5,1995,Food
1995-07-01,July,63.0,1995,Food
1995-08-01,August,64.1,1995,Food
1995-09-01,September,64.2,1995,Food
1995-10-01,October,63.3,1995,Food
1995-11-01,November,63.4,1995,Food
1995-12-01,December,64.0,1995,Food
1996-01-01,January,64.5,1996,Food
1996-02-01,February,65.1,1996,Food
1996-03-01,March,65.6,1996,Food
1996-04-01,April,65.6,1996,Food
1996-05-01,May,66.2,1996,Food
1996-06-01,June,66.1,1996,Food
1996-07-01,July,65.0,1996,Food
1996-08-01,August,65.9,1996,Food
1996-09-01,September,65.2,1996,Food
1996-10-01,October,64.5,1996,Food
1996-11-01,November,64.2,1996,Food
1996-12-01,December,64.3,1996,Food
1997-01-01,January,64.8,1997,Food
1997-02-01,February,64.6,1997,Food
1997-03-01,March,64.1,1997,Food
1997-04-01,April,64.3,1997,Food
1997-05-01,May,64.8,1997,Food
1997-06-01,June,65.5,1997,Food
1997-07-01,July,65.0,1997,Food
1997-08-01,August,65.2,1997,Food
1997-09-01,September,65.0,1997,Food
1997-10-01,October,65.0,1997,Food
1997-11-01,November,64.8,1997,Food
1997-12-01,December,64.8,1997,Food
1998-01-01,January,64.7,1998,Food
1998-02-01,February,64.4,1998,Food
1998-03-01,March,64.2,1998,Food
1998-04-01,April,64.5,1998,Food
1998-05-01,May,65.5,1998,Food
1998-06-01,June,65.3,1998,Food
1998-07-01,July,65.1,1998,Food
1998-08-01,August,65.9,1998,Food
1998-09-01,September,65.6,1998,Food
1998-10-01,October,65.7,1998,Food
1998-11-01,November,65.6,1998,Food
1998-12-01,December,66.2,1998,Food
1999-01-01,January,66.4,1999,Food
1999-02-01,February,66.4,1999,Food
1999-03-01,March,65.9,1999,Food
1999-04-01,April,65.7,1999,Food
1999-05-01,May,66.2,1999,Food
1999-06-01,June,65.7,1999,Food
1999-07-01,July,65.0,1999,Food
1999-08-01,August,64.9,1999,Food
1999-09-01,September,64.7,1999,Food
1999-10-01,October,64.7,1999,Food
1999-11-01,November,65.0,1999,Food
1999-12-01,December,65.2,1999,Food
2000-01-01,January,65.1,2000,Food
2000-02-01,February,65.0,2000,Food
2000-03-01,March,64.4,2000,Food
2000-04-01,April,64.3,2000,Food
2000-05-01,May,64.9,2000,Food
2000-06-01,June,65.2,2000,Food
2000-07-01,July,65.8,2000,Food
2000-08-01,August,65.2,2000,Food
2000-09-01,September,65.4,2000,Food
2000-10-01,October,65.4,2000,Food
2000-11-01,November,65.9,2000,Food
2000-12-01,December,66.0,2000,Food
2001-01-01,January,66.2,2001,Food
2001-02-01,February,66.3,2001,Food
2001-03-01,March,67.2,2001,Food
2001-04-01,April,67.4,2001,Food
2001-05-01,May,69.4,2001,Food
2001-06-01,June,69.8,2001,Food
2001-07-01,July,68.3,2001,Food
2001-08-01,August,68.1,2001,Food
2001-09-01,September,68.0,2001,Food
2001-10-01,October,68.1,2001,Food
2001-11-01,November,68.1,2001,Food
2001-12-01,December,68.5,2001,Food
2002-01-01,January,69.0,2002,Food
2002-02-01,February,69.0,2002,Food
2002-03-01,March,69.1,2002,Food
2002-04-01,April,69.0,2002,Food
2002-05-01,May,68.8,2002,Food
2002-06-01,June,68.3,2002,Food
2002-07-01,July,68.3,2002,Food
2002-08-01,August,68.1,2002,Food
2002-09-01,September,68.3,2002,Food
2002-10-01,October,68.4,2002,Food
2002-11-01,November,68.3,2002,Food
2002-12-01,December,68.3,2002,Food
2003-01-01,January,68.3,2003,Food
2003-02-01,February,68.8,2003,Food
2003-03-01,March,69.0,2003,Food
2003-04-01,April,69.3,2003,Food
2003-05-01,May,69.7,2003,Food
2003-06-01,June,69.4,2003,Food
2003-07-01,July,69.3,2003,Food
2003-08-01,August,69.4,2003,Food
2003-09-01,September,70.1,2003,Food
2003-10-01,October,70.2,2003,Food
2003-11-01,November,70.4,2003,Food
2003-12-01,December,70.7,2003,Food
2004-01-01,January,70.5,2004,Food
2004-02-01,February,70.6,2004,Food
2004-03-01,March,70.7,2004,Food
2004-04-01,April,70.5,2004,Food
2004-05-01,May,70.7,2004,Food
2004-06-01,June,70.2,2004,Food
2004-07-01,July,69.7,2004,Food
2004-08-01,August,69.5,2004,Food
2004-09-01,September,69.7,2004,Food
2004-10-01,October,69.9,2004,Food
2004-11-01,November,70.3,2004,Food
2004-12-01,December,70.8,2004,Food
2005-01-01,January,70.9,2005,Food
2005-02-01,February,71.4,2005,Food
2005-03-01,March,72.1,2005,Food
2005-04-01,April,71.4,2005,Food
2005-05-01,May,71.9,2005,Food
2005-06-01,June,71.9,2005,Food
2005-07-01,July,70.9,2005,Food
2005-08-01,August,71.0,2005,Food
2005-09-01,September,71.1,2005,Food
2005-10-01,October,71.0,2005,Food
2005-11-01,November,71.5,2005,Food
2005-12-01,December,71.9,2005,Food
2006-01-01,January,71.6,2006,Food
2006-02-01,February,72.0,2006,Food
2006-03-01,March,71.6,2006,Food
2006-04-01,April,71.4,2006,Food
2006-05-01,May,72.4,2006,Food
2006-06-01,June,72.9,2006,Food
2006-07-01,July,73.1,2006,Food
2006-08-01,August,73.4,2006,Food
2006-09-01,September,73.7,2006,Food
2006-10-01,October,74.1,2006,Food
2006-11-01,November,74.9,2006,Food
2006-12-01,December,75.1,2006,Food
2007-01-01,January,74.4,2007,Food
2007-02-01,February,75.0,2007,Food
2007-03-01,March,75.5,2007,Food
2007-04-01,April,75.6,2007,Food
2007-05-01,May,75.9,2007,Food
2007-06-01,June,76.4,2007,Food
2007-07-01,July,74.9,2007,Food
2007-08-01,August,75.4,2007,Food
2007-09-01,September,76.5,2007,Food
2007-10-01,October,77.9,2007,Food
2007-11-01,November,78.8,2007,Food
2007-12-01,December,79.5,2007,Food
2008-01-01,January,79.3,2008,Food
2008-02-01,February,79.6,2008,Food
2008-03-01,March,79.9,2008,Food
2008-04-01,April,81.1,2008,Food
2008-05-01,May,82.6,2008,Food
2008-06-01,June,84.6,2008,Food
2008-07-01,July,85.2,2008,Food
2008-08-01,August,86.4,2008,Food
2008-09-01,September,86.3,2008,Food
2008-10-01,October,86.6,2008,Food
2008-11-01,November,88.0,2008,Food
2008-12-01,December,88.7,2008,Food
2009-01-01,January,88.2,2009,Food
2009-02-01,February,89.5,2009,Food
2009-03-01,March,88.9,2009,Food
2009-04-01,April,88.5,2009,Food
2009-05-01,May,89.5,2009,Food
2009-06-01,June,89.2,2009,Food
2009-07-01,July,88.7,2009,Food
2009-08-01,August,88.0,2009,Food
2009-09-01,September,87.2,2009,Food
2009-10-01,October,88.1,2009,Food
2009-11-01,November,89.0,2009,Food
2009-12-01,December,89.7,2009,Food
2010-01-01,January,89.4,2010,Food
2010-02-01,February,90.4,2010,Food
2010-03-01,March,90.5,2010,Food
2010-04-01,April,90.8,2010,Food
2010-05-01,May,90.6,2010,Food
2010-06-01,June,90.7,2010,Food
2010-07-01,July,91.4,2010,Food
2010-08-01,August,91.5,2010,Food
2010-09-01,September,91.5,2010,Food
2010-10-01,October,91.9,2010,Food
2010-11-01,November,93.4,2010,Food
2010-12-01,December,94.9,2010,Food
2011-01-01,January,94.5,2011,Food
2011-02-01,February,95.5,2011,Food
2011-03-01,March,94.2,2011,Food
2011-04-01,April,94.3,2011,Food
2011-05-01,May,95.5,2011,Food
2011-06-01,June,96.7,2011,Food
2011-07-01,July,96.9,2011,Food
2011-08-01,August,96.8,2011,Food
2011-09-01,September,97.1,2011,Food
2011-10-01,October,96.2,2011,Food
2011-11-01,November,96.9,2011,Food
2011-12-01,December,98.3,2011,Food
2012-01-01,January,97.8,2012,Food
2012-02-01,February,98.7,2012,Food
2012-03-01,March,98.5,2012,Food
2012-04-01,April,98.2,2012,Food
2012-05-01,May,98.7,2012,Food
2012-06-01,June,98.6,2012,Food
2012-07-01,July,98.5,2012,Food
2012-08-01,August,98.7,2012,Food
2012-09-01,September,98.8,2012,Food
2012-10-01,October,99.4,2012,Food
2012-11-01,November,100.6,2012,Food
2012-12-01,December,102.2,2012,Food
2013-01-01,January,102.1,2013,Food
2013-02-01,February,102.8,2013,Food
2013-03-01,March,102.2,2013,Food
2013-04-01,April,103.1,2013,Food
2013-05-01,May,103.0,2013,Food
2013-06-01,June,102.4,2013,Food
