General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.3,45.9,48.8,49.1,50.3,54.4,37.9,34.7,35.9,41.9,44.5,46.4,45.9,45.3,50.3,46.4,47.9,51.5,53.4,51,48.6,47.4,46.2,44.3,44.6,43.4,45.8,49.5,65.8,86.7,91.5,82.9,79.1,78.7,82.5,83.6,83,81.4,79.3,76,2025
Finland,10.9,11.5,13.9,15.4,15.2,15.8,16.4,17.6,16.5,14.3,13.9,21.9,39.3,54.2,56.2,55.2,55.4,52.2,46.8,44,42.4,40.9,40.1,42.7,42.6,39.9,38,33.9,32.6,41.5,50.1,52,57.9,60.8,64.8,68.8,68.6,66.6,65.3,65.3,75.3,73.1,74,77,82.4,89.3,93.1,94.2,96.2,97.9,99.3,100.8,2024
France,21.3,22.6,26.2,27.7,30.2,31.9,32.4,34.8,34.7,35.5,36.8,37.8,41.7,48.2,51.6,57.8,60.6,62,62.1,61.4,59.7,59.3,61.3,65.4,66.9,68.2,65.4,65.5,69.8,84.1,86.3,88.7,91.7,94.6,96.2,97,98.1,98.8,98.5,98.2,114.9,112.8,111.4,109.6,113.2,116,118.4,120.5,121.1,121.3,121.2,120.7,2024
French Guiana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
French Polynesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90,89.3,87.9,90.1,71.3,73.4,64.5,57,87.6,73.1,72.5,81,81.1,70.2,60.3,41.7,34.9,39.2,20.1,26,21.3,21.4,21.4,31.1,34.1,44.7,64.5,62.9,62.3,59.8,83,72.9,65.6,70.6,70.9,78.9,86.1,94.3,102.1,108,114.3,121.1,2024
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.3,75.2,93.9,91.7,81.3,82.6,87.3,38,39.5,38.9,42.9,49.2,49.5,58.2,71.1,69.4,79.5,87,83.6,83,85.9,83.1,83.9,77.4,78.5,73.9,68.3,61.6,56.4,51.8,48.1,44.3,2023
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.5,53,50.3,54.6,44.3,35.3,28.3,22.5,26.3,33.6,31.4,27.7,28.1,28.9,30.3,36,39.5,38.9,38.2,40,59.6,49.1,39.2,38.9,35.7,34.3,35.1,34.5,34,33.3,33,33,2025
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39,41.4,45.1,47.5,54.9,57.7,58.8,59.4,60.3,59.2,58.1,59.8,63.3,65,67.1,66.4,63.7,65.2,72.4,81,78.5,79.8,77.5,74.5,71.2,68.3,64,60.8,58.7,68,67.9,64.4,62.3,62.2,62.9,64.6,66.5,68.4,70.2,72,73.7,2025
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.8,17.3,21.3,34.1,50.6,47.6,42.9,45.2,37.6,51.7,74.5,57.8,54.1,49.3,38.4,31.7,17.3,21.1,23.2,25.4,32.9,31.2,35.5,42.9,50.1,53.9,55.9,57,62,62.9,79.1,86.9,92.7,79.1,70.3,48.8,53,50.7,48.1,45.7,44,42.3,2024
Gibraltar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Greece,22.8,27.1,29.7,34.1,40.6,47.3,47.8,53.2,57.9,60.7,74.2,75.7,81.1,101.7,99.7,100.4,103.7,102.6,100.8,102.8,108.9,110.5,107.9,104.3,105.5,109.9,105.3,104.6,110.9,128.5,147.8,175.1,164.3,180.5,182.8,180,183.7,182.6,189.6,183.7,209.9,197.8,179.2,165.5,155.4,145.7,136.9,130.3,125.2,120.4,115.5,110.9,2024
Greenland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42,40.1,45.3,45.7,43.1,43.9,41.4,40.3,34.5,41.6,44.6,79.1,79.6,94.7,87.3,92.9,89.1,83.9,91.1,96.2,102.8,101.5,105.4,99.3,90.1,81.6,70.3,68.5,62.7,89.5,86.6,79.3,74.5,75.1,71.6,69,69.5,69.8,69.9,69.7,66.8,2024
Guadeloupe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Guam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Guatemala,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18,19.1,17.4,19.8,20.6,20,20.9,20.8,19.6,22.8,24,23.8,24.6,25,24.7,24.8,24.9,25.1,26.4,26.4,31.5,30.6,29,27.2,26.3,27.2,27.6,28.1,28.6,29,29.3,29.6,2024
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,70.9,62,68.9,71.3,66.5,67.7,67.9,75.9,92.3,91.5,90.4,82.6,81.6,86.9,97.9,95.2,60.8,58.5,61.3,71.1,53.8,26.9,30.5,32.1,41.5,40.6,39.9,37.5,37.3,45.3,40.6,37.2,39.8,48.3,48.1,44.7,41.4,37.9,33,31.4,28.9,2025
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.3,109.1,109.9,217.1,204.4,197.5,183.4,202,203.7,190.4,164,148.8,148.3,61.7,45.6,47.4,49.6,60.1,56.3,59.1,51.8,59.1,65.1,77.6,78.8,80.7,79.4,82.4,75.3,73.6,71.8,69.9,68,66.4,65.2,2024
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.3,108,97.1,97.2,104.6,105.1,95.6,91.8,90.7,74.5,47.7,48.2,52.3,53.1,51.7,44.7,41.4,38.7,42.2,35.7,35.2,37.4,34.2,47.4,38.9,24.8,26.7,24.3,28.6,29.2,28,28.3,28.6,29.5,28.9,2025
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.2,24,24.1,32.5,28.8,32,37.8,30.4,29.7,32.2,24.4,33.9,19.4,24.9,22.3,24.1,25.1,21.4,23.9,24.4,22.5,24.1,26.5,22.3,28.4,29.2,27.8,15.5,12.3,10.7,9.6,9.7,10.3,11,11.8,2025
Holy See,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Honduras,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,236.5,135.4,123.2,111.7,85.5,65.4,64.6,70.8,67.4,75.8,65.8,63.4,64.2,67.8,60.9,55.6,39.2,24,22.3,23.8,21.8,24.6,27.1,37.3,35.2,38.3,39.4,41.3,42.4,43.3,53.5,52.7,46.9,41.7,41.5,41.2,43.8,40.1,40,39.1,35.5,34.5,2024
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.9,1.7,1.4,1.2,1,0.7,0.6,0.6,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.3,1,1.9,4.3,6.3,9.2,11.9,14.1,15.6,17.5,18.4,19.2,19.8,2025
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,83.9,71.2,62.2,60.4,60.3,55.6,52.2,55.6,58.2,58.9,60.6,64.5,65.6,71.8,78.2,80.2,80.5,78.4,77.2,76.5,75.7,74.6,72,68.8,65,78.7,76.2,74.1,73.2,73.5,75.2,77.9,80.3,82.8,85,87,88.8,2025
Iceland,no data,no data,28.1,29.9,31.6,31.1,29,26.5,29.6,34.2,34.4,36.4,43.9,50.6,53,56.1,53.7,51.1,43.3,75.5,74.8,82.5,81.3,84.1,80.1,67.8,69.8,67.4,109.3,128.2,131.5,136.6,132.2,121.1,114.1,96.3,81.3,70.8,62.3,65.7,76.1,73.6,66.4,61.5,60.4,56.1,53.6,51.7,49.9,47.8,45.4,43,2024
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.7,78.8,78.3,74.8,70.9,67.1,69,69.3,71.3,74.9,80.1,84.3,85.9,84.9,82.4,77.9,75.4,74.3,72.7,67.7,68.7,68.1,68,67.6,69.8,69.8,70.8,71.7,76.7,90.6,85.7,84.6,85,84.8,84.1,83.4,82.5,81.7,80.6,79.5,77.7,2025
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.4,73.7,62.3,55.6,51.3,42.6,35.8,38.1,30.3,26.5,26.4,23.1,23,24.9,24.6,27,28,29.4,30.4,30.6,39.7,41.1,40.1,39.6,40.2,41,41.5,41.8,42,42.1,42.2,42.2,2025
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.3,30.9,29.6,22.2,18.2,21,23.4,21.9,21.1,18.3,15.2,13.5,10.6,11.5,12.8,10.6,11.7,10.2,10.9,32.1,45.9,43.2,41.6,44.6,47.1,39.9,34.5,29.6,31.2,37.3,37.3,38.2,39.8,41.6,43,44.1,2025
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.3,227.3,143.2,117.1,74.2,87.4,53.5,40.7,34.8,32,27.6,48.3,60.3,55.9,44.4,41.7,72.5,54.7,39,42.1,45.2,53.9,61.7,58.7,60.9,63.8,66.9,70.6,2025
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.5,69.8,61.6,51.4,46.6,36.4,33.6,30.9,29.8,28.1,26.1,23.7,23.9,42.5,61.8,86.2,109.6,118.9,117.7,101.4,74,72.7,65.2,61.3,55.8,56.9,52.4,42.9,41.8,38.3,32.9,31.6,30.3,29.1,28.4,28,28,2024
Isle of Man,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.2,81.1,87.2,89.7,88.3,85.2,77.7,70.8,70.2,72.6,69,67.2,66.9,66,65.8,62.8,61.7,59.8,60.1,59.3,71.1,67.7,60.3,61.3,67.7,68.5,69.8,70.2,71,71.7,72.4,73.2,2025
Italy,no data,no data,no data,no data,no data,no data,no data,no data,95.7,98.4,101.7,105.3,113,124.1,130.8,119.1,118.9,116.5,113.9,113.1,108.7,108.5,105.9,105.1,104.7,106.2,106.3,103.5,105.8,116.1,118.8,119.1,125.9,131.9,134.8,134.8,134.2,133.7,134.2,133.9,154.4,145.8,138.4,133.9,134.7,137.1,138.4,138.8,137.6,137.1,136.5,136.1,2025
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,80.7,89.5,105.3,115.4,120.1,116.9,121.5,114.2,111.6,123.8,138.3,137.8,135.9,140.3,135.2,134.4,115.9,106.9,95.1,88.3,87.7,101.3,86.3,70.2,66.5,62.5,67.7,65.8,65,63.8,62.8,61.6,60.5,2025
Japan,41.4,45.8,50.1,55.1,56.9,59.2,64.2,65.7,62.4,56.9,54.8,54.1,57.9,63.2,73.3,80.7,85.3,91.3,101.6,113.5,118.5,126.8,134.6,140.2,148.8,153.4,152.1,150.4,153.6,172.9,178.6,190.6,197.1,201.2,203.6,200.1,202.1,203.1,203.7,206.3,228.8,222.7,227.8,220.3,214.5,206.5,204.4,200.1,197.7,195.7,193.9,192.8,2024
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,159.7,190.3,197.7,180.5,134.7,122.1,112.1,102.4,101.2,94.7,96.3,98.7,89.9,85.5,85.9,80.4,73.8,66.1,60,58.2,47.9,51.8,53.4,56.1,64,68.8,68.2,71.4,70.7,69.1,67.9,69.4,77.9,79.9,80.7,81,82.1,82.8,81.8,81.1,79.7,78.2,76.8,75.7,2024
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.6,15,11.4,8.1,6.7,4.1,6.8,10.2,10.7,10.2,12.1,12.6,14.5,21.9,19.7,19.9,20.3,19.9,26.4,25.1,23.5,23,24.4,24.6,24.9,26.3,28,29.5,30.8,32.1,2024
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.5,38.4,43.1,41.3,42,43.8,40.8,37.4,37.1,34.2,34.3,36,36.7,35.7,37.6,39.8,41.3,45.8,50.4,53.9,56.4,59.1,68,68.2,67.8,73.4,67.3,69.3,71.6,72.4,73.3,73.6,74.2,75.1,2025
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,2.5,5,7.7,8.4,7.3,10.9,12.3,12.3,11,10.7,9.8,11.8,12.7,17,13.3,12.3,13.6,12.1,12.9,11.1,13.9,10.3,9.4,8.8,8.1,8.9,9,18.8,21.2,20.2,19,18.5,21,17.3,16.2,11.3,8.9,8,7.7,15.8,21.2,28.6,33.2,37.7,2024
"Korea, Dem. People's Rep. of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.9,11.6,10.9,9.6,8.5,7.8,9.7,13.8,15.8,16.1,16.6,16.4,19.1,21.6,24.9,27,26.3,25.9,28.8,28.3,31.7,33.5,36,37.9,38.8,39.1,38,37.9,39.7,45.9,48,49.8,50.5,49.7,52.3,54.4,56.6,58.5,60.1,61.7,63.1,2024
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.3,14.3,10.8,6.9,6.5,5.6,8.6,9.4,11.2,13.4,14.5,16.4,17.1,17.7,24.3,23.1,21.4,18.6,17.9,17.5,18.7,19.6,20.7,21.7,22.6,23.5,2026
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.3,27.9,28.8,37.7,34.9,26.5,24.3,25.6,25.5,21.4,23,21.3,17.2,13.9,10.2,7.8,7,5.4,6.7,6.2,4.6,3.6,3.1,3.4,4.6,9.9,19.6,14.3,10.5,10.2,7.2,3,3.1,2.9,14.6,22.3,27.5,32.1,34.9,36.7,37.8,2024
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,123.3,108.2,107.9,108.2,92.7,85.7,73.4,57.7,49,58.5,59.7,50.1,50.5,47.1,53.6,67.1,59.1,58.8,54.8,48.8,63.6,56.2,46.8,42,36.2,36,37.4,37.7,38.1,38.4,38.7,38.8,2024
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.7,95.3,90.1,80.7,73.2,60,55.9,51.7,51.8,49.3,43,46.1,49.5,53.5,53.1,54.5,57.2,60.6,69.1,75.4,92.2,115.7,108.9,94.7,80.6,74.6,68.6,63.1,58.8,54.7,51.7,2024
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.8,14.8,15.1,17.8,15.4,15.4,15.3,12.5,10.7,9,19.3,37.6,48.2,46.8,44.4,41.8,43.1,38.3,41.7,40.3,38.3,37.9,44,45.9,44.4,44.4,46.2,46.9,47.4,48.5,49.6,50.8,52.2,53.5,2024
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,148.1,163.1,163.1,171.3,169.5,178.9,183.3,169.3,161.5,144.5,136.8,134.4,131.1,135.4,138.5,140.9,147.9,150.4,154,171.9,157.2,345.5,235.9,185.8,157.9,139.4,no data,no data,no data,no data,no data,no data,2025
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,23.3,25.5,18,11.9,64.4,71.2,67,62.8,71.6,65.7,79.4,83,88.5,108.7,79.6,52.6,49.4,41,43.7,49.6,47,35.9,33.8,36.2,39.8,41.2,41.5,45.8,41.5,41,48.2,58.2,54.7,58,64.4,61.1,52.8,49.1,49,48.6,48.1,47.9,48.6,50,2025
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,468.1,465.2,463.6,600.1,543.4,488.5,450.9,366.8,235.3,132.2,25.4,22.5,20.5,20.6,24.3,24.4,28,31.8,36.2,48.1,58.5,53.5,54.4,57.2,56.4,54.9,53.8,53.3,50.5,48.7,45.9,43.1,2025
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2025
Liechtenstein,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.4,0.5,0.4,0.5,0.5,0.4,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2026
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.7,28,23.5,22.9,22.1,20.4,18.6,17.6,17.3,15.9,14.6,27.9,36.7,37.5,39.9,38.9,40.7,42.4,39.8,39.1,33.3,35.6,45.9,43.3,38.3,37.1,38,39.8,45.1,48.9,50.8,52.7,54.4,56.3,2024
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.3,10.2,10.1,9.5,8.4,7.5,7.6,7.4,7.4,7.8,8,8.2,8.1,14.6,15.3,19.1,18.5,20.8,22.4,21.9,21.1,19.6,21.8,20.9,22.3,24.5,24.2,24.9,24.7,26.3,27,28,28.9,30.5,32.2,33.7,35.2,2025
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,92.7,113.8,110.9,105.2,96,95.8,98.7,89.7,108.5,104.1,90.2,82.1,86.7,85.9,81.9,74.4,32.2,28.2,31,34.9,32.3,29.9,30.4,36.2,37.8,44.1,40.3,40.1,42.9,41.3,52.9,49.4,49.8,52.1,49.8,48.7,49.3,50.4,50.6,50.6,48.7,48.3,2025
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.5,84.7,74.7,70.9,17.9,18.9,23.5,23.5,19.3,20,28.6,35.3,33.5,35.5,37.1,40,40.8,41.2,53.9,66.5,75.7,86.7,87.6,78.4,74.5,72.6,70.2,68.8,67.7,68.2,2025
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.1,67.3,59.1,51.1,43.7,38.2,32.8,29.6,33.6,34.4,32.5,38.1,39.5,41.4,42,40.8,39.7,39.3,39.4,50.4,51.2,51.9,53.8,55.7,55.4,57,55.8,54.4,55.6,57.1,67.7,69.2,65.5,69.7,69.8,70.7,69.5,68.7,67.8,66.9,66.1,65.4,2025
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.1,39.3,38.9,39,41.8,44.3,37.6,34.7,43.2,36.8,35.8,39,48.4,52.7,51.9,57.1,55.9,55.1,54.8,61.9,63.8,70.7,77.2,155.7,123.4,111.6,122.4,133.3,125.4,129.4,130.3,131.4,132.5,133.2,131.9,2025
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77,66.3,36,37.7,36.1,39.5,15.4,15.6,17.3,18.8,21.8,20.1,21.3,22.2,22.6,25.8,30.1,30.1,31.4,34.3,39.8,43.2,42.9,44.3,44,41.9,40.8,39.7,38.9,38.5,38.2,37.9,2024
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.3,51.5,60.8,66.4,69.8,64.4,70,65.1,68.6,70.4,70.2,64.5,62,61.5,66,65,68.9,65.6,64.9,60.7,55,53.1,45.6,41.4,39.2,48.6,49.6,50.1,46.8,46,46.8,47.3,47.5,47.5,47.4,47.3,47.3,2024
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7,18.1,26.1,27.3,32.7,37.2,43.7,46.8,45.8,44.4,42.2,44.1,41.2,38.8,35.9,37.6,33.4,34.9,33.9,29.2,26.5,24.7,25.1,21.7,19.9,19.6,18.2,14.2,11.8,16.7,15.3,14.6,13.9,13.4,16.6,2024
Martinique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.5,63.5,59.5,22.9,22,71.1,38,61.5,57.2,54.3,43.9,38.8,39.3,40.7,49.5,59.9,57.6,55.7,59.2,57.7,56.5,54.5,50.3,48.6,45.1,40.1,37.1,37.6,37.3,37,37.9,40.8,2023
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.9,58.2,63,66.9,59.4,58.3,55.3,48.8,48.8,56.8,54.4,54.9,54.2,56.5,59.1,63,62.6,61.3,63.1,81.1,91.9,86.1,81.8,81.5,86.1,86.5,86.5,85,83.5,81.6,79.8,78.3,2024
Mayotte,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.5,39.1,39.7,41.7,38.5,37.3,39.9,42.1,38.9,36.8,35.8,35.5,40.6,41.7,40.2,41.2,40.8,44.1,47.1,51,55,52.5,52.2,51.9,58.5,56.7,53.8,52.8,59.1,61.8,62.7,63.1,63.1,63.3,63.4,63.6,2024
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.9,43.4,47.2,42.1,35.9,27.1,23.8,24.3,24.9,25.7,25,25.4,26,29.2,31.1,29.4,28.6,27.3,27.9,28.4,26,24.6,23.9,21,19.8,21.5,17,15.1,12.8,10.4,8.9,7.5,7.3,7.7,8.4,9.1,9.5,2023
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.5,87.5,89,159.4,150.7,89.1,85.4,80.3,68.1,49.3,40.4,35,28.3,22.2,32.6,25.5,24.2,31.3,30,35.4,42.1,39.7,34.9,31.8,28.8,36.6,33.6,35,34.9,38.8,36.6,39.3,40.8,41.7,42.3,42.5,42.5,2025
Monaco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.9,36.1,31,48.5,31,32.7,43.7,49.4,44,50.5,78.7,86.9,76.5,66.8,83.4,67.3,64.5,46.7,44.1,45.1,43.7,45.8,49.9,50.7,51.8,52.3,2025
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.7,48.6,45.4,38.6,36.7,31.8,34.2,43.9,45.1,49,57.1,59.2,63.6,69.5,66.7,66.9,72.9,79.6,108.4,86.2,70.3,59.6,60.8,67.1,62.4,62.8,63.1,64.1,65,66.1,2025
Montserrat,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
