,COU,Reporting country,MEASURE,Currency,MEASURE_PRINCIPLE,Measurement principle,FDI_TYPE,Type of FDI,TYPE_ENTITY,Type of entity,ACCOUNTING_ENTRY,Accounting entry,LEVEL_COUNTERPART,Level of counterpart,COUNTERPART_AREA,Partner country/territory,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
3278,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),COM,Comoros,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
3289,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SYC,Seychelles,2021,2021,USD,US Dollar,6,Millions,,,278.15802916094,,
3353,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GMB,Gambia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
3355,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KHM,Cambodia (Kampuchea),2021,2021,USD,US Dollar,6,Millions,,,0.0,,
3450,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MDA,"Moldova, Republic of",2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
3454,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LBR,Liberia,2021,2021,USD,US Dollar,6,Millions,,,108.28709001376,,
3516,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KNA,Saint Kitts and Nevis,2021,2021,USD,US Dollar,6,Millions,,,116.10106797799,,
3738,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ABW,Aruba,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
3840,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MHL,Marshall Islands,2021,2021,USD,US Dollar,6,Millions,,,305.10518624484,,
3938,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CUW,Curaçao,2021,2021,USD,US Dollar,6,Millions,,,1456.8123906465,,
4064,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GUM,Guam,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
4228,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),QAT,Qatar,2021,2021,USD,US Dollar,6,Millions,,,1112.3452873453,,
4264,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TUR,Turkey,2021,2021,USD,US Dollar,6,Millions,,,825.99708954608,,
4299,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LKA,Sri Lanka,2021,2021,USD,US Dollar,6,Millions,,,99.343324057772,,
4350,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),YEM,Yemen,2021,2021,USD,US Dollar,6,Millions,,,29.693430797799,,
4405,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MNP,Northern Mariana Islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
4498,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FJI,Fiji,2021,2021,USD,US Dollar,6,Millions,,,2.9894860288858,,
4579,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TKL,Tokelau,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
4607,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NIU,Niue,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
4653,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IDN,Indonesia,2021,2021,USD,US Dollar,6,Millions,,,39.652396093535,,
4914,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NOR,Norway,2021,2021,USD,US Dollar,6,Millions,,,7598.3353755158,,
4918,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MYS,Malaysia,2021,2021,USD,US Dollar,6,Millions,,,1954.792914718,,
4994,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),USA,United States,2021,2021,USD,US Dollar,6,Millions,,,846834.86918845,,
5060,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HMD,Heard islands and Mc Donald Islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
5194,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TZA,"Tanzania, United Republic of",2021,2021,USD,US Dollar,6,Millions,,,13.84001698762,,
5288,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LUX,Luxembourg,2021,2021,USD,US Dollar,6,Millions,,,158032.2522696,,
5352,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HKG,"Hong Kong, China",2021,2021,USD,US Dollar,6,Millions,,,26358.503191197,,
5375,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BTN,Bhutan,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
5377,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SWZ,Swaziland,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
5412,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GTM,Guatemala,2021,2021,USD,US Dollar,6,Millions,,,315.22875502063,,
5666,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KWT,Kuwait,2021,2021,USD,US Dollar,6,Millions,,,690.78097427785,,
5764,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HRV,Croatia,2021,2021,USD,US Dollar,6,Millions,,,11.092300169188,,
5875,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PYF,French Polynesia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
6061,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MKD,"Macedonia, the Former Yugoslav Republic of",2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
6142,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DMA,Dominica,2021,2021,USD,US Dollar,6,Millions,,,16.8945634663,,
6151,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DJI,Djibouti,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
6205,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ATA,Antarctica,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
6216,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NIC,Nicaragua,2021,2021,USD,US Dollar,6,Millions,,,4.75228365337,,
6330,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ECU,Ecuador,2021,2021,USD,US Dollar,6,Millions,,,2.0151367565337,,
6386,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BOL,Bolivia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
6415,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CHN,China,2021,2021,USD,US Dollar,6,Millions,,,6703.6329491059,,
6439,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ROM,Romania,2021,2021,USD,US Dollar,6,Millions,,,49.231141884457,,
6620,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CRI,Costa Rica,2021,2021,USD,US Dollar,6,Millions,,,10.88852315956,,
6735,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LCA,Saint Lucia,2021,2021,USD,US Dollar,6,Millions,,,55.075219174691,,
6741,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SMR,San Marino,2021,2021,USD,US Dollar,6,Millions,,,0.48186575928473,,
6778,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KEN,Kenya,2021,2021,USD,US Dollar,6,Millions,,,34.326824662999,,
7027,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GHA,Ghana,2021,2021,USD,US Dollar,6,Millions,,,4.485905866575,,
7139,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SRB,Serbia,2021,2021,USD,US Dollar,6,Millions,,,58.399018143054,,
7214,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PHL,Philippines,2021,2021,USD,US Dollar,6,Millions,,,250.91839243466,,
7295,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GIB,Gibraltar,2021,2021,USD,US Dollar,6,Millions,,,1098.1185433287,,
7466,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SHN,Saint Helena,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
