DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,CELL,CELL_NAME,CELL_CODE,CELL_TYPE,CELL_TYPECODE,CELL_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402731265,T01:145 (Aged 50+ - Inactive : All People ),T01:145,T,1,11,20701,Confidence,72100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,51,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402731521,T01:148 (Aged 50-64 - All : All People ),T01:148,T,1,12,20100,Value,10287700,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,52,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402731521,T01:148 (Aged 50-64 - All : All People ),T01:148,T,1,12,20701,Confidence,67200,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,53,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402733057,T01:166 (Aged 50-64 - Inactive : All People ),T01:166,T,1,13,20100,Value,3486100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20100,54,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957698,Great Britain,K03000001,countries,499,1,402733057,T01:166 (Aged 50-64 - Inactive : All People ),T01:166,T,1,13,20701,Confidence,39100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957698dd20701,55,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402720769,T01:22 (Aged 16-64 - All : All People ),T01:22,T,1,0,20100,Value,32192600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,56,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402720769,T01:22 (Aged 16-64 - All : All People ),T01:22,T,1,0,20701,Confidence,123000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,57,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402722305,T01:40 (Aged 16-64 - Inactive : All People ),T01:40,T,1,1,20100,Value,7550100,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,58,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402722305,T01:40 (Aged 16-64 - Inactive : All People ),T01:40,T,1,1,20701,Confidence,59600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,59,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402722561,T01:43 (Aged 16-19 - All : All People ),T01:43,T,1,2,20100,Value,2529500,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,60,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402722561,T01:43 (Aged 16-19 - All : All People ),T01:43,T,1,2,20701,Confidence,34500,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,61,3920
