"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining","ShareMuslimReligion"
"E14000756","HUDDERSFIELD","West Yorkshire","Yorkshire and The Humber","England",65525,0.639175887066005,"LAB","CON",0.117878802349458,2019,0.371806503987393,0.489685306336851,0.056515925696003,0,0.0422138388806647,0,0.0397784250990879,0,2.60017055119704,0.0819922639797526,0.174911402960183
"E14000757","HUNTINGDON","Cambridgeshire","East","England",84657,0.698666383169732,"CON","LAB",0.32770892860162,2019,0.547551016957749,0.21984208835613,0.159467090469508,0,0.0377533940859215,0,0,0.0353864101306913,2.65780780546623,0.0731398042166128,0.0183695119960829
"E14000758","HYNDBURN","Lancashire","North West","England",70842,0.598599700742497,"CON","LAB",0.0695892090741876,2019,0.484954959203886,0.415365750129699,0.0289110031599302,0,0.0199264255058246,0,0.0508418620006603,0,2.42996936245101,0.0707682875064849,0.148203688341523
"E14000759","ILFORD NORTH","London","London","England",72973,0.68674715305661,"LAB","CON",0.104122600470926,2019,0.401185297521651,0.505307897992577,0.0534780700003991,0,0.0168615556531109,0,0.0191563235822325,0.00401085525002993,2.38201304346944,0.0400287344853733,0.235691170473968
"E14000760","ILFORD SOUTH","London","London","England",84972,0.629348491267712,"LAB","CON",0.450679731473344,2019,0.205396712605419,0.656076444078763,0.0335658320399424,0,0.0133515343044673,0,0.0188492249004245,0.0727602520709838,2.08516486337464,0.104961011275876,0.437186543512341
"E14000761","IPSWICH","Suffolk","East","England",75525,0.656458126448196,"CON","LAB",0.110510498396499,2019,0.503277597369854,0.392767098973356,0.0491942152927651,0,0.0258778918493717,0,0.0288831965146534,0,2.43026176022202,0.0547610883640251,0.0401149625500784
"E14000762","ISLE OF WIGHT","Isle of Wight","South East","England",113021,0.658656355898461,"CON","LAB",0.318865694097418,2019,0.561712474140942,0.242846780043524,0,0,0.15230649364606,0,0,0.0431342521694742,2.50279503452228,0.195440745815534,0.00422184251744269
"E14000763","ISLINGTON NORTH","London","London","England",75162,0.715853755887284,"LAB","LIBDEM",0.486720565003253,2019,0.101905027413809,0.643118669268655,0.156398104265403,0,0.0804014496793978,0,0.0137905399126475,0.00438620946008735,2.1972206088298,0.0985781990521327,0.12430458812496
"E14000764","ISLINGTON SOUTH AND FINSBURY","London","London","England",70489,0.678346976123934,"LAB","LIBDEM",0.362389158440689,2019,0.168249121632926,0.562510456750878,0.200121298310189,0,0.0415551279906307,0,0.02375773799565,0.00380625731972561,2.58344487354481,0.0691191233060063,0.114161538389487
"E14000765","JARROW","Tyne and Wear","North East","England",65103,0.625716172833817,"LAB","CON",0.174783974862529,2019,0.275996661429694,0.450780636292223,0.0579340141398272,0,0.0203996465043205,0,0.101188138256088,0.0937009033778476,3.30940924582529,0.215288688138256,0.00974451945325732
"E14000766","KEIGHLEY","West Yorkshire","Yorkshire and The Humber","England",72778,0.72274588474539,"CON","LAB",0.0421673003802281,2019,0.480950570342205,0.438783269961977,0.0489163498098859,0,0,0,0.0161596958174905,0.0151901140684411,2.34340822641043,0.0313498098859316,0.157395854296639
"E14000767","KENILWORTH AND SOUTHAM","Warwickshire","West Midlands","England",68154,0.771737535581184,"CON","LIBDEM",0.38696123353043,2019,0.577048120615244,0.179477916991463,0.190086887084815,0,0.0446983668270053,0,0,0.00868870848147233,2.47890871039672,0.0533870753084777,0.00810258195027516
"E14000768","KENSINGTON","London","London","England",64609,0.677335974864183,"CON","LAB",0.00342763127827794,2019,0.383163475161099,0.379735843882821,0.212787349755496,0,0.012225218225858,0,0.00877473607239157,0.00331337690233536,2.97150817115597,0.024313331200585,0.127304858435875
