"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"E14001050","WOLVERHAMPTON SOUTH EAST","West Midlands","West Midlands","England",59884,0.579570502972413,"LAB","CON",0.189961679200161,2010,0.285590803008039,0.4755524822082,0.152044256201919,0,0,0,0.077073789149163,0.00973866943267929,2.96854879020993,0.0868124585818423
"E14001051","WOLVERHAMPTON SOUTH WEST","West Midlands","West Midlands","England",58845,0.682470898122185,"CON","LAB",0.0172061752988048,2010,0.406972111553785,0.38976593625498,0.160109561752988,0,0,0,0.0370268924302789,0.00612549800796813,2.90202163587609,0.043152390438247
"E14001052","WORCESTER","Hereford and Worcester","West Midlands","England",72835,0.672396512665614,"CON","LAB",0.0608894515457181,2010,0.395270960101278,0.33438150855556,0.194490954383959,0,0.0150079634091559,0,0.0277698370563973,0.0330787764936497,3.24709625006933,0.0758565769592028
"E14001053","WORKINGTON","Cumbria","North West","England",59607,0.658630697736843,"LAB","CON",0.116533788430678,2010,0.338521103441249,0.455054891871927,0.135459385109147,0,0,0,0.0223133548995135,0.048651264678163,2.91642487162568,0.0709646195776765
"E14001054","WORSLEY AND ECCLES SOUTH","Greater Manchester","North West","England",72473,0.575400493977067,"LAB","CON",0.104002302103067,2010,0.325052157022613,0.42905445912568,0.165055993861058,0,0,0,0.0488477494544495,0.0319896405361982,3.12110296627181,0.0808373899906477
"E14001055","WORTHING WEST","West Sussex","South East","England",75945,0.64682335900981,"CON","LIBDEM",0.238767990554323,2010,0.517395110233495,0.11807096472121,0.278627119679173,0,0.0202756346314354,0,0.0595240518697962,0.00610711886489017,2.75282619452119,0.0859068053661218
"E14001056","WYCOMBE","Buckinghamshire","South East","England",74175,0.649154027637344,"CON","LIBDEM",0.198542086353347,2010,0.486448879566364,0.17291437353326,0.287906793213017,0,0,0,0.0440904654108949,0.00863948827646363,2.84542924537721,0.0527299536873585
"E14001057","WYRE AND PRESTON NORTH","Lancashire","North West","England",70201,0.730872779590034,"CON","LIBDEM",0.308801746316364,2010,0.523836438761986,0.213066188508615,0.215034692445623,0,0,0,0.0480626802837764,0,2.71479634669801,0.0480626802837764
"E14001058","WYRE FOREST","Hereford and Worcester","West Midlands","England",76713,0.663499015812183,"CON","OTHER",0.0299220023969037,2010,0.369221399241635,0.143381991787658,0.118666378514313,0,0,0,0.0294308336116623,0.339299396844732,3.4848693784846,0.368730230456394
"E14001059","WYTHENSHAWE AND SALE EAST","Greater Manchester","North West","England",79923,0.509878257823155,"LAB","CON",0.185885008956835,2010,0.255502932443376,0.441387941400211,0.223479178425069,0,0,0,0.0344776815292876,0.0451522662020564,3.19207910690477,0.079629947731344
"E14001060","YEOVIL","Somerset","South West","England",82314,0.694414072940205,"LIBDEM","CON",0.228061581525542,2010,0.329023792862141,0.0523268019594122,0.557085374387684,0,0,0,0.0412351294611617,0.0203289013296011,2.36154015561994,0.0615640307907628
"E14001061","YORK CENTRAL","North Yorkshire","Yorkshire and The Humber","England",76439,0.608105809861458,"LAB","CON",0.138781920271927,2010,0.260783512251791,0.399565432523718,0.251575844932556,0,0.0359055998967364,0,0.0236645655400899,0.0285050448551083,3.40584673675184,0.0880752102919347
"E14001062","YORK OUTER","North Yorkshire","Yorkshire and The Humber","England",75939,0.701879139835921,"CON","LIBDEM",0.0691932457786116,2010,0.429868667917448,0.170881801125704,0.360675422138837,0,0,0,0.0206378986866792,0.0179362101313321,2.90004654137327,0.0385741088180113
"N06000001","BELFAST EAST",NA,"Northern Ireland","Northern Ireland",59007,0.584473028623723,"ALLIANCE","DUP",0.0444502435629784,2010,0,0,0,0,0,0,0,0.0538158199953607,3.39569033196272,0.0538158199953607
"N06000002","BELFAST NORTH",NA,"Northern Ireland","Northern Ireland",65504,0.564744137762579,"DUP","SINN_FEIN",0.0601194820641743,2010,0,0,0,0,0,0,0,0.01089395291001,3.33788742194909,0.01089395291001
"N06000003","BELFAST SOUTH",NA,"Northern Ireland","Northern Ireland",59524,0.574322962166521,"SDLP","DUP",0.173345814075937,2010,0,0,0,0,0.0303048031357866,0,0,0,3.60156413572446,0.0303048031357866
"N06000004","BELFAST WEST",NA,"Northern Ireland","Northern Ireland",59522,0.539850811464669,"SINN_FEIN","SDLP",0.547069990352597,2010,0,0,0,0,0,0,0,0,1.85495582868148,0
"N06000005","EAST ANTRIM",NA,"Northern Ireland","Northern Ireland",60204,0.506644076805528,"DUP","UUP",0.221952658842043,2010,0,0,0,0,0,0,0,0.05986492689004,3.4324656233979,0.05986492689004
"N06000006","EAST LONDONDERRY",NA,"Northern Ireland","Northern Ireland",63220,0.552831382473901,"DUP","SINN_FEIN",0.153218884120172,2010,0,0,0,0,0,0,0,0.0735908440629471,4.52552536684967,0.0735908440629471
"N06000007","FERMANAGH AND SOUTH TYRONE",NA,"Northern Ireland","Northern Ireland",67908,0.689211874889556,"OTHER","SINN_FEIN",0.00393137192060339,2010,0,0,0,0,0,0,0,0.459115868640899,2.3590539720198,0.459115868640899
"N06000008","FOYLE",NA,"Northern Ireland","Northern Ireland",65843,0.575444618258585,"SDLP","SINN_FEIN",0.127319274723535,2010,0,0,0,0,0,0,0,0.0774895088284199,3.10041282323473,0.0774895088284199
"N06000009","LAGAN VALLEY",NA,"Northern Ireland","Northern Ireland",65257,0.559939929815958,"DUP","UUP",0.286973180076628,2010,0,0,0,0,0,0,0,0.0863163656267105,3.15213125670639,0.0863163656267105
"N06000010","MID ULSTER",NA,"Northern Ireland","Northern Ireland",64594,0.632287828590891,"SINN_FEIN","DUP",0.376156897311591,2010,0,0,0,0,0,0,0,0.0733313745653984,3.03824699754922,0.0733313745653984
"N06000011","NEWRY AND ARMAGH",NA,"Northern Ireland","Northern Ireland",74308,0.604322549389029,"SINN_FEIN","SDLP",0.185520865808578,2010,0,0,0,0,0,0,0,0.0146082928784572,3.51576332287821,0.0146082928784572
"N06000012","NORTH ANTRIM",NA,"Northern Ireland","Northern Ireland",73338,0.578104120646868,"DUP","OTHER",0.281906738684341,2010,0,0,0,0,0,0,0,0.182088355308159,3.51333164666577,0.182088355308159
"N06000013","NORTH DOWN",NA,"Northern Ireland","Northern Ireland",60698,0.551599723219875,"OTHER","UUP",0.477823243033362,2010,0,0,0,0,0.0311519966548192,0,0,0.681431259520325,1.95931273499872,0.712583256175144
"N06000014","SOUTH ANTRIM",NA,"Northern Ireland","Northern Ireland",63054,0.53936308560916,"DUP","UUP",0.0347849098767973,2010,0,0,0,0,0,0,0,0.0537798817959952,4.10873080510343,0.0537798817959952
"N06000015","SOUTH DOWN",NA,"Northern Ireland","Northern Ireland",70784,0.601675519891501,"SDLP","SINN_FEIN",0.197515790462326,2010,0,0,0,0,0.0211556974805701,0,0,0.0353612435135833,3.01146558611994,0.0565169409941534
"N06000016","STRANGFORD",NA,"Northern Ireland","Northern Ireland",60539,0.536926609293183,"DUP","UUP",0.180772188894016,2010,0,0,0,0,0.0172896477465005,0,0,0.0558067989540071,3.27800257776973,0.0730964467005076
"N06000017","UPPER BANN",NA,"Northern Ireland","Northern Ireland",74732,0.553752074078039,"DUP","UUP",0.0812169248242032,2010,0,0,0,0,0,0,0,0,3.86287733164532,0
"N06000018","WEST TYRONE",NA,"Northern Ireland","Northern Ireland",61148,0.609586576829986,"SINN_FEIN","DUP",0.286653252850436,2010,0,0,0,0,0,0,0,0.0136284372904091,3.18605760904591,0.0136284372904091
"S14000001","ABERDEEN NORTH",NA,"Scotland","Scotland",64808,0.581733736575731,"LAB","SNP",0.221771305800907,2010,0.123763295403305,0.44417919949073,0.1856979920957,0.222407893689823,0,0,0,0.0239516193204424,3.36547122703396,0.0239516193204424
"S14000002","ABERDEEN SOUTH",NA,"Scotland","Scotland",64031,0.672080710905655,"LAB","LIBDEM",0.0814704652135521,2010,0.207138541618255,0.365339034251987,0.283868569038435,0.118557419714644,0.00959706278756332,0,0,0.0154993725891156,3.68529706718615,0.0250964353766789
"S14000003","AIRDRIE AND SHOTTS",NA,"Scotland","Scotland",62364,0.574834840613174,"LAB","SNP",0.346118441239644,2010,0.0873943485173924,0.581578286702558,0.0808390750090658,0.235459845462914,0,0,0,0.01472844430807,2.45059419735848,0.01472844430807
