"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_GREEN","VoteShare_SNP","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"W07000055","NEWPORT EAST",NA,"Wales","Wales",57233,0.643335138818514,"LAB","CON",0.217354698533406,2017,0.347664312873438,0.565019011406844,0.0262357414448669,0,0,0.0239272134709397,0.0320478001086366,0.00510592069527431,2.26023988253142,0.0371537208039109
"W07000056","NEWPORT WEST",NA,"Wales","Wales",64399,0.674513579403407,"LAB","CON",0.130254615774207,2017,0.392858787236981,0.523113403011188,0.022468806114462,0.011441594916893,0,0.024793959206225,0.0253234495142502,0,2.32624446173996,0.0367650444311432
"W07000057","ARFON",NA,"Wales","Wales",41367,0.681896197452075,"PLAID_CYMRU","LAB",0.00326148610323312,2017,0.163570618264322,0.405097844583097,0.0229722064662507,0,0,0.40835933068633,0,0,2.79216770988396,0
"W07000058","ABERCONWY",NA,"Wales","Wales",45251,0.710481536319639,"CON","LAB",0.019751166407465,2017,0.445940902021773,0.426189735614308,0.0292690513219285,0,0,0.0986003110419907,0,0,2.55702368961115,0
"W07000059","CLWYD WEST",NA,"Wales","Wales",58263,0.697767021952182,"CON","LAB",0.0845427264229842,2017,0.480666109115954,0.39612338269297,0.0268362276774733,0,0,0.0963742805136026,0,0,2.51280381702596,0
"W07000060","VALE OF CLWYD",NA,"Wales","Wales",56890,0.679978906661979,"LAB","CON",0.061498293868266,2017,0.440595595078068,0.502093888946334,0.0172164202254162,0,0,0.040094095750181,0,0,2.23151179079442,0
"W07000061","DWYFOR MEIRIONNYDD",NA,"Wales","Wales",44699,0.678941363341462,"PLAID_CYMRU","CON",0.159812837748781,2017,0.291188875708449,0.206702253855279,0.0308751812310531,0,0,0.451001713457229,0.02023197574799,0,3.00949249652402,0.02023197574799
"W07000062","CLWYD SOUTH",NA,"Wales","Wales",53729,0.697463194922668,"LAB","CON",0.116240593478145,2017,0.390830976143459,0.507071569621604,0.0195068580882745,0,0,0.0611890911031649,0.0214015050434968,0,2.41281838470301,0.0214015050434968
"W07000063","MONTGOMERYSHIRE",NA,"Wales","Wales",50755,0.687439661117131,"CON","LIBDEM",0.26611447078043,2017,0.518041901923132,0.15883752257029,0.251927431142702,0.0150181995356969,0,0.0561749448281792,0,0,2.77434551140781,0.0150181995356969
"W07000064","CEREDIGION",NA,"Wales","Wales",54262,0.732870148538572,"PLAID_CYMRU","LIBDEM",0.00261523373651523,2017,0.183745316468429,0.201599316015792,0.289662282797294,0.0136293912037619,0,0.292277516533809,0.0151381798979053,0.00394799708300852,4.09558234419055,0.0327155681846757
