"Constituency_Name","ID","Region","Country","ElectorateSize","Votes_CON","VoteShare_CON","Votes_GREEN","VoteShare_GREEN","Votes_LAB","VoteShare_LAB","Votes_LIBDEM","VoteShare_LIBDEM","Votes_REFORM","VoteShare_REFORM","Votes_IND","VoteShare_IND","Votes_OTH","VoteShare_OTH","Votes_UKIP","VoteShare_UKIP","Votes_SNP","VoteShare_SNP","Votes_PC","VoteShare_PC","Votes_APNI","VoteShare_APNI","Votes_DUP","VoteShare_DUP","Votes_SDLP","VoteShare_SDLP","Votes_SF","VoteShare_SF","Votes_UUP","VoteShare_UUP","Votes_TUV","VoteShare_TUV","GE_ElectionYear","TotalVotes","PartyNameWinner","PartyNameRunnerUp","WinMargin","Turnout","ShareMuslimReligion","Constituency","Region_or_Country","Cand_Conservative","Cand_Labour","Cand_LiberalDemocrats","Cand_ReformUK","Cand_Green","Cand_SNP","Cand_PlaidCymru","IncumbentLabour","IncumbentConservative","IncumbentLabourCand","IncumbentConservativeCand","VoteShare_Sans_C_L","gss_code","Leave.preds","Remain.preds","LeavePct","RemainPct"
"Banbury","E14001072","South East","England",69943,15212,0.3157,2615,0.0543,18468,0.3833,4352,0.0903,6284,0.1304,850,0.0176,397,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48178,"LAB","CON",0.0676,0.688818037544858,0.037105879113314,"BANBURY","South East","Victoria Prentis","Sean Woodcock","Liz Adams","Paul Topley","Arron Baker",NA,NA,0,1,NA,1,0.0260000000000001,"E14001072",24578.4819339502,26983.7902179422,0.476675695391134,0.523324304608866
"Bangor Aberconwy","W07000083","Wales","Wales",70468,9036,0.2169,1361,0.0327,14008,0.3362,1524,0.0366,6091,0.1462,0,0,528,0.0127,0,0,0,0,9112,0.2187,0,0,0,0,0,0,0,0,0,0,0,0,2024,41660,"LAB","PC",0.1175,0.59119032752455,0.0132344811888271,"BANGOR ABERCONWY","Wales","Robin Millar","Claire Hughes","Rachael Roberts","John Clark","Petra Haig",NA,"Catrin Wager",0,1,NA,1,0.2314,"W07000083",23607.4023992268,26127.2093601972,0.4746674712858,0.5253325287142
"Barking","E14001073","London","England",71822,4294,0.1177,4988,0.1367,16227,0.4449,1015,0.0278,5173,0.1418,753,0.0206,4027,0.1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,36477,"LAB","REFORM",0.3031,0.507880593689956,0.275625266209844,"BARKING","London","Julie Redmond","Nesil Caliskan","Charley Hasted","Clive Peacock","Simon Anthony",NA,NA,1,0,0,NA,0.1311,"E14001073",25723.0301934949,17343.553199957,0.597285137724809,0.402714862275191
"Barnsley North","E14001074","Yorkshire and the Humber","England",76794,3083,0.0836,1805,0.0489,18610,0.5044,1336,0.0362,10799,0.2927,616,0.0167,645,0.0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,36894,"LAB","REFORM",0.2117,0.480428158449879,0.00569383439075972,"BARNSLEY NORTH","Yorkshire and The Humber","Tamas Kovacs","Dan Jarvis","Penny Baker","Robert Lomas","Tom Heyes",NA,NA,1,0,1,NA,0.0342,"E14001074",35913.4371031681,15903.1756008518,0.693087317542506,0.306912682457495
"Barnsley South","E14001075","Yorkshire and the Humber","England",75896,3247,0.0926,1521,0.0434,16399,0.4674,1172,0.0334,11651,0.3321,0,0,1092,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,35082,"LAB","REFORM",0.1353,0.462237799093496,0.00611180503246598,"BARNSLEY SOUTH","Yorkshire and The Humber","Suzanne Pearson","Stephanie Peacock","Simon Clement-Jones","David White","Trevor Meyne",NA,NA,1,0,1,NA,0.0311,"E14001075",36678.8367366964,14734.229383562,0.713414692111579,0.286585307888421
"Barrow and Furness","E14001076","North West","England",76603,13213,0.3129,1466,0.0347,18537,0.439,1680,0.0398,7035,0.1666,0,0,290,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42221,"LAB","CON",0.1261,0.551166403404566,0.00397257180397873,"BARROW AND FURNESS","North West","Simon Fell","Michelle Scrogham","Adrian Waite","Barry Morgan","Lorraine Wrennall",NA,NA,0,1,NA,1,0.00700000000000003,"E14001076",31347.4013202782,22199.0758270625,0.585424158418889,0.414575841581111
"Basildon and Billericay","E14001077","Eastern","England",76993,12905,0.3064,2123,0.0504,12885,0.3059,2292,0.0544,11354,0.2695,0,0,565,0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42124,"CON","LAB",5e-04,0.547114672762459,0.0185383903792784,"BASILDON AND BILLERICAY","East of England","Richard Holden","Alex Harrison","Edward Sainsbury","Stephen Conlay","Stewart Goshawk",NA,NA,0,1,NA,0,0.0134,"E14001077",36801.5270751488,18681.3242643625,0.663295526214983,0.336704473785017
"Basingstoke","E14001078","South East","England",77050,14438,0.2947,3568,0.0728,20922,0.4271,3176,0.0648,6314,0.1289,0,0,571,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48989,"LAB","CON",0.1324,0.635807916937054,0.0200745183569611,"BASINGSTOKE","South East","Maria Miller","Luke Murphy","Richard Whelan","Raymond Saint","Michael Howard-Sorrell",NA,NA,0,1,NA,1,0.0117,"E14001078",31799.3892438868,25847.4842292994,0.551623831926947,0.448376168073053
"Bassetlaw","E14001079","East Midlands","England",75773,12708,0.2832,1947,0.0434,18476,0.4117,1996,0.0445,9751,0.2173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,44878,"LAB","CON",0.1285,0.592269014028744,0.00632358726838302,"BASSETLAW","East Midlands","Brendan Clarke-Smith","Jo White","Helen Tamblyn-Saville","Frank Ward","Rachel Reeves",NA,NA,0,1,NA,1,-9.9999999999989e-05,"E14001079",38259.2237336587,17308.8318185259,0.688511112247378,0.311488887752622
"Bath","E14001080","South West","England",73241,7659,0.1591,5952,0.1237,8665,0.18,19883,0.4131,3798,0.0789,1943,0.0403,230,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48130,"LIBDEM","LAB",0.2331,0.657145587853798,0.0151416047562797,"BATH","South West","James Wright","Dan Bewley","Wera Hobhouse","Teresa Hall","Dominic Tristram",NA,NA,0,0,NA,NA,0.0452,"E14001080",18255.9691375299,36434.3821477206,0.333806031749761,0.666193968250239
"Bathgate and Linlithgow","S14000068","Scotland","Scotland",71650,3144,0.0747,1390,0.033,19774,0.4701,2171,0.0516,3524,0.0838,229,0.0054,382,0.0091,0,0,11451,0.2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42065,"LAB","SNP",0.1979,0.587090020935101,NA,"BATHGATE AND LINLITHGOW","Scotland","Lynn Munro","Kirsteen Sullivan","Sally Pattle","Jamie McNamee",NA,"Martyn Day",NA,0,0,NA,NA,0.2868,"S14000068",19343.0876637175,27822.5614159874,0.410109646345156,0.589890353654844
"Battersea","E14001081","London","England",71949,10944,0.2324,4239,0.09,22983,0.4881,4826,0.1025,2825,0.06,216,0.0046,1049,0.0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47082,"LAB","CON",0.2557,0.654380185965059,0.0854102003709893,"BATTERSEA","London","Tom Pridham","Marsha de Cordova","Francis Chubb","Barry Edwards","Joe Taylor",NA,NA,1,0,1,NA,0.0270000000000001,"E14001081",11383.4859817044,39168.1043120203,0.225185516727799,0.774814483272201
"Beaconsfield","E14001082","South East","England",72315,18494,0.3875,1977,0.0414,7216,0.1512,13039,0.2732,6055,0.1269,814,0.0171,131,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47726,"CON","LIBDEM",0.1143,0.6599737260596,0.0363174800538804,"BEACONSFIELD","South East","Joy Morrissey","Matt Patterson","Anna Crabtree","John Halsall","Dominick Pegram",NA,NA,0,1,NA,1,0.0198000000000001,"E14001082",27872.389694502,28189.2861806503,0.497173679869524,0.502826320130476
"Beckenham and Penge","E14001083","London","England",76625,12848,0.246,3830,0.0733,25753,0.4931,4436,0.0849,5355,0.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,52222,"LAB","CON",0.2471,0.68152691680261,0.0415811088295687,"BECKENHAM AND PENGE","London","Hannah Gray","Liam Conlon","Chloe-Jane Ross","Edward Apostolides","Ruth Fabricant",NA,NA,1,1,0,0,0.000199999999999964,"E14001083",23896.9137933423,33474.9734128189,0.416526542128041,0.583473457871959
"Bedford","E14001084","Eastern","England",70068,8912,0.2192,2394,0.0589,18342,0.4511,4025,0.099,4548,0.1119,1442,0.0355,996,0.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40659,"LAB","CON",0.2319,0.580279157389964,0.101712331881382,"BEDFORD","East of England","Pinder Chauhan","Mohammad Yasin","Henry Vann","Maggie Moriondo","Ben Foley",NA,NA,1,0,1,NA,0.0599,"E14001084",24387.053918595,22369.9594322275,0.521569967175117,0.478430032824883
"Belfast East","N05000001","Northern Ireland","Northern Ireland",70076,0,0,1077,0.0252,0,0,0,0,0,0,162,0.0038,1918,0.0449,0,0,0,0,0,0,17218,0.4032,19894,0.4658,619,0.0145,0,0,1818,0.0426,0,0,2024,42706,"DUP","APNI",0.0626,0.609424053884354,NA,"BELFAST EAST","Northern Ireland",NA,NA,NA,NA,"Brian Smyth",NA,NA,0,0,NA,NA,0.9748,NA,NA,NA,NA,NA
"Belfast North","N05000002","Northern Ireland","Northern Ireland",71372,0,0,1206,0.0298,0,0,0,0,0,0,0,0,3823,0.0945,0,0,0,0,0,0,4274,0.1057,12062,0.2982,1413,0.0349,17674,0.4369,0,0,0,0,2024,40452,"SF","DUP",0.1387,0.566776887294737,NA,"BELFAST NORTH","Northern Ireland",NA,NA,NA,NA,"Mal O'Hara",NA,NA,0,0,NA,NA,0.9702,NA,NA,NA,NA,NA
"Belfast South and Mid Down","N05000003","Northern Ireland","Northern Ireland",71978,0,0,1577,0.0363,0,0,0,0,0,0,0,0,2218,0.051,0,0,0,0,0,0,8839,0.2032,6859,0.1577,21345,0.4908,0,0,2653,0.061,0,0,2024,43491,"SDLP","APNI",0.2876,0.604226291366807,NA,"BELFAST SOUTH AND MID DOWN","Northern Ireland",NA,NA,NA,NA,"Áine Groogan",NA,NA,0,0,NA,NA,0.9637,NA,NA,NA,NA,NA
