"Constituency_Name","ID","Region","Country","ElectorateSize","Votes_CON","VoteShare_CON","Votes_GREEN","VoteShare_GREEN","Votes_LAB","VoteShare_LAB","Votes_LIBDEM","VoteShare_LIBDEM","Votes_REFORM","VoteShare_REFORM","Votes_IND","VoteShare_IND","Votes_OTH","VoteShare_OTH","Votes_UKIP","VoteShare_UKIP","Votes_SNP","VoteShare_SNP","Votes_PC","VoteShare_PC","Votes_APNI","VoteShare_APNI","Votes_DUP","VoteShare_DUP","Votes_SDLP","VoteShare_SDLP","Votes_SF","VoteShare_SF","Votes_UUP","VoteShare_UUP","Votes_TUV","VoteShare_TUV","GE_ElectionYear","TotalVotes","PartyNameWinner","PartyNameRunnerUp","WinMargin","Turnout","ShareMuslimReligion","Constituency","Region_or_Country","Cand_Conservative","Cand_Labour","Cand_LiberalDemocrats","Cand_ReformUK","Cand_Green","Cand_SNP","Cand_PlaidCymru","IncumbentLabour","IncumbentConservative","IncumbentLabourCand","IncumbentConservativeCand","VoteShare_Sans_C_L","gss_code","Leave.preds","Remain.preds","LeavePct","RemainPct"
"Macclesfield","E14001347","North West","England",75881,15552,0.2946,2493,0.0472,24672,0.4673,2482,0.047,6592,0.1249,779,0.0148,222,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,52792,"LAB","CON",0.1727,0.695720931458468,0.00715833097861919,"MACCLESFIELD","North West","David Rutley","Tim Roca","Neil Christian","Stephen Broadhurst","Amanda Iremonger",NA,NA,0,1,NA,1,0.0190000000000001,"E14001347",26773.9646606424,30814.7558620735,0.464916817349352,0.535083182650648
"Maidenhead","E14001348","South East","England",73463,18932,0.3762,1996,0.0397,5766,0.1146,21895,0.435,0,0,1222,0.0243,518,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,50329,"LIBDEM","CON",0.0588,0.685093176156705,0.060989422357029,"MAIDENHEAD","South East","Tania Mathias","Jo Smith","Joshua Reynolds","Barry Parker","Andrew Cooney",NA,NA,0,1,NA,0,0.0345,"E14001348",24669.5332329114,28266.4735315698,0.466025579577039,0.533974420422962
"Maidstone and Malling","E14001349","South East","England",73084,14146,0.3049,3727,0.0803,12472,0.2689,6375,0.1374,9316,0.2008,197,0.0042,156,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46389,"CON","LAB",0.036,0.634735372995457,0.0231602746146847,"MAIDSTONE AND MALLING","South East","Helen Grant","Maureen Cleator","Dave Naghi","Paul Thomas","Stuart Jeffery",NA,NA,0,1,NA,1,0.0077000000000001,"E14001349",30084.9743829254,22724.487306187,0.569689093974005,0.430310906025995
"Makerfield","E14001350","North West","England",76517,4379,0.1088,1776,0.0441,18202,0.4521,2735,0.0679,12803,0.318,0,0,368,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,40263,"LAB","REFORM",0.1341,0.526196792869558,0.0084118308330426,"MAKERFIELD","North West","Simon Finkelstein","Josh Simons","John Skipworth","Robert Kenyon","Maria Deery",NA,NA,1,0,0,NA,0.00909999999999994,"E14001350",35016.7155739814,18149.9947708468,0.658621068463147,0.341378931536853
"Maldon","E14001351","Eastern","England",76794,19374,0.3887,2300,0.0461,9817,0.197,5882,0.118,12468,0.2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49841,"CON","REFORM",0.1385,0.649022059015027,0.00592130268659105,"MALDON","East of England","John Whittingdale","Onike Gollo","Simon Burwood","Pamela Walford","Isobel Doubleday",NA,NA,0,1,NA,1,0,"E14001351",37776.8818190209,24128.0848417254,0.610239918648968,0.389760081351032
"Manchester Central","E14001352","North West","England",75311,2823,0.0711,6387,0.1608,20184,0.5081,3051,0.0768,4760,0.1198,261,0.0066,2259,0.0568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,39725,"LAB","GREEN",0.3473,0.527479385481537,0.159886594821599,"MANCHESTER CENTRAL","North West","Scott Smith","Lucy Powell","Chris Northwood","David Brown","Ekua Bayunu",NA,NA,1,0,1,NA,0.0634000000000001,"E14001352",20978.8758048575,25687.4814535186,0.449550319274,0.550449680726
"Manchester Rusholme","E14001353","North West","England",70692,1678,0.0578,6819,0.2349,15054,0.5185,0,0,1313,0.0452,342,0.0118,3827,0.1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,29033,"LAB","GREEN",0.2836,0.410697108583715,0.337141514294236,"MANCHESTER RUSHOLME","North West","Alexandra Marsanu","Afzal Khan","not contesting","Joel Patrick McGuigan","Thirza Asanga-Rae",NA,NA,1,0,1,NA,0.1436,"E14001353",10098.217805556,21374.6401531798,0.320854808254015,0.679145191745985
"Manchester Withington","E14001354","North West","England",71614,2280,0.0546,8084,0.1937,22066,0.5288,5412,0.1297,1961,0.047,0,0,1928,0.0462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41731,"LAB","GREEN",0.3351,0.58272125562041,0.141438551781712,"MANCHESTER WITHINGTON","North West","Sarah Garcia de Bustos","Jeff Smith","Richard Kilpatrick","Gary Carp","Sam Easterby-Smith",NA,NA,1,0,1,NA,0.0461999999999999,"E14001354",9626.31985376441,33509.2746676475,0.22316418634235,0.77683581365765
"Mansfield","E14001355","East Midlands","England",74680,12563,0.3058,1326,0.0323,16048,0.3906,799,0.0194,9385,0.2284,420,0.0103,546,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41087,"LAB","CON",0.0848,0.550174076057847,0.0108875177978168,"MANSFIELD","East Midlands","Ben Bradley","Steve Yemm","Michael Wyatt","Matt Warnes","Philip Shields",NA,NA,0,1,NA,1,0.0235,"E14001355",38684.2692000412,15944.7933677292,0.708126176466074,0.291873823533926
"Melksham and Devizes","E14001356","South West","England",71823,17630,0.3443,2229,0.0435,4587,0.0896,20031,0.3912,6726,0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,51203,"LIBDEM","CON",0.0469,0.712905336730574,0.00504540867810292,"MELKSHAM AND DEVIZES","South West","Michelle Donelan","Kerry Postlewhite","Brian Mathew","Malcolm Cupis","Catherine Read",NA,NA,0,1,NA,1,-5.55111512312578e-17,"E14001356",27587.6024461484,27641.5642043481,0.499511474086318,0.500488525913682
"Melton and Syston","E14001357","East Midlands","England",71615,17526,0.3811,3685,0.0801,12130,0.2638,2547,0.0554,8945,0.1945,517,0.0112,636,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45986,"CON","LAB",0.1173,0.642128045800461,0.00946395642128913,"MELTON AND SYSTON","East Midlands","Edward Argar","Zafran Khan","Andy Konieczko","Peter Morris","Alastair McQuillan",NA,NA,0,1,NA,NA,0.0251,"E14001357",31605.4041987584,21494.1409190673,0.595210451024152,0.404789548975848
"Meriden and Solihull East","E14001358","West Midlands","England",74211,16792,0.3813,2929,0.0665,12208,0.2772,3353,0.0761,8753,0.1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,44035,"CON","LAB",0.1041,0.593375645119996,0.0344307463346942,"MERIDEN AND SOLIHULL EAST","West Midlands","Saqib Bhatti","Sarah Alan","Sunny Virk","Malcolm Sedgley","Shesh Sheshabhatter",NA,NA,0,1,NA,1,0.000100000000000044,"E14001358",31707.349770577,24763.7055434879,0.561479674750825,0.438520325249175
"Merthyr Tydfil and Aberdare","W07000099","Wales","Wales",74805,2687,0.0763,1231,0.035,15791,0.4484,1276,0.0362,8344,0.2369,375,0.0106,743,0.0211,0,0,0,0,4768,0.1354,0,0,0,0,0,0,0,0,0,0,0,0,2024,35215,"LAB","REFORM",0.2115,0.470757302319364,0.00472630575485424,"MERTHYR TYDFIL AND ABERDARE","Wales","Amanda Jenner","Gerald Jones","Jade Smith","Gareth Thomas","David Griffin",NA,"Francis Whitefoot",1,0,1,NA,0.1672,"W07000099",26949.8925874578,21629.68036953,0.554757708786759,0.445242291213241
"Mid Bedfordshire","E14001359","Eastern","England",71748,16912,0.3408,2584,0.0521,15591,0.3142,4068,0.082,8594,0.1732,1700,0.0343,172,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49621,"CON","LAB",0.0266,0.691601159614205,0.0155092453171113,"MID BEDFORDSHIRE","East of England","Blake Stephenson","Maahwish Mirza","Stuart Roberts","Dave Holland","Cade Sibley",NA,NA,1,0,0,NA,0.0377,"E14001359",30121.0294531728,25292.3132272134,0.543569977846405,0.456430022153595
"Mid Buckinghamshire","E14001360","South East","England",72240,20150,0.3735,2942,0.0545,9171,0.17,14278,0.2646,6926,0.1284,0,0,484,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,53951,"CON","LIBDEM",0.1089,0.746830011074197,0.0162479421659151,"MID BUCKINGHAMSHIRE","South East","Greg Smith","Carissma Griffiths","Anja Schaefer","Stephanie Harwood","Greg Smith",NA,NA,0,1,NA,1,0.00900000000000004,"E14001360",26827.0316972171,29942.0082985012,0.472564477032559,0.527435522967441
"Mid Cheshire","E14001361","North West","England",69775,9530,0.2296,1967,0.0474,18457,0.4447,2465,0.0594,7967,0.1919,1123,0.0271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41509,"LAB","CON",0.2151,0.594897886062343,0.00556688764235934,"MID CHESHIRE","North West","Charles Fifield","Andrew Cooper","Jack Price-Harbach","Emma Guy","Mark Green",NA,NA,0,1,NA,NA,0.027,"E14001361",26333.6270557455,20293.0449410999,0.564776037576242,0.435223962423758
"Mid Derbyshire","E14001362","East Midlands","England",70085,15468,0.3253,3547,0.0746,17346,0.3648,2361,0.0497,8356,0.1758,315,0.0066,150,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47543,"LAB","CON",0.0394999999999999,0.678361989013341,0.00601163689258602,"MID DERBYSHIRE","East Midlands","Luke Gardiner","Jonathan Davies","Barry Holliday","Stephen Dean","Gez Kinsella",NA,NA,0,1,NA,0,0.0098,"E14001362",28571.7589364195,26086.5514469408,0.522734031403898,0.477265968596102
"Mid Dorset and North Poole","E14001363","South West","England",74305,20090,0.4057,2355,0.0476,4566,0.0922,21442,0.433,0,0,0,0,1061,0.0214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,49514,"LIBDEM","CON",0.0273,0.666361617656954,0.00450862313585774,"MID DORSET AND NORTH POOLE","South West","Michael Tomlinson","Candice Johnson-Cole","Vikki Slade","","Ben Pantling",NA,NA,0,1,NA,1,0.0215,"E14001363",32672.1166693083,24682.1718260192,0.569654293104342,0.430345706895658
"Mid Dunbartonshire","S14000097","Scotland","Scotland",75099,2452,0.0465,1720,0.0326,10993,0.2084,22349,0.4238,2099,0.0398,0,0,449,0.0085,0,0,12676,0.2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,52738,"LIBDEM","SNP",0.1834,0.702246368127405,NA,"MID DUNBARTONSHIRE","Scotland","Alix Mathieson","Lorna Dougall","Susan Murray","David McNabb",NA,"Amy Callaghan",NA,0,0,NA,NA,0.2489,"S14000097",15353.9110152039,41062.0962581232,0.272155222556189,0.727844777443811
"Mid Leicestershire","E14001364","East Midlands","England",76173,17735,0.3691,3414,0.0711,15534,0.3233,2444,0.0509,8923,0.1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48050,"CON","LAB",0.0458,0.630800939965605,0.0175250428040068,"MID LEICESTERSHIRE","East Midlands","Peter Bedford","Robert Martin","Ian Bradwell","Tom Smith","Tony Deakin",NA,NA,0,1,NA,0,-9.99999999999612e-05,"E14001364",33237.9534463963,24798.4333057251,0.572708869495246,0.427291130504754
"Mid Norfolk","E14001365","Eastern","England",71060,16770,0.3654,2858,0.0623,13716,0.2988,3126,0.0681,9427,0.2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45897,"CON","LAB",0.0666,0.645890796509992,0.0044396847511905,"MID NORFOLK","East of England","George Freeman","Michael Rosen","Stuart Howard","Kabeer Kher","Ash Haynes",NA,NA,0,1,NA,1,5.55111512312578e-17,"E14001365",29553.0023503242,17201.7295828084,0.632085804546803,0.367914195453197
"Mid Sussex","E14001366","South East","England",72255,14474,0.2714,2048,0.0384,9397,0.1762,21136,0.3963,5921,0.111,0,0,352,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,53328,"LIBDEM","CON",0.1249,0.738052729914885,0.0122158195879955,"MID SUSSEX","South East","Kristy Adams","Dave Rowntree","Alison Bennett","Gary Johnson","Deanna Nicholson",NA,NA,0,1,NA,0,0.00669999999999986,"E14001366",24998.05447583,30466.8101006707,0.450700721379228,0.549299278620772
"Mid Ulster","N05000010","Northern Ireland","Northern Ireland",70094,0,0,0,0,0,0,0,0,0,0,181,0.004,4025,0.0885,0,0,0,0,0,0,2001,0.044,9162,0.2016,3722,0.0819,24085,0.53,2269,0.0499,0,0,2024,45445,"SF","DUP",0.3284,0.648343652809085,NA,"MID ULSTER","Northern Ireland",NA,NA,NA,NA,"",NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
"Mid and South Pembrokeshire","W07000100","Wales","Wales",76820,14627,0.3137,1654,0.0355,16505,0.354,2372,0.0509,7828,0.1679,427,0.0092,254,0.0054,0,0,0,0,2962,0.0635,0,0,0,0,0,0,0,0,0,0,0,0,2024,46629,"LAB","CON",0.0403,0.606990367091903,0.00533652798954476,"MID AND SOUTH PEMBROKESHIRE","Wales","Stephen Crabb","Henry Tufnell","Alistair Cameron","Stuart Marchant","James Purchase",NA,"Cris Tomos",0,1,NA,1,0.0779999999999999,"W07000100",32076.2110328164,22967.9652211695,0.582735780890057,0.417264219109943
"Middlesbrough South and East Cleveland","E14001368","North East","England",69967,16254,0.4273,1446,0.038,16468,0.433,2032,0.0534,0,0,0,0,1835,0.0482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,38035,"LAB","CON",0.00570000000000004,0.543613417754084,0.0116227476868134,"MIDDLESBROUGH SOUTH AND EAST CLEVELAND","North East","Simon Clarke","Luke Myer","Jemma Joy","","Rowan McLaughlin",NA,NA,0,1,NA,1,0.0483,"E14001368",28938.8749324352,14881.3536327326,0.660399908444073,0.339600091555927
"Middlesbrough and Thornaby East","E14001367","North East","England",71742,6174,0.1794,1522,0.0442,16238,0.4719,1037,0.0301,7046,0.2048,383,0.0111,2007,0.0583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,34407,"LAB","REFORM",0.2671,0.479593543530986,0.131014602079853,"MIDDLESBROUGH AND THORNABY EAST","North East","Kiran Fothergill","Andy McDonald","Mohammed Waqas","Patrick Seargeant","Matthew Harris",NA,NA,1,0,1,NA,0.0696,"E14001367",31608.2607674375,16633.0417371287,0.655211595177092,0.344788404822908
"Midlothian","S14000045","Scotland","Scotland",71210,3248,0.0735,0,0,21480,0.4864,2589,0.0586,3276,0.0742,0,0,259,0.0059,0,0,13313,0.3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,44165,"LAB","SNP",0.185,0.620207835978093,NA,"MIDLOTHIAN","Scotland","Keith Cockburn","Kirsty McNeill","Ross Laird","Stefan Garbowski",NA,"Owen Thompson",NA,0,0,NA,NA,0.3073,"S14000045",17251,28217,0.37940969473036,0.62059030526964
"Milton Keynes Central","E14001369","South East","England",76708,12918,0.2707,3226,0.0676,20209,0.4234,4931,0.1033,6245,0.1308,0,0,200,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47729,"LAB","CON",0.1527,0.62221671794337,0.0808471747595962,"MILTON KEYNES CENTRAL","South East","Johnny Luk","Emily Darlington","James Cox","David Reilly","Frances Bonney",NA,NA,0,1,NA,0,0.00420000000000001,"E14001369",24717.2224170321,26842.1181164046,0.479393688152446,0.520606311847554
"Milton Keynes North","E14001370","South East","England",70620,13888,0.3021,3242,0.0705,19318,0.4202,3365,0.0732,6164,0.1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45977,"LAB","CON",0.1181,0.651047861795525,0.0565395505753358,"MILTON KEYNES NORTH","South East","Ben Everitt","Chris Curtis","Clare Tevlin","Jane Duckworth","Alan Francis",NA,NA,0,1,NA,1,-0.000100000000000044,"E14001370",26168.8260718379,25454.2439998231,0.506921150476161,0.493078849523839
"Mitcham and Morden","E14001371","London","England",76877,6324,0.1397,4635,0.1024,25085,0.5543,3622,0.08,4135,0.0914,0,0,1454,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45255,"LAB","CON",0.4146,0.588667611899528,0.126878696790458,"MITCHAM AND MORDEN","London","Ellie Cox","Siobhain McDonagh","Jenifer Gould","Tania Marszalec","Pippa Maslin",NA,NA,1,0,1,NA,0.0321999999999999,"E14001371",24189.4641584967,25511.4082032232,0.486700997568961,0.513299002431039
"Monmouthshire","W07000101","Wales","Wales",72681,17672,0.3476,2357,0.0464,21010,0.4132,2279,0.0448,5438,0.107,457,0.009,358,0.007,0,0,0,0,1273,0.025,0,0,0,0,0,0,0,0,0,0,0,0,2024,50844,"LAB","CON",0.0656,0.699550088743963,0.00462609331798474,"MONMOUTHSHIRE","Wales","David TC Davies","Catherine Fookes","William Powell","Max Windsor-Peplow","Ian Chandler",NA,"Ioan Bellin",0,1,NA,1,0.0410000000000001,"W07000101",27569,28061,0.495577925579723,0.504422074420277
"Montgomeryshire and Glyndwr","W07000102","Wales","Wales",74223,7775,0.1797,1744,0.0403,12709,0.2938,6470,0.1496,8894,0.2056,0,0,0,0,0,0,0,0,5667,0.131,0,0,0,0,0,0,0,0,0,0,0,0,2024,43259,"LAB","REFORM",0.0882,0.582824730878569,0.0043860097535042,"MONTGOMERYSHIRE AND GLYNDWR","Wales","Craig Williams","Steve Witherden","Glyn Preston","Oliver Lewis","Jeremy Brignell-Thorp",NA,"Elwyn Vaughan",0,1,NA,1,0.131,"W07000102",31578.6599959099,22210.4066784593,0.587083248480259,0.412916751519741
"Moray West, Nairn and Strathspey","S14000098","Scotland","Scotland",76237,13960,0.2999,1676,0.036,8259,0.1774,3785,0.0813,3490,0.075,0,0,423,0.0091,0,0,14961,0.3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46554,"SNP","CON",0.0215,0.610648372837336,NA,"MORAY WEST, NAIRN AND STRATHSPEY","Scotland","Kathleen Robertson","James Hynam","Neil Alexander","Steve Skerrett",NA,"Graham Leadbitter",NA,0,1,NA,0,0.3304,"S14000098",23904.6305321761,28088.4049263106,0.459766011377861,0.540233988622139
"Morecambe and Lunesdale","E14001372","North West","England",76040,13788,0.2869,2089,0.0435,19603,0.4079,4769,0.0992,7810,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48059,"LAB","CON",0.121,0.632022619673856,0.00433526011560693,"MORECAMBE AND LUNESDALE","North West","David Morris","Lizzi Collinge","Peter Jackson","Barry Parsons","Gina Dowding",NA,NA,0,1,NA,1,8.32667268468867e-17,"E14001372",30699.7798279405,27721.0564701158,0.525493672690918,0.474506327309082
"Motherwell, Wishaw and Carluke","S14000099","Scotland","Scotland",72318,2415,0.0619,1200,0.0307,19168,0.4912,822,0.0211,3004,0.077,0,0,224,0.0057,110,0.0028,12083,0.3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,39026,"LAB","SNP",0.1816,0.539644348571587,NA,"MOTHERWELL, WISHAW AND CARLUKE","Scotland","Oyebola Ajala","Pamela Nashi","Haley Bennie","Robert MacLaughlan",NA,"Marion Fellows",NA,0,0,NA,NA,0.3181,"S14000099",16037.3198571111,28365.7771823147,0.36117570454312,0.63882429545688
"Na h-Eileanan an Iar","S14000027","Scotland","Scotland",21177,647,0.0478,0,0,6692,0.4947,382,0.0282,697,0.0515,1370,0.1013,884,0.0654,0,0,2856,0.2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,13528,"LAB","SNP",0.2836,0.638806252065921,NA,"NA H-EILEANAN AN IAR","Scotland","Kenny Barker","Torcuil Crichton","Jamie Dobson","Tony Ridden",NA,"Susan Thomson",NA,0,0,NA,NA,0.3778,"S14000027",6671,8232,0.447627994363551,0.552372005636449
"Neath and Swansea East","W07000103","Wales","Wales",74705,3765,0.0938,1711,0.0426,16797,0.4185,2344,0.0584,10170,0.2534,0,0,0,0,0,0,0,0,5350,0.1333,0,0,0,0,0,0,0,0,0,0,0,0,2024,40137,"LAB","REFORM",0.1651,0.537273274881199,0.0101576393284504,"NEATH AND SWANSEA EAST","Wales","Samantha Chohan","Carolyn Harrisr","Helen Clarke","Dai Richards","Jan Dowden",NA,"Andrew Jenkins",1,0,0,NA,0.1333,"W07000103",28433.5568626344,22080.795541028,0.562880755857674,0.437119244142326
"New Forest East","E14001373","South East","England",73823,17412,0.385,3118,0.0689,8917,0.1971,7198,0.1591,7646,0.169,0,0,939,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,45230,"CON","LAB",0.1879,0.61268168456985,0.003051064017271,"NEW FOREST EAST","South East","Julian Lewis","Sasjkia Otto","Caroline Rackham","Roy Swales","Simon King",NA,NA,0,1,NA,1,0.0209,"E14001373",34665.7757543795,22549.1457406505,0.605886975784643,0.394113024215356
"New Forest West","E14001374","South East","England",71009,16412,0.3542,2800,0.0604,10812,0.2333,8186,0.1767,7577,0.1635,0,0,550,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,46337,"CON","LAB",0.1209,0.652551085073723,0.00371651024392538,"NEW FOREST WEST","South East","Desmond Swayne","Sally Johnston","Jack Davies","Reginald Chester-Sterne","Anna Collar",NA,NA,0,1,NA,1,0.0118999999999999,"E14001374",29875.2242456205,24649.8542593495,0.547917124830867,0.452082875169133
"Newark","E14001375","East Midlands","England",76478,20968,0.3922,2345,0.0439,17396,0.3254,3026,0.0566,8280,0.1549,329,0.0062,1115,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,53459,"CON","LAB",0.0668,0.699011480425743,0.00613876463310174,"NEWARK","East Midlands","Robert Jenrick","Saj Ahmad","David Watts","Robert Hall-Palmer","Michael Ackroyd",NA,NA,0,1,NA,1,0.027,"E14001375",32274.0982398173,25349.0977252541,0.560088653523842,0.439911346476158
"Newbury","E14001376","South East","England",71631,17268,0.3529,2714,0.0555,3662,0.0748,19645,0.4015,5357,0.1095,0,0,153,0.0031,131,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48930,"LIBDEM","CON",0.0486,0.68308413954852,0.0111632289383666,"NEWBURY","South East","Laura Farris","Liz Bell","Lee Dillon","Doug Terry","Steve Masters",NA,NA,0,1,NA,1,0.00580000000000008,"E14001376",26940.3897546973,28472.0965807433,0.486179046210147,0.513820953789853
"Newcastle upon Tyne Central and West","E14001377","North East","England",76460,4228,0.1022,3228,0.0781,18875,0.4564,1946,0.0471,7815,0.189,5263,0.1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,41355,"LAB","REFORM",0.2674,0.540871043682971,0.146188903162659,"NEWCASTLE UPON TYNE CENTRAL AND WEST","North East","Frances Lasok","Chi Onwurah","Ali Avaei","Ashton Hektor Muncaster","John Pearson",NA,NA,1,0,1,NA,0.1272,"E14001377",33422.0186214994,28565.0108905091,0.539177613197687,0.460822386802313
"Newcastle upon Tyne East and Wallsend","E14001378","North East","England",76875,3522,0.0832,5257,0.1242,21200,0.5009,2965,0.0701,8383,0.1981,0,0,994,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,42321,"LAB","REFORM",0.3028,0.550517073170732,0.0342500935913843,"NEWCASTLE UPON TYNE EAST AND WALLSEND","North East","Rosie Hanlon","Mary Glindon","Mark Ridyard","Janice Richardson","Matthew Williams",NA,NA,1,0,1,NA,0.0235,"E14001378",27028.2999985224,21385.2353626162,0.55827982395638,0.44172017604362
"Newcastle upon Tyne North","E14001379","North East","England",76503,6678,0.1374,5035,0.1036,24440,0.5027,5936,0.1221,5933,0.122,310,0.0064,285,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,48617,"LAB","CON",0.3653,0.635491418637178,0.0421315944798898,"NEWCASTLE UPON TYNE NORTH","North East","Guy Renner-Thompson","Catherine McKinnell","Aidan King","Deborah Lorraine","Sarah Peters",NA,NA,1,0,1,NA,0.0122,"E14001379",20030.9642494122,27172.8144343694,0.424350863595047,0.575649136404953
"Newcastle-under-Lyme","E14001380","West Midlands","England",70025,10923,0.2757,1851,0.0467,15992,0.4037,1987,0.0502,8865,0.2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,39618,"LAB","CON",0.128,0.565769368082828,0.0218156379486627,"NEWCASTLE-UNDER-LYME","West Midlands","Simon Tagg","Adam Jogee","","Neill Walker","Jennifer Hibell",NA,NA,0,1,NA,0,-0.000100000000000017,"E14001380",31949.0789854253,19834.7640717236,0.61697002576974,0.38302997423026
"Newport East","W07000104","Wales","Wales",76159,6487,0.1684,2092,0.0543,16370,0.4249,2045,0.0531,7361,0.191,1802,0.0468,135,0.0035,0,0,0,0,2239,0.0581,0,0,0,0,0,0,0,0,0,0,0,0,2024,38531,"LAB","REFORM",0.2339,0.505928386664741,0.0874965949332606,"NEWPORT EAST","Wales","Rachel Buckler","Jessica Morden","John Miller","Tommy Short","Lauren James",NA,"Jonathan Clark",1,0,1,NA,0.1083,"W07000104",28722.3946655115,19981.4969676488,0.589735105396706,0.410264894603294
"Newport West and Islwyn","W07000105","Wales","Wales",76234,6710,0.1599,2078,0.0495,17409,0.415,2087,0.0497,8541,0.2036,1597,0.0381,0,0,0,0,0,0,3529,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,2024,41951,"LAB","REFORM",0.2114,0.550292520397723,0.0178998670801949,"NEWPORT WEST AND ISLWYN","Wales","Nick Jones","Ruth Jones","Mike Hamilton","Paul Taylor","Kerry Vosper",NA,"Brandon Ham",1,0,1,NA,0.1223,"W07000105",28500.5690739887,24005.7672506479,0.542802470501372,0.457197529498628
"Newry and Armagh","N05000011","Northern Ireland","Northern Ireland",74585,83,0.0018,0,0,0,0,0,0,0,0,0,0,4987,0.1085,0,0,0,0,0,0,2692,0.0586,5900,0.1284,6806,0.1481,22299,0.4854,3175,0.0691,0,0,2024,45942,"SF","SDLP",0.3373,0.615968358248978,NA,"NEWRY AND ARMAGH","Northern Ireland",NA,NA,NA,NA,"",NA,NA,0,0,NA,NA,0.9982,NA,NA,NA,NA,NA
"Newton Abbot","E14001381","South West","England",72956,12955,0.2699,2083,0.0434,7115,0.1483,15201,0.3167,8494,0.177,0,0,2144,0.0447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,47992,"LIBDEM","CON",0.0468000000000001,0.657821152475465,0.00334172334386547,"NEWTON ABBOT","South West","Anne Marie Morris","Jacob Cousens","Martin Wrigley","Christopher Hilditch","Pauline Wynter",NA,NA,0,1,NA,1,0.0447,"E14001381",31497.5010248997,24805.7228599511,0.559426243323424,0.440573756676576
