Constituency,GEO_CODE,Date,Inac_pc,Inac_pc_low,Inac_pc_high
Bristol East,E14000599,2023-12,0.157,0.08600000000000001,0.22799999999999998
Bristol North West,E14000600,2023-12,0.177,0.11599999999999999,0.238
Bristol South,E14000601,2023-12,0.201,0.132,0.27
Bristol West,E14000602,2023-12,0.278,0.202,0.35400000000000004
Broadland,E14000603,2023-12,0.258,0.14600000000000002,0.37
Bromley and Chislehurst,E14000604,2023-12,0.16399999999999998,0.08299999999999998,0.245
Bromsgrove,E14000605,2023-12,0.141,0.06699999999999998,0.215
Broxbourne,E14000606,2023-12,0.198,0.099,0.29700000000000004
Broxtowe,E14000607,2023-12,0.12,0.05399999999999999,0.186
Buckingham,E14000608,2023-12,0.198,0.11600000000000002,0.28
Burnley,E14000609,2023-12,0.233,0.10700000000000001,0.359
Burton,E14000610,2023-12,0.19399999999999998,0.09599999999999997,0.292
Bury North,E14000611,2023-12,0.215,0.148,0.28200000000000003
Bury South,E14000612,2023-12,0.255,0.188,0.322
Bury St Edmunds,E14000613,2023-12,0.266,0.181,0.35100000000000003
Caerphilly,W07000076,2023-12,0.217,0.16299999999999998,0.271
"Caithness, Sutherland and Easter Ross",S14000009,2023-12,0.212,,
Calder Valley,E14000614,2023-12,0.21600000000000003,0.14700000000000002,0.28500000000000003
Camberwell and Peckham,E14000615,2023-12,0.228,0.13,0.326
Camborne and Redruth,E14000616,2023-12,0.153,0.076,0.22999999999999998
Cambridge,E14000617,2023-12,0.175,0.102,0.248
Cannock Chase,E14000618,2023-12,0.152,,
Canterbury,E14000619,2023-12,0.305,0.193,0.417
Cardiff Central,W07000050,2023-12,0.19,0.08,0.3
Cardiff North,W07000051,2023-12,0.218,0.134,0.302
Cardiff South and Penarth,W07000080,2023-12,0.135,0.083,0.187
Cardiff West,W07000079,2023-12,0.27899999999999997,0.19199999999999998,0.366
Carlisle,E14000620,2023-12,0.138,0.07100000000000001,0.20500000000000002
Carmarthen East and Dinefwr,W07000067,2023-12,0.188,0.135,0.241
Carmarthen West and South Pembrokeshire,W07000066,2023-12,0.187,0.134,0.24
Carshalton and Wallington,E14000621,2023-12,0.113,0.04200000000000001,0.184
Castle Point,E14000622,2023-12,0.121,,
Central Ayrshire,S14000010,2023-12,0.301,0.23299999999999998,0.369
Central Devon,E14000623,2023-12,0.204,0.11699999999999999,0.291
Central Suffolk and North Ipswich,E14000624,2023-12,0.163,0.08600000000000001,0.24
Ceredigion,W07000064,2023-12,0.268,0.21400000000000002,0.322
Charnwood,E14000625,2023-12,0.11199999999999999,0.052999999999999985,0.17099999999999999
Chatham and Aylesford,E14000626,2023-12,0.182,0.10799999999999998,0.256
Cheadle,E14000627,2023-12,0.187,0.118,0.256
Chelmsford,E14000628,2023-12,0.147,,
Chelsea and Fulham,E14000629,2023-12,0.31,0.22199999999999998,0.398
Cheltenham,E14000630,2023-12,0.138,0.07500000000000001,0.201
Chesham and Amersham,E14000631,2023-12,0.132,0.062,0.202
Chesterfield,E14000632,2023-12,0.27699999999999997,0.14799999999999996,0.40599999999999997
Chichester,E14000633,2023-12,0.311,0.18,0.442
Chingford and Woodford Green,E14000634,2023-12,0.23199999999999998,0.127,0.33699999999999997
Chippenham,E14000635,2023-12,0.147,0.08399999999999999,0.21
Chipping Barnet,E14000636,2023-12,0.27399999999999997,0.16199999999999998,0.38599999999999995
Chorley,E14000637,2023-12,0.314,0.21700000000000003,0.411
Christchurch,E14000638,2023-12,0.231,0.129,0.333
Cities of London and Westminster,E14000639,2023-12,0.261,0.157,0.365
City of Chester,E14000640,2023-12,0.166,0.06400000000000002,0.268
City of Durham,E14000641,2023-12,0.20800000000000002,0.12200000000000003,0.29400000000000004
Clacton,E14000642,2023-12,0.415,0.286,0.544
Cleethorpes,E14000643,2023-12,0.24,0.179,0.301
Clwyd South,W07000062,2023-12,0.187,0.133,0.241
Clwyd West,W07000059,2023-12,0.2,0.15000000000000002,0.25
"Coatbridge, Chryston and Bellshill",S14000011,2023-12,0.28300000000000003,0.17500000000000002,0.391
Colchester,E14000644,2023-12,0.243,0.127,0.359
Colne Valley,E14000645,2023-12,0.182,0.11499999999999999,0.249
Congleton,E14000646,2023-12,0.127,0.046,0.20800000000000002
Copeland,E14000647,2023-12,0.21,0.12099999999999998,0.299
Corby,E14000648,2023-12,0.111,0.044,0.178
Coventry North East,E14000649,2023-12,0.267,0.199,0.335
Coventry North West,E14000650,2023-12,0.146,0.09399999999999999,0.198
Coventry South,E14000651,2023-12,0.262,0.191,0.333
Crawley,E14000652,2023-12,0.214,0.13,0.298
Crewe and Nantwich,E14000653,2023-12,0.158,,
Croydon Central,E14000654,2023-12,0.168,0.099,0.23700000000000002
Croydon North,E14000655,2023-12,0.255,0.15000000000000002,0.36
Croydon South,E14000656,2023-12,0.11800000000000001,0.05,0.186
"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,2023-12,0.263,0.186,0.34
Cynon Valley,W07000070,2023-12,0.297,0.21399999999999997,0.38
Dagenham and Rainham,E14000657,2023-12,0.196,0.12300000000000001,0.269
Darlington,E14000658,2023-12,0.152,0.11199999999999999,0.192
Dartford,E14000659,2023-12,0.136,0.04200000000000001,0.23
Daventry,E14000660,2023-12,0.21600000000000003,0.132,0.30000000000000004
Delyn,W07000042,2023-12,0.18600000000000003,0.12100000000000002,0.251
Denton and Reddish,E14000661,2023-12,0.228,0.15000000000000002,0.306
Derby North,E14000662,2023-12,0.171,0.11900000000000001,0.22300000000000003
Derby South,E14000663,2023-12,0.20600000000000002,0.14200000000000002,0.27
Derbyshire Dales,E14000664,2023-12,0.192,0.08399999999999999,0.30000000000000004
Devizes,E14000665,2023-12,0.16399999999999998,0.09399999999999997,0.23399999999999999
Dewsbury,E14000666,2023-12,0.275,0.18800000000000003,0.362
Don Valley,E14000667,2023-12,0.263,0.182,0.34400000000000003
Doncaster Central,E14000668,2023-12,0.251,0.16799999999999998,0.334
Doncaster North,E14000669,2023-12,0.17800000000000002,0.10600000000000001,0.25
Dover,E14000670,2023-12,0.18,0.089,0.271
Dudley North,E14000671,2023-12,0.24,0.12,0.36
Dudley South,E14000672,2023-12,0.191,0.095,0.28700000000000003
Dulwich and West Norwood,E14000673,2023-12,0.192,0.094,0.29000000000000004
Dumfries and Galloway,S14000013,2023-12,0.267,0.18500000000000003,0.349
"Dumfriesshire, Clydesdale and Tweeddale",S14000014,2023-12,0.20199999999999999,0.13199999999999998,0.272
Dundee East,S14000015,2023-12,0.185,0.124,0.246
Dundee West,S14000016,2023-12,0.324,0.261,0.387
Dunfermline and West Fife,S14000017,2023-12,0.136,0.07800000000000001,0.194
Dwyfor Meirionnydd,W07000061,2023-12,0.22699999999999998,0.15399999999999997,0.3
Ealing Central and Acton,E14000674,2023-12,0.192,,
Ealing North,E14000675,2023-12,0.132,,
Easington,E14000677,2023-12,0.27,0.15700000000000003,0.383
East Devon,E14000678,2023-12,0.162,0.098,0.226
East Dunbartonshire,S14000018,2023-12,0.249,0.198,0.3
East Ham,E14000679,2023-12,0.245,0.141,0.349
East Hampshire,E14000680,2023-12,0.125,,
"East Kilbride, Strathaven and Lesmahagow",S14000019,2023-12,0.198,0.12300000000000001,0.273
East Lothian,S14000020,2023-12,0.17600000000000002,0.126,0.22600000000000003
East Renfrewshire,S14000021,2023-12,0.204,0.149,0.259
East Surrey,E14000681,2023-12,0.191,0.108,0.274
East Worthing and Shoreham,E14000682,2023-12,0.177,0.07699999999999999,0.277
East Yorkshire,E14000683,2023-12,0.275,0.198,0.35200000000000004
Eastbourne,E14000684,2023-12,0.182,0.09699999999999999,0.267
Eastleigh,E14000685,2023-12,0.149,0.06399999999999999,0.23399999999999999
Eddisbury,E14000686,2023-12,0.25,0.123,0.377
Edinburgh East,S14000022,2023-12,0.28800000000000003,0.17300000000000004,0.403
Edinburgh North and Leith,S14000023,2023-12,0.174,0.10099999999999999,0.247
Edinburgh South,S14000024,2023-12,0.08900000000000001,,
Edinburgh South West,S14000025,2023-12,0.062,0.006999999999999999,0.11699999999999999
Edinburgh West,S14000026,2023-12,0.09300000000000001,0.032000000000000015,0.15400000000000003
Edmonton,E14000687,2023-12,0.379,0.24200000000000002,0.516
Ellesmere Port and Neston,E14000688,2023-12,0.295,0.13699999999999998,0.45299999999999996
Elmet and Rothwell,E14000689,2023-12,0.305,0.20099999999999998,0.40900000000000003
Eltham,E14000690,2023-12,0.152,0.06299999999999999,0.241
Enfield North,E14000691,2023-12,0.282,0.15299999999999997,0.411
"Enfield, Southgate",E14000692,2023-12,0.183,,
Epping Forest,E14000693,2023-12,0.195,0.10800000000000001,0.28200000000000003
Epsom and Ewell,E14000694,2023-12,0.092,,
Erewash,E14000695,2023-12,0.16699999999999998,0.08799999999999998,0.246
Erith and Thamesmead,E14000696,2023-12,0.201,0.125,0.277
Esher and Walton,E14000697,2023-12,0.259,0.174,0.34400000000000003
Exeter,E14000698,2023-12,0.218,0.133,0.303
Falkirk,S14000028,2023-12,0.235,0.175,0.295
Fareham,E14000699,2023-12,0.115,0.043,0.187
Faversham and Mid Kent,E14000700,2023-12,0.289,0.14099999999999996,0.437
Feltham and Heston,E14000701,2023-12,0.17,,
Filton and Bradley Stoke,E14000702,2023-12,0.12,0.072,0.16799999999999998
Finchley and Golders Green,E14000703,2023-12,0.154,,
Folkestone and Hythe,E14000704,2023-12,0.24,0.126,0.354
Forest of Dean,E14000705,2023-12,0.162,0.08700000000000001,0.237
Fylde,E14000706,2023-12,0.259,0.14800000000000002,0.37
Gainsborough,E14000707,2023-12,0.266,0.15100000000000002,0.381
Garston and Halewood,E14000708,2023-12,0.295,0.209,0.381
Gateshead,E14000709,2023-12,0.18,0.123,0.237
Gedling,E14000710,2023-12,0.233,0.163,0.30300000000000005
Gillingham and Rainham,E14000711,2023-12,0.21100000000000002,0.137,0.28500000000000003
Glasgow Central,S14000029,2023-12,0.256,0.14400000000000002,0.368
Glasgow East,S14000030,2023-12,0.278,0.15100000000000002,0.405
Glasgow North,S14000031,2023-12,0.253,0.137,0.369
Glasgow North East,S14000032,2023-12,0.337,0.199,0.47500000000000003
Glasgow North West,S14000033,2023-12,0.245,0.139,0.351
Glasgow South,S14000034,2023-12,0.175,,
Glasgow South West,S14000035,2023-12,0.263,0.14300000000000002,0.383
Glenrothes,S14000036,2023-12,0.27399999999999997,0.19199999999999998,0.356
Gloucester,E14000712,2023-12,0.105,0.04599999999999999,0.164
Gordon,S14000037,2023-12,0.153,0.094,0.212
Gosport,E14000713,2023-12,0.153,0.08499999999999999,0.221
Gower,W07000046,2023-12,0.177,0.11399999999999999,0.24
Grantham and Stamford,E14000714,2023-12,0.259,0.167,0.351
Gravesham,E14000715,2023-12,0.13,,
Great Grimsby,E14000716,2023-12,0.23,0.16,0.30000000000000004
Great Yarmouth,E14000717,2023-12,0.293,0.192,0.39399999999999996
Greenwich and Woolwich,E14000718,2023-12,0.107,0.049999999999999996,0.164
Guildford,E14000719,2023-12,0.183,0.087,0.279
Hackney North and Stoke Newington,E14000720,2023-12,0.159,,
Hackney South and Shoreditch,E14000721,2023-12,0.121,0.041999999999999996,0.2
Halesowen and Rowley Regis,E14000722,2023-12,0.139,0.07100000000000001,0.20700000000000002
Halifax,E14000723,2023-12,0.213,0.128,0.298
Haltemprice and Howden,E14000724,2023-12,0.174,0.10799999999999998,0.24
Halton,E14000725,2023-12,0.263,0.194,0.332
Hammersmith,E14000726,2023-12,0.17300000000000001,0.09200000000000001,0.254
Hampstead and Kilburn,E14000727,2023-12,0.326,0.21900000000000003,0.433
Harborough,E14000728,2023-12,0.155,0.092,0.218
Harlow,E14000729,2023-12,0.256,0.156,0.356
Harrogate and Knaresborough,E14000730,2023-12,0.185,0.11299999999999999,0.257
Harrow East,E14000731,2023-12,0.327,0.183,0.47100000000000003
Harrow West,E14000732,2023-12,0.158,,
Hartlepool,E14000733,2023-12,0.297,0.249,0.345
Harwich and North Essex,E14000734,2023-12,0.252,0.14500000000000002,0.359
Hastings and Rye,E14000735,2023-12,0.193,0.104,0.28200000000000003
Havant,E14000736,2023-12,0.325,0.201,0.449
Hayes and Harlington,E14000737,2023-12,0.359,,
Hazel Grove,E14000738,2023-12,0.183,0.108,0.258
Hemel Hempstead,E14000739,2023-12,0.19,0.092,0.28800000000000003
Hemsworth,E14000740,2023-12,0.332,0.248,0.41600000000000004
Hendon,E14000741,2023-12,0.299,0.193,0.40499999999999997
Henley,E14000742,2023-12,0.153,,
Hereford and South Herefordshire,E14000743,2023-12,0.205,0.146,0.264
Hertford and Stortford,E14000744,2023-12,0.191,0.114,0.268
Hertsmere,E14000745,2023-12,0.293,0.181,0.40499999999999997
Hexham,E14000746,2023-12,0.264,0.181,0.34700000000000003
Heywood and Middleton,E14000747,2023-12,0.273,0.198,0.34800000000000003
High Peak,E14000748,2023-12,0.252,0.144,0.36
Hitchin and Harpenden,E14000749,2023-12,0.15,0.071,0.22899999999999998
Holborn and St Pancras,E14000750,2023-12,0.266,0.182,0.35000000000000003
Hornchurch and Upminster,E14000751,2023-12,0.149,0.08299999999999999,0.215
Hornsey and Wood Green,E14000752,2023-12,0.218,0.14200000000000002,0.294
Horsham,E14000753,2023-12,0.16699999999999998,0.06999999999999999,0.26399999999999996
Houghton and Sunderland South,E14000754,2023-12,0.289,0.21799999999999997,0.36
Hove,E14000755,2023-12,0.139,0.07,0.20800000000000002
Huddersfield,E14000756,2023-12,0.182,0.105,0.259
Huntingdon,E14000757,2023-12,0.126,0.062,0.19
Hyndburn,E14000758,2023-12,0.205,,
Ilford North,E14000759,2023-12,0.255,0.168,0.34199999999999997
Ilford South,E14000760,2023-12,0.321,0.23299999999999998,0.40900000000000003
Inverclyde,S14000038,2023-12,0.275,0.21000000000000002,0.34
"Inverness, Nairn, Badenoch and Strathspey",S14000039,2023-12,0.23399999999999999,0.15599999999999997,0.312
Ipswich,E14000761,2023-12,0.127,,
Isle of Wight,E14000762,2023-12,0.24,0.195,0.285
Islington North,E14000763,2023-12,0.19399999999999998,0.11199999999999999,0.27599999999999997
Islington South and Finsbury,E14000764,2023-12,0.15,0.08199999999999999,0.218
Islwyn,W07000077,2023-12,0.21600000000000003,0.15600000000000003,0.276
Jarrow,E14000765,2023-12,0.239,0.187,0.291
Keighley,E14000766,2023-12,0.233,0.135,0.331
Kenilworth and Southam,E14000767,2023-12,0.19,0.11599999999999999,0.264
Kensington,E14000768,2023-12,0.34600000000000003,0.259,0.43300000000000005
Kettering,E14000769,2023-12,0.24600000000000002,0.16500000000000004,0.327
Kilmarnock and Loudoun,S14000040,2023-12,0.282,0.21699999999999997,0.347
Kingston and Surbiton,E14000770,2023-12,0.122,0.059,0.185
Kingston upon Hull East,E14000771,2023-12,0.21,0.126,0.294
Kingston upon Hull North,E14000772,2023-12,0.278,0.199,0.35700000000000004
Kingston upon Hull West and Hessle,E14000773,2023-12,0.21,0.131,0.289
Kingswood,E14000774,2023-12,0.127,0.073,0.181
Kirkcaldy and Cowdenbeath,S14000041,2023-12,0.258,0.175,0.341
Knowsley,E14000775,2023-12,0.22899999999999998,0.16999999999999998,0.288
Lanark and Hamilton East,S14000042,2023-12,0.27699999999999997,0.18099999999999997,0.373
Lancaster and Fleetwood,E14000776,2023-12,0.361,0.249,0.473
Leeds Central,E14000777,2023-12,0.268,0.16600000000000004,0.37
Leeds East,E14000778,2023-12,0.41100000000000003,0.29600000000000004,0.526
Leeds North East,E14000779,2023-12,0.184,0.097,0.271
Leeds North West,E14000780,2023-12,0.214,0.10999999999999999,0.318
Leeds West,E14000781,2023-12,0.16899999999999998,0.07299999999999998,0.265
Leicester East,E14000782,2023-12,0.326,0.25,0.402
Leicester South,E14000783,2023-12,0.261,0.193,0.329
Leicester West,E14000784,2023-12,0.258,0.182,0.334
Leigh,E14000785,2023-12,0.311,0.21000000000000002,0.412
Lewes,E14000786,2023-12,0.26,0.169,0.351
Lewisham East,E14000787,2023-12,0.233,0.132,0.334
Lewisham West and Penge,E14000788,2023-12,0.138,0.05200000000000002,0.224
"Lewisham, Deptford",E14000789,2023-12,0.207,0.11799999999999998,0.296
Leyton and Wanstead,E14000790,2023-12,0.266,0.17200000000000001,0.36
Lichfield,E14000791,2023-12,0.095,,
Lincoln,E14000792,2023-12,0.257,0.14800000000000002,0.366
Linlithgow and East Falkirk,S14000043,2023-12,0.233,0.17400000000000002,0.29200000000000004
"Liverpool, Riverside",E14000793,2023-12,0.244,0.15,0.33799999999999997
"Liverpool, Walton",E14000794,2023-12,0.22699999999999998,0.12299999999999997,0.33099999999999996
"Liverpool, Wavertree",E14000795,2023-12,0.304,0.16499999999999998,0.443
"Liverpool, West Derby",E14000796,2023-12,0.248,0.137,0.359
Livingston,S14000044,2023-12,0.233,0.17200000000000001,0.29400000000000004
Llanelli,W07000045,2023-12,0.29,0.22799999999999998,0.352
Loughborough,E14000797,2023-12,0.225,0.14100000000000001,0.309
Louth and Horncastle,E14000798,2023-12,0.217,0.103,0.331
Ludlow,E14000799,2023-12,0.17600000000000002,0.09500000000000001,0.257
Luton North,E14000800,2023-12,0.217,0.166,0.268
Luton South,E14000801,2023-12,0.28800000000000003,0.22800000000000004,0.34800000000000003
Macclesfield,E14000802,2023-12,0.099,,
Maidenhead,E14000803,2023-12,0.134,0.098,0.17
Maidstone and The Weald,E14000804,2023-12,0.23600000000000002,0.137,0.335
Makerfield,E14000805,2023-12,0.26899999999999996,0.17599999999999993,0.362
Maldon,E14000806,2023-12,0.142,0.05299999999999998,0.23099999999999998
Manchester Central,E14000807,2023-12,0.31,0.194,0.426
"Manchester, Gorton",E14000808,2023-12,0.312,0.182,0.442
"Manchester, Withington",E14000809,2023-12,0.23399999999999999,0.148,0.31999999999999995
Mansfield,E14000810,2023-12,0.281,0.15000000000000002,0.41200000000000003
Meon Valley,E14000811,2023-12,0.267,0.17000000000000004,0.364
Meriden,E14000812,2023-12,0.19699999999999998,0.14499999999999996,0.249
Merthyr Tydfil and Rhymney,W07000071,2023-12,0.226,0.181,0.271
Mid Bedfordshire,E14000813,2023-12,0.195,0.125,0.265
Mid Derbyshire,E14000814,2023-12,0.085,0.031,0.139
Mid Dorset and North Poole,E14000815,2023-12,0.12,0.067,0.173
Mid Norfolk,E14000816,2023-12,0.307,0.217,0.397
Mid Sussex,E14000817,2023-12,0.209,0.119,0.299
Mid Worcestershire,E14000818,2023-12,0.239,0.13499999999999998,0.34299999999999997
Middlesbrough,E14000819,2023-12,0.282,0.22599999999999998,0.33799999999999997
Middlesbrough South and East Cleveland,E14000820,2023-12,0.223,0.173,0.273
Midlothian,S14000045,2023-12,0.134,0.08300000000000002,0.185
Milton Keynes North,E14000821,2023-12,0.21899999999999997,0.16599999999999998,0.27199999999999996
Milton Keynes South,E14000822,2023-12,0.214,0.163,0.265
Mitcham and Morden,E14000823,2023-12,0.183,0.082,0.284
Mole Valley,E14000824,2023-12,0.11599999999999999,,
Monmouth,W07000054,2023-12,0.218,0.16899999999999998,0.267
Montgomeryshire,W07000063,2023-12,0.16699999999999998,0.07399999999999997,0.26
Moray,S14000046,2023-12,0.247,0.193,0.301
Morecambe and Lunesdale,E14000825,2023-12,0.187,0.088,0.28600000000000003
Morley and Outwood,E14000826,2023-12,0.11800000000000001,,
Motherwell and Wishaw,S14000047,2023-12,0.27899999999999997,0.18499999999999997,0.373
Na h-Eileanan An Iar,S14000027,2023-12,0.209,0.122,0.296
Neath,W07000069,2023-12,0.203,0.14800000000000002,0.258
New Forest East,E14000827,2023-12,0.17300000000000001,0.099,0.24700000000000003
New Forest West,E14000828,2023-12,0.10400000000000001,0.036000000000000004,0.17200000000000001
Newark,E14000829,2023-12,0.192,0.089,0.29500000000000004
Newbury,E14000830,2023-12,0.174,0.12399999999999999,0.22399999999999998
Newcastle upon Tyne Central,E14000831,2023-12,0.312,0.23,0.394
Newcastle upon Tyne East,E14000832,2023-12,0.258,0.177,0.339
Newcastle upon Tyne North,E14000833,2023-12,0.13699999999999998,0.07499999999999998,0.19899999999999998
Newcastle-under-Lyme,E14000834,2023-12,0.105,,
Newport East,W07000055,2023-12,0.225,0.17,0.28
Newport West,W07000056,2023-12,0.21899999999999997,0.16799999999999998,0.26999999999999996
Newton Abbot,E14000835,2023-12,0.152,0.086,0.218
"Normanton, Pontefract and Castleford",E14000836,2023-12,0.139,0.07500000000000001,0.203
North Ayrshire and Arran,S14000048,2023-12,0.247,0.184,0.31
North Cornwall,E14000837,2023-12,0.298,0.183,0.413
North Devon,E14000838,2023-12,0.22,0.10800000000000001,0.33199999999999996
North Dorset,E14000839,2023-12,0.20199999999999999,0.129,0.27499999999999997
North Durham,E14000840,2023-12,0.271,0.17400000000000004,0.368
North East Bedfordshire,E14000841,2023-12,0.11199999999999999,0.06399999999999999,0.15999999999999998
North East Cambridgeshire,E14000842,2023-12,0.263,0.17300000000000001,0.353
North East Derbyshire,E14000843,2023-12,0.299,0.176,0.422
North East Fife,S14000049,2023-12,0.196,0.124,0.268
North East Hampshire,E14000844,2023-12,0.12300000000000001,0.06100000000000001,0.185
North East Hertfordshire,E14000845,2023-12,0.12300000000000001,0.053000000000000005,0.193
North East Somerset,E14000846,2023-12,0.209,0.156,0.262
North Herefordshire,E14000847,2023-12,0.16399999999999998,0.11499999999999998,0.21299999999999997
North Norfolk,E14000848,2023-12,0.24600000000000002,0.12900000000000003,0.363
North Shropshire,E14000849,2023-12,0.248,0.16299999999999998,0.333
North Somerset,E14000850,2023-12,0.14800000000000002,0.10000000000000002,0.196
North Swindon,E14000851,2023-12,0.205,0.15,0.26
North Thanet,E14000852,2023-12,0.18,,
North Tyneside,E14000853,2023-12,0.272,0.201,0.343
North Warwickshire,E14000854,2023-12,0.25,0.156,0.344
North West Cambridgeshire,E14000855,2023-12,0.14800000000000002,0.09600000000000002,0.2
