date,measure,value
2021-03-31,UK 10-year yield,0.93
2021-04-01,UK 10-year yield,0.89
2021-04-06,UK 10-year yield,0.88
2021-04-07,UK 10-year yield,0.87
2021-04-08,UK 10-year yield,0.85
2021-04-09,UK 10-year yield,0.87
2021-04-12,UK 10-year yield,0.88
2021-04-13,UK 10-year yield,0.88
2021-04-14,UK 10-year yield,0.9
2021-04-15,UK 10-year yield,0.82
2021-04-16,UK 10-year yield,0.86
2021-04-19,UK 10-year yield,0.85
2021-04-20,UK 10-year yield,0.82
2021-04-21,UK 10-year yield,0.84
2021-04-22,UK 10-year yield,0.82
2021-04-23,UK 10-year yield,0.84
2021-04-26,UK 10-year yield,0.84
2021-04-27,UK 10-year yield,0.86
2021-04-28,UK 10-year yield,0.89
2021-04-29,UK 10-year yield,0.93
2021-04-30,UK 10-year yield,0.93
2021-05-04,UK 10-year yield,0.88
2021-05-05,UK 10-year yield,0.91
2021-05-06,UK 10-year yield,0.88
2021-05-07,UK 10-year yield,0.86
2021-05-10,UK 10-year yield,0.88
2021-05-11,UK 10-year yield,0.93
2021-05-12,UK 10-year yield,0.99
2021-05-13,UK 10-year yield,1.0
2021-05-14,UK 10-year yield,0.97
2021-05-17,UK 10-year yield,0.97
2021-05-18,UK 10-year yield,0.96
2021-05-19,UK 10-year yield,0.94
2021-05-20,UK 10-year yield,0.94
2021-05-21,UK 10-year yield,0.94
2021-05-25,UK 10-year yield,0.89
2021-05-26,UK 10-year yield,0.85
2021-05-27,UK 10-year yield,0.91
2021-05-28,UK 10-year yield,0.89
2021-06-01,UK 10-year yield,0.93
2021-06-02,UK 10-year yield,0.9
2021-06-03,UK 10-year yield,0.94
2021-06-04,UK 10-year yield,0.9
2021-06-07,UK 10-year yield,0.91
2021-06-08,UK 10-year yield,0.88
2021-06-09,UK 10-year yield,0.84
2021-06-10,UK 10-year yield,0.86
2021-06-11,UK 10-year yield,0.81
2021-06-14,UK 10-year yield,0.84
2021-06-15,UK 10-year yield,0.86
2021-06-16,UK 10-year yield,0.85
2021-06-17,UK 10-year yield,0.89
2021-06-18,UK 10-year yield,0.85
2021-06-21,UK 10-year yield,0.86
2021-06-22,UK 10-year yield,0.88
2021-06-23,UK 10-year yield,0.88
2021-06-24,UK 10-year yield,0.84
2021-06-25,UK 10-year yield,0.87
2021-06-28,UK 10-year yield,0.83
2021-06-29,UK 10-year yield,0.83
2021-06-30,UK 10-year yield,0.82
2021-07-01,UK 10-year yield,0.83
2021-07-02,UK 10-year yield,0.8
2021-07-05,UK 10-year yield,0.81
2021-07-06,UK 10-year yield,0.73
2021-07-07,UK 10-year yield,0.69
2021-07-08,UK 10-year yield,0.69
2021-07-09,UK 10-year yield,0.76
2021-07-12,UK 10-year yield,0.74
2021-07-13,UK 10-year yield,0.71
2021-07-14,UK 10-year yield,0.72
2021-07-15,UK 10-year yield,0.76
2021-07-16,UK 10-year yield,0.71
2021-07-19,UK 10-year yield,0.63
2021-07-20,UK 10-year yield,0.63
2021-07-21,UK 10-year yield,0.68
2021-07-22,UK 10-year yield,0.65
2021-07-23,UK 10-year yield,0.67
2021-07-26,UK 10-year yield,0.65
2021-07-27,UK 10-year yield,0.65
2021-07-28,UK 10-year yield,0.65
2021-07-29,UK 10-year yield,0.65
2021-07-30,UK 10-year yield,0.65
2021-08-02,UK 10-year yield,0.63
2021-08-03,UK 10-year yield,0.6
2021-08-04,UK 10-year yield,0.61
2021-08-05,UK 10-year yield,0.6
2021-08-06,UK 10-year yield,0.7
2021-08-09,UK 10-year yield,0.66
2021-08-10,UK 10-year yield,0.66
2021-08-11,UK 10-year yield,0.66
2021-08-12,UK 10-year yield,0.68
2021-08-13,UK 10-year yield,0.66
2021-08-16,UK 10-year yield,0.65
2021-08-17,UK 10-year yield,0.64
2021-08-18,UK 10-year yield,0.65
2021-08-19,UK 10-year yield,0.62
2021-08-20,UK 10-year yield,0.61
2021-08-23,UK 10-year yield,0.62
2021-08-24,UK 10-year yield,0.62
2021-08-25,UK 10-year yield,0.68
2021-08-26,UK 10-year yield,0.68
2021-08-27,UK 10-year yield,0.67
2021-08-31,UK 10-year yield,0.71
2021-09-01,UK 10-year yield,0.69
2021-09-02,UK 10-year yield,0.68
2021-09-03,UK 10-year yield,0.71
2021-09-06,UK 10-year yield,0.69
2021-09-07,UK 10-year yield,0.74
2021-09-08,UK 10-year yield,0.73
2021-09-09,UK 10-year yield,0.73
2021-09-10,UK 10-year yield,0.74
2021-09-13,UK 10-year yield,0.74
2021-09-14,UK 10-year yield,0.73
2021-09-15,UK 10-year yield,0.75
2021-09-16,UK 10-year yield,0.8
2021-09-17,UK 10-year yield,0.85
2021-09-20,UK 10-year yield,0.8
2021-09-21,UK 10-year yield,0.79
2021-09-22,UK 10-year yield,0.79
2021-09-23,UK 10-year yield,0.9
2021-09-24,UK 10-year yield,0.93
2021-09-27,UK 10-year yield,0.95
2021-09-28,UK 10-year yield,1.0
2021-09-29,UK 10-year yield,0.99
2021-09-30,UK 10-year yield,1.04
2021-10-01,UK 10-year yield,1.03
2021-10-04,UK 10-year yield,1.01
2021-10-05,UK 10-year yield,1.1
2021-10-06,UK 10-year yield,1.08
2021-10-07,UK 10-year yield,1.09
2021-10-08,UK 10-year yield,1.17
2021-10-11,UK 10-year yield,1.19
2021-10-12,UK 10-year yield,1.15
2021-10-13,UK 10-year yield,1.06
2021-10-14,UK 10-year yield,1.04
2021-10-15,UK 10-year yield,1.09
2021-10-18,UK 10-year yield,1.12
2021-10-19,UK 10-year yield,1.15
2021-10-20,UK 10-year yield,1.15
2021-10-21,UK 10-year yield,1.21
2021-10-22,UK 10-year yield,1.16
2021-10-25,UK 10-year yield,1.14
2021-10-26,UK 10-year yield,1.11
2021-10-27,UK 10-year yield,0.98
2021-10-28,UK 10-year yield,0.98
2021-10-29,UK 10-year yield,1.04
2021-11-01,UK 10-year yield,1.07
2021-11-02,UK 10-year yield,1.03
2021-11-03,UK 10-year yield,1.07
2021-11-04,UK 10-year yield,0.95
2021-11-05,UK 10-year yield,0.84
2021-11-08,UK 10-year yield,0.85
2021-11-09,UK 10-year yield,0.82
2021-11-10,UK 10-year yield,0.93
2021-11-11,UK 10-year yield,0.92
2021-11-12,UK 10-year yield,0.92
2021-11-15,UK 10-year yield,0.95
2021-11-16,UK 10-year yield,0.97
2021-11-17,UK 10-year yield,0.98
2021-11-18,UK 10-year yield,0.94
2021-11-19,UK 10-year yield,0.89
2021-11-22,UK 10-year yield,0.94
2021-11-23,UK 10-year yield,0.98
2021-11-24,UK 10-year yield,1.01
2021-11-25,UK 10-year yield,0.97
2021-11-26,UK 10-year yield,0.81
2021-11-29,UK 10-year yield,0.85
2021-11-30,UK 10-year yield,0.82
2021-12-01,UK 10-year yield,0.84
2021-12-02,UK 10-year yield,0.8
2021-12-03,UK 10-year yield,0.77
2021-12-06,UK 10-year yield,0.73
2021-12-07,UK 10-year yield,0.72
2021-12-08,UK 10-year yield,0.75
2021-12-09,UK 10-year yield,0.75
2021-12-10,UK 10-year yield,0.72
2021-12-13,UK 10-year yield,0.71
2021-12-14,UK 10-year yield,0.72
2021-12-15,UK 10-year yield,0.73
2021-12-16,UK 10-year yield,0.75
2021-12-17,UK 10-year yield,0.78
2021-12-20,UK 10-year yield,0.78
2021-12-21,UK 10-year yield,0.88
2021-12-22,UK 10-year yield,0.9
2021-12-23,UK 10-year yield,0.94
2021-12-29,UK 10-year yield,1.02
2021-12-30,UK 10-year yield,0.98
2022-01-04,UK 10-year yield,1.08
2022-01-05,UK 10-year yield,1.09
2022-01-06,UK 10-year yield,1.16
2022-01-07,UK 10-year yield,1.18
2022-01-10,UK 10-year yield,1.2
2022-01-11,UK 10-year yield,1.18
2022-01-12,UK 10-year yield,1.16
2022-01-13,UK 10-year yield,1.13
2022-01-14,UK 10-year yield,1.16
2022-01-17,UK 10-year yield,1.2
2022-01-18,UK 10-year yield,1.22
2022-01-19,UK 10-year yield,1.28
2022-01-20,UK 10-year yield,1.24
2022-01-21,UK 10-year yield,1.18
2022-01-24,UK 10-year yield,1.14
2022-01-25,UK 10-year yield,1.17
2022-01-26,UK 10-year yield,1.22
2022-01-27,UK 10-year yield,1.24
2022-01-28,UK 10-year yield,1.25
2022-01-31,UK 10-year yield,1.32
2022-02-01,UK 10-year yield,1.32
2022-02-02,UK 10-year yield,1.26
2022-02-03,UK 10-year yield,1.39
2022-02-04,UK 10-year yield,1.42
2022-02-07,UK 10-year yield,1.43
2022-02-08,UK 10-year yield,1.5
2022-02-09,UK 10-year yield,1.43
2022-02-10,UK 10-year yield,1.52
2022-02-11,UK 10-year yield,1.54
2022-02-14,UK 10-year yield,1.57
2022-02-15,UK 10-year yield,1.58
2022-02-16,UK 10-year yield,1.53
2022-02-17,UK 10-year yield,1.47
2022-02-18,UK 10-year yield,1.39
2022-02-21,UK 10-year yield,1.41
2022-02-22,UK 10-year yield,1.48
2022-02-23,UK 10-year yield,1.48
2022-02-24,UK 10-year yield,1.46
2022-02-25,UK 10-year yield,1.47
2022-02-28,UK 10-year yield,1.43
2022-03-01,UK 10-year yield,1.16
2022-03-02,UK 10-year yield,1.25
2022-03-03,UK 10-year yield,1.31
2022-03-04,UK 10-year yield,1.2
2022-03-07,UK 10-year yield,1.29
2022-03-08,UK 10-year yield,1.42
2022-03-09,UK 10-year yield,1.51
2022-03-10,UK 10-year yield,1.52
2022-03-11,UK 10-year yield,1.52
2022-03-14,UK 10-year yield,1.6
2022-03-15,UK 10-year yield,1.57
2022-03-16,UK 10-year yield,1.63
2022-03-17,UK 10-year yield,1.58
2022-03-18,UK 10-year yield,1.5
2022-03-21,UK 10-year yield,1.62
2022-03-22,UK 10-year yield,1.7
2022-03-23,UK 10-year yield,1.65
2022-03-24,UK 10-year yield,1.64
2022-03-25,UK 10-year yield,1.68
2022-03-28,UK 10-year yield,1.61
2022-03-29,UK 10-year yield,1.65
2022-03-30,UK 10-year yield,1.66
2022-03-31,UK 10-year yield,1.63
2022-04-01,UK 10-year yield,1.63
2022-04-04,UK 10-year yield,1.56
2022-04-05,UK 10-year yield,1.67
2022-04-06,UK 10-year yield,1.73
2022-04-07,UK 10-year yield,1.73
2022-04-08,UK 10-year yield,1.76
2022-04-11,UK 10-year yield,1.85
2022-04-12,UK 10-year yield,1.8
2022-04-13,UK 10-year yield,1.81
2022-04-14,UK 10-year yield,1.88
2022-04-19,UK 10-year yield,1.99
2022-04-20,UK 10-year yield,1.92
2022-04-21,UK 10-year yield,1.98
2022-04-22,UK 10-year yield,1.95
2022-04-25,UK 10-year yield,1.85
2022-04-26,UK 10-year yield,1.8
2022-04-27,UK 10-year yield,1.82
2022-04-28,UK 10-year yield,1.88
2022-04-29,UK 10-year yield,1.92
2022-05-03,UK 10-year yield,1.9526484312010268
2022-05-04,UK 10-year yield,1.9782326882611614
2022-05-05,UK 10-year yield,1.9634186452642428
2022-05-06,UK 10-year yield,2.0191546953497004
2022-05-09,UK 10-year yield,1.966745927262367
2022-05-10,UK 10-year yield,1.860158742416526
2022-05-11,UK 10-year yield,1.8817988127705234
2022-05-12,UK 10-year yield,1.7175756480642335
2022-05-13,UK 10-year yield,1.7616502196813848
2022-05-16,UK 10-year yield,1.754888048450057
2022-05-17,UK 10-year yield,1.8909259263571703
2022-05-18,UK 10-year yield,1.8690974541910872
2022-05-19,UK 10-year yield,1.8727785415335756
2022-05-20,UK 10-year yield,1.9003295474184116
2022-05-23,UK 10-year yield,1.9870289181632734
2022-05-24,UK 10-year yield,1.878572614520812
2022-05-25,UK 10-year yield,1.9248809150702233
2022-05-26,UK 10-year yield,1.995889218765755
2022-05-27,UK 10-year yield,1.9459765282836237
2022-05-30,UK 10-year yield,2.0008299537854084
2022-05-31,UK 10-year yield,2.130324617771522
2022-06-01,UK 10-year yield,2.145705053503467
2022-06-06,UK 10-year yield,2.253919747230754
2022-06-07,UK 10-year yield,2.204156175262683
2022-06-08,UK 10-year yield,2.240922687156579
2022-06-09,UK 10-year yield,2.3182202919079944
2022-06-10,UK 10-year yield,2.4144865108651077
2022-06-13,UK 10-year yield,2.4927265459906023
2022-06-14,UK 10-year yield,2.5454010773150957
2022-06-15,UK 10-year yield,2.4537746847554947
2022-06-16,UK 10-year yield,2.5135765409779944
2022-06-17,UK 10-year yield,2.4921866822699883
2022-06-20,UK 10-year yield,2.593409850733194
2022-06-21,UK 10-year yield,2.6398051447791824
2022-06-22,UK 10-year yield,2.473990084911516
2022-06-23,UK 10-year yield,2.302744622319042
2022-06-24,UK 10-year yield,2.3145399198125025
2022-06-27,UK 10-year yield,2.4003001526701064
2022-06-28,UK 10-year yield,2.4864399797152936
2022-06-29,UK 10-year yield,2.396627092828001
2022-06-30,UK 10-year yield,2.294233242450882
2022-07-01,UK 10-year yield,2.12030568269692
2022-07-04,UK 10-year yield,2.250267091578393
2022-07-05,UK 10-year yield,2.1280807509907484
2022-07-06,UK 10-year yield,2.138797056612495
2022-07-07,UK 10-year yield,2.162346452088689
2022-07-08,UK 10-year yield,2.2735562005308383
2022-07-11,UK 10-year yield,2.232835168993182
2022-07-12,UK 10-year yield,2.1496326629005247
2022-07-13,UK 10-year yield,2.1389996742850537
2022-07-14,UK 10-year yield,2.1634931433451645
2022-07-15,UK 10-year yield,2.1715248443500763
2022-07-18,UK 10-year yield,2.2327456116978746
2022-07-19,UK 10-year yield,2.2749569132858163
2022-07-20,UK 10-year yield,2.2178731018679296
2022-07-21,UK 10-year yield,2.1140288956216304
2022-07-22,UK 10-year yield,2.020852038795685
2022-07-25,UK 10-year yield,2.0246722815271125
2022-07-26,UK 10-year yield,1.9854979605107101
2022-07-27,UK 10-year yield,2.018952857631557
2022-07-28,UK 10-year yield,1.92036280383881
2022-07-29,UK 10-year yield,1.9277419947301588
2022-08-01,UK 10-year yield,1.8509099902559882
2022-08-02,UK 10-year yield,1.8854069436891812
2022-08-03,UK 10-year yield,1.9724858245083108
2022-08-04,UK 10-year yield,1.9273425585854507
2022-08-05,UK 10-year yield,2.088415402958634
2022-08-08,UK 10-year yield,2.000893996915426
2022-08-09,UK 10-year yield,2.03490288456952
2022-08-10,UK 10-year yield,2.002022582933348
2022-08-11,UK 10-year yield,2.1265190124041555
2022-08-12,UK 10-year yield,2.180123616932259
2022-08-15,UK 10-year yield,2.080361831205459
2022-08-16,UK 10-year yield,2.1948257496921926
2022-08-17,UK 10-year yield,2.334943556058197
2022-08-18,UK 10-year yield,2.337798006775953
2022-08-19,UK 10-year yield,2.460745055930861
2022-08-22,UK 10-year yield,2.5445625531512794
2022-08-23,UK 10-year yield,2.598698969380412
2022-08-24,UK 10-year yield,2.7217982259228415
2022-08-25,UK 10-year yield,2.6609649394752233
2022-08-26,UK 10-year yield,2.646119107041723
2022-08-30,UK 10-year yield,2.771152923989667
2022-08-31,UK 10-year yield,2.8623612438189285
2022-09-01,UK 10-year yield,2.9689020546503406
2022-09-02,UK 10-year yield,2.958402471914666
2022-09-05,UK 10-year yield,2.970291343855357
2022-09-06,UK 10-year yield,3.090737989914995
2022-09-07,UK 10-year yield,3.073222295695943
2022-09-08,UK 10-year yield,3.2052064345428333
2022-09-09,UK 10-year yield,3.1723600563660943
2022-09-12,UK 10-year yield,3.10651664477368
2022-09-13,UK 10-year yield,3.192758611401269
2022-09-14,UK 10-year yield,3.174005832557316
2022-09-15,UK 10-year yield,3.1920643890131086
2022-09-16,UK 10-year yield,3.205638694614038
