WEO code,ISO3,WEO Subject Code,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,p21,GrowthLatest
122,AUT,NGDPRPPPPC,Austria,46749.66,47161.193,47703.821,47938.683,48941.204,49699.773,51151.093,52883.456,53485.895,51349.287,52170.135,53519.165,53641.755,53333.179,53266.72,53273.465,53647.676,54393.569,55274.189,56276.294,52394.66,54300.264,56729.958,56695.846,2022.0,0,-0.0006013048696422618
912,AZE,NGDPRPPPPC,Azerbaijan,4202.015,4429.597,4802.075,5242.493,5672.81,7174.544,9528.115,11798.404,12878.903,13860.631,14403.001,13999.842,14116.133,14747.138,14966.789,14941.15,14315.383,14184.792,14269.472,14501.143,13774.121,14470.73,14963.435,15229.382,2021.0,0,0.017773124954263517
313,BHS,NGDPRPPPPC,The Bahamas,39850.623,40292.503,40786.231,39706.748,39511.805,40313.5,40826.715,40923.124,39506.349,37426.285,37582.516,37395.251,38123.768,36623.267,36887.85,36844.084,36124.678,36815.405,37075.45,37361.232,28146.479,31654.627,34743.199,35821.512,2019.0,0,0.03103666418282329
419,BHR,NGDPRPPPPC,Bahrain,51500.173,50888.649,48948.387,48357.607,48013.993,47510.515,46811.959,46847.329,46748.225,45010.86,44826.715,47228.895,48424.648,49245.997,48989.608,48164.15,48006.927,47486.023,48424.429,50118.484,48165.542,48394.417,49191.617,49430.453,2021.0,0,0.004855217505860866
513,BGD,NGDPRPPPPC,Bangladesh,2423.289,2483.586,2543.535,2624.756,2735.191,2872.907,3029.235,3187.353,3324.835,3462.661,3630.401,3822.165,4014.776,4208.231,4423.114,4673.236,4938.829,5226.652,5565.681,5815.384,6058.063,6411.43,6733.529,7066.967,2020.0,1,0.049519056055153124
316,BRB,NGDPRPPPPC,Barbados,15251.017,14843.876,14917.607,15197.84,15364.628,15920.316,16759.773,17059.896,17106.502,16171.09,15739.025,15575.634,15451.414,15183.509,15117.441,15441.95,15782.476,15817.713,15685.702,15564.247,13458.375,13398.949,14701.548,15382.9,2020.0,0,0.04634559571549873
913,BLR,NGDPRPPPPC,Belarus,8057.661,8465.717,8944.296,9640.576,10818.209,11921.309,13204.752,14421.557,15959.194,16033.037,17317.196,18279.55,18618.567,18815.51,19128.718,18378.652,17882.388,18334.758,18954.128,19267.037,19176.06,19737.82,18896.618,19126.472,2022.0,0,0.012163763907382951
124,BEL,NGDPRPPPPC,Belgium,43228.766,43600.585,44145.6,44405.184,45811.429,46653.412,47545.551,48953.16,48792.602,47423.211,48390.935,48491.867,48518.371,48469.52,49045.867,49795.708,50097.345,50726.554,51423.719,52314.955,49222.49,52095.596,53415.319,53431.679,2022.0,0,0.00030627917807611154
339,BLZ,NGDPRPPPPC,Belize,8378.141,8581.073,8795.985,9375.244,9562.507,9539.129,9704.169,9765.039,9364.383,9078.261,8982.087,8711.407,8816.003,8980.227,9108.469,9174.914,8951.201,8573.108,8493.919,8601.755,7220.264,8149.75,8841.527,8923.388,2021.0,0,0.009258694793331603
638,BEN,NGDPRPPPPC,Benin,2431.445,2485.116,2523.61,2532.998,2566.346,2528.676,2549.194,2625.212,2673.769,2656.432,2634.134,2633.939,2681.351,2792.027,2883.899,2849.82,2859.392,2933.837,3039.907,3154.771,3181.474,3310.403,3408.027,3507.583,2020.0,0,0.02921220987979263
