area_code,area_name,median_income,25th_percentile,75th_percentile,country
E07000042,  Mid Devon,x,x,x,England
E07000043,  North Devon,x,x,x,England
E07000044,  South Hams,25971,14555,x,England
E07000045,  Teignbridge,25415,18421,36288,England
E07000046,  Torridge,x,x,x,England
E07000047,  West Devon,22297,x,x,England
E10000013,Gloucestershire,29685,19885,43145,England
E07000078,  Cheltenham,31067,21773,47227,England
E07000079,  Cotswold,29573,21111,45541,England
E07000080,  Forest of Dean,31191,x,42586,England
E07000081,  Gloucester,27653,19554,38315,England
E07000082,  Stroud,30382,21534,44456,England
E07000083,  Tewkesbury,27849,16336,40820,England
E06000066,Somerset UA,26563,17683,38916,England
W92000004,Wales  ,27852,19024,39815,Wales
W06000001,Isle of Anglesey / Ynys Môn,29722,19990,40029,Wales
W06000002,Gwynedd / Gwynedd,24340,15587,36505,Wales
W06000003,Conwy / Conwy,26471,15662,38189,Wales
W06000004,Denbighshire / Sir Ddinbych,23818,14375,33955,Wales
W06000005,Flintshire / Sir y Fflint,28241,20321,41576,Wales
W06000006,Wrexham / Wrecsam,27711,19828,38998,Wales
W06000023,Powys / Powys,x,x,x,Wales
W06000008,Ceredigion / Ceredigion,26675,16276,40715,Wales
W06000009,Pembrokeshire / Sir Benfro,26805,16364,38924,Wales
W06000010,Carmarthenshire / Sir Gaerfyrddin,28023,x,40334,Wales
W06000011,Swansea / Abertawe,27010,18354,40173,Wales
W06000012,Neath Port Talbot / Castell-nedd Port Talbot,28552,20215,39732,Wales
W06000013,Bridgend / Pen-y-bont ar Ogwr,27439,19691,38176,Wales
W06000014,Vale of Glamorgan / Bro Morgannwg,28000,19741,40786,Wales
W06000015,Cardiff / Caerdydd,30230,21033,43095,Wales
W06000016,Rhondda Cynon Taf / Rhondda Cynon Taf,27692,17823,38407,Wales
W06000024,Merthyr Tydfil / Merthyr Tudful,27002,17985,x,Wales
W06000018,Caerphilly / Caerffili,27880,x,x,Wales
W06000019,Blaenau Gwent / Blaenau Gwent,27470,20242,36832,Wales
W06000020,Torfaen / Torfaen,27773,20056,38523,Wales
W06000021,Monmouthshire / Sir Fynwy,31380,20035,43501,Wales
W06000022,Newport / Casnewydd,27764,20280,x,Wales
