country,country_code,value,series
South America (GCP),,1085392400.0,Annual CO2 emissions
South Korea,KOR,600999360.0,Annual CO2 emissions
South Sudan,SSD,1833605.0,Annual CO2 emissions
Spain,ESP,245613820.0,Annual CO2 emissions
Sri Lanka,LKA,17327094.0,Annual CO2 emissions
Sudan,SDN,22013348.0,Annual CO2 emissions
Suriname,SUR,3586520.0,Annual CO2 emissions
Sweden,SWE,38050544.0,Annual CO2 emissions
Switzerland,CHE,35380164.0,Annual CO2 emissions
Syria,SYR,27635256.0,Annual CO2 emissions
Taiwan,TWN,277900930.0,Annual CO2 emissions
Tajikistan,TJK,10017384.0,Annual CO2 emissions
Tanzania,TZA,15569999.0,Annual CO2 emissions
Thailand,THA,270746370.0,Annual CO2 emissions
Togo,TGO,2575560.0,Annual CO2 emissions
Tonga,TON,189008.0,Annual CO2 emissions
Trinidad and Tobago,TTO,34331736.0,Annual CO2 emissions
Tunisia,TUN,35576780.0,Annual CO2 emissions
Turkey,TUR,435684600.0,Annual CO2 emissions
Turkmenistan,TKM,70958350.0,Annual CO2 emissions
Turks and Caicos Islands,TCA,349200.0,Annual CO2 emissions
Tuvalu,TUV,11340.0,Annual CO2 emissions
Uganda,UGA,6021782.0,Annual CO2 emissions
Ukraine,UKR,141253000.0,Annual CO2 emissions
United Arab Emirates,ARE,243895220.0,Annual CO2 emissions
United Kingdom,GBR,318654370.0,Annual CO2 emissions
United States,USA,5057303600.0,Annual CO2 emissions
Upper-middle-income countries,,16903084000.0,Annual CO2 emissions
Uruguay,URY,7893098.0,Annual CO2 emissions
Uzbekistan,UZB,120610190.0,Annual CO2 emissions
Vanuatu,VUT,207909.0,Annual CO2 emissions
Vatican,VAT,,Annual CO2 emissions
Venezuela,VEN,76892000.0,Annual CO2 emissions
Vietnam,VNM,343606620.0,Annual CO2 emissions
Wallis and Futuna,WLF,26461.0,Annual CO2 emissions
World,OWID_WRL,37149786000.0,Annual CO2 emissions
Yemen,YEM,11356347.0,Annual CO2 emissions
Zambia,ZMB,8921889.0,Annual CO2 emissions
Zimbabwe,ZWE,8855981.0,Annual CO2 emissions
