year,date,series,value
2019,2019-01-01,Scotland,108.60034945589202
2019,2019-04-01,Scotland,109.33139916324089
2019,2019-07-01,Scotland,109.69749116210374
2019,2019-10-01,Scotland,109.87106216882496
2020,2020-01-01,Scotland,106.49453281484557
2020,2020-04-01,Scotland,82.54692368313535
2020,2020-07-01,Scotland,96.9996339472407
2020,2020-10-01,Scotland,98.46010490044779
2021,2021-01-01,Scotland,97.18142599428971
2021,2021-04-01,Scotland,104.68778199187025
2021,2021-07-01,Scotland,107.2052169932838
2021,2021-10-01,Scotland,109.76969360071229
2022,2022-01-01,Scotland,110.68391940602072
2022,2022-04-01,Scotland,110.82937422185599
2022,2022-07-01,Scotland,110.5882552928438
2022,2022-10-01,Scotland,110.98474563439092
2023,2023-01-01,Scotland,110.979939853706
2023,2023-04-01,Scotland,110.70354594640139
2023,2023-07-01,Scotland,110.9961647543428
2023,2023-10-01,Scotland,110.37876910484141
1998,1998-01-01,UK,81.38847388664611
1998,1998-04-01,UK,81.84621253059538
1998,1998-07-01,UK,82.04965192790617
1998,1998-10-01,UK,82.52010553418737
1999,1999-01-01,UK,83.01598906513239
1999,1999-04-01,UK,83.33386312343049
1999,1999-07-01,UK,84.59264439429097
1999,1999-10-01,UK,85.72427604183223
2000,2000-01-01,UK,86.71604310372231
2000,2000-04-01,UK,87.27550144632697
2000,2000-07-01,UK,87.74595505260815
2000,2000-10-01,UK,88.22912362122128
2001,2001-01-01,UK,88.9284465494771
2001,2001-04-01,UK,89.23360564544328
2001,2001-07-01,UK,89.615054515401
2001,2001-10-01,UK,89.81849391271179
2002,2002-01-01,UK,89.94564353603103
2002,2002-04-01,UK,90.28894751899298
2002,,UK,90.79754601226995
2002,2002-10-01,UK,91.4078642042023
2003,2003-01-01,UK,91.95460758447503
2003,2003-04-01,UK,92.70479036205856
2003,2003-07-01,UK,93.41682825264631
2003,2003-10-01,UK,94.02714644457866
2004,2004-01-01,UK,94.25601576655329
2004,2004-04-01,UK,94.68832448583872
2004,2004-07-01,UK,94.86633395848564
2004,2004-10-01,UK,95.17149305445183
2005,2005-01-01,UK,95.6928065100607
2005,2005-04-01,UK,96.30312470199306
2005,2005-07-01,UK,96.88801296926157
2005,2005-10-01,UK,97.62548078451317
2006,2006-01-01,UK,97.9560698051432
2006,2006-04-01,UK,98.17222416478592
2006,2006-07-01,UK,98.23579897644554
2006,2006-10-01,UK,98.55367303474364
2007,2007-01-01,UK,99.2784258876633
2007,2007-04-01,UK,99.79973934327221
2007,2007-07-01,UK,100.27019294955339
2007,2007-10-01,UK,100.65164181951111
2008,2008-01-01,UK,100.93137099081343
2008,2008-04-01,UK,100.23204806255761
2008,2008-07-01,UK,98.51552814774787
2008,2008-10-01,UK,96.2649798149973
2009,2009-01-01,UK,94.12886614323405
2009,2009-04-01,UK,93.65841253695287
2009,2009-07-01,UK,93.53126291363361
2009,2009-10-01,UK,93.62026764995709
2010,2010-01-01,UK,94.306875615881
2010,2010-04-01,UK,95.14606312978799
2010,2010-07-01,UK,95.46393718808608
2010,2010-10-01,UK,95.34950252709878
2011,2011-01-01,UK,95.40036237642647
2011,2011-04-01,UK,95.31135764010298
2011,2011-07-01,UK,95.43850726342222
2011,2011-10-01,UK,95.41307733875838
2012,2012-01-01,UK,96.08697034235037
2012,2012-04-01,UK,95.7945262087161
2012,2012-07-01,UK,96.57013891096348
2012,2012-10-01,UK,96.30312470199306
2013,2013-01-01,UK,96.4302743253123
2013,2013-04-01,UK,96.97701770558504
2013,2013-07-01,UK,97.60005085984933
2013,2013-10-01,UK,98.09593439079437
2014,2014-01-01,UK,98.71896754505863
2014,2014-04-01,UK,99.39286054865062
2014,2014-07-01,UK,99.93960392892336
2014,2014-10-01,UK,100.44820242220034
2015,2015-01-01,UK,100.54992212085571
2015,2015-04-01,UK,100.94408595314536
2015,2015-07-01,UK,101.1220954257923
2015,2015-10-01,UK,101.50354429575002
2016,2016-01-01,UK,101.65612384373313
2016,2016-04-01,UK,102.0248577513589
2016,2016-07-01,UK,102.25372707333355
2016,2016-10-01,UK,102.74961060427859
2017,2017-01-01,UK,103.46164849486632
2017,2017-04-01,UK,103.9702469881433
2017,2017-07-01,UK,104.47884548142025
2017,2017-10-01,UK,105.07644871102069
2018,2018-01-01,UK,104.97472901236529
2018,2018-04-01,UK,105.00015893702914
2018,2018-07-01,UK,105.20359833433994
2018,2018-10-01,UK,105.19088337200802
2019,2019-01-01,UK,105.8139165262723
2019,2019-04-01,UK,106.01735592358308
2019,2019-07-01,UK,106.6658190025112
2019,2019-10-01,UK,106.53866937919196
2020,2020-01-01,UK,103.52522330652596
2020,2020-04-01,UK,82.39295591086811
2020,2020-07-01,UK,96.23954989033345
2020,2020-10-01,UK,97.56190597285355
2021,2021-01-01,UK,96.5828538732954
2021,2021-04-01,UK,103.69051781684098
2021,2021-07-01,UK,105.16545344734416
2021,2021-10-01,UK,106.46237960520043
2022,2022-01-01,UK,106.7166788518389
2022,2022-04-01,UK,106.5132394545281
2022,2022-07-01,UK,106.29708509488542
2022,2022-10-01,UK,106.28437013255348
2023,2023-01-01,UK,106.13179058457041
2023,2023-04-01,UK,105.91563622492768
2023,2023-07-01,UK,105.52147239263803
2023,2023-10-01,UK,104.89843923837374
