date,Exports to Russia,Imports from Russia,Exports (3m mean),Imports (3m mean)
2001-01-01,0.07320681059095102,0.5810125739851935,0.09829495752287433,0.6545081041642762
2001-02-01,0.08949244883500569,0.49145106779125,0.08817008932327614,0.5776848968088527
2001-03-01,0.0968696961294662,0.41690999717927313,0.08652298518514097,0.4964578796519055
2001-04-01,0.0916141107709127,0.3960822327638889,0.09265875191179486,0.43481443257813734
2001-05-01,0.08803545971557247,0.37632927516345177,0.09217308887198379,0.3964405017022046
2001-06-01,0.09858314111903209,0.5379109348270119,0.09274423720183907,0.43677414758478417
2001-07-01,0.09748023333116124,0.49413879988703496,0.09469961138858858,0.4694596699591662
2001-08-01,0.13545530708484216,0.48973044528122894,0.11050622717834517,0.5072600599984253
2001-09-01,0.12466899749226838,0.5793733814300955,0.11920151263609059,0.5210808755327865
2001-10-01,0.22509037522337838,0.5330559324570383,0.161738226600163,0.534053253056121
2001-11-01,0.2447453809464113,0.5572817936189296,0.19816825122068601,0.5565703691686877
2001-12-01,0.23841384460350623,0.5137817097678693,0.2360832002577653,0.5347064786146124
2002-01-01,0.15691444437809796,0.5431098355088915,0.21335788997600516,0.5380577796318967
2002-02-01,0.16831369451907305,0.36096883050561795,0.1878806611668924,0.4726201252607929
2002-03-01,0.29792197596286274,0.5002507832992549,0.2077167049533446,0.4681098164379214
2002-04-01,0.14302933208329613,0.43519796144066925,0.20308833418841063,0.432139191748514
2002-05-01,0.21533566644799998,0.5225793057124178,0.21876232483138627,0.4860093501507807
2002-06-01,0.11849796820636971,0.48225167432617483,0.1589543222458886,0.4800096471597539
2002-07-01,0.11270091803160555,0.6194194067390001,0.14884485089532506,0.541416795592531
2002-08-01,0.14175212605372856,0.587685254736748,0.1243170040972346,0.563118778600641
2002-09-01,0.16585073008952433,0.6189321041385287,0.14010125805828613,0.6086789218714256
2002-10-01,0.17661307267816226,0.5852248518918156,0.1614053096071384,0.5972807369223642
2002-11-01,0.16694115653210467,0.6653777772214711,0.16980165309993042,0.6231782444172719
2002-12-01,0.1412271803261166,0.7262725155757371,0.16159380317879452,0.6589583815630079
2003-01-01,0.13868139749706462,0.6150975142727109,0.14894991145176198,0.6689159356899731
2003-02-01,0.13160599869384532,0.49072087512937895,0.1371715255056755,0.6106969683259423
2003-03-01,0.19075898092417617,0.8378603799179336,0.1536821257050287,0.6478929231066745
2003-04-01,0.1700219411791594,0.6501610300581006,0.16412897359906028,0.6595807617018044
2003-05-01,0.17607385254531438,0.5905486485032694,0.17895159154954998,0.6928566861597679
2003-06-01,0.1797258276203987,0.6484411040177991,0.17527387378162418,0.6297169275263896
2003-07-01,0.18053315727889493,0.697206823042172,0.178777612481536,0.6453988585210801
2003-08-01,0.22670437577958807,0.9144189743682873,0.19565445355962727,0.7533556338094195
2003-09-01,0.2132078629480065,0.8730951943944301,0.20681513200216317,0.8282403306016298
2003-10-01,0.24461313956918876,0.7636892673949593,0.22817512609892776,0.8504011453858923
2003-11-01,0.2227154945043189,0.930508055008719,0.2268454990071714,0.8557641722660362
2003-12-01,0.20950513399675472,1.0908632899677737,0.2256112560234208,0.9283535374571507
2004-01-01,0.20838385407522275,1.1185602363014975,0.21353482752543215,1.0466438604259967
