Year,Continent,Value,Notes,Source
1905,Oceania,28.005,,
1906,Oceania,28.423,,
1907,Oceania,28.714,,
1908,Oceania,30.452,,
1909,Oceania,31.458,,
1910,Oceania,32.821,,
1911,Oceania,33.832,,
1912,Oceania,34.812,,
1913,Oceania,36.493,,
1862,N. America,55.345,,
1863,N. America,57.035,,
1864,N. America,58.223,,
1865,N. America,60.309,,
1866,N. America,63.132,,
1867,N. America,66.752,,
1868,N. America,71.726,,
1869,N. America,79.911,,
1870,N. America,89.843,,
1871,N. America,101.495,,
1872,N. America,111.27,,
1873,N. America,119.652,,
1874,N. America,123.446,,
1875,N. America,127.079,,
1876,N. America,132.233,,
1877,N. America,136.565,,
1878,N. America,141.827,,
1879,N. America,150.429,,
1880,N. America,163.96,,
1881,N. America,179.698,,
1882,N. America,200.643,,
1883,N. America,215.598,,
1884,N. America,223.92,,
1885,N. America,231.844,,
1886,N. America,243.967,,
1887,N. America,266.85,,
1888,N. America,279.957,,
1889,N. America,289.577,,
1890,N. America,302.287,,
1891,N. America,306.505,,
1892,N. America,313.219,,
1893,N. America,322.351,,
1894,N. America,327.278,,
1895,N. America,331.296,,
1896,N. America,336.058,,
1897,N. America,339.912,,
1898,N. America,344.551,,
1899,N. America,350.242,,
1900,N. America,358.721,,
1901,N. America,364.689,,
1902,N. America,374.684,,
1903,N. America,387.593,,
1904,N. America,398.291,,
1905,N. America,407.4,,
1906,N. America,419.718,,
1907,N. America,431.158,,
1908,N. America,435.911,,
1909,N. America,457.212,,
1910,N. America,454.446,,
1911,N. America,462.264,,
1912,N. America,469.927,,
1913,N. America,459.129,,
1862,S.America,1.081,,
1863,S.America,0.712,,
1864,S.America,0.794,,
1865,S.America,1.377,,
1866,S.America,1.253,,
1867,S.America,1.396,,
1868,S.America,1.551,,
1869,S.America,2.198,,
1870,S.America,3.034,,
1871,S.America,2.885,,
1872,S.America,3.295,,
1873,S.America,4.828,,
1874,S.America,5.554,,
1875,S.America,6.722,,
1876,S.America,7.982,,
1877,S.America,9.041,,
1878,S.America,7.373,,
1879,S.America,7.575,,
1880,S.America,8.266,,
1881,S.America,8.943,,
1882,S.America,9.819,,
1883,S.America,13.071,,
1884,S.America,14.774,,
1885,S.America,16.289,,
1886,S.America,18.433,,
1887,S.America,20.311,,
1888,S.America,22.535,,
1889,S.America,23.68,,
1890,S.America,25.767,,
1891,S.America,29.741,,
1892,S.America,32.37,,
1893,S.America,33.487,,
1894,S.America,34.45,,
1895,S.America,36.46,,
1896,S.America,37.985,,
1897,S.America,39.236,,
1898,S.America,40.306,,
1899,S.America,41.827,,
1900,S.America,42.848,,
1901,S.America,43.706,,
1902,S.America,44.441,,
1903,S.America,46.185,,
1904,S.America,47.589,,
1905,S.America,48.669,,
1906,S.America,50.62,,
1907,S.America,52.977,,
1908,S.America,56.566,,
1909,S.America,59.668,,
1910,S.America,64.259,,
1911,S.America,68.744,,
1912,S.America,73.198,,
1913,S.America,76.503,,
1862,Europe,58.515,,
1863,Europe,62.365,,
1864,Europe,66.683,,
1865,Europe,72.671,,
1866,Europe,76.966,,
1867,Europe,80.797,,
1868,Europe,62.336,,
1869,Europe,65.124,,
1870,Europe,73.42,,
1871,Europe,106.009,,
1872,Europe,111.776,,
1873,Europe,117.93,,
1874,Europe,125.163,,
1875,Europe,132.953,,
1876,Europe,138.369,,
1877,Europe,143.179,,
1878,Europe,148.633,,
1879,Europe,152.757,,
1880,Europe,157.072,,
1881,Europe,160.885,,
1882,Europe,165.532,,
1883,Europe,170.695,,
1884,Europe,177.431,,
1885,Europe,182.483,,
1886,Europe,188.406,,
1887,Europe,194.084,,
1888,Europe,200.284,,
1889,Europe,202.96,,
1890,Europe,208.388,,
1891,Europe,211.409,,
1892,Europe,215.583,,
1893,Europe,220.471,,
1894,Europe,226.999,,
1895,Europe,232.831,,
1896,Europe,238.044,,
1897,Europe,243.725,,
1898,Europe,250.205,,
1899,Europe,258.878,,
1900,Europe,265.574,,
1901,Europe,271.44,,
1902,Europe,275.505,,
1903,Europe,280.108,,
1904,Europe,284.355,,
1905,Europe,288.492,,
1906,Europe,294.45,,
1907,Europe,298.035,,
1908,Europe,300.713,,
1909,Europe,304.181,,
1910,Europe,307.545,,
1911,Europe,311.754,,
1912,Europe,314.935,,
1913,Europe,319.124,,
