Occupation,Median,Employment,Value,Employment_Rank
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",46540,10650.0,0.93,461.0
Industrial Truck and Tractor Operators,41230,780890.0,0.93,26.0
Accountants and Auditors,78000,1402420.0,0.94,13.0
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",42450,6470.0,0.94,496.0
"Mail Clerks and Mail Machine Operators, Except Postal Service",35070,67750.0,0.94,235.0
Waiters and Waitresses,29120,2122210.0,0.94,9.0
"Meat, Poultry, and Fish Cutters and Trimmers",35070,133460.0,0.94,153.0
Budget Analysts,82260,48430.0,0.94,276.0
Cement Masons and Concrete Finishers,48300,196730.0,0.94,118.0
Bicycle Repairers,36250,13760.0,0.94,430.0
"Coin, Vending, and Amusement Machine Servicers and Repairers",39690,35790.0,0.94,310.0
"Welders, Cutters, Solderers, and Brazers",47540,408990.0,0.94,59.0
Couriers and Messengers,35280,75800.0,0.94,225.0
"Interviewers, Except Eligibility and Loan",38700,168680.0,0.94,127.0
"Cooks, Short Order",30360,133290.0,0.94,154.0
"Hotel, Motel, and Resort Desk Clerks",28910,243180.0,0.94,98.0
Tire Builders,51650,18360.0,0.94,390.0
Agricultural Inspectors,44720,14000.0,0.94,427.0
Paralegals and Legal Assistants,59200,345240.0,0.94,74.0
Manicurists and Pedicurists,31130,138020.0,0.95,149.0
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",39950,52610.0,0.95,264.0
"Textile Cutting Machine Setters, Operators, and Tenders",34420,10700.0,0.95,460.0
Bill and Account Collectors,39470,202840.0,0.95,114.0
Nuclear Power Reactor Operators,115870,5450.0,0.95,507.0
"Library Assistants, Clerical",31150,77660.0,0.95,223.0
Operating Engineers and Other Construction Equipment Operators,51430,423040.0,0.95,55.0
Print Binding and Finishing Workers,36970,39030.0,0.95,305.0
Animal Breeders,45320,1270.0,0.95,551.0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",37050,165820.0,0.95,131.0
Adhesive Bonding Machine Operators and Tenders,38780,11320.0,0.95,454.0
Landscaping and Groundskeeping Workers,35890,914230.0,0.95,22.0
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",38910,73800.0,0.95,228.0
Postal Service Clerks,56200,77690.0,0.95,222.0
Jewelers and Precious Stone and Metal Workers,47140,26280.0,0.95,351.0
"Dispatchers, Except Police, Fire, and Ambulance",44830,206370.0,0.96,111.0
Receptionists and Information Clerks,33960,1011170.0,0.96,21.0
"Office Clerks, General",38040,2517350.0,0.96,7.0
Compensation and Benefits Managers,131280,16850.0,0.96,402.0
"Switchboard Operators, Including Answering Service",34670,47430.0,0.96,280.0
"Rock Splitters, Quarry",46010,3910.0,0.96,521.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",41000,1826710.0,0.96,10.0
Surveying and Mapping Technicians,47180,56580.0,0.96,252.0
"Model Makers, Wood",46940,720.0,0.96,553.0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",33720,23830.0,0.96,362.0
Locomotive Engineers,74570,36440.0,0.96,308.0
"Cooks, Restaurant",34110,1321480.0,0.96,15.0
"Ushers, Lobby Attendants, and Ticket Takers",27650,98350.0,0.96,196.0
Billing and Posting Clerks,42810,441980.0,0.96,51.0
Bridge and Lock Tenders,47280,3690.0,0.97,525.0
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",36830,63680.0,0.97,239.0
Shoe Machine Operators and Tenders,33060,2960.0,0.97,535.0
Farm Labor Contractors,49330,550.0,0.97,556.0
Textile Bleaching and Dyeing Machine Operators and Tenders,32680,6640.0,0.97,493.0
Dental Laboratory Technicians,46050,33330.0,0.97,316.0
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",43290,27320.0,0.97,346.0
"Grinding and Polishing Workers, Hand",36960,14190.0,0.97,426.0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",41440,22740.0,0.97,366.0
Log Graders and Scalers,42370,3950.0,0.97,519.5
Ophthalmic Laboratory Technicians,36810,20200.0,0.97,378.5
Cashiers,28240,3296040.0,0.97,3.0
Camera and Photographic Equipment Repairers,44060,2120.0,0.97,543.0
Motion Picture Projectionists,33360,1900.0,0.97,546.0
Prepress Technicians and Workers,43560,25250.0,0.97,355.0
Counter and Rental Clerks,35830,370770.0,0.97,65.0
File Clerks,37290,87250.0,0.97,208.0
Real Estate Brokers,62190,52310.0,0.97,266.0
Telephone Operators,38330,4030.0,0.97,518.0
Payroll and Timekeeping Clerks,49630,159190.0,0.97,136.0
"Credit Authorizers, Checkers, and Clerks",44830,16290.0,0.97,405.0
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",27720,400420.0,0.97,60.0
Models,43130,2070.0,0.98,544.5
"Inspectors, Testers, Sorters, Samplers, and Weighers",43900,579740.0,0.98,39.0
"Bookkeeping, Accounting, and Auditing Clerks",45860,1550750.0,0.98,11.0
Driver/Sales Workers,32690,489510.0,0.98,44.0
"Claims Adjusters, Examiners, and Investigators",72230,285270.0,0.98,88.0
Parts Salespersons,35800,259280.0,0.98,95.0
Credit Analysts,78850,71960.0,0.98,232.0
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",46870,15480.0,0.98,412.0
Procurement Clerks,45240,63340.0,0.98,242.0
Packaging and Filling Machine Operators and Tenders,36750,369330.0,0.98,66.0
Etchers and Engravers,37980,8400.0,0.98,477.0
Tellers,36380,352440.0,0.98,72.0
"Umpires, Referees, and Other Sports Officials",36010,12720.0,0.98,438.0
"Insurance Appraisers, Auto Damage",69380,11430.0,0.98,452.0
Loan Officers,65740,345550.0,0.98,73.0
Order Clerks,38060,113500.0,0.98,172.0
Brokerage Clerks,54680,42700.0,0.98,293.0
Insurance Claims and Policy Processing Clerks,46080,227580.0,0.98,103.0
Timing Device Assemblers and Adjusters,42290,370.0,0.98,557.0
Data Entry Keyers,36190,157380.0,0.99,138.0
Library Technicians,37600,73330.0,0.99,231.0
New Accounts Clerks,40820,45170.0,0.99,287.0
Photographic Process Workers and Processing Machine Operators,36280,5380.0,0.99,509.0
Tax Preparers,48250,82370.0,0.99,215.0
Cargo and Freight Agents,46860,93480.0,0.99,201.0
Insurance Underwriters,76230,105900.0,0.99,189.0
"Sewers, Hand",31530,3440.0,0.99,527.0
"Title Examiners, Abstractors, and Searchers",50490,53680.0,0.99,261.0
Telemarketers,31030,96520.0,0.99,198.0
