,LOCATION,TIME,Trade
149,AUT,2013 Jul,0.5217252
150,AUT,2013 Oct,2.875313
151,AUT,2014 Jan,2.990523
152,AUT,2014 Apr,-0.9025286
153,AUT,2014 Jul,-3.6454
154,AUT,2014 Oct,-4.371955
155,AUT,2015 Jan,-9.445352
156,AUT,2015 Apr,-1.089437
157,AUT,2015 Jul,1.412672
158,AUT,2015 Oct,-0.6659895
159,AUT,2016 Jan,-1.330827
160,AUT,2016 Apr,2.27424
161,AUT,2016 Jul,-0.8258132
162,AUT,2016 Oct,-1.405312
163,AUT,2017 Jan,4.224958
164,AUT,2017 Apr,3.413051
165,AUT,2017 Jul,8.399577
166,AUT,2017 Oct,3.255922
167,AUT,2018 Jan,4.759946
168,AUT,2018 Apr,-2.313878
169,AUT,2018 Jul,-1.535975
170,AUT,2018 Oct,-0.8593056
171,AUT,2019 Jan,1.764866
183,BEL,2000 Jan,1.781105
184,BEL,2000 Apr,-0.9303707
185,BEL,2000 Jul,0.6516888
186,BEL,2000 Oct,0.6408898
187,BEL,2001 Jan,4.841115
188,BEL,2001 Apr,-6.082632
189,BEL,2001 Jul,0.6871356
190,BEL,2001 Oct,0.3268494
191,BEL,2002 Jan,4.352718
192,BEL,2002 Apr,6.881749
193,BEL,2002 Jul,7.068271
194,BEL,2002 Oct,3.947957
195,BEL,2003 Jan,3.01424
196,BEL,2003 Apr,6.296865
197,BEL,2003 Jul,-0.7558033
198,BEL,2003 Oct,7.090872
199,BEL,2004 Jan,8.977746
200,BEL,2004 Apr,-0.8041198
201,BEL,2004 Jul,1.38612
202,BEL,2004 Oct,11.07824
203,BEL,2005 Jan,1.649385
204,BEL,2005 Apr,-0.9682251
205,BEL,2005 Jul,-1.401413
206,BEL,2005 Oct,1.918918
207,BEL,2006 Jan,1.38834
208,BEL,2006 Apr,7.437599
209,BEL,2006 Jul,3.706915
210,BEL,2006 Oct,2.089095
211,BEL,2007 Jan,5.006671
212,BEL,2007 Apr,2.132646
213,BEL,2007 Jul,6.376406
214,BEL,2007 Oct,4.962387
215,BEL,2008 Jan,5.950203
216,BEL,2008 Apr,4.810179
217,BEL,2008 Jul,-3.086582
218,BEL,2008 Oct,-23.27405
219,BEL,2009 Jan,-11.99965
220,BEL,2009 Apr,4.945866
221,BEL,2009 Jul,8.491535
222,BEL,2009 Oct,7.386545
223,BEL,2010 Jan,-1.876791
224,BEL,2010 Apr,-4.12451
225,BEL,2010 Jul,4.471246
226,BEL,2010 Oct,6.822185
227,BEL,2011 Jan,7.807158
228,BEL,2011 Apr,5.808602
229,BEL,2011 Jul,-1.932611
230,BEL,2011 Oct,-4.830469
231,BEL,2012 Jan,-0.1955444
232,BEL,2012 Apr,-2.230525
233,BEL,2012 Jul,-3.832529
234,BEL,2012 Oct,3.421766
235,BEL,2013 Jan,3.202923
236,BEL,2013 Apr,-0.3775359
237,BEL,2013 Jul,2.748307
238,BEL,2013 Oct,3.36754
239,BEL,2014 Jan,-0.650876
240,BEL,2014 Apr,0.6964183
241,BEL,2014 Jul,-2.216783
242,BEL,2014 Oct,-6.948809
243,BEL,2015 Jan,-10.9485
244,BEL,2015 Apr,2.645051
245,BEL,2015 Jul,-2.243984
246,BEL,2015 Oct,-1.312953
247,BEL,2016 Jan,1.120054
248,BEL,2016 Apr,0.7781116
249,BEL,2016 Jul,1.117206
250,BEL,2016 Oct,-1.46382
251,BEL,2017 Jan,0.5872622
252,BEL,2017 Apr,5.211261
253,BEL,2017 Jul,6.219236
254,BEL,2017 Oct,2.463436
255,BEL,2018 Jan,5.944562
256,BEL,2018 Apr,-3.383245
257,BEL,2018 Jul,0.1553949
258,BEL,2018 Oct,-3.748688
259,BEL,2019 Jan,0.5482838
271,CAN,2000 Jan,6.566343
272,CAN,2000 Apr,2.237855
273,CAN,2000 Jul,1.055375
274,CAN,2000 Oct,0.9956725
275,CAN,2001 Jan,0.08124857
276,CAN,2001 Apr,-4.515114
277,CAN,2001 Jul,-7.700437
278,CAN,2001 Oct,-3.621721
279,CAN,2002 Jan,0.7892517
280,CAN,2002 Apr,4.318661
281,CAN,2002 Jul,1.450792
282,CAN,2002 Oct,0.1898792
283,CAN,2003 Jan,3.871085
284,CAN,2003 Apr,-0.3429867
285,CAN,2003 Jul,2.046567
286,CAN,2003 Oct,4.740969
287,CAN,2004 Jan,3.816303
288,CAN,2004 Apr,7.127058
289,CAN,2004 Jul,2.104297
290,CAN,2004 Oct,3.054065
291,CAN,2005 Jan,1.393206
292,CAN,2005 Apr,1.341736
293,CAN,2005 Jul,6.961194
294,CAN,2005 Oct,8.219952
295,CAN,2006 Jan,-3.017256
296,CAN,2006 Apr,0.8343472
297,CAN,2006 Jul,0.8074519
298,CAN,2006 Oct,-0.06214057
299,CAN,2007 Jan,1.829629
300,CAN,2007 Apr,6.718483
301,CAN,2007 Jul,-0.557607
302,CAN,2007 Oct,3.49474
303,CAN,2008 Jan,3.883126
304,CAN,2008 Apr,8.399882
305,CAN,2008 Jul,0.68721
306,CAN,2008 Oct,-22.26327
307,CAN,2009 Jan,-22.34091
308,CAN,2009 Apr,-1.688634
309,CAN,2009 Jul,10.89646
310,CAN,2009 Oct,6.501639
311,CAN,2010 Jan,6.790943
312,CAN,2010 Apr,4.377284
313,CAN,2010 Jul,-1.569616
314,CAN,2010 Oct,7.991461
315,CAN,2011 Jan,5.571005
316,CAN,2011 Apr,2.088094
317,CAN,2011 Jul,5.668452
318,CAN,2011 Oct,-1.659001
319,CAN,2012 Jan,0.6188881
320,CAN,2012 Apr,-2.053807
321,CAN,2012 Jul,-1.174804
322,CAN,2012 Oct,1.781595
323,CAN,2013 Jan,1.443157
324,CAN,2013 Apr,-1.273895
325,CAN,2013 Jul,-1.165613
326,CAN,2013 Oct,1.955243
327,CAN,2014 Jan,-0.7937496
328,CAN,2014 Apr,6.749704
329,CAN,2014 Jul,0.8407483
330,CAN,2014 Oct,-4.25993
331,CAN,2015 Jan,-11.28334
332,CAN,2015 Apr,0.05849264
333,CAN,2015 Jul,-0.7339342
334,CAN,2015 Oct,-5.952651
335,CAN,2016 Jan,-3.097669
336,CAN,2016 Apr,0.1444759
337,CAN,2016 Jul,5.102159
338,CAN,2016 Oct,1.554852
339,CAN,2017 Jan,3.773999
340,CAN,2017 Apr,-0.2571912
341,CAN,2017 Jul,-1.1466
342,CAN,2017 Oct,4.173239
343,CAN,2018 Jan,2.625591
344,CAN,2018 Apr,3.971827
345,CAN,2018 Jul,0.5274965
346,CAN,2018 Oct,-5.077843
347,CAN,2019 Jan,-2.181971
359,CZE,2000 Jan,3.710818
360,CZE,2000 Apr,-0.01051943
361,CZE,2000 Jul,3.087619
362,CZE,2000 Oct,4.816673
363,CZE,2001 Jan,10.42928
364,CZE,2001 Apr,-4.421465
365,CZE,2001 Jul,2.688396
366,CZE,2001 Oct,3.641821
367,CZE,2002 Jan,2.281563
368,CZE,2002 Apr,6.184281
369,CZE,2002 Jul,6.236214
370,CZE,2002 Oct,5.615512
371,CZE,2003 Jan,8.848166
372,CZE,2003 Apr,5.53465
373,CZE,2003 Jul,-1.646286
374,CZE,2003 Oct,12.95372
375,CZE,2004 Jan,8.941596
376,CZE,2004 Apr,13.89734
377,CZE,2004 Jul,3.538209
378,CZE,2004 Oct,8.829155
379,CZE,2005 Jan,2.181591
380,CZE,2005 Apr,-0.9207541
381,CZE,2005 Jul,4.160658
382,CZE,2005 Oct,2.013761
383,CZE,2006 Jan,5.656487
384,CZE,2006 Apr,8.533334
385,CZE,2006 Jul,5.892944
386,CZE,2006 Oct,9.46082
387,CZE,2007 Jan,5.181862
388,CZE,2007 Apr,3.210657
389,CZE,2007 Jul,8.05348
390,CZE,2007 Oct,10.23417
391,CZE,2008 Jan,11.67333
392,CZE,2008 Apr,4.288674
393,CZE,2008 Jul,-5.88139
394,CZE,2008 Oct,-22.37069
395,CZE,2009 Jan,-15.7526
396,CZE,2009 Apr,8.146712
397,CZE,2009 Jul,13.47655
398,CZE,2009 Oct,3.781514
399,CZE,2010 Jan,-1.017409
400,CZE,2010 Apr,-1.794606
401,CZE,2010 Jul,11.25144
402,CZE,2010 Oct,7.828437
403,CZE,2011 Jan,6.218727
404,CZE,2011 Apr,7.05794
405,CZE,2011 Jul,0.2864766
406,CZE,2011 Oct,-4.947857
407,CZE,2012 Jan,2.239511
408,CZE,2012 Apr,-4.356455
409,CZE,2012 Jul,-0.03030651
410,CZE,2012 Oct,-0.2208592
411,CZE,2013 Jan,0.5087451
412,CZE,2013 Apr,0.7278362
413,CZE,2013 Jul,4.428532
414,CZE,2013 Oct,4.439284
415,CZE,2014 Jan,3.588064
416,CZE,2014 Apr,0.5547506
417,CZE,2014 Jul,-2.949334
418,CZE,2014 Oct,-2.357081
419,CZE,2015 Jan,-7.931396
420,CZE,2015 Apr,-0.3650486
421,CZE,2015 Jul,2.907494
422,CZE,2015 Oct,1.28431
423,CZE,2016 Jan,-0.4641791
424,CZE,2016 Apr,3.107231
425,CZE,2016 Jul,-2.971601
426,CZE,2016 Oct,-0.5653984
427,CZE,2017 Jan,4.384983
428,CZE,2017 Apr,5.104867
429,CZE,2017 Jul,7.171924
430,CZE,2017 Oct,3.841327
431,CZE,2018 Jan,6.061334
432,CZE,2018 Apr,-3.268197
433,CZE,2018 Jul,-0.8919436
434,CZE,2018 Oct,0.4513063
435,CZE,2019 Jan,0.9280313
447,DNK,2000 Jan,-5.980723
448,DNK,2000 Apr,0.4607647
449,DNK,2000 Jul,3.557462
450,DNK,2000 Oct,1.685624
451,DNK,2001 Jan,1.319978
452,DNK,2001 Apr,-5.342148
453,DNK,2001 Jul,2.287328
454,DNK,2001 Oct,0.3218101
455,DNK,2002 Jan,1.605508
456,DNK,2002 Apr,7.06233
457,DNK,2002 Jul,3.696549
458,DNK,2002 Oct,4.108136
459,DNK,2003 Jan,6.303345
460,DNK,2003 Apr,2.80595
461,DNK,2003 Jul,-3.087918
462,DNK,2003 Oct,7.64811
463,DNK,2004 Jan,6.126964
464,DNK,2004 Apr,1.05361
465,DNK,2004 Jul,0.6299167
466,DNK,2004 Oct,7.555282
467,DNK,2005 Jan,4.40555
468,DNK,2005 Apr,-2.15969
469,DNK,2005 Jul,0.6432094
470,DNK,2005 Oct,-0.03198975
471,DNK,2006 Jan,3.754011
472,DNK,2006 Apr,6.290176
473,DNK,2006 Jul,1.370322
474,DNK,2006 Oct,6.124063
475,DNK,2007 Jan,-0.7899204
476,DNK,2007 Apr,2.658573
477,DNK,2007 Jul,3.272456
478,DNK,2007 Oct,9.312325
479,DNK,2008 Jan,8.926538
480,DNK,2008 Apr,4.845242
481,DNK,2008 Jul,-5.438007
482,DNK,2008 Oct,-20.71698
483,DNK,2009 Jan,-10.77416
484,DNK,2009 Apr,4.369498
485,DNK,2009 Jul,6.50478
486,DNK,2009 Oct,5.592494
487,DNK,2010 Jan,-4.729446
488,DNK,2010 Apr,-3.933293
489,DNK,2010 Jul,4.761967
490,DNK,2010 Oct,4.770489
491,DNK,2011 Jan,10.76481
492,DNK,2011 Apr,4.031097
493,DNK,2011 Jul,-2.52671
494,DNK,2011 Oct,-2.483716
495,DNK,2012 Jan,-4.031117
496,DNK,2012 Apr,1.790127
497,DNK,2012 Jul,-3.799055
498,DNK,2012 Oct,4.644681
499,DNK,2013 Jan,0.3627785
500,DNK,2013 Apr,-1.28792
501,DNK,2013 Jul,3.794112
502,DNK,2013 Oct,3.178592
503,DNK,2014 Jan,-1.475242
504,DNK,2014 Apr,1.286803
505,DNK,2014 Jul,-3.382497
506,DNK,2014 Oct,-5.056236
507,DNK,2015 Jan,-6.223815
508,DNK,2015 Apr,-2.823076
509,DNK,2015 Jul,-2.874579
510,DNK,2015 Oct,-1.311726
511,DNK,2016 Jan,-0.3545018
512,DNK,2016 Apr,4.188864
513,DNK,2016 Jul,0.1286445
514,DNK,2016 Oct,-0.9670805
515,DNK,2017 Jan,0.5838693
516,DNK,2017 Apr,2.81162
517,DNK,2017 Jul,8.069928
518,DNK,2017 Oct,1.24538
519,DNK,2018 Jan,3.199152
520,DNK,2018 Apr,-2.132304
521,DNK,2018 Jul,0.1326266
522,DNK,2018 Oct,0.4882962
523,DNK,2019 Jan,-0.5887357
535,FIN,2000 Jan,3.890639
536,FIN,2000 Apr,0.5722218
537,FIN,2000 Jul,5.186824
538,FIN,2000 Oct,-4.031435
539,FIN,2001 Jan,2.156183
540,FIN,2001 Apr,-9.299617
541,FIN,2001 Jul,-2.154037
542,FIN,2001 Oct,3.339859
543,FIN,2002 Jan,-3.63186
544,FIN,2002 Apr,6.957954
545,FIN,2002 Jul,5.584493
546,FIN,2002 Oct,5.944039
547,FIN,2003 Jan,2.073177
548,FIN,2003 Apr,7.669722
549,FIN,2003 Jul,-4.775929
550,FIN,2003 Oct,9.763882
551,FIN,2004 Jan,5.667072
552,FIN,2004 Apr,-4.822756
553,FIN,2004 Jul,5.877204
554,FIN,2004 Oct,12.18046
555,FIN,2005 Jan,1.998843
556,FIN,2005 Apr,-11.1599
557,FIN,2005 Jul,5.465439
558,FIN,2005 Oct,2.879058
559,FIN,2006 Jan,3.867215
560,FIN,2006 Apr,14.04815
561,FIN,2006 Jul,1.098464
562,FIN,2006 Oct,3.623847
563,FIN,2007 Jan,1.523178
564,FIN,2007 Apr,8.663404
565,FIN,2007 Jul,0.1131644
566,FIN,2007 Oct,4.152943
567,FIN,2008 Jan,8.333514
568,FIN,2008 Apr,3.139675
569,FIN,2008 Jul,-5.80056
570,FIN,2008 Oct,-24.28406
571,FIN,2009 Jan,-22.40068
572,FIN,2009 Apr,2.125794
573,FIN,2009 Jul,1.64509
574,FIN,2009 Oct,16.82882
575,FIN,2010 Jan,-15.89505
576,FIN,2010 Apr,10.28181
577,FIN,2010 Jul,4.440207
578,FIN,2010 Oct,18.68274
579,FIN,2011 Jan,-3.541963
580,FIN,2011 Apr,3.362359
581,FIN,2011 Jul,-0.8271689
582,FIN,2011 Oct,-7.949483
583,FIN,2012 Jan,1.264856
584,FIN,2012 Apr,-3.43225
585,FIN,2012 Jul,-0.3429409
586,FIN,2012 Oct,-1.124197
587,FIN,2013 Jan,6.098712
588,FIN,2013 Apr,-5.945333
589,FIN,2013 Jul,2.276493
590,FIN,2013 Oct,5.695472
591,FIN,2014 Jan,-2.964031
592,FIN,2014 Apr,4.984681
593,FIN,2014 Jul,-5.687506
594,FIN,2014 Oct,-6.489539
595,FIN,2015 Jan,-13.2345
596,FIN,2015 Apr,2.080358
597,FIN,2015 Jul,-3.905935
598,FIN,2015 Oct,-1.93327
599,FIN,2016 Jan,-3.43324
600,FIN,2016 Apr,5.861586
601,FIN,2016 Jul,-3.199495
602,FIN,2016 Oct,0.2587523
603,FIN,2017 Jan,8.629007
604,FIN,2017 Apr,7.319717
605,FIN,2017 Jul,6.046985
606,FIN,2017 Oct,0.6699963
607,FIN,2018 Jan,9.41288
608,FIN,2018 Apr,-2.005973
609,FIN,2018 Jul,-3.310463
610,FIN,2018 Oct,0.1168702
611,FIN,2019 Jan,3.351234
623,FRA,2000 Jan,-1.987536
624,FRA,2000 Apr,0.412693
625,FRA,2000 Jul,-1.272801
626,FRA,2000 Oct,2.118598
627,FRA,2001 Jan,3.826377
628,FRA,2001 Apr,-5.961039
629,FRA,2001 Jul,-0.4202112
630,FRA,2001 Oct,-3.631029
631,FRA,2002 Jan,-1.136986
632,FRA,2002 Apr,6.223338
633,FRA,2002 Jul,6.589149
634,FRA,2002 Oct,1.051533
635,FRA,2003 Jan,8.031237
636,FRA,2003 Apr,1.723038
637,FRA,2003 Jul,0.05358216
638,FRA,2003 Oct,10.06892
639,FRA,2004 Jan,3.785309
640,FRA,2004 Apr,-0.8101447
641,FRA,2004 Jul,0.8452757
642,FRA,2004 Oct,7.546066
643,FRA,2005 Jan,-1.180011
644,FRA,2005 Apr,-3.315631
645,FRA,2005 Jul,1.95542
646,FRA,2005 Oct,0.5248635
647,FRA,2006 Jan,0.8657402
648,FRA,2006 Apr,7.930612
649,FRA,2006 Jul,-1.092034
650,FRA,2006 Oct,3.371515
651,FRA,2007 Jan,2.440891
652,FRA,2007 Apr,4.887025
653,FRA,2007 Jul,2.005656
654,FRA,2007 Oct,5.154736
655,FRA,2008 Jan,9.66363
656,FRA,2008 Apr,0.353431
657,FRA,2008 Jul,-2.818872
658,FRA,2008 Oct,-18.92242
659,FRA,2009 Jan,-12.63284
660,FRA,2009 Apr,3.396663
661,FRA,2009 Jul,8.704844
662,FRA,2009 Oct,2.18131
663,FRA,2010 Jan,0.1643177
664,FRA,2010 Apr,-4.48101
665,FRA,2010 Jul,4.632371
666,FRA,2010 Oct,5.886172
667,FRA,2011 Jan,6.101971
668,FRA,2011 Apr,4.530106
669,FRA,2011 Jul,-0.953915
670,FRA,2011 Oct,-3.127337
671,FRA,2012 Jan,-0.9505768
672,FRA,2012 Apr,-1.892872
673,FRA,2012 Jul,-1.182786
674,FRA,2012 Oct,1.560157
675,FRA,2013 Jan,2.201857
676,FRA,2013 Apr,-1.407772
677,FRA,2013 Jul,0.1940968
678,FRA,2013 Oct,3.298306
679,FRA,2014 Jan,1.249238
680,FRA,2014 Apr,-0.9362122
681,FRA,2014 Jul,-2.89637
682,FRA,2014 Oct,-3.556197
683,FRA,2015 Jan,-8.78091
684,FRA,2015 Apr,1.565564
685,FRA,2015 Jul,-2.575048
686,FRA,2015 Oct,-1.320671
687,FRA,2016 Jan,-0.1190336
688,FRA,2016 Apr,1.174857
689,FRA,2016 Jul,-0.7574764
690,FRA,2016 Oct,-1.037487
691,FRA,2017 Jan,-0.8088656
692,FRA,2017 Apr,7.303703
693,FRA,2017 Jul,6.813239
694,FRA,2017 Oct,1.893413
695,FRA,2018 Jan,4.223008
696,FRA,2018 Apr,-2.062426
697,FRA,2018 Jul,-1.382655
698,FRA,2018 Oct,0.1925192
699,FRA,2019 Jan,1.549095
711,DEU,2000 Jan,-1.053642
712,DEU,2000 Apr,0.01895948
713,DEU,2000 Jul,-1.448814
714,DEU,2000 Oct,4.343643
715,DEU,2001 Jan,3.456441
716,DEU,2001 Apr,-3.494505
717,DEU,2001 Jul,1.308256
718,DEU,2001 Oct,-1.319664
719,DEU,2002 Jan,-1.605007
720,DEU,2002 Apr,6.626121
721,DEU,2002 Jul,9.807024
722,DEU,2002 Oct,1.109687
723,DEU,2003 Jan,7.717258
724,DEU,2003 Apr,4.496428
725,DEU,2003 Jul,2.139627
726,DEU,2003 Oct,5.561765
727,DEU,2004 Jan,10.73515
728,DEU,2004 Apr,-0.02073683
729,DEU,2004 Jul,0.1710784
730,DEU,2004 Oct,8.011703
731,DEU,2005 Jan,2.33074
732,DEU,2005 Apr,-1.755706
733,DEU,2005 Jul,0.1797309
734,DEU,2005 Oct,-0.1125894
735,DEU,2006 Jan,5.336322
736,DEU,2006 Apr,6.148978
737,DEU,2006 Jul,5.726328
738,DEU,2006 Oct,8.135499
739,DEU,2007 Jan,-0.05918702
740,DEU,2007 Apr,4.872736
741,DEU,2007 Jul,4.52021
742,DEU,2007 Oct,5.552488
743,DEU,2008 Jan,5.983925
744,DEU,2008 Apr,4.53842
745,DEU,2008 Jul,-5.139342
746,DEU,2008 Oct,-20.71853
747,DEU,2009 Jan,-12.75236
748,DEU,2009 Apr,1.506612
749,DEU,2009 Jul,9.760335
750,DEU,2009 Oct,7.027482
751,DEU,2010 Jan,-1.848136
752,DEU,2010 Apr,-1.874311
753,DEU,2010 Jul,5.051135
754,DEU,2010 Oct,8.214561
755,DEU,2011 Jan,5.298277
756,DEU,2011 Apr,5.911947
757,DEU,2011 Jul,-0.2563797
758,DEU,2011 Oct,-4.639277
759,DEU,2012 Jan,-0.5711002
760,DEU,2012 Apr,-1.276718
761,DEU,2012 Jul,-1.099965
762,DEU,2012 Oct,0.02275931
763,DEU,2013 Jan,2.88217
764,DEU,2013 Apr,-1.446013
765,DEU,2013 Jul,2.592469
766,DEU,2013 Oct,1.877655
767,DEU,2014 Jan,3.030795
768,DEU,2014 Apr,0.1856309
769,DEU,2014 Jul,-0.7298415
770,DEU,2014 Oct,-6.221483
771,DEU,2015 Jan,-6.26796
772,DEU,2015 Apr,0.4847895
773,DEU,2015 Jul,-0.5204106
774,DEU,2015 Oct,-1.721012
775,DEU,2016 Jan,0.5042421
776,DEU,2016 Apr,3.399538
777,DEU,2016 Jul,-1.796779
778,DEU,2016 Oct,-1.096284
779,DEU,2017 Jan,2.108818
780,DEU,2017 Apr,4.862946
781,DEU,2017 Jul,7.439977
782,DEU,2017 Oct,2.444365
783,DEU,2018 Jan,3.434791
784,DEU,2018 Apr,-1.039332
785,DEU,2018 Jul,-2.863388
786,DEU,2018 Oct,-2.546523
787,DEU,2019 Jan,0.9950289
799,GRC,2000 Jan,2.506344
800,GRC,2000 Apr,-1.131013
801,GRC,2000 Jul,-6.462943
802,GRC,2000 Oct,-2.143422
803,GRC,2001 Jan,2.428387
804,GRC,2001 Apr,1.731944
805,GRC,2001 Jul,-8.270528
806,GRC,2001 Oct,5.875434
807,GRC,2002 Jan,-4.329434
808,GRC,2002 Apr,2.924276
809,GRC,2002 Jul,3.639861
810,GRC,2002 Oct,2.797413
811,GRC,2003 Jan,17.81023
812,GRC,2003 Apr,-0.664841
813,GRC,2003 Jul,-0.2853438
814,GRC,2003 Oct,4.915275
815,GRC,2004 Jan,5.902207
816,GRC,2004 Apr,2.275326
817,GRC,2004 Jul,1.392028
818,GRC,2004 Oct,13.80378
819,GRC,2005 Jan,-0.433793
820,GRC,2005 Apr,-3.979867
821,GRC,2005 Jul,5.607409
822,GRC,2005 Oct,3.308714
823,GRC,2006 Jan,3.776953
824,GRC,2006 Apr,11.08629
825,GRC,2006 Jul,1.16257
826,GRC,2006 Oct,-1.886766
827,GRC,2007 Jan,8.65181
828,GRC,2007 Apr,1.508638
829,GRC,2007 Jul,15.80593
830,GRC,2007 Oct,6.717984
831,GRC,2008 Jan,1.959369
832,GRC,2008 Apr,10.97878
833,GRC,2008 Jul,2.570238
834,GRC,2008 Oct,-24.31595
835,GRC,2009 Jan,-14.60948
836,GRC,2009 Apr,12.61104
837,GRC,2009 Jul,5.660671
838,GRC,2009 Oct,-2.329345
839,GRC,2010 Jan,-0.1025089
840,GRC,2010 Apr,4.887809
841,GRC,2010 Jul,-4.572454
842,GRC,2010 Oct,23.07611
843,GRC,2011 Jan,-4.500101
844,GRC,2011 Apr,19.15776
845,GRC,2011 Jul,-2.127
846,GRC,2011 Oct,-9.495314
847,GRC,2012 Jan,4.85011
848,GRC,2012 Apr,0.7426391
849,GRC,2012 Jul,2.387747
850,GRC,2012 Oct,10.55068
851,GRC,2013 Jan,-6.658679
852,GRC,2013 Apr,0.7918888
853,GRC,2013 Jul,4.20435
854,GRC,2013 Oct,-7.208581
855,GRC,2014 Jan,6.398216
856,GRC,2014 Apr,-2.057033
857,GRC,2014 Jul,0.1193173
858,GRC,2014 Oct,-6.130428
859,GRC,2015 Jan,-12.84457
