,date,variable,value,year
288,2022 Apr,Household Assets,166247026,2022
289,2022 Jan,Household Assets,171276669,2022
290,2021 Oct,Household Assets,168888920,2021
291,2021 Jul,Household Assets,164091060,2021
292,2021 Apr,Household Assets,160398550,2021
293,2021 Jan,Household Assets,153747716,2021
294,2020 Oct,Household Assets,148554352,2020
295,2020 Jul,Household Assets,139909214,2020
296,2020 Apr,Household Assets,135426126,2020
297,2020 Jan,Household Assets,127576154,2020
298,2019 Oct,Household Assets,133361430,2019
299,2019 Jul,Household Assets,129655839,2019
300,2019 Apr,Household Assets,128812539,2019
301,2019 Jan,Household Assets,126416023,2019
302,2018 Oct,Household Assets,120158437,2018
303,2018 Jul,Household Assets,123801835,2018
304,2018 Apr,Household Assets,121643597,2018
305,2018 Jan,Household Assets,120281375,2018
306,2017 Oct,Household Assets,119112254,2017
307,2017 Jul,Household Assets,116349766,2017
308,2017 Apr,Household Assets,114539220,2017
309,2017 Jan,Household Assets,112309296,2017
310,2016 Oct,Household Assets,109822961,2016
311,2016 Jul,Household Assets,109171419,2016
312,2016 Apr,Household Assets,107360714,2016
313,2016 Jan,Household Assets,105630583,2016
314,2015 Oct,Household Assets,104358360,2015
315,2015 Jul,Household Assets,102796923,2015
316,2015 Apr,Household Assets,103701388,2015
317,2015 Jan,Household Assets,102906353,2015
318,2014 Oct,Household Assets,101071820,2014
319,2014 Jul,Household Assets,99374148,2014
320,2014 Apr,Household Assets,98730496,2014
321,2014 Jan,Household Assets,96549346,2014
322,2013 Oct,Household Assets,94811097,2013
323,2013 Jul,Household Assets,92459443,2013
324,2013 Apr,Household Assets,89882010,2013
325,2013 Jan,Household Assets,88736755,2013
326,2012 Oct,Household Assets,85931220,2012
327,2012 Jul,Household Assets,84955401,2012
328,2012 Apr,Household Assets,83022290,2012
329,2012 Jan,Household Assets,83000830,2012
330,2011 Oct,Household Assets,81056831,2011
331,2011 Jul,Household Assets,79635518,2011
332,2011 Apr,Household Assets,81534812,2011
333,2011 Jan,Household Assets,81251127,2011
334,2010 Oct,Household Assets,80115813,2010
335,2010 Jul,Household Assets,78444348,2010
336,2010 Apr,Household Assets,76439792,2010
337,2010 Jan,Household Assets,77075001,2010
338,2009 Oct,Household Assets,75875274,2009
339,2009 Jul,Household Assets,75730077,2009
340,2009 Apr,Household Assets,73982634,2009
341,2009 Jan,Household Assets,73725859,2009
342,2008 Oct,Household Assets,75700273,2008
343,2008 Jul,Household Assets,79009158,2008
344,2008 Apr,Household Assets,81379133,2008
345,2008 Jan,Household Assets,82627403,2008
346,2007 Oct,Household Assets,84606914,2007
347,2007 Jul,Household Assets,85129814,2007
348,2007 Apr,Household Assets,84043273,2007
349,2007 Jan,Household Assets,83116328,2007
350,2006 Oct,Household Assets,81880598,2006
351,2006 Jul,Household Assets,80102416,2006
352,2006 Apr,Household Assets,78623212,2006
353,2006 Jan,Household Assets,78053375,2006
354,2005 Oct,Household Assets,75802952,2005
355,2005 Jul,Household Assets,73997830,2005
356,2005 Apr,Household Assets,71963762,2005
357,2005 Jan,Household Assets,70148515,2005
358,2004 Oct,Household Assets,69012260,2004
359,2004 Jul,Household Assets,66425595,2004
360,2004 Apr,Household Assets,64828835,2004
361,2004 Jan,Household Assets,63743778,2004
362,2003 Oct,Household Assets,61003695,2003
363,2003 Jul,Household Assets,58779883,2003
364,2003 Apr,Household Assets,57651209,2003
365,2003 Jan,Household Assets,55378718,2003
366,2002 Oct,Household Assets,54937029,2002
367,2002 Jul,Household Assets,53716730,2002
368,2002 Apr,Household Assets,54598114,2002
369,2002 Jan,Household Assets,55056794,2002
370,2001 Oct,Household Assets,54228451,2001
371,2001 Jul,Household Assets,52543964,2001
372,2001 Apr,Household Assets,53344290,2001
373,2001 Jan,Household Assets,51912890,2001
570,2023 Jan,Household Liabilities,19618480,2023
571,2022 Oct,Household Liabilities,19595493,2022
572,2022 Jul,Household Liabilities,19374383,2022
573,2022 Apr,Household Liabilities,19046644,2022
574,2022 Jan,Household Liabilities,18682907,2022
575,2021 Oct,Household Liabilities,18479122,2021
576,2021 Jul,Household Liabilities,18075584,2021
577,2021 Apr,Household Liabilities,17710852,2021
578,2021 Jan,Household Liabilities,17355720,2021
579,2020 Oct,Household Liabilities,17177976,2020
580,2020 Jul,Household Liabilities,16915391,2020
581,2020 Apr,Household Liabilities,16663573,2020
582,2020 Jan,Household Liabilities,16662962,2020
583,2019 Oct,Household Liabilities,16604786,2019
584,2019 Jul,Household Liabilities,16411255,2019
585,2019 Apr,Household Liabilities,16209531,2019
586,2019 Jan,Household Liabilities,16004568,2019
587,2018 Oct,Household Liabilities,15973627,2018
588,2018 Jul,Household Liabilities,15843916,2018
589,2018 Apr,Household Liabilities,15673137,2018
590,2018 Jan,Household Liabilities,15543699,2018
591,2017 Oct,Household Liabilities,15492047,2017
592,2017 Jul,Household Liabilities,15294607,2017
593,2017 Apr,Household Liabilities,15146019,2017
594,2017 Jan,Household Liabilities,14989392,2017
595,2016 Oct,Household Liabilities,14930077,2016
596,2016 Jul,Household Liabilities,14826781,2016
597,2016 Apr,Household Liabilities,14651080,2016
598,2016 Jan,Household Liabilities,14514814,2016
599,2015 Oct,Household Liabilities,14502446,2015
600,2015 Jul,Household Liabilities,14489233,2015
601,2015 Apr,Household Liabilities,14368662,2015
602,2015 Jan,Household Liabilities,14238699,2015
603,2014 Oct,Household Liabilities,14258680,2014
604,2014 Jul,Household Liabilities,14187437,2014
605,2014 Apr,Household Liabilities,14195248,2014
606,2014 Jan,Household Liabilities,14123083,2014
607,2013 Oct,Household Liabilities,14126578,2013
608,2013 Jul,Household Liabilities,13953145,2013
609,2013 Apr,Household Liabilities,13897049,2013
610,2013 Jan,Household Liabilities,13875684,2013
611,2012 Oct,Household Liabilities,13905196,2012
612,2012 Jul,Household Liabilities,13934376,2012
613,2012 Apr,Household Liabilities,13920715,2012
614,2012 Jan,Household Liabilities,13949745,2012
615,2011 Oct,Household Liabilities,14007930,2011
616,2011 Jul,Household Liabilities,14012928,2011
617,2011 Apr,Household Liabilities,14023704,2011
618,2011 Jan,Household Liabilities,14072750,2011
619,2010 Oct,Household Liabilities,14100563,2010
620,2010 Jul,Household Liabilities,14114112,2010
621,2010 Apr,Household Liabilities,14185762,2010
622,2010 Jan,Household Liabilities,14253771,2010
623,2009 Oct,Household Liabilities,14359614,2009
624,2009 Jul,Household Liabilities,14366808,2009
625,2009 Apr,Household Liabilities,14370394,2009
626,2009 Jan,Household Liabilities,14391326,2009
627,2008 Oct,Household Liabilities,14486020,2008
628,2008 Jul,Household Liabilities,14741765,2008
629,2008 Apr,Household Liabilities,14625627,2008
630,2008 Jan,Household Liabilities,14669125,2008
631,2007 Oct,Household Liabilities,14548434,2007
632,2007 Jul,Household Liabilities,14351612,2007
633,2007 Apr,Household Liabilities,14110112,2007
634,2007 Jan,Household Liabilities,13814264,2007
635,2006 Oct,Household Liabilities,13627488,2006
636,2006 Jul,Household Liabilities,13360568,2006
637,2006 Apr,Household Liabilities,13032511,2006
638,2006 Jan,Household Liabilities,12673926,2006
639,2005 Oct,Household Liabilities,12313744,2005
640,2005 Jul,Household Liabilities,12014046,2005
641,2005 Apr,Household Liabilities,11652639,2005
642,2005 Jan,Household Liabilities,11317376,2005
643,2004 Oct,Household Liabilities,11107809,2004
644,2004 Jul,Household Liabilities,10750914,2004
645,2004 Apr,Household Liabilities,10470022,2004
646,2004 Jan,Household Liabilities,10153110,2004
647,2003 Oct,Household Liabilities,9957809,2003
648,2003 Jul,Household Liabilities,9698850,2003
649,2003 Apr,Household Liabilities,9441852,2003
650,2003 Jan,Household Liabilities,9053855,2003
651,2002 Oct,Household Liabilities,8864162,2002
652,2002 Jul,Household Liabilities,8615716,2002
653,2002 Apr,Household Liabilities,8392477,2002
654,2002 Jan,Household Liabilities,8202378,2002
655,2001 Oct,Household Liabilities,8067411,2001
656,2001 Jul,Household Liabilities,7937842,2001
657,2001 Apr,Household Liabilities,7683378,2001
658,2001 Jan,Household Liabilities,7480866,2001
