date,LM152010005.Q,FL154090005.Q,FL153165105.Q,FL153166000.Q,FL154199005.Q
1962:Q1,779418,1734487,156488,62038,25714
1961:Q4,769627,1730013,154027,63435,25451
1961:Q3,759563,1676963,150179,61082,24526
1961:Q2,748140,1647645,146603,60597,24312
1961:Q1,736012,1630885,143645,59339,22327
1960:Q4,737554,1578050,141378,61248,21924
1960:Q3,734743,1522094,138582,59590,20895
1960:Q2,726937,1530004,135366,58622,20497
1960:Q1,720533,1511522,132580,55757,19289
1959:Q4,706025,1516764,130099,57213,19390
1959:Q3,697402,1484878,127007,53918,18969
1959:Q2,686606,1476238,123346,51878,18455
1959:Q1,674228,1453813,119935,48991,17718
1958:Q4,670318,1434913,117177,49490,17482
1958:Q3,660429,1408704,114035,47940,16384
1958:Q2,650040,1361360,111142,47704,15937
1958:Q1,644332,1336275,108975,46775,15462
1957:Q4,643760,1304301,107374,49217,15485
1957:Q3,639368,1288833,105397,47971,15603
1957:Q2,630621,1296009,103039,47223,15566
1957:Q1,619062,1265273,100851,45242,14668
1956:Q4,608091,1262177,98745,46580,14275
1956:Q3,599584,1227472,96174,44978,13681
1956:Q2,588176,1216911,93327,44281,13838
1956:Q1,577339,1212381,90356,42251,13578
1955:Q4,565459,1179706,87936,42949,13541
1955:Q3,555201,1163862,85032,40543,13212
1955:Q2,540614,1133707,81697,38755,12974
1955:Q1,527824,1104269,78237,35702,12376
1954:Q4,520881,1086321,75356,35963,11773
1954:Q3,510852,1073804,72336,34242,11185
1954:Q2,501393,1043570,69614,34006,10692
1954:Q1,498300,1021184,67351,32744,10401
1953:Q4,493420,1003440,65938,34614,10072
1953:Q3,493031,979680,64205,33354,9670
1953:Q2,481964,973597,62225,32672,9802
1953:Q1,472930,975870,60006,30901,9300
1952:Q4,463972,972130,58416,30522,8952
1952:Q3,453482,973984,56640,27965,8836
1952:Q2,448860,962591,54798,26878,8735
1952:Q1,437146,947572,53066,24597,8561
