Year,Type,Value
2013,Currency,9
2014,Currency,13
2015,Currency,9
2016,Currency,8
1800,Inflation,6
1801,Inflation,3
1802,Inflation,3
1803,Inflation,4
1804,Inflation,3
1805,Inflation,7
1806,Inflation,1
1807,Inflation,1
1808,Inflation,2
1809,Inflation,3
1810,Inflation,5
1811,Inflation,7
1812,Inflation,6
1813,Inflation,3
1814,Inflation,3
1815,Inflation,5
1816,Inflation,7
1817,Inflation,4
1818,Inflation,0
1819,Inflation,2
1820,Inflation,3
1821,Inflation,2
1822,Inflation,2
1823,Inflation,0
1824,Inflation,2
1825,Inflation,2
1826,Inflation,2
1827,Inflation,5
1828,Inflation,6
1829,Inflation,3
1830,Inflation,0
1831,Inflation,3
1832,Inflation,1
1833,Inflation,5
1834,Inflation,2
1835,Inflation,0
1836,Inflation,3
1837,Inflation,6
1838,Inflation,4
1839,Inflation,2
1840,Inflation,1
1841,Inflation,1
1842,Inflation,1
1843,Inflation,1
1844,Inflation,0
1845,Inflation,2
1846,Inflation,5
1847,Inflation,5
1848,Inflation,1
1849,Inflation,0
1850,Inflation,2
1851,Inflation,3
1852,Inflation,3
1853,Inflation,2
1854,Inflation,10
1855,Inflation,1
1856,Inflation,4
1857,Inflation,3
1858,Inflation,2
1859,Inflation,1
1860,Inflation,2
1861,Inflation,3
1862,Inflation,1
1863,Inflation,2
1864,Inflation,4
1865,Inflation,4
1866,Inflation,4
1867,Inflation,4
1868,Inflation,2
1869,Inflation,1
1870,Inflation,3
1871,Inflation,1
1872,Inflation,1
1873,Inflation,0
1874,Inflation,1
1875,Inflation,0
1876,Inflation,1
1877,Inflation,4
1878,Inflation,4
1879,Inflation,1
1880,Inflation,2
1881,Inflation,1
1882,Inflation,2
1883,Inflation,0
1884,Inflation,0
1885,Inflation,1
1886,Inflation,1
1887,Inflation,0
1888,Inflation,1
1889,Inflation,2
1890,Inflation,1
1891,Inflation,5
1892,Inflation,2
1893,Inflation,1
1894,Inflation,1
1895,Inflation,0
1896,Inflation,1
1897,Inflation,3
1898,Inflation,3
1899,Inflation,0
1900,Inflation,2
1901,Inflation,1
1902,Inflation,0
1903,Inflation,1
1904,Inflation,0
1905,Inflation,0
1906,Inflation,0
1907,Inflation,2
1908,Inflation,3
1909,Inflation,0
1910,Inflation,0
1911,Inflation,3
1912,Inflation,1
1913,Inflation,1
1914,Inflation,0
1915,Inflation,4
1916,Inflation,8
1917,Inflation,15
1918,Inflation,19
1919,Inflation,11
1920,Inflation,13
1921,Inflation,6
1922,Inflation,6
1923,Inflation,8
1924,Inflation,6
1925,Inflation,0
1926,Inflation,3
1927,Inflation,0
1928,Inflation,0
1929,Inflation,0
1930,Inflation,1
1931,Inflation,1
1932,Inflation,2
1933,Inflation,2
1934,Inflation,2
1935,Inflation,2
1936,Inflation,1
1937,Inflation,3
1938,Inflation,2
1939,Inflation,4
1940,Inflation,13
1941,Inflation,11
1942,Inflation,19
1943,Inflation,15
1944,Inflation,12
1945,Inflation,12
1946,Inflation,18
1947,Inflation,18
1948,Inflation,14
1949,Inflation,10
1950,Inflation,9
1951,Inflation,11
1952,Inflation,6
1953,Inflation,6
1954,Inflation,5
1955,Inflation,4
1956,Inflation,4
1957,Inflation,4
1958,Inflation,7
1959,Inflation,5
1960,Inflation,3
1961,Inflation,3
1962,Inflation,4
1963,Inflation,6
1964,Inflation,6
1965,Inflation,7
1966,Inflation,7
1967,Inflation,5
1968,Inflation,5
1969,Inflation,4
1970,Inflation,2
1971,Inflation,5
1972,Inflation,3
1973,Inflation,14
1974,Inflation,22
1975,Inflation,13
1976,Inflation,11
1977,Inflation,14
1978,Inflation,9
1979,Inflation,16
1980,Inflation,21
1981,Inflation,16
1982,Inflation,14
1983,Inflation,16
1984,Inflation,20
1985,Inflation,18
1986,Inflation,17
1987,Inflation,16
1988,Inflation,18
1989,Inflation,19
1990,Inflation,26
1991,Inflation,25
1992,Inflation,20
1993,Inflation,20
1994,Inflation,23
1995,Inflation,20
1996,Inflation,15
1997,Inflation,12
1998,Inflation,10
1999,Inflation,9
2000,Inflation,8
2001,Inflation,9
2002,Inflation,8
2003,Inflation,8
2004,Inflation,4
2005,Inflation,2
2006,Inflation,2
2007,Inflation,2
2008,Inflation,4
2009,Inflation,1
2010,Inflation,1
2011,Inflation,1
2012,Inflation,1
2013,Inflation,1
2014,Inflation,1
2015,Inflation,1
2016,Inflation,2
