Entity,Code,Year,Government procurement spending (% of GDP)
Ireland,IRL,2008,12.657
Ireland,IRL,2009,12.054
Ireland,IRL,2010,11.526
Ireland,IRL,2011,10.37
Ireland,IRL,2012,9.7
Ireland,IRL,2013,9.03
Ireland,IRL,2014,8.947
Ireland,IRL,2015,7.016
Ireland,IRL,2016,7.484
Ireland,IRL,2017,7.038
Ireland,IRL,2018,7.252
Ireland,IRL,2019,7.545
Ireland,IRL,2020,8.058
Ireland,IRL,2021,7.384
Ireland,IRL,2022,7.116
Ireland,IRL,2023,7.931
Ireland,IRL,2024,8.072
Israel,ISR,2007,14.539
Israel,ISR,2008,14.699
Israel,ISR,2009,14.482
Israel,ISR,2010,14.404
Israel,ISR,2011,14.499
Israel,ISR,2012,14.517
Israel,ISR,2013,14.711
Israel,ISR,2014,14.522
Israel,ISR,2015,14.6
Israel,ISR,2016,15.003
Israel,ISR,2017,14.957
Israel,ISR,2018,15.501
Israel,ISR,2019,15.288
Israel,ISR,2020,16.294
Israel,ISR,2021,15.46
Israel,ISR,2022,14.778
Israel,ISR,2023,15.725
Israel,ISR,2024,17.183
Italy,ITA,2007,10.784
Italy,ITA,2008,11.022
Italy,ITA,2009,12.129
Italy,ITA,2010,11.533
Italy,ITA,2011,11.047
Italy,ITA,2012,10.88
Italy,ITA,2013,10.883
Italy,ITA,2014,10.624
Italy,ITA,2015,10.658
Italy,ITA,2016,10.547
Italy,ITA,2017,10.428
Italy,ITA,2018,10.382
Italy,ITA,2019,10.466
Italy,ITA,2020,11.528
Italy,ITA,2021,11.471
Italy,ITA,2022,11.185
Italy,ITA,2023,11.281
Italy,ITA,2024,11.718
Japan,JPN,2007,13.59
Japan,JPN,2008,13.82
Japan,JPN,2009,15.301
Japan,JPN,2010,15.39
Japan,JPN,2011,15.747
Japan,JPN,2012,15.963
Japan,JPN,2013,16.346
Japan,JPN,2014,16.466
Japan,JPN,2015,16.022
Japan,JPN,2016,16.078
Japan,JPN,2017,15.931
Japan,JPN,2018,16.105
Japan,JPN,2019,16.587
Japan,JPN,2020,17.658
Japan,JPN,2021,17.951
Japan,JPN,2022,18.028
Japan,JPN,2024,17.453
Latvia,LVA,2007,13.186
Latvia,LVA,2008,13.367
Latvia,LVA,2009,12.904
Latvia,LVA,2010,13.201
Latvia,LVA,2011,13.967
Latvia,LVA,2012,13.121
Latvia,LVA,2013,12.681
Latvia,LVA,2014,12.661
Latvia,LVA,2015,12.817
Latvia,LVA,2016,11.162
Latvia,LVA,2017,12.243
Latvia,LVA,2018,13.166
Latvia,LVA,2019,13.001
Latvia,LVA,2020,14.211
Latvia,LVA,2021,14.643
Latvia,LVA,2022,13.342
Latvia,LVA,2023,14.04
Latvia,LVA,2024,14.649
Lithuania,LTU,2007,12.102
Lithuania,LTU,2008,12.678
Lithuania,LTU,2009,12.045
Lithuania,LTU,2010,13.422
Lithuania,LTU,2011,12.146
Lithuania,LTU,2012,10.949
Lithuania,LTU,2013,10.229
Lithuania,LTU,2014,9.957
Lithuania,LTU,2015,10.444
Lithuania,LTU,2016,9.563
Lithuania,LTU,2017,9.496
Lithuania,LTU,2018,9.17
Lithuania,LTU,2019,9.255
Lithuania,LTU,2020,10.91
Lithuania,LTU,2021,9.426
Lithuania,LTU,2022,9.417
Lithuania,LTU,2023,10.65
Lithuania,LTU,2024,11.066
Luxembourg,LUX,2007,9.886
Luxembourg,LUX,2008,9.97
Luxembourg,LUX,2009,11.459
Luxembourg,LUX,2010,11.685
Luxembourg,LUX,2011,11.187
Luxembourg,LUX,2012,11.105
Luxembourg,LUX,2013,10.688
Luxembourg,LUX,2014,10.734
Luxembourg,LUX,2015,10.943
Luxembourg,LUX,2016,10.801
Luxembourg,LUX,2017,11.14
Luxembourg,LUX,2018,11.147
Luxembourg,LUX,2019,11.52
Luxembourg,LUX,2020,12.464
Luxembourg,LUX,2021,11.28
Luxembourg,LUX,2022,12.02
Luxembourg,LUX,2023,12.196
Luxembourg,LUX,2024,12.515
Mexico,MEX,2007,4.223
Mexico,MEX,2008,4.916
Mexico,MEX,2009,5.68
Mexico,MEX,2010,5.494
Mexico,MEX,2011,5.331
Mexico,MEX,2012,5.066
Mexico,MEX,2013,5.045
Mexico,MEX,2014,5.328
Mexico,MEX,2015,5.048
Mexico,MEX,2016,4.994
Mexico,MEX,2017,4.852
Mexico,MEX,2018,4.821
Mexico,MEX,2019,4.419
Mexico,MEX,2020,4.722
Mexico,MEX,2021,4.234
Mexico,MEX,2022,4.456
Mexico,MEX,2023,4.865
Mexico,MEX,2024,5.307
Netherlands,NLD,2007,19.295
Netherlands,NLD,2008,19.413
Netherlands,NLD,2009,21.461
Netherlands,NLD,2010,21.549
Netherlands,NLD,2011,21.25
Netherlands,NLD,2012,20.966
Netherlands,NLD,2013,20.678
Netherlands,NLD,2014,20.545
Netherlands,NLD,2015,20.048
Netherlands,NLD,2016,19.654
Netherlands,NLD,2017,19.34
Netherlands,NLD,2018,19.426
Netherlands,NLD,2019,19.585
Netherlands,NLD,2020,20.448
Netherlands,NLD,2021,20.383
Netherlands,NLD,2022,19.256
Netherlands,NLD,2023,19.968
Netherlands,NLD,2024,20.475
New Zealand,NZL,2007,14.518
New Zealand,NZL,2008,15.64
New Zealand,NZL,2009,15.72
New Zealand,NZL,2010,15.468
New Zealand,NZL,2011,14.914
New Zealand,NZL,2012,14.815
New Zealand,NZL,2013,14.697
New Zealand,NZL,2014,14.908
New Zealand,NZL,2015,14.657
New Zealand,NZL,2016,14.276
New Zealand,NZL,2017,14.722
New Zealand,NZL,2018,14.77
New Zealand,NZL,2019,15.213
New Zealand,NZL,2020,16.093
New Zealand,NZL,2021,17.027
New Zealand,NZL,2022,17.095
New Zealand,NZL,2024,17.134
Norway,NOR,2007,11.405
Norway,NOR,2008,11.321
Norway,NOR,2009,13.41
Norway,NOR,2010,12.882
Norway,NOR,2011,12.457
Norway,NOR,2012,12.031
Norway,NOR,2013,12.625
Norway,NOR,2014,13.263
Norway,NOR,2015,14.148
Norway,NOR,2016,15.073
Norway,NOR,2017,14.897
Norway,NOR,2018,14.743
Norway,NOR,2019,15.685
Norway,NOR,2020,16.862
Norway,NOR,2021,14.285
Norway,NOR,2022,11.701
Norway,NOR,2023,14.32
Norway,NOR,2024,14.894
OECD countries,,2007,11.83
OECD countries,,2008,12.3
OECD countries,,2009,13.3
OECD countries,,2010,13.06
OECD countries,,2011,12.69
OECD countries,,2012,12.4
OECD countries,,2013,12.21
OECD countries,,2014,12.04
OECD countries,,2015,11.93
OECD countries,,2016,11.87
OECD countries,,2017,11.83
OECD countries,,2018,11.96
OECD countries,,2019,12.21
OECD countries,,2020,13.18
OECD countries,,2021,12.99
OECD countries,,2022,12.79
OECD countries,,2023,12.79
OECD countries,,2024,12.91
Poland,POL,2007,12.308
Poland,POL,2008,12.913
Poland,POL,2009,12.925
Poland,POL,2010,13.806
Poland,POL,2011,13.419
Poland,POL,2012,12.387
Poland,POL,2013,11.88
Poland,POL,2014,12.277
Poland,POL,2015,12.01
Poland,POL,2016,10.643
Poland,POL,2017,11.11
Poland,POL,2018,11.959
Poland,POL,2019,11.676
Poland,POL,2020,12.021
Poland,POL,2021,11.878
Poland,POL,2022,11.979
Poland,POL,2023,13.654
Poland,POL,2024,13.777
Portugal,PRT,2007,10.603
Portugal,PRT,2008,11.3
Portugal,PRT,2009,12.597
Portugal,PRT,2010,13.318
Portugal,PRT,2011,11.435
Portugal,PRT,2012,10.182
Portugal,PRT,2013,9.687
Portugal,PRT,2014,9.546
Portugal,PRT,2015,9.663
Portugal,PRT,2016,8.893
Portugal,PRT,2017,8.961
Portugal,PRT,2018,8.94
Portugal,PRT,2019,8.875
Portugal,PRT,2020,9.748
Portugal,PRT,2021,10.093
Portugal,PRT,2022,9.706
Portugal,PRT,2023,9.547
Portugal,PRT,2024,9.919
Romania,ROU,2007,13.364
Romania,ROU,2008,13.589
Romania,ROU,2009,12.439
Romania,ROU,2010,12.003
Romania,ROU,2011,11.855
Romania,ROU,2012,11.245
Romania,ROU,2013,11.207
Romania,ROU,2014,11.533
Romania,ROU,2015,12.033
Romania,ROU,2016,10.175
Romania,ROU,2017,8.654
Romania,ROU,2018,8.376
Romania,ROU,2019,9.879
Romania,ROU,2020,11.001
Romania,ROU,2021,10.723
Romania,ROU,2022,10.921
Romania,ROU,2023,12.267
Romania,ROU,2024,12.828
Slovakia,SVK,2007,11.676
Slovakia,SVK,2008,12.059
Slovakia,SVK,2009,13.697
Slovakia,SVK,2010,13.206
Slovakia,SVK,2011,13.003
Slovakia,SVK,2012,12.359
Slovakia,SVK,2013,12.407
Slovakia,SVK,2014,13.282
Slovakia,SVK,2015,15.688
Slovakia,SVK,2016,12.387
Slovakia,SVK,2017,12.399
Slovakia,SVK,2018,12.396
Slovakia,SVK,2019,12.359
Slovakia,SVK,2020,12.185
Slovakia,SVK,2021,12.047
Slovakia,SVK,2022,12.545
Slovakia,SVK,2023,12.43
Slovakia,SVK,2024,13.008
Slovenia,SVN,2007,12.29
Slovenia,SVN,2008,12.953
Slovenia,SVN,2009,14.165
Slovenia,SVN,2010,14.234
Slovenia,SVN,2011,13.689
Slovenia,SVN,2012,13.398
Slovenia,SVN,2013,13.606
Slovenia,SVN,2014,13.99
Slovenia,SVN,2015,13.728
Slovenia,SVN,2016,12.112
Slovenia,SVN,2017,11.636
Slovenia,SVN,2018,12.156
Slovenia,SVN,2019,12.159
Slovenia,SVN,2020,12.631
Slovenia,SVN,2021,13.694
Slovenia,SVN,2022,14.625
Slovenia,SVN,2023,14.333
Slovenia,SVN,2024,14.55
South Africa,ZAF,2007,10.197
South Africa,ZAF,2008,11.093
South Africa,ZAF,2009,10.953
South Africa,ZAF,2010,10.34
South Africa,ZAF,2011,10.538
South Africa,ZAF,2012,10.932
South Africa,ZAF,2013,11.046
South Africa,ZAF,2014,11.218
South Africa,ZAF,2015,10.972
South Africa,ZAF,2016,11.157
South Africa,ZAF,2017,10.356
South Africa,ZAF,2018,10.055
South Africa,ZAF,2019,10.073
South Africa,ZAF,2020,9.92
South Africa,ZAF,2021,9.262
South Africa,ZAF,2022,9.704
South Africa,ZAF,2023,9.651
South Africa,ZAF,2024,9.268
South Korea,KOR,2007,10.99
South Korea,KOR,2008,11.532
South Korea,KOR,2009,13.133
South Korea,KOR,2010,11.965
South Korea,KOR,2011,11.826
South Korea,KOR,2012,11.778
South Korea,KOR,2013,11.956
South Korea,KOR,2014,11.657
South Korea,KOR,2015,11.678
South Korea,KOR,2016,11.833
South Korea,KOR,2017,11.838
South Korea,KOR,2018,12.214
South Korea,KOR,2019,13.28
South Korea,KOR,2020,13.782
South Korea,KOR,2021,13.717
South Korea,KOR,2022,13.953
South Korea,KOR,2023,14.3
South Korea,KOR,2024,13.873
Spain,ESP,2007,12.139
Spain,ESP,2008,12.575
Spain,ESP,2009,13.838
Spain,ESP,2010,13.375
Spain,ESP,2011,12.362
Spain,ESP,2012,11.552
Spain,ESP,2013,10.596
Spain,ESP,2014,10.203
Spain,ESP,2015,10.555
Spain,ESP,2016,9.768
Spain,ESP,2017,9.62
Spain,ESP,2018,9.814
Spain,ESP,2019,9.929
Spain,ESP,2020,11.471
Spain,ESP,2021,11.409
Spain,ESP,2022,11.242
Spain,ESP,2023,11.416
Spain,ESP,2024,11.004
Sweden,SWE,2007,14.551
Sweden,SWE,2008,15.255
Sweden,SWE,2009,16.361
Sweden,SWE,2010,16.191
Sweden,SWE,2011,16.083
Sweden,SWE,2012,16.43
Sweden,SWE,2013,17.034
Sweden,SWE,2014,17.077
Sweden,SWE,2015,16.64
Sweden,SWE,2016,17.034
Sweden,SWE,2017,16.92
Sweden,SWE,2018,17.116
Sweden,SWE,2019,16.775
Sweden,SWE,2020,17.372
Sweden,SWE,2021,16.864
Sweden,SWE,2022,16.999
Sweden,SWE,2023,17.432
Sweden,SWE,2024,17.424
Switzerland,CHE,2007,7.698
Switzerland,CHE,2008,7.921
Switzerland,CHE,2009,8.502
Switzerland,CHE,2010,8.387
Switzerland,CHE,2011,8.417
Switzerland,CHE,2012,8.623
Switzerland,CHE,2013,8.697
Switzerland,CHE,2014,8.816
Switzerland,CHE,2015,8.95
Switzerland,CHE,2016,8.98
Switzerland,CHE,2017,9.095
Switzerland,CHE,2018,8.935
Switzerland,CHE,2019,9.098
Switzerland,CHE,2020,9.623
Switzerland,CHE,2021,9.426
Switzerland,CHE,2022,8.892
Switzerland,CHE,2023,9.392
Switzerland,CHE,2024,9.383
Turkey,TUR,2009,12.355
Turkey,TUR,2010,11.554
Turkey,TUR,2011,10.409
Turkey,TUR,2012,10.644
Turkey,TUR,2013,11.166
Turkey,TUR,2014,10.568
Turkey,TUR,2015,10.822
Turkey,TUR,2016,11.396
Turkey,TUR,2017,11.996
Turkey,TUR,2018,12.105
Turkey,TUR,2019,10.889
Turkey,TUR,2020,10.797
United Kingdom,GBR,2007,12.82
United Kingdom,GBR,2008,13.9
United Kingdom,GBR,2009,15.263
United Kingdom,GBR,2010,14.731
United Kingdom,GBR,2011,13.977
United Kingdom,GBR,2012,13.651
United Kingdom,GBR,2013,13.436
United Kingdom,GBR,2014,13.615
United Kingdom,GBR,2015,13.44
United Kingdom,GBR,2016,13.053
United Kingdom,GBR,2017,12.825
United Kingdom,GBR,2018,12.699
United Kingdom,GBR,2019,12.919
United Kingdom,GBR,2020,15.404
United Kingdom,GBR,2021,15.371
United Kingdom,GBR,2022,14.463
United Kingdom,GBR,2023,14.353
United Kingdom,GBR,2024,14.555
United States,USA,2007,10.654
United States,USA,2008,11.221
United States,USA,2009,11.775
United States,USA,2010,11.567
United States,USA,2011,11.083
United States,USA,2012,10.516
United States,USA,2013,9.906
United States,USA,2014,9.535
United States,USA,2015,9.372
United States,USA,2016,9.405
United States,USA,2017,9.349
United States,USA,2018,9.499
United States,USA,2019,9.798
United States,USA,2020,10.534
United States,USA,2021,10.301
United States,USA,2022,10.267
United States,USA,2023,10.056
United States,USA,2024,10.063
