Time Period,Asset Type,Value
2014-07-01,Transport Equipment,4763
2014-10-01,Transport Equipment,5194
2015-01-01,Transport Equipment,9297
2015-04-01,Transport Equipment,5142
2015-07-01,Transport Equipment,4903
2015-10-01,Transport Equipment,6235
2016-01-01,Transport Equipment,8313
2016-04-01,Transport Equipment,7628
2016-07-01,Transport Equipment,8498
2016-10-01,Transport Equipment,5701
2017-01-01,Transport Equipment,6670
2017-04-01,Transport Equipment,7847
2017-07-01,Transport Equipment,7241
2017-10-01,Transport Equipment,7802
2018-01-01,Transport Equipment,5607
2018-04-01,Transport Equipment,3471
2018-07-01,Transport Equipment,6063
2018-10-01,Transport Equipment,6215
2019-01-01,Transport Equipment,5537
2019-04-01,Transport Equipment,6177
2019-07-01,Transport Equipment,5671
2019-10-01,Transport Equipment,4686
2020-01-01,Transport Equipment,5332
2020-04-01,Transport Equipment,2226
2020-07-01,Transport Equipment,5898
2020-10-01,Transport Equipment,6190
2021-01-01,Transport Equipment,3693
2021-04-01,Transport Equipment,3517
2021-07-01,Transport Equipment,4228
2021-10-01,Transport Equipment,5085
2022-01-01,Transport Equipment,4053
2022-04-01,Transport Equipment,6448
2022-07-01,Transport Equipment,6311
2022-10-01,Transport Equipment,7213
2023-01-01,Transport Equipment,6930
2023-04-01,Transport Equipment,7390
2023-07-01,Transport Equipment,7396
2023-10-01,Transport Equipment,7797
2024-01-01,Transport Equipment,7151
2024-04-01,Transport Equipment,8506
2024-07-01,Transport Equipment,7348
2024-10-01,Transport Equipment,6749
2025-01-01,Transport Equipment,7097
2025-04-01,Transport Equipment,6312
2025-07-01,Transport Equipment,6120
1997-01-01,ICT equipment and other machinery and equipment,6710
1997-04-01,ICT equipment and other machinery and equipment,7309
1997-07-01,ICT equipment and other machinery and equipment,7866
1997-10-01,ICT equipment and other machinery and equipment,8049
1998-01-01,ICT equipment and other machinery and equipment,7725
1998-04-01,ICT equipment and other machinery and equipment,7972
1998-07-01,ICT equipment and other machinery and equipment,7643
1998-10-01,ICT equipment and other machinery and equipment,7767
1999-01-01,ICT equipment and other machinery and equipment,8172
1999-04-01,ICT equipment and other machinery and equipment,7934
1999-07-01,ICT equipment and other machinery and equipment,8698
1999-10-01,ICT equipment and other machinery and equipment,7858
2000-01-01,ICT equipment and other machinery and equipment,9215
2000-04-01,ICT equipment and other machinery and equipment,11718
2000-07-01,ICT equipment and other machinery and equipment,9446
2000-10-01,ICT equipment and other machinery and equipment,9524
2001-01-01,ICT equipment and other machinery and equipment,10286
2001-04-01,ICT equipment and other machinery and equipment,9576
2001-07-01,ICT equipment and other machinery and equipment,9904
2001-10-01,ICT equipment and other machinery and equipment,10308
2002-01-01,ICT equipment and other machinery and equipment,10039
2002-04-01,ICT equipment and other machinery and equipment,10492
2002-07-01,ICT equipment and other machinery and equipment,10117
2002-10-01,ICT equipment and other machinery and equipment,10209
2003-01-01,ICT equipment and other machinery and equipment,10076
2003-04-01,ICT equipment and other machinery and equipment,8981
2003-07-01,ICT equipment and other machinery and equipment,8997
2003-10-01,ICT equipment and other machinery and equipment,8645
2004-01-01,ICT equipment and other machinery and equipment,8661
2004-04-01,ICT equipment and other machinery and equipment,9242
2004-07-01,ICT equipment and other machinery and equipment,9307
2004-10-01,ICT equipment and other machinery and equipment,9385
2005-01-01,ICT equipment and other machinery and equipment,8921
2005-04-01,ICT equipment and other machinery and equipment,27524
2005-07-01,ICT equipment and other machinery and equipment,11000
2005-10-01,ICT equipment and other machinery and equipment,10989
2006-01-01,ICT equipment and other machinery and equipment,11362
2006-04-01,ICT equipment and other machinery and equipment,11633
2006-07-01,ICT equipment and other machinery and equipment,12302
2006-10-01,ICT equipment and other machinery and equipment,12068
2007-01-01,ICT equipment and other machinery and equipment,13274
2007-04-01,ICT equipment and other machinery and equipment,13291
2007-07-01,ICT equipment and other machinery and equipment,13687
2007-10-01,ICT equipment and other machinery and equipment,14203
2008-01-01,ICT equipment and other machinery and equipment,12939
2008-04-01,ICT equipment and other machinery and equipment,13685
2008-07-01,ICT equipment and other machinery and equipment,13049
2008-10-01,ICT equipment and other machinery and equipment,11702
2009-01-01,ICT equipment and other machinery and equipment,10950
2009-04-01,ICT equipment and other machinery and equipment,8847
2009-07-01,ICT equipment and other machinery and equipment,8545
2009-10-01,ICT equipment and other machinery and equipment,8737
2010-01-01,ICT equipment and other machinery and equipment,8908
2010-04-01,ICT equipment and other machinery and equipment,9131
2010-07-01,ICT equipment and other machinery and equipment,9470
2010-10-01,ICT equipment and other machinery and equipment,9816
2011-01-01,ICT equipment and other machinery and equipment,10033
2011-04-01,ICT equipment and other machinery and equipment,10920
2011-07-01,ICT equipment and other machinery and equipment,11584
2011-10-01,ICT equipment and other machinery and equipment,11982
2012-01-01,ICT equipment and other machinery and equipment,10598
2012-04-01,ICT equipment and other machinery and equipment,11765
2012-07-01,ICT equipment and other machinery and equipment,12811
2012-10-01,ICT equipment and other machinery and equipment,13197
2013-01-01,ICT equipment and other machinery and equipment,12249
2013-04-01,ICT equipment and other machinery and equipment,12138
2013-07-01,ICT equipment and other machinery and equipment,12462
2013-10-01,ICT equipment and other machinery and equipment,12506
2014-01-01,ICT equipment and other machinery and equipment,12679
2014-04-01,ICT equipment and other machinery and equipment,13201
2014-07-01,ICT equipment and other machinery and equipment,13440
2014-10-01,ICT equipment and other machinery and equipment,13574
2015-01-01,ICT equipment and other machinery and equipment,12589
2015-04-01,ICT equipment and other machinery and equipment,12773
2015-07-01,ICT equipment and other machinery and equipment,13343
2015-10-01,ICT equipment and other machinery and equipment,14151
2016-01-01,ICT equipment and other machinery and equipment,14253
2016-04-01,ICT equipment and other machinery and equipment,13935
2016-07-01,ICT equipment and other machinery and equipment,14212
2016-10-01,ICT equipment and other machinery and equipment,13962
2017-01-01,ICT equipment and other machinery and equipment,14176
2017-04-01,ICT equipment and other machinery and equipment,14116
2017-07-01,ICT equipment and other machinery and equipment,14197
2017-10-01,ICT equipment and other machinery and equipment,14550
2018-01-01,ICT equipment and other machinery and equipment,14812
2018-04-01,ICT equipment and other machinery and equipment,14517
2018-07-01,ICT equipment and other machinery and equipment,14159
2018-10-01,ICT equipment and other machinery and equipment,13736
2019-01-01,ICT equipment and other machinery and equipment,13404
2019-04-01,ICT equipment and other machinery and equipment,14024
2019-07-01,ICT equipment and other machinery and equipment,13359
2019-10-01,ICT equipment and other machinery and equipment,13170
2020-01-01,ICT equipment and other machinery and equipment,12715
2020-04-01,ICT equipment and other machinery and equipment,9714
2020-07-01,ICT equipment and other machinery and equipment,10905
2020-10-01,ICT equipment and other machinery and equipment,12765
2021-01-01,ICT equipment and other machinery and equipment,11746
2021-04-01,ICT equipment and other machinery and equipment,13006
2021-07-01,ICT equipment and other machinery and equipment,14431
2021-10-01,ICT equipment and other machinery and equipment,14508
2022-01-01,ICT equipment and other machinery and equipment,15772
2022-04-01,ICT equipment and other machinery and equipment,14758
2022-07-01,ICT equipment and other machinery and equipment,14703
2022-10-01,ICT equipment and other machinery and equipment,13518
2023-01-01,ICT equipment and other machinery and equipment,13972
2023-04-01,ICT equipment and other machinery and equipment,13592
2023-07-01,ICT equipment and other machinery and equipment,12930
2023-10-01,ICT equipment and other machinery and equipment,13239
2024-01-01,ICT equipment and other machinery and equipment,13588
2024-04-01,ICT equipment and other machinery and equipment,12762
2024-07-01,ICT equipment and other machinery and equipment,12924
2024-10-01,ICT equipment and other machinery and equipment,12617
2025-01-01,ICT equipment and other machinery and equipment,13945
2025-04-01,ICT equipment and other machinery and equipment,13421
2025-07-01,ICT equipment and other machinery and equipment,14628
1997-01-01,Other buildings and structures,18842
1997-04-01,Other buildings and structures,18034
1997-07-01,Other buildings and structures,19678
1997-10-01,Other buildings and structures,20137
1998-01-01,Other buildings and structures,20155
1998-04-01,Other buildings and structures,20104
1998-07-01,Other buildings and structures,20219
1998-10-01,Other buildings and structures,19829
1999-01-01,Other buildings and structures,20526
1999-04-01,Other buildings and structures,20932
1999-07-01,Other buildings and structures,19340
1999-10-01,Other buildings and structures,19677
2000-01-01,Other buildings and structures,20188
2000-04-01,Other buildings and structures,18984
2000-07-01,Other buildings and structures,18664
2000-10-01,Other buildings and structures,19900
2001-01-01,Other buildings and structures,17110
2001-04-01,Other buildings and structures,21071
2001-07-01,Other buildings and structures,19801
2001-10-01,Other buildings and structures,16742
2002-01-01,Other buildings and structures,15986
2002-04-01,Other buildings and structures,13931
2002-07-01,Other buildings and structures,16849
2002-10-01,Other buildings and structures,18899
2003-01-01,Other buildings and structures,19347
2003-04-01,Other buildings and structures,16709
2003-07-01,Other buildings and structures,15951
2003-10-01,Other buildings and structures,16583
2004-01-01,Other buildings and structures,17309
2004-04-01,Other buildings and structures,13009
2004-07-01,Other buildings and structures,13039
2004-10-01,Other buildings and structures,14218
2005-01-01,Other buildings and structures,17103
2005-04-01,Other buildings and structures,15450
2005-07-01,Other buildings and structures,17167
2005-10-01,Other buildings and structures,17676
2006-01-01,Other buildings and structures,18957
2006-04-01,Other buildings and structures,17721
2006-07-01,Other buildings and structures,17667
2006-10-01,Other buildings and structures,15657
2007-01-01,Other buildings and structures,16835
2007-04-01,Other buildings and structures,19983
2007-07-01,Other buildings and structures,18531
2007-10-01,Other buildings and structures,20815
2008-01-01,Other buildings and structures,17420
2008-04-01,Other buildings and structures,20040
2008-07-01,Other buildings and structures,19408
2008-10-01,Other buildings and structures,17897
2009-01-01,Other buildings and structures,14944
2009-04-01,Other buildings and structures,14827
2009-07-01,Other buildings and structures,14303
2009-10-01,Other buildings and structures,14249
2010-01-01,Other buildings and structures,14719
2010-04-01,Other buildings and structures,13632
2010-07-01,Other buildings and structures,13913
2010-10-01,Other buildings and structures,13411
2011-01-01,Other buildings and structures,14103
2011-04-01,Other buildings and structures,14668
2011-07-01,Other buildings and structures,15458
2011-10-01,Other buildings and structures,15737
2012-01-01,Other buildings and structures,14639
2012-04-01,Other buildings and structures,16519
2012-07-01,Other buildings and structures,17398
2012-10-01,Other buildings and structures,18115
2013-01-01,Other buildings and structures,17565
2013-04-01,Other buildings and structures,17947
2013-07-01,Other buildings and structures,17988
2013-10-01,Other buildings and structures,17070
2014-01-01,Other buildings and structures,16572
2014-04-01,Other buildings and structures,17706
2014-07-01,Other buildings and structures,18004
2014-10-01,Other buildings and structures,18090
2015-01-01,Other buildings and structures,18234
2015-04-01,Other buildings and structures,20999
2015-07-01,Other buildings and structures,20626
2015-10-01,Other buildings and structures,21599
2016-01-01,Other buildings and structures,21412
2016-04-01,Other buildings and structures,21582
2016-07-01,Other buildings and structures,22005
2016-10-01,Other buildings and structures,21378
2017-01-01,Other buildings and structures,21844
2017-04-01,Other buildings and structures,19890
2017-07-01,Other buildings and structures,20547
2017-10-01,Other buildings and structures,20360
2018-01-01,Other buildings and structures,22058
2018-04-01,Other buildings and structures,22923
2018-07-01,Other buildings and structures,19403
2018-10-01,Other buildings and structures,20769
2019-01-01,Other buildings and structures,22697
2019-04-01,Other buildings and structures,21953
2019-07-01,Other buildings and structures,21726
2019-10-01,Other buildings and structures,22113
2020-01-01,Other buildings and structures,21529
2020-04-01,Other buildings and structures,14848
2020-07-01,Other buildings and structures,17661
2020-10-01,Other buildings and structures,19077
2021-01-01,Other buildings and structures,18935
2021-04-01,Other buildings and structures,19597
2021-07-01,Other buildings and structures,17362
2021-10-01,Other buildings and structures,17918
2022-01-01,Other buildings and structures,18331
2022-04-01,Other buildings and structures,19217
2022-07-01,Other buildings and structures,18312
2022-10-01,Other buildings and structures,18005
2023-01-01,Other buildings and structures,19541
2023-04-01,Other buildings and structures,18370
2023-07-01,Other buildings and structures,18417
2023-10-01,Other buildings and structures,19042
2024-01-01,Other buildings and structures,20268
2024-04-01,Other buildings and structures,20498
2024-07-01,Other buildings and structures,22947
2024-10-01,Other buildings and structures,22086
2025-01-01,Other buildings and structures,24029
2025-04-01,Other buildings and structures,24329
2025-07-01,Other buildings and structures,24023
1997-01-01,Intellectual Property Products,11564
1997-04-01,Intellectual Property Products,11928
1997-07-01,Intellectual Property Products,12311
1997-10-01,Intellectual Property Products,12595
1998-01-01,Intellectual Property Products,13005
1998-04-01,Intellectual Property Products,13328
1998-07-01,Intellectual Property Products,13355
1998-10-01,Intellectual Property Products,13348
1999-01-01,Intellectual Property Products,13236
1999-04-01,Intellectual Property Products,13136
1999-07-01,Intellectual Property Products,13310
1999-10-01,Intellectual Property Products,13490
2000-01-01,Intellectual Property Products,13890
2000-04-01,Intellectual Property Products,14314
2000-07-01,Intellectual Property Products,14094
2000-10-01,Intellectual Property Products,14357
2001-01-01,Intellectual Property Products,13780
2001-04-01,Intellectual Property Products,13906
2001-07-01,Intellectual Property Products,14095
2001-10-01,Intellectual Property Products,14285
2002-01-01,Intellectual Property Products,14099
2002-04-01,Intellectual Property Products,13980
2002-07-01,Intellectual Property Products,14413
2002-10-01,Intellectual Property Products,14574
2003-01-01,Intellectual Property Products,14901
2003-04-01,Intellectual Property Products,15576
2003-07-01,Intellectual Property Products,15374
2003-10-01,Intellectual Property Products,15497
2004-01-01,Intellectual Property Products,15286
2004-04-01,Intellectual Property Products,15449
2004-07-01,Intellectual Property Products,15926
2004-10-01,Intellectual Property Products,16278
2005-01-01,Intellectual Property Products,16517
2005-04-01,Intellectual Property Products,16694
2005-07-01,Intellectual Property Products,17171
2005-10-01,Intellectual Property Products,17108
2006-01-01,Intellectual Property Products,17309
2006-04-01,Intellectual Property Products,17018
2006-07-01,Intellectual Property Products,16781
2006-10-01,Intellectual Property Products,16942
2007-01-01,Intellectual Property Products,17038
2007-04-01,Intellectual Property Products,17647
2007-07-01,Intellectual Property Products,17583
2007-10-01,Intellectual Property Products,18644
2008-01-01,Intellectual Property Products,18124
2008-04-01,Intellectual Property Products,18384
2008-07-01,Intellectual Property Products,18559
2008-10-01,Intellectual Property Products,18570
2009-01-01,Intellectual Property Products,18660
2009-04-01,Intellectual Property Products,18507
2009-07-01,Intellectual Property Products,18615
2009-10-01,Intellectual Property Products,18930
2010-01-01,Intellectual Property Products,19294
2010-04-01,Intellectual Property Products,19477
2010-07-01,Intellectual Property Products,19765
2010-10-01,Intellectual Property Products,19711
2011-01-01,Intellectual Property Products,19734
2011-04-01,Intellectual Property Products,19736
2011-07-01,Intellectual Property Products,20776
2011-10-01,Intellectual Property Products,19598
2012-01-01,Intellectual Property Products,19208
2012-04-01,Intellectual Property Products,20376
2012-07-01,Intellectual Property Products,21278
2012-10-01,Intellectual Property Products,21274
2013-01-01,Intellectual Property Products,22078
2013-04-01,Intellectual Property Products,22285
2013-07-01,Intellectual Property Products,22349
2013-10-01,Intellectual Property Products,22594
2014-01-01,Intellectual Property Products,23100
2014-04-01,Intellectual Property Products,22778
2014-07-01,Intellectual Property Products,23216
2014-10-01,Intellectual Property Products,24631
2015-01-01,Intellectual Property Products,23808
2015-04-01,Intellectual Property Products,24926
2015-07-01,Intellectual Property Products,24318
2015-10-01,Intellectual Property Products,24770
2016-01-01,Intellectual Property Products,25298
2016-04-01,Intellectual Property Products,25388
2016-07-01,Intellectual Property Products,26395
2016-10-01,Intellectual Property Products,27086
2017-01-01,Intellectual Property Products,26924
2017-04-01,Intellectual Property Products,27027
2017-07-01,Intellectual Property Products,27776
2017-10-01,Intellectual Property Products,28237
2018-01-01,Intellectual Property Products,28651
2018-04-01,Intellectual Property Products,28392
2018-07-01,Intellectual Property Products,28073
2018-10-01,Intellectual Property Products,28203
2019-01-01,Intellectual Property Products,28613
2019-04-01,Intellectual Property Products,28937
2019-07-01,Intellectual Property Products,29720
2019-10-01,Intellectual Property Products,29934
2020-01-01,Intellectual Property Products,29256
2020-04-01,Intellectual Property Products,28973
2020-07-01,Intellectual Property Products,28974
2020-10-01,Intellectual Property Products,29284
2021-01-01,Intellectual Property Products,30925
2021-04-01,Intellectual Property Products,31574
2021-07-01,Intellectual Property Products,31263
2021-10-01,Intellectual Property Products,32244
2022-01-01,Intellectual Property Products,33052
2022-04-01,Intellectual Property Products,31669
2022-07-01,Intellectual Property Products,31559
2022-10-01,Intellectual Property Products,31221
2023-01-01,Intellectual Property Products,32520
2023-04-01,Intellectual Property Products,33849
2023-07-01,Intellectual Property Products,32720
2023-10-01,Intellectual Property Products,32883
2024-01-01,Intellectual Property Products,31979
2024-04-01,Intellectual Property Products,32708
2024-07-01,Intellectual Property Products,32774
2024-10-01,Intellectual Property Products,32901
2025-01-01,Intellectual Property Products,33122
2025-04-01,Intellectual Property Products,32817
2025-07-01,Intellectual Property Products,33282
