SDZ,Area,Count,Population,Value
N21000419,Ballyarnett_H,735,9810,0.3746177370030581
N21000420,Ballyarnett_J,660,10500,0.3142857142857143
N21000421,Ballyarnett_K,1005,12230,0.410874897792314
N21000422,Ballyarnett_L,1030,12380,0.4159935379644588
N21000423,Waterside_A,832,12145,0.34252778921366817
N21000424,Waterside_B,852,9970,0.4272818455366098
N21000425,Waterside_C,569,12665,0.22463482037110147
N21000426,Waterside_D,753,9975,0.37744360902255636
N21000427,Waterside_E,784,10330,0.37947725072604066
N21000428,Waterside_F,957,11045,0.4332277048438207
N21000429,Waterside_G,777,11040,0.35190217391304346
N21000430,Waterside_H,621,10950,0.28356164383561644
N21000431,Waterside_J,871,12710,0.34264358772619985
N21000432,Waterside_K,671,11010,0.3047229791099001
N21000433,Waterside_L,618,11325,0.2728476821192053
N21000434,Waterside_N,669,10550,0.3170616113744076
N21000435,Waterside_P,659,11515,0.28614850195397307
N21000436,Faughan_A,728,13040,0.2791411042944785
N21000437,Faughan_B,453,5725,0.3956331877729258
N21000438,Faughan_C,600,12130,0.24732069249793898
N21000439,Faughan_D,838,12375,0.3385858585858586
N21000440,Faughan_E,1057,17100,0.30906432748538015
N21000441,Faughan_F,868,14185,0.30595699682763483
N21000442,Faughan_G,960,14950,0.3210702341137124
N21000443,Faughan_H,444,6675,0.3325842696629214
N21000444,Sperrin_A,573,10610,0.2700282752120641
N21000445,Sperrin_B,902,14890,0.30288784419073206
N21000446,Sperrin_C,857,12545,0.3415703467516939
N21000447,Sperrin_D,853,14435,0.2954624177346727
N21000448,Sperrin_E,571,6965,0.40990667623833454
N21000449,Sperrin_F,910,15240,0.29855643044619423
N21000450,Sperrin_G,1185,13600,0.43566176470588236
N21000451,Sperrin_H,1317,14660,0.44918144611186905
N21000452,Sperrin_J,544,7195,0.3780403057678944
N21000453,Sperrin_K,862,13455,0.3203270159791899
N21000454,Derg_A,567,10675,0.26557377049180325
N21000455,Derg_B,776,9890,0.39231547017189083
N21000456,Derg_C,831,12210,0.3402948402948403
N21000457,Derg_D,690,9540,0.3616352201257862
N21000458,Derg_E,603,7125,0.4231578947368421
N21000459,Derg_F,1237,14900,0.4151006711409396
N21000460,Derg_G,570,9665,0.2948784273150543
N21000461,Derg_H,1024,15040,0.3404255319148936
N21000462,Erne_East_A,857,14300,0.29965034965034965
N21000463,Erne_East_B,841,14140,0.2973833097595474
