date,value
Sep-Nov 2016,1862916.004
Oct-Dec 2016,1875161.68
Nov-Jan 2017,1876323.376
Dec-Feb 2017,1896373.027
Jan-Mar 2017,1888800.885
Feb-Apr 2017,1883074.809
Mar-May 2017,1868702.306
Apr-Jun 2017,1868309.994
May-Jul 2017,1874618.254
Jun-Aug 2017,1880199.471
Jul-Sep 2017,1895144.234
Aug-Oct 2017,1890510.464
Sep-Nov 2017,1874774.185
Oct-Dec 2017,1880071.292
Nov-Jan 2018,1874603.35
Dec-Feb 2018,1855767.644
Jan-Mar 2018,1801734.095
Feb-Apr 2018,1838059.303
Mar-May 2018,1857857.498
Apr-Jun 2018,1870905.15
May-Jul 2018,1864023.099
Jun-Aug 2018,1860455.787
Jul-Sep 2018,1882805.066
Aug-Oct 2018,1869271.341
Sep-Nov 2018,1821674.017
Oct-Dec 2018,1833158.91
Nov-Jan 2019,1817473.119
Dec-Feb 2019,1813322.677
Jan-Mar 2019,1835843.948
Feb-Apr 2019,1825936.74
Mar-May 2019,1851585.532
Apr-Jun 2019,1809875.904
May-Jul 2019,1840537.917
Jun-Aug 2019,1858535.427
Jul-Sep 2019,1863477.629
Aug-Oct 2019,1816942.832
Sep-Nov 2019,1819137.999
Oct-Dec 2019,1785414.678
Nov-Jan 2020,1752258.408
Dec-Feb 2020,1762752.751
Jan-Mar 2020,1794189.94
Feb-Apr 2020,1799702.818
Mar-May 2020,1729998.498
Apr-Jun 2020,1718404.617
May-Jul 2020,1822119.244
Jun-Aug 2020,1902437.04
Jul-Sep 2020,1934058.458
Aug-Oct 2020,1890296.263
Sep-Nov 2020,1837977.484
Oct-Dec 2020,1853830.024
Nov-Jan 2021,1852520.494
Dec-Feb 2021,1870641.191
Jan-Mar 2021,1860111.23
Feb-Apr 2021,1880570.435
Mar-May 2021,1887096.669
Apr-Jun 2021,1908210.528
May-Jul 2021,1913984.305
Jun-Aug 2021,1927758.281
Jul-Sep 2021,1904200.849
Aug-Oct 2021,1899883.045
Sep-Nov 2021,1884255.651
Oct-Dec 2021,1904589.939
Nov-Jan 2022,1940239.742
Dec-Feb 2022,1878934.948
Jan-Mar 2022,1891989.263
Feb-Apr 2022,1859577.125
Mar-May 2022,1814946.147
Apr-Jun 2022,1853990.324
May-Jul 2022,1919405.883
Jun-Aug 2022,1926105.54
Jul-Sep 20224,1943701.588
Aug-Oct 2022,1943325.84
Sep-Nov 2022,1951338.058
Oct-Dec 2022,1904138.324
Nov-Jan 2023,1840256.996
Dec-Feb 2023,1815308.864
Jan-Mar 2023,1839403.146
Feb-Apr 2023,1847962.876
Mar-May 2023,1915011.559
Apr-Jun 2023,1936878.068
May-Jul 2023,1973411.639
Jun-Aug 2023,1990097.807
Jul-Sep 2023,2032301.296
Aug-Oct 2023,1968909.63
Sep-Nov 2023,1944922.244
Oct-Dec 2023,1964435.17
Nov-Jan 2024,1975483.851
Dec-Feb 2024,1992210.208
Jan-Mar 2024,1914908.443
