date,value,month,year
Mar 2000,"1,248",Mar,2000
Apr 2000,"1,274",Apr,2000
May 2000,"1,288",May,2000
Jun 2000,"1,271",Jun,2000
Jul 2000,"1,270",Jul,2000
Aug 2000,"1,275",Aug,2000
Sep 2000,"1,275",Sep,2000
Oct 2000,"1,283",Oct,2000
Nov 2001,"1,291",Nov,2001
Dec 2001,"1,296",Dec,2001
Jan 2001,"1,293",Jan,2001
Feb 2001,"1,279",Feb,2001
Mar 2001,"1,297",Mar,2001
Apr 2001,"1,294",Apr,2001
May 2001,"1,303",May,2001
Jun 2001,"1,297",Jun,2001
Jul 2001,"1,311",Jul,2001
Aug 2001,"1,297",Aug,2001
Sep 2001,"1,273",Sep,2001
Oct 2001,"1,291",Oct,2001
Nov 2002,"1,278",Nov,2002
Dec 2002,"1,287",Dec,2002
Jan 2002,"1,275",Jan,2002
Feb 2002,"1,284",Feb,2002
Mar 2002,"1,274",Mar,2002
Apr 2002,"1,277",Apr,2002
May 2002,"1,300",May,2002
Jun 2002,"1,299",Jun,2002
Jul 2002,"1,314",Jul,2002
Aug 2002,"1,320",Aug,2002
Sep 2002,"1,348",Sep,2002
Oct 2002,"1,360",Oct,2002
Nov 2003,"1,371",Nov,2003
Dec 2003,"1,367",Dec,2003
Jan 2003,"1,383",Jan,2003
Feb 2003,"1,394",Feb,2003
Mar 2003,"1,402",Mar,2003
Apr 2003,"1,409",Apr,2003
May 2003,"1,402",May,2003
Jun 2003,"1,395",Jun,2003
Jul 2003,"1,405",Jul,2003
Aug 2003,"1,418",Aug,2003
Sep 2003,"1,413",Sep,2003
Oct 2003,"1,404",Oct,2003
Nov 2004,"1,401",Nov,2004
Dec 2004,"1,412",Dec,2004
Jan 2004,"1,417",Jan,2004
Feb 2004,"1,421",Feb,2004
Mar 2004,"1,421",Mar,2004
Apr 2004,"1,424",Apr,2004
May 2004,"1,424",May,2004
Jun 2004,"1,434",Jun,2004
Jul 2004,"1,418",Jul,2004
Aug 2004,"1,420",Aug,2004
Sep 2004,"1,423",Sep,2004
Oct 2004,"1,433",Oct,2004
Nov 2005,"1,459",Nov,2005
Dec 2005,"1,447",Dec,2005
Jan 2005,"1,464",Jan,2005
Feb 2005,"1,471",Feb,2005
Mar 2005,"1,468",Mar,2005
Apr 2005,"1,463",Apr,2005
May 2005,"1,450",May,2005
Jun 2005,"1,475",Jun,2005
Jul 2005,"1,489",Jul,2005
Aug 2005,"1,486",Aug,2005
Sep 2005,"1,483",Sep,2005
Oct 2005,"1,478",Oct,2005
Nov 2006,"1,486",Nov,2006
Dec 2006,"1,470",Dec,2006
Jan 2006,"1,472",Jan,2006
Feb 2006,"1,474",Feb,2006
Mar 2006,"1,503",Mar,2006
Apr 2006,"1,490",Apr,2006
May 2006,"1,488",May,2006
Jun 2006,"1,481",Jun,2006
Jul 2006,"1,481",Jul,2006
Aug 2006,"1,502",Aug,2006
Sep 2006,"1,505",Sep,2006
Oct 2006,"1,503",Oct,2006
Nov 2007,"1,477",Nov,2007
Dec 2007,"1,475",Dec,2007
Jan 2007,"1,490",Jan,2007
Feb 2007,"1,484",Feb,2007
Mar 2007,"1,509",Mar,2007
Apr 2007,"1,524",Apr,2007
May 2007,"1,557",May,2007
Jun 2007,"1,575",Jun,2007
Jul 2007,"1,569",Jul,2007
Aug 2007,"1,555",Aug,2007
Sep 2007,"1,547",Sep,2007
Oct 2007,"1,572",Oct,2007
Nov 2008,"1,580",Nov,2008
Dec 2008,"1,593",Dec,2008
Jan 2008,"1,595",Jan,2008
Feb 2008,"1,616",Feb,2008
Mar 2008,"1,589",Mar,2008
Apr 2008,"1,608",Apr,2008
May 2008,"1,605",May,2008
Jun 2008,"1,614",Jun,2008
Jul 2008,"1,593",Jul,2008
Aug 2008,"1,616",Aug,2008
Sep 2008,"1,642",Sep,2008
Oct 2008,"1,660",Oct,2008
Nov 2009,"1,646",Nov,2009
Dec 2009,"1,660",Dec,2009
Jan 2009,"1,645",Jan,2009
Feb 2009,"1,651",Feb,2009
Mar 2009,"1,656",Mar,2009
Apr 2009,"1,656",Apr,2009
May 2009,"1,672",May,2009
Jun 2009,"1,688",Jun,2009
Jul 2009,"1,746",Jul,2009
Aug 2009,"1,801",Aug,2009
Sep 2009,"1,817",Sep,2009
Oct 2009,"1,845",Oct,2009
Nov 2010,"1,870",Nov,2010
Dec 2010,"1,837",Dec,2010
Jan 2010,"1,826",Jan,2010
Feb 2010,"1,819",Feb,2010
Mar 2010,"1,847",Mar,2010
Apr 2010,"1,873",Apr,2010
May 2010,"1,847",May,2010
Jun 2010,"1,824",Jun,2010
Jul 2010,"1,786",Jul,2010
Aug 2010,"1,781",Aug,2010
Sep 2010,"1,796",Sep,2010
Oct 2010,"1,800",Oct,2010
Nov 2011,"1,806",Nov,2011
Dec 2011,"1,822",Dec,2011
Jan 2011,"1,841",Jan,2011
Feb 2011,"1,867",Feb,2011
Mar 2011,"1,853",Mar,2011
Apr 2011,"1,839",Apr,2011
May 2011,"1,814",May,2011
Jun 2011,"1,815",Jun,2011
Jul 2011,"1,856",Jul,2011
Aug 2011,"1,881",Aug,2011
Sep 2011,"1,890",Sep,2011
Oct 2011,"1,899",Oct,2011
Nov 2012,"1,918",Nov,2012
Dec 2012,"1,916",Dec,2012
Jan 2012,"1,925",Jan,2012
Feb 2012,"1,897",Feb,2012
Mar 2012,"1,850",Mar,2012
Apr 2012,"1,866",Apr,2012
May 2012,"1,848",May,2012
Jun 2012,"1,895",Jun,2012
Jul 2012,"1,899",Jul,2012
Aug 2012,"1,878",Aug,2012
Sep 2012,"1,840",Sep,2012
Oct 2012,"1,835",Oct,2012
Nov 2013,"1,849",Nov,2013
Dec 2013,"1,868",Dec,2013
Jan 2013,"1,871",Jan,2013
Feb 2013,"1,882",Feb,2013
Mar 2013,"1,918",Mar,2013
Apr 2013,"1,929",Apr,2013
May 2013,"1,904",May,2013
Jun 2013,"1,865",Jun,2013
Jul 2013,"1,836",Jul,2013
Aug 2013,"1,863",Aug,2013
Sep 2013,"1,863",Sep,2013
Oct 2013,"1,857",Oct,2013
Nov 2014,"1,864",Nov,2014
Dec 2014,"1,858",Dec,2014
Jan 2014,"1,892",Jan,2014
Feb 2014,"1,868",Feb,2014
Mar 2014,"1,865",Mar,2014
Apr 2014,"1,858",Apr,2014
May 2014,"1,877",May,2014
Jun 2014,"1,871",Jun,2014
Jul 2014,"1,876",Jul,2014
Aug 2014,"1,860",Aug,2014
Sep 2014,"1,877",Sep,2014
Oct 2014,"1,874",Oct,2014
Nov 2015,"1,853",Nov,2015
Dec 2015,"1,858",Dec,2015
Jan 2015,"1,866",Jan,2015
Feb 2015,"1,869",Feb,2015
Mar 2015,"1,873",Mar,2015
Apr 2015,"1,885",Apr,2015
May 2015,"1,895",May,2015
Jun 2015,"1,894",Jun,2015
Jul 2015,"1,893",Jul,2015
Aug 2015,"1,904",Aug,2015
Sep 2015,"1,906",Sep,2015
Oct 2015,"1,913",Oct,2015
Nov 2016,"1,909",Nov,2016
Dec 2016,"1,892",Dec,2016
Jan 2016,"1,885",Jan,2016
Feb 2016,"1,927",Feb,2016
Mar 2016,"1,903",Mar,2016
Apr 2016,"1,898",Apr,2016
May 2016,"1,875",May,2016
Jun 2016,"1,889",Jun,2016
Jul 2016,"1,869",Jul,2016
Aug 2016,"1,866",Aug,2016
Sep 2016,"1,863",Sep,2016
Oct 2016,"1,875",Oct,2016
Nov 2017,"1,876",Nov,2017
Dec 2017,"1,896",Dec,2017
Jan 2017,"1,889",Jan,2017
Feb 2017,"1,883",Feb,2017
Mar 2017,"1,869",Mar,2017
Apr 2017,"1,868",Apr,2017
May 2017,"1,875",May,2017
Jun 2017,"1,880",Jun,2017
Jul 2017,"1,895",Jul,2017
Aug 2017,"1,891",Aug,2017
Sep 2017,"1,875",Sep,2017
Oct 2017,"1,880",Oct,2017
Nov 2018,"1,875",Nov,2018
Dec 2018,"1,856",Dec,2018
Jan 2018,"1,802",Jan,2018
Feb 2018,"1,838",Feb,2018
Mar 2018,"1,858",Mar,2018
Apr 2018,"1,871",Apr,2018
May 2018,"1,864",May,2018
Jun 2018,"1,860",Jun,2018
Jul 2018,"1,883",Jul,2018
Aug 2018,"1,869",Aug,2018
Sep 2018,"1,822",Sep,2018
Oct 2018,"1,833",Oct,2018
Nov 2019,"1,817",Nov,2019
Dec 2019,"1,813",Dec,2019
Jan 2019,"1,836",Jan,2019
Feb 2019,"1,826",Feb,2019
Mar 2019,"1,852",Mar,2019
Apr 2019,"1,810",Apr,2019
May 2019,"1,841",May,2019
Jun 2019,"1,859",Jun,2019
Jul 2019,"1,863",Jul,2019
Aug 2019,"1,817",Aug,2019
Sep 2019,"1,819",Sep,2019
Oct 2019,"1,785",Oct,2019
Nov 2020,"1,752",Nov,2020
Dec 2020,"1,763",Dec,2020
Jan 2020,"1,794",Jan,2020
Feb 2020,"1,800",Feb,2020
Mar 2020,"1,730",Mar,2020
Apr 2020,"1,718",Apr,2020
May 2020,"1,822",May,2020
Jun 2020,"1,902",Jun,2020
Jul 2020,"1,934",Jul,2020
Aug 2020,"1,890",Aug,2020
Sep 2020,"1,838",Sep,2020
Oct 2020,"1,854",Oct,2020
Nov 2021,"1,853",Nov,2021
Dec 2021,"1,871",Dec,2021
Jan 2021,"1,860",Jan,2021
Feb 2021,"1,881",Feb,2021
Mar 2021,"1,887",Mar,2021
Apr 2021,"1,908",Apr,2021
May 2021,"1,914",May,2021
Jun 2021,"1,928",Jun,2021
Jul 2021,"1,904",Jul,2021
Aug 2021,"1,900",Aug,2021
Sep 2021,"1,884",Sep,2021
Oct 2021,"1,905",Oct,2021
Nov 2022,"1,940",Nov,2022
Dec 2022,"1,879",Dec,2022
Jan 2022,"1,892",Jan,2022
Feb 2022,"1,860",Feb,2022
Mar 2022,"1,815",Mar,2022
Apr 2022,"1,854",Apr,2022
May 2022,"1,919",May,2022
Jun 2022,"1,926",Jun,2022
Jul 0224,"1,944",Jul,0224
Aug 2022,"1,943",Aug,2022
Sep 2022,"1,951",Sep,2022
Oct 2022,"1,904",Oct,2022
Nov 2023,"1,840",Nov,2023
Dec 2023,"1,815",Dec,2023
Jan 2023,"1,839",Jan,2023
Feb 2023,"1,848",Feb,2023
Mar 2023,"1,915",Mar,2023
Apr 2023,"1,937",Apr,2023
May 2023,"1,973",May,2023
Jun 2023,"1,990",Jun,2023
Jul 2023,"2,032",Jul,2023
Aug 2023,"1,969",Aug,2023
Sep 2023,"1,945",Sep,2023
Oct 2023,"1,964",Oct,2023
Nov 2024,"1,975",Nov,2024
Dec 2024,"1,992",Dec,2024
Jan 2024,"1,915",Jan,2024
