id,name,level
NL11,Groningen,2
NL12,Friesland (NL),2
NL13,Drenthe,2
NL21,Overijssel,2
NL22,Gelderland,2
NL23,Flevoland,2
NL32,Noord-Holland,2
NL34,Zeeland,2
NL35,Utrecht,2
NL36,Zuid-Holland,2
NL41,Noord-Brabant,2
NL42,Limburg (NL),2
NLZZ,Extra-Regio,2
AT11,Burgenland,2
AT12,Niederösterreich,2
AT13,Wien,2
AT21,Kärnten,2
AT22,Steiermark,2
AT31,Oberösterreich,2
AT32,Salzburg,2
AT33,Tirol,2
AT34,Vorarlberg,2
ATZZ,Extra-Regio,2
PL21,Małopolskie,2
PL22,Śląskie,2
PL41,Wielkopolskie,2
PL42,Zachodniopomorskie,2
PL43,Lubuskie,2
PL51,Dolnośląskie,2
PL52,Opolskie,2
PL61,Kujawsko-pomorskie,2
PL62,Warmińsko-mazurskie,2
PL63,Pomorskie,2
PL71,Łódzkie,2
PL72,Świętokrzyskie,2
PL81,Lubelskie,2
PL82,Podkarpackie,2
PL84,Podlaskie,2
PL91,Warszawski stołeczny,2
PL92,Mazowiecki regionalny,2
PLZZ,Extra-Regio,2
PT11,Norte,2
PT15,Algarve,2
PT19,Centro (PT),2
PT1A,Grande Lisboa,2
PT1B,Península de Setúbal,2
PT1C,Alentejo,2
PT1D,Oeste e Vale do Tejo,2
PT20,Região Autónoma dos Açores,2
PT30,Região Autónoma da Madeira,2
PTZZ,Extra-Regio,2
RO11,Nord-Vest,2
RO12,Centru,2
RO21,Nord-Est,2
RO22,Sud-Est,2
RO31,Sud-Muntenia,2
RO32,Bucureşti-Ilfov,2
RO41,Sud-Vest Oltenia,2
RO42,Vest,2
ROZZ,Extra-Regio,2
SI03,Vzhodna Slovenija,2
SI04,Zahodna Slovenija,2
SIZZ,Extra-Regio,2
SK01,Bratislavský kraj,2
SK02,Západné Slovensko,2
SK03,Stredné Slovensko,2
SK04,Východné Slovensko,2
SKZZ,Extra-Regio,2
FI19,Länsi-Suomi,2
FI1B,Helsinki-Uusimaa,2
FI1C,Etelä-Suomi,2
FI1D,Pohjois- ja Itä-Suomi,2
FI20,Åland,2
FIZZ,Extra-Regio,2
SE11,Stockholm,2
SE12,Östra Mellansverige,2
SE21,Småland med öarna,2
SE22,Sydsverige,2
SE23,Västsverige,2
SE31,Norra Mellansverige,2
SE32,Mellersta Norrland,2
SE33,Övre Norrland,2
SEZZ,Extra-Regio,2
