Station,Other local authorities/stations,Sunderland/Newcastle,Leeds,Labels
Aberystwyth,10170.0,0.0,0.0,
Margate,10025.0,0.0,0.0,
Bangor (Gwynedd),9890.0,0.0,0.0,
Littlehampton,9880.0,0.0,0.0,
Llandudno,9405.0,0.0,0.0,
Felixstowe,9405.0,0.0,0.0,
Kidderminster,9280.0,0.0,0.0,
Upminster,9195.0,0.0,0.0,
Blackhorse Road,9125.0,0.0,0.0,
Falmer,9125.0,0.0,0.0,
Denton,8885.0,0.0,0.0,
Amersham,8785.0,0.0,0.0,
Ormskirk,8765.0,0.0,0.0,
Bishop Auckland,8600.0,0.0,0.0,
Lytham,8555.0,0.0,0.0,
Hertford North,8480.0,0.0,0.0,
Ascot (Berks),8400.0,0.0,0.0,
Newquay,8395.0,0.0,0.0,
Weymouth,8365.0,0.0,0.0,
Henley-On-Thames,8365.0,0.0,0.0,
St Austell,8330.0,0.0,0.0,
Rhyl,8230.0,0.0,0.0,
Old Roan,8120.0,0.0,0.0,
Skegness,7995.0,0.0,0.0,
Stowmarket,7910.0,0.0,0.0,
Reddish South,7805.0,0.0,0.0,
Goole,7780.0,0.0,0.0,
Ramsgate,7640.0,0.0,0.0,
Knutsford,7610.0,0.0,0.0,
Colwyn Bay,7230.0,0.0,0.0,
Faversham,6975.0,0.0,0.0,
Ilkley,6645.0,0.0,0.0,
Guiseley,6495.0,0.0,0.0,
Ely,6400.0,0.0,0.0,
Exmouth,6320.0,0.0,0.0,
Sleaford,6310.0,0.0,0.0,
Stourbridge Junction,6105.0,0.0,0.0,
Liphook,6050.0,0.0,0.0,
Newhaven Town,5855.0,0.0,0.0,
Llandudno Junction,5500.0,0.0,0.0,
Ulverston,5275.0,0.0,0.0,
Brigg,5140.0,0.0,0.0,
Barton-On-Humber,5135.0,0.0,0.0,
Whitby,5080.0,0.0,0.0,
Liskeard,4870.0,0.0,0.0,
Leominster,4835.0,0.0,0.0,
Castle Bar Park,4830.0,0.0,0.0,
Ryde Esplanade,4735.0,0.0,0.0,
Pembroke Dock,4675.0,0.0,0.0,
Beccles,4605.0,0.0,0.0,
Corkickle,4240.0,0.0,0.0,
Oxted,4205.0,0.0,0.0,
Deal,4170.0,0.0,0.0,
Whitehaven,4005.0,0.0,0.0,
Greenbank,3960.0,0.0,0.0,
St Ives (Cornwall),3955.0,0.0,0.0,
Kirkby (Merseyside),3720.0,0.0,0.0,
Prestatyn,3695.0,0.0,0.0,
Llandrindod,3570.0,0.0,0.0,
Barnham,3425.0,0.0,0.0,
Teignmouth,3365.0,0.0,0.0,
Helsby,3350.0,0.0,0.0,
Cleethorpes,3285.0,0.0,0.0,
Windermere,3175.0,0.0,0.0,
Porthmadog,3100.0,0.0,0.0,
Shanklin,3050.0,0.0,0.0,
Carpenders Park,3025.0,0.0,0.0,
Hagley,3000.0,0.0,0.0,
Tenby,3000.0,0.0,0.0,
Looe,2775.0,0.0,0.0,
Settle,2375.0,0.0,0.0,
Pwllheli,2275.0,0.0,0.0,
St Erth,2250.0,0.0,0.0,
Brockenhurst,2150.0,0.0,0.0,
Penrhyndeudraeth,1800.0,0.0,0.0,
Millom,1660.0,0.0,0.0,
Knighton,1630.0,0.0,0.0,
Pevensey and Westham,1450.0,0.0,0.0,
Llandovery,1410.0,0.0,0.0,
Betws-y-Coed,1375.0,0.0,0.0,
Kirton Lindsey,1250.0,0.0,0.0,
Barmouth,1125.0,0.0,0.0,
Tywyn,825.0,0.0,0.0,
Borth,500.0,0.0,0.0,
Harlech,375.0,0.0,0.0,
