OA21CD,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,LAD25CD,LAD25NM,CAUTH25CD,CAUTH25NM
E00140286,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140287,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140288,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140289,E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140290,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140291,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140292,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140293,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140294,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140295,E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140296,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140297,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140298,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140304,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140305,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140306,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140307,E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140299,E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140300,E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140301,E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140302,E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140303,E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140308,E01027564,Craven 008B,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140309,E01027564,Craven 008B,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140311,E01027564,Craven 008B,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140319,E01027564,Craven 008B,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140310,E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140315,E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140316,E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140318,E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140320,E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140312,E01027566,Craven 008D,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140313,E01027566,Craven 008D,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140314,E01027566,Craven 008D,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140317,E01027566,Craven 008D,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140321,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140322,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140323,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140324,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140325,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140326,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140327,E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140329,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140330,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140331,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140332,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140333,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00189822,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00189867,E01027568,Craven 003A,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140334,E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140335,E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140336,E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140337,E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140345,E01027569,Craven 001C,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140338,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140339,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140340,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140341,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140342,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140343,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140344,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140346,E01027570,Craven 001D,E02005742,Craven 001,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140347,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140348,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140349,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140350,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140351,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140352,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140353,E01027571,Craven 003B,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140354,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140358,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140359,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140360,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140361,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140362,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140364,E01027572,Craven 003C,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140355,E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140356,E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140357,E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140363,E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140365,E01027573,Craven 003D,E02005744,Craven 003,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140366,E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140369,E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140370,E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140371,E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140372,E01027574,Craven 005A,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140367,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140368,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140373,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140374,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140375,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140376,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140377,E01027575,Craven 005B,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140382,E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140383,E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140384,E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140385,E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140387,E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140378,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140379,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140380,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140381,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140386,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140388,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140389,E01027577,Craven 005C,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140390,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140392,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140394,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140395,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140396,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140398,E01027578,Craven 006A,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140391,E01027579,Craven 005D,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140393,E01027579,Craven 005D,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140397,E01027579,Craven 005D,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140399,E01027579,Craven 005D,E02005746,Craven 005,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140400,E01027580,Craven 006B,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140401,E01027580,Craven 006B,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140402,E01027580,Craven 006B,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140403,E01027580,Craven 006B,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140409,E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140410,E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140411,E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140412,E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140413,E01027582,Craven 006D,E02005747,Craven 006,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140418,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140419,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140420,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140421,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140423,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140424,E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140417,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140422,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140425,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140426,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140427,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140428,E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140429,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140430,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140431,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140432,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140433,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140434,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140435,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140436,E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140437,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140438,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140439,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140440,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140441,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140442,E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140447,E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140453,E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140455,E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140456,E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140457,E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140448,E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140449,E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140450,E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140451,E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140454,E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140443,E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140444,E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140445,E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140446,E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140452,E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140458,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140459,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140460,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140461,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140462,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140463,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140464,E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140465,E01027591,Hambleton 001A,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140466,E01027591,Hambleton 001A,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
E00140467,E01027591,Hambleton 001A,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire
