LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM,LAD25CD,LAD25NM,CAUTH25CD,CAUTH25NM,n_oas
E01027560,Craven 007B,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027563,Craven 007C,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027586,Craven 007D,E02005748,Craven 007,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027555,Craven 008A,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027564,Craven 008B,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027565,Craven 008C,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027566,Craven 008D,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027583,Craven 008E,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027584,Craven 008F,E02005749,Craven 008,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027585,Craven 009A,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027567,Craven 009B,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027562,Craven 009C,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027557,Craven 009D,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027561,Craven 009E,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027576,Craven 009F,E02007041,Craven 009,E07000163,Craven,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027591,Hambleton 001A,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027597,Hambleton 001B,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027599,Hambleton 001C,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027623,Hambleton 001D,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027625,Hambleton 001E,E02005750,Hambleton 001,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027598,Hambleton 002A,E02005751,Hambleton 002,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027618,Hambleton 002B,E02005751,Hambleton 002,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027624,Hambleton 002C,E02005751,Hambleton 002,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027626,Hambleton 002D,E02005751,Hambleton 002,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027627,Hambleton 002E,E02005751,Hambleton 002,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027590,Hambleton 003A,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027592,Hambleton 003B,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027613,Hambleton 003C,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027617,Hambleton 003D,E02005752,Hambleton 003,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027603,Hambleton 005A,E02005754,Hambleton 005,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027604,Hambleton 005B,E02005754,Hambleton 005,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027607,Hambleton 005C,E02005754,Hambleton 005,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027614,Hambleton 005D,E02005754,Hambleton 005,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027615,Hambleton 005E,E02005754,Hambleton 005,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027587,Hambleton 006A,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027588,Hambleton 006B,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027589,Hambleton 006C,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027593,Hambleton 006D,E02005755,Hambleton 006,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027628,Hambleton 007B,E02005756,Hambleton 007,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027633,Hambleton 007C,E02005756,Hambleton 007,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01034958,Hambleton 007F,E02005756,Hambleton 007,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,10
E01027620,Hambleton 008A,E02005757,Hambleton 008,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027630,Hambleton 008B,E02005757,Hambleton 008,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027631,Hambleton 008C,E02005757,Hambleton 008,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027632,Hambleton 008D,E02005757,Hambleton 008,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027637,Hambleton 008E,E02005757,Hambleton 008,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027629,Hambleton 009B,E02005758,Hambleton 009,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027635,Hambleton 009C,E02005758,Hambleton 009,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027636,Hambleton 009D,E02005758,Hambleton 009,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01034959,Hambleton 009E,E02005758,Hambleton 009,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01034960,Hambleton 009F,E02005758,Hambleton 009,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027594,Hambleton 010A,E02005759,Hambleton 010,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027595,Hambleton 010B,E02005759,Hambleton 010,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027596,Hambleton 010C,E02005759,Hambleton 010,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027601,Hambleton 010D,E02005759,Hambleton 010,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027622,Hambleton 010E,E02005759,Hambleton 010,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027600,Hambleton 011A,E02005760,Hambleton 011,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027619,Hambleton 011B,E02005760,Hambleton 011,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027634,Hambleton 011C,E02005760,Hambleton 011,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01034961,Hambleton 012A,E02007042,Hambleton 012,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01034962,Hambleton 012B,E02007042,Hambleton 012,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,3
E01027610,Hambleton 012C,E02007042,Hambleton 012,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027609,Hambleton 012D,E02007042,Hambleton 012,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027606,Hambleton 012E,E02007042,Hambleton 012,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027612,Hambleton 013A,E02007043,Hambleton 013,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027608,Hambleton 013B,E02007043,Hambleton 013,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027616,Hambleton 013C,E02007043,Hambleton 013,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027605,Hambleton 013D,E02007043,Hambleton 013,E07000164,Hambleton,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027666,Harrogate 001A,E02005761,Harrogate 001,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027667,Harrogate 001B,E02005761,Harrogate 001,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027685,Harrogate 001C,E02005761,Harrogate 001,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027686,Harrogate 001D,E02005761,Harrogate 001,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027712,Harrogate 002A,E02005762,Harrogate 002,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027713,Harrogate 002B,E02005762,Harrogate 002,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027714,Harrogate 002C,E02005762,Harrogate 002,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027715,Harrogate 002D,E02005762,Harrogate 002,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,3
E01027643,Harrogate 003A,E02005763,Harrogate 003,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027688,Harrogate 003B,E02005763,Harrogate 003,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027736,Harrogate 003C,E02005763,Harrogate 003,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027737,Harrogate 003D,E02005763,Harrogate 003,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027705,Harrogate 004A,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027706,Harrogate 004B,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027707,Harrogate 004C,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027708,Harrogate 004D,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027709,Harrogate 004E,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027710,Harrogate 004F,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027711,Harrogate 004G,E02005764,Harrogate 004,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027644,Harrogate 005A,E02005765,Harrogate 005,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027645,Harrogate 005B,E02005765,Harrogate 005,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027647,Harrogate 005C,E02005765,Harrogate 005,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027687,Harrogate 005D,E02005765,Harrogate 005,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027681,Harrogate 006A,E02005766,Harrogate 006,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027693,Harrogate 006B,E02005766,Harrogate 006,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027701,Harrogate 006C,E02005766,Harrogate 006,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027702,Harrogate 006D,E02005766,Harrogate 006,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027642,Harrogate 007A,E02005767,Harrogate 007,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027646,Harrogate 007B,E02005767,Harrogate 007,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027674,Harrogate 007C,E02005767,Harrogate 007,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027675,Harrogate 007D,E02005767,Harrogate 007,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,9
E01027641,Harrogate 008A,E02005768,Harrogate 008,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027665,Harrogate 008C,E02005768,Harrogate 008,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027722,Harrogate 008D,E02005768,Harrogate 008,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01034963,Harrogate 008E,E02005768,Harrogate 008,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01034964,Harrogate 008F,E02005768,Harrogate 008,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027668,Harrogate 009A,E02005769,Harrogate 009,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027669,Harrogate 009B,E02005769,Harrogate 009,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027673,Harrogate 009C,E02005769,Harrogate 009,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027676,Harrogate 009D,E02005769,Harrogate 009,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027638,Harrogate 010A,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027639,Harrogate 010B,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027640,Harrogate 010C,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027690,Harrogate 010D,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027738,Harrogate 010E,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027739,Harrogate 010F,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027741,Harrogate 010G,E02005770,Harrogate 010,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027689,Harrogate 011A,E02005771,Harrogate 011,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027691,Harrogate 011B,E02005771,Harrogate 011,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027720,Harrogate 011C,E02005771,Harrogate 011,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027721,Harrogate 011D,E02005771,Harrogate 011,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027723,Harrogate 011E,E02005771,Harrogate 011,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027670,Harrogate 012A,E02005772,Harrogate 012,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027671,Harrogate 012B,E02005772,Harrogate 012,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027672,Harrogate 012C,E02005772,Harrogate 012,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027704,Harrogate 012D,E02005772,Harrogate 012,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027649,Harrogate 013A,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027651,Harrogate 013B,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027657,Harrogate 013C,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027658,Harrogate 013D,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027692,Harrogate 013E,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027740,Harrogate 013F,E02005773,Harrogate 013,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027648,Harrogate 014A,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027650,Harrogate 014B,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027726,Harrogate 014C,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027727,Harrogate 014D,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027728,Harrogate 014E,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027729,Harrogate 014F,E02005774,Harrogate 014,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027652,Harrogate 015A,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027655,Harrogate 015B,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027659,Harrogate 015C,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027677,Harrogate 015D,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027678,Harrogate 015E,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027680,Harrogate 015F,E02005775,Harrogate 015,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027683,Harrogate 016A,E02005776,Harrogate 016,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027684,Harrogate 016B,E02005776,Harrogate 016,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027695,Harrogate 016C,E02005776,Harrogate 016,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027696,Harrogate 016D,E02005776,Harrogate 016,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027703,Harrogate 016E,E02005776,Harrogate 016,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027660,Harrogate 017A,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027661,Harrogate 017B,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027662,Harrogate 017C,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027663,Harrogate 017D,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027697,Harrogate 017E,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027733,Harrogate 017F,E02005777,Harrogate 017,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027682,Harrogate 018A,E02005778,Harrogate 018,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027694,Harrogate 018B,E02005778,Harrogate 018,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,3
E01027734,Harrogate 018C,E02005778,Harrogate 018,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027735,Harrogate 018D,E02005778,Harrogate 018,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,8
E01027656,Harrogate 019A,E02005779,Harrogate 019,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027679,Harrogate 019B,E02005779,Harrogate 019,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027730,Harrogate 019C,E02005779,Harrogate 019,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027731,Harrogate 019D,E02005779,Harrogate 019,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027732,Harrogate 019E,E02005779,Harrogate 019,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027653,Harrogate 020A,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027654,Harrogate 020B,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027698,Harrogate 020C,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027716,Harrogate 020D,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027717,Harrogate 020E,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027718,Harrogate 020F,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027719,Harrogate 020G,E02005780,Harrogate 020,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027699,Harrogate 021A,E02005781,Harrogate 021,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027700,Harrogate 021B,E02005781,Harrogate 021,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027724,Harrogate 021C,E02005781,Harrogate 021,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027725,Harrogate 021D,E02005781,Harrogate 021,E07000165,Harrogate,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027743,Richmondshire 001A,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027751,Richmondshire 001B,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027752,Richmondshire 001C,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027759,Richmondshire 001D,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027761,Richmondshire 001E,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027762,Richmondshire 001F,E02005782,Richmondshire 001,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,7
E01027765,Richmondshire 002A,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027766,Richmondshire 002B,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027767,Richmondshire 002C,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027768,Richmondshire 002D,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027769,Richmondshire 002E,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,4
E01027770,Richmondshire 002F,E02005783,Richmondshire 002,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,6
E01027745,Richmondshire 003A,E02005784,Richmondshire 003,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
E01027746,Richmondshire 003B,E02005784,Richmondshire 003,E07000166,Richmondshire,E06000065,North Yorkshire,E47000012,York and North Yorkshire,5
