LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01027815,Scarborough 013B,E06000065,North Yorkshire,15656,5,1407,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,12.018937358341642,12.28492413926891,Inland
E01027816,Scarborough 013C,E06000065,North Yorkshire,19696,6,1827,83.33333333333333,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,5.711273331414262,5.864989189374728,Inland
E01027817,Scarborough 012A,E06000065,North Yorkshire,1510,1,1400,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,4.2032071377138625,2.392090843165422,Coastal (≤5 km)
E01027818,Scarborough 011D,E06000065,North Yorkshire,11379,4,2001,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.9364903447463715,1.4464167234823206,Coastal (≤5 km)
E01027819,Scarborough 012B,E06000065,North Yorkshire,1804,1,2702,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.2899631551838158,1.9613357743810864,Coastal (≤5 km)
E01027820,Scarborough 012C,E06000065,North Yorkshire,1374,1,1479,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.769349025114774,1.7470880000746636,Coastal (≤5 km)
E01027821,Scarborough 004A,E06000065,North Yorkshire,17038,6,1480,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,22.977199572601545,6.83196938141219,Inland
E01027822,Scarborough 002B,E06000065,North Yorkshire,12632,4,1367,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,29.365741230914193,11.287821092071578,Inland
E01027823,Scarborough 004B,E06000065,North Yorkshire,12175,4,1374,84.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,25.810914853180808,2.283108952284702,Coastal (≤5 km)
E01027824,Scarborough 009A,E06000065,North Yorkshire,6159,2,1503,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.7302410631827352,2.0230587268169296,Coastal (≤5 km)
E01027825,Scarborough 009B,E06000065,North Yorkshire,5055,2,2188,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.0185507229254664,2.0406472787458427,Coastal (≤5 km)
E01027826,Scarborough 009C,E06000065,North Yorkshire,10605,4,1378,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.9999388933123172,1.3488667213513499,Coastal (≤5 km)
E01027827,Scarborough 014A,E06000065,North Yorkshire,6840,3,1543,80.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,10.845080916783624,0.42876190478850257,Coastal (≤5 km)
E01027828,Scarborough 014B,E06000065,North Yorkshire,15334,5,2137,80.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,10.473778155180172,0.9677840041473911,Coastal (≤5 km)
E01027829,Scarborough 014C,E06000065,North Yorkshire,17911,6,1421,80.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,9.560807987001008,0.5602972812656786,Coastal (≤5 km)
E01027830,Scarborough 014D,E06000065,North Yorkshire,9972,3,1638,80.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,9.719366044176146,1.3729104842296287,Coastal (≤5 km)
E01027833,Scarborough 014E,E06000065,North Yorkshire,8829,3,1576,92.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,14.673455834441068,2.594616110985581,Coastal (≤5 km)
