district,LAD25CD,LAD25NM,msa_name
SL3,E06000039,,
CH3,E06000050,Cheshire West and Chester,Cheshire & Warrington
OX26,E07000177,,
DY10,E07000239,,
S8,E08000019,,
IP12,E07000244,East Suffolk,Norfolk & Suffolk
TS17,E06000004,Stockton-on-Tees,Tees Valley
CT5,E07000106,,
SN8,E06000054,,
NE8,E08000037,Gateshead,North East
BR5,E09000006,,
CW5,E06000049,Cheshire East,Cheshire & Warrington
BS37,E06000025,South Gloucestershire,West of England
DL8,E06000065,North Yorkshire,York & North Yorkshire
NG10,E07000036,Erewash,East Midlands
PE13,E07000010,Fenland,Cambridgeshire & Peterborough
CV11,E07000219,,
HU5,E06000010,"Kingston upon Hull, City of",Hull & East Yorkshire
SS1,E06000033,Southend-on-Sea,Greater Essex
YO17,E06000065,North Yorkshire,York & North Yorkshire
DE14,E07000193,,
NR30,E07000145,Great Yarmouth,Norfolk & Suffolk
CV32,E07000222,,
SY3,E06000051,,
WS1,E08000030,Walsall,West Midlands
RG4,E06000038,,
E16,E09000025,,
PL14,E06000052,,
LA9,E06000064,Westmorland and Furness,Cumbria
N9,E09000010,,
NG19,E07000174,Mansfield,East Midlands
NN17,E06000061,,
CR3,E07000215,,
KT13,E07000207,,
LS10,E08000035,Leeds,West Yorkshire
DT2,E06000059,,
WS12,E07000192,,
TS1,E06000002,Middlesbrough,Tees Valley
SN5,E06000030,,
NG5,E07000173,Gedling,East Midlands
OL9,E08000004,Oldham,Greater Manchester
M23,E08000003,Manchester,Greater Manchester
OX2,E07000178,,
OL2,E08000004,Oldham,Greater Manchester
HG4,E06000065,North Yorkshire,York & North Yorkshire
TN2,E07000116,,
WF8,E08000036,Wakefield,West Yorkshire
IP33,E07000245,West Suffolk,Norfolk & Suffolk
N12,E09000003,,
PO16,E07000087,Fareham,Hampshire & Solent
CW2,E06000049,Cheshire East,Cheshire & Warrington
SO45,E07000091,New Forest,Hampshire & Solent
NN6,E06000062,,
WN1,E08000010,Wigan,Greater Manchester
BS3,E06000023,"Bristol, City of",West of England
DE11,E07000039,South Derbyshire,East Midlands
LU2,E06000032,,
N8,E09000014,,
RH2,E07000211,,
PO33,E06000046,Isle of Wight,Hampshire & Solent
OX12,E07000180,,
B97,E07000236,,
PO6,E06000044,Portsmouth,Hampshire & Solent
CB4,E07000012,South Cambridgeshire,Cambridgeshire & Peterborough
SO18,E06000045,Southampton,Hampshire & Solent
OL4,E08000004,Oldham,Greater Manchester
B23,E08000025,Birmingham,West Midlands
LU3,E06000032,,
HP1,E07000096,,
NR13,E07000144,Broadland,Norfolk & Suffolk
SR8,E06000047,County Durham,North East
S5,E08000019,,
TN6,E07000065,Wealden,Sussex & Brighton
PL4,E06000026,,
LE6,E07000134,,
WN8,E07000127,West Lancashire,Lancashire
WD18,E07000103,,
TS5,E06000002,Middlesbrough,Tees Valley
SM6,E09000029,,
TS6,E06000003,Redcar and Cleveland,Tees Valley
TQ2,E06000027,Torbay,Devon and Torbay
SN14,E06000054,,
S9,E08000019,,
CW7,E06000050,Cheshire West and Chester,Cheshire & Warrington
RM16,E06000034,Thurrock,Greater Essex
SG4,E07000099,,
OL12,E08000005,Rochdale,Greater Manchester
BS34,E06000025,South Gloucestershire,West of England
TS25,E06000001,Hartlepool,Tees Valley
HD8,E08000034,Kirklees,West Yorkshire
PL7,E06000026,,
WV10,E08000031,Wolverhampton,West Midlands
LU6,E06000056,,
PL25,E06000052,,
DY5,E08000027,Dudley,West Midlands
WA2,E06000007,Warrington,Cheshire & Warrington
YO4,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
NE65,E06000057,Northumberland,North East
NE66,E06000057,Northumberland,North East
DE56,E07000032,Amber Valley,East Midlands
TN34,E07000062,Hastings,Sussex & Brighton
NE33,E08000023,South Tyneside,North East
ME4,E06000035,,
DT6,E06000059,,
CB8,E07000245,West Suffolk,Norfolk & Suffolk
CV31,E07000222,,
DY4,E08000028,Sandwell,West Midlands
ME12,E07000113,,
BS9,E06000023,"Bristol, City of",West of England
S41,E07000034,Chesterfield,East Midlands
LS15,E08000035,Leeds,West Yorkshire
WA11,E08000013,St. Helens,Liverpool City Region
DY1,E08000027,Dudley,West Midlands
ME2,E06000035,,
OX29,E07000181,,
SY4,E06000051,,
BD4,E08000032,Bradford,West Yorkshire
SR4,E08000024,Sunderland,North East
PO22,E07000224,Arun,Sussex & Brighton
BB3,E06000008,Blackburn with Darwen,Lancashire
NE34,E08000023,South Tyneside,North East
NG4,E07000173,Gedling,East Midlands
TR18,E06000052,,
L41,E08000015,Wirral,Liverpool City Region
YO11,E06000065,North Yorkshire,York & North Yorkshire
HR4,E06000019,,
AL10,E07000241,,
WA6,E06000050,Cheshire West and Chester,Cheshire & Warrington
M6,E08000006,Salford,Greater Manchester
GU11,E07000092,Rushmoor,Hampshire & Solent
NW1W,E09000007,,
ME1,E06000035,,
SY5,E06000051,,
CM20,E07000073,Harlow,Greater Essex
KT17,E07000208,,
EN2,E09000010,,
SS8,E07000069,Castle Point,Greater Essex
L36,E08000011,Knowsley,Liverpool City Region
BN7,E07000063,Lewes,Sussex & Brighton
SE10,E09000011,,
SL5,E06000040,,
PO7,E07000090,Havant,Hampshire & Solent
HP19,E06000060,,
CA28,E06000063,Cumberland,Cumbria
EX31,E07000043,North Devon,Devon and Torbay
S81,E07000171,Bassetlaw,East Midlands
CO9,E07000067,Braintree,Greater Essex
WS3,E08000030,Walsall,West Midlands
DH6,E06000047,County Durham,North East
N3,E09000003,,
NG2,E06000018,Nottingham,East Midlands
KT3,E09000021,,
NR7,E07000144,Broadland,Norfolk & Suffolk
GU51,E07000089,Hart,Hampshire & Solent
YO7,E06000065,North Yorkshire,York & North Yorkshire
WR9,E07000238,,
TW13,E09000018,,
CT11,E07000114,,
TS24,E06000001,Hartlepool,Tees Valley
RH15,E07000228,Mid Sussex,Sussex & Brighton
IG10,E07000072,Epping Forest,Greater Essex
BD16,E08000032,Bradford,West Yorkshire
SE17,E09000028,,
CV5,E08000026,Coventry,West Midlands
GU7,E07000216,,
OX11,E07000179,,
B60,E07000234,,
TQ9,E07000044,South Hams,Devon and Torbay
DN5,E08000017,Doncaster,South Yorkshire
NN10,E06000061,,
GU16,E07000214,,
NE46,E06000057,Northumberland,North East
B16,E08000025,Birmingham,West Midlands
HP13,E06000060,,
E5,E09000012,,
W1K,E09000033,,
NG16,E07000172,Broxtowe,East Midlands
LS13,E08000035,Leeds,West Yorkshire
OX5,E07000177,,
BH12,E06000058,,
