GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
E14001593,Con,65.3,80.6,79.4,Third Quintile,Fourth Quintile,Highest Quintile
E14001594,Con,40.3,74.9,66.9,Second Quintile,Lowest Quintile,Second Quintile
E14001595,Lab,31.5,77.1,69.5,Second Quintile,Lowest Quintile,Lowest Quintile
E14001596,Con,47.6,79.5,75.1,Third Quintile,Third Quintile,Third Quintile
E14001597,Con,51.5,81.7,78.4,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001579,Con,66.7,92.3,85.7,Highest Quintile,Highest Quintile,Highest Quintile
E14001598,Lab,36.0,76.7,75.9,Second Quintile,Third Quintile,Second Quintile
E14001218,Con,46.4,82.3,82.3,Fourth Quintile,Highest Quintile,Third Quintile
E14001599,Con,57.1,86.2,76.8,Highest Quintile,Third Quintile,Fourth Quintile
E14001543,Con,47.4,81.6,79.2,Fourth Quintile,Fourth Quintile,Third Quintile
W07000111,Con,48.3,81.0,79.5,Fourth Quintile,Fourth Quintile,Third Quintile
E14001600,Con,58.2,80.2,78.4,Third Quintile,Fourth Quintile,Highest Quintile
E14001601,Con,32.7,81.5,81.5,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001602,Lab,55.9,83.2,79.7,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001603,Con,36.6,77.7,74.6,Third Quintile,Second Quintile,Second Quintile
W07000112,Con,39.8,81.6,77.3,Fourth Quintile,Third Quintile,Second Quintile
E14001604,Lab,52.1,82.7,82.1,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001605,Con,56.2,79.7,75.6,Third Quintile,Third Quintile,Fourth Quintile
