GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
E14001157,Con,47.4,79.9,78.9,Third Quintile,Fourth Quintile,Third Quintile
E14001158,Con,62.6,81.3,81.3,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001159,Con,48.5,87.1,87.1,Highest Quintile,Highest Quintile,Fourth Quintile
E14001160,Con,69.2,73.0,70.8,Lowest Quintile,Second Quintile,Highest Quintile
E14001161,Con,55.3,86.4,83.3,Highest Quintile,Highest Quintile,Fourth Quintile
E14001162,Con,58.8,87.7,83.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001361,Con,31.6,75.0,70.8,Second Quintile,Second Quintile,Lowest Quintile
E14001163,Lab,67.5,85.1,82.9,Highest Quintile,Highest Quintile,Highest Quintile
E14001164,Con,56.5,78.6,78.6,Third Quintile,Fourth Quintile,Fourth Quintile
E14001165,Lab,40.1,72.3,71.1,Lowest Quintile,Second Quintile,Second Quintile
E14001166,Con,44.8,68.6,68.6,Lowest Quintile,Lowest Quintile,Third Quintile
E14001167,Con,57.5,74.2,71.8,Second Quintile,Second Quintile,Fourth Quintile
E14001168,Con,51.1,77.3,75.7,Second Quintile,Third Quintile,Fourth Quintile
E14001169,Con,49.8,75.6,65.2,Second Quintile,Lowest Quintile,Fourth Quintile
E14001170,Spkr,39.4,69.6,69.0,Lowest Quintile,Lowest Quintile,Second Quintile
E14001171,Con,33.9,76.9,76.9,Second Quintile,Third Quintile,Lowest Quintile
E14001172,Con,66.8,75.2,70.0,Second Quintile,Lowest Quintile,Highest Quintile
E14001174,Con,15.7,58.4,57.6,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001175,Lab,75.0,80.1,74.7,Third Quintile,Second Quintile,Highest Quintile
W07000094,Con,38.0,77.5,75.4,Second Quintile,Third Quintile,Second Quintile
W07000095,Con,41.2,76.3,75.2,Second Quintile,Third Quintile,Second Quintile
S14000070,SNP,35.2,71.1,69.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001176,Con,49.1,79.7,79.7,Third Quintile,Fourth Quintile,Fourth Quintile
E14001177,Con,46.8,83.1,83.1,Fourth Quintile,Highest Quintile,Third Quintile
E14001178,Con,57.1,93.1,93.1,Highest Quintile,Highest Quintile,Fourth Quintile
E14001179,Con,28.3,90.0,87.6,Highest Quintile,Highest Quintile,Lowest Quintile
E14001385,Con,29.4,70.5,70.5,Lowest Quintile,Second Quintile,Lowest Quintile
E14001486,Con,33.7,72.4,71.0,Lowest Quintile,Second Quintile,Lowest Quintile
E14001386,Con,37.2,75.2,73.8,Second Quintile,Second Quintile,Second Quintile
E14001482,Con,37.3,79.0,76.1,Third Quintile,Third Quintile,Second Quintile
E14001180,Lab,29.9,70.0,65.0,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001181,Lab,52.3,85.4,79.7,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001182,Lab,63.5,76.7,70.6,Second Quintile,Second Quintile,Highest Quintile
S14000071,SNP,61.0,78.9,77.8,Third Quintile,Third Quintile,Highest Quintile
E14001183,Lab,43.4,82.5,80.9,Fourth Quintile,Fourth Quintile,Third Quintile
E14001184,Con,42.7,78.6,78.6,Third Quintile,Fourth Quintile,Third Quintile
E14001185,Con,59.7,84.2,81.3,Fourth Quintile,Fourth Quintile,Highest Quintile
E14001186,Lab,57.4,79.5,70.5,Third Quintile,Second Quintile,Fourth Quintile
E14001187,Con,67.4,89.3,88.3,Highest Quintile,Highest Quintile,Highest Quintile
E14001188,Lab,55.4,79.0,77.2,Third Quintile,Third Quintile,Fourth Quintile
S14000072,SNP,59.4,76.5,73.1,Second Quintile,Second Quintile,Highest Quintile
E14001189,Lab,44.3,79.2,77.1,Third Quintile,Third Quintile,Third Quintile
E14001190,Con,41.1,84.0,81.2,Fourth Quintile,Fourth Quintile,Second Quintile
E14001191,Con,58.3,83.5,83.5,Fourth Quintile,Highest Quintile,Highest Quintile
E14001192,Con,50.8,76.7,73.7,Second Quintile,Second Quintile,Fourth Quintile
E14001193,Con,52.0,82.9,78.8,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001194,Lab,43.2,79.4,77.3,Third Quintile,Third Quintile,Third Quintile
E14001195,Con,71.6,81.9,81.9,Fourth Quintile,Highest Quintile,Highest Quintile
E14001362,Con,59.7,91.7,88.4,Highest Quintile,Highest Quintile,Highest Quintile
E14001391,Con,35.5,70.1,66.5,Lowest Quintile,Lowest Quintile,Second Quintile
E14001483,Con,32.4,80.1,80.1,Third Quintile,Fourth Quintile,Lowest Quintile
E14001155,Con,42.9,79.3,79.3,Third Quintile,Fourth Quintile,Third Quintile
E14001387,Con,42.7,78.0,78.0,Third Quintile,Third Quintile,Third Quintile
E14001484,Con,43.3,77.5,76.1,Second Quintile,Third Quintile,Third Quintile
E14001495,Con,42.7,79.8,79.4,Third Quintile,Fourth Quintile,Third Quintile
E14001196,Lab,35.5,68.6,66.3,Lowest Quintile,Lowest Quintile,Second Quintile
E14001197,Con,74.1,82.9,82.9,Fourth Quintile,Highest Quintile,Highest Quintile
E14001198,Lab,28.5,74.1,71.6,Second Quintile,Second Quintile,Lowest Quintile
E14001199,Con,34.1,76.2,73.8,Second Quintile,Second Quintile,Lowest Quintile
E14001200,Lab,32.5,82.4,80.4,Fourth Quintile,Fourth Quintile,Lowest Quintile
E14001201,Con,37.1,83.4,83.4,Fourth Quintile,Highest Quintile,Second Quintile
E14001363,Con,39.6,88.4,85.1,Highest Quintile,Highest Quintile,Second Quintile
E14001388,Con,40.1,79.7,77.8,Third Quintile,Third Quintile,Second Quintile
E14001485,Con,26.2,75.5,73.1,Second Quintile,Second Quintile,Lowest Quintile
E14001575,Con,44.7,83.2,83.2,Fourth Quintile,Highest Quintile,Third Quintile
E14001202,Con,38.1,82.0,80.1,Fourth Quintile,Fourth Quintile,Second Quintile
E14001203,Con,47.0,78.7,78.7,Third Quintile,Fourth Quintile,Third Quintile
E14001204,Con,36.2,76.9,75.2,Second Quintile,Third Quintile,Second Quintile
E14001205,Lab,71.7,81.2,78.3,Fourth Quintile,Fourth Quintile,Highest Quintile
S14000073,Con,53.2,73.6,67.7,Lowest Quintile,Lowest Quintile,Fourth Quintile
S14000074,Con,52.4,79.0,77.4,Third Quintile,Third Quintile,Fourth Quintile
S14000097,SNP,63.8,74.2,72.2,Second Quintile,Second Quintile,Highest Quintile
S14000106,SNP,44.7,74.4,72.2,Second Quintile,Second Quintile,Third Quintile
S14000075,SNP,57.2,69.2,61.7,Lowest Quintile,Lowest Quintile,Fourth Quintile
S14000076,SNP,55.8,85.7,81.3,Highest Quintile,Fourth Quintile,Fourth Quintile
E14001206,Con,49.3,86.7,85.3,Highest Quintile,Highest Quintile,Fourth Quintile
E14001173,Lab,55.7,82.0,82.0,Fourth Quintile,Highest Quintile,Fourth Quintile
E14001389,Lab,31.2,72.8,70.7,Lowest Quintile,Second Quintile,Lowest Quintile
W07000096,PC,44.2,77.2,74.3,Second Quintile,Second Quintile,Third Quintile
E14001207,Lab,90.7,77.7,70.1,Third Quintile,Second Quintile,Highest Quintile
E14001208,Lab,45.3,86.8,80.0,Highest Quintile,Fourth Quintile,Third Quintile
E14001209,Lab,64.6,100.0,100.0,Highest Quintile,Highest Quintile,Highest Quintile
E14001210,Con,56.8,80.7,78.1,Fourth Quintile,Third Quintile,Fourth Quintile
E14001211,Lab,23.1,72.3,72.3,Lowest Quintile,Second Quintile,Lowest Quintile
E14001212,Con,40.7,74.3,71.7,Second Quintile,Second Quintile,Second Quintile
E14001213,Lab,40.1,69.7,69.7,Lowest Quintile,Lowest Quintile,Second Quintile
S14000077,SNP,50.1,80.2,75.8,Third Quintile,Third Quintile,Fourth Quintile
E14001219,Con,42.1,81.8,74.8,Fourth Quintile,Third Quintile,Second Quintile
E14001220,Con,51.3,85.8,85.8,Highest Quintile,Highest Quintile,Fourth Quintile
S14000078,SNP,60.3,72.1,70.2,Lowest Quintile,Second Quintile,Highest Quintile
S14000079,SNP,67.9,82.8,79.3,Fourth Quintile,Fourth Quintile,Highest Quintile
S14000080,Lab,80.8,91.1,89.4,Highest Quintile,Highest Quintile,Highest Quintile
S14000081,SNP,78.1,93.8,88.2,Highest Quintile,Highest Quintile,Highest Quintile
S14000082,LD,64.7,89.5,84.7,Highest Quintile,Highest Quintile,Highest Quintile
E14001221,Lab,33.0,69.8,64.6,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001222,Lab,47.8,74.6,69.3,Second Quintile,Lowest Quintile,Third Quintile
