Date,Value,Series,Date Label
1997-04-01,2280,Long Term Sick,1997 Q2
1997-07-01,2328,Long Term Sick,1997 Q3
1997-10-01,2346,Long Term Sick,1997 Q4
1998-01-01,2372,Long Term Sick,1998 Q1
1998-04-01,2367,Long Term Sick,1998 Q2
1998-07-01,2369,Long Term Sick,1998 Q3
1998-10-01,2343,Long Term Sick,1998 Q4
1999-01-01,2337,Long Term Sick,1999 Q1
1999-04-01,2349,Long Term Sick,1999 Q2
1999-07-01,2339,Long Term Sick,1999 Q3
1999-10-01,2286,Long Term Sick,1999 Q4
2000-01-01,2306,Long Term Sick,2000 Q1
2000-04-01,2290,Long Term Sick,2000 Q2
2000-07-01,2310,Long Term Sick,2000 Q3
2000-10-01,2341,Long Term Sick,2000 Q4
2001-01-01,2342,Long Term Sick,2001 Q1
2001-04-01,2341,Long Term Sick,2001 Q2
2001-07-01,2370,Long Term Sick,2001 Q3
2001-10-01,2384,Long Term Sick,2001 Q4
2002-01-01,2384,Long Term Sick,2002 Q1
2002-04-01,2362,Long Term Sick,2002 Q2
2002-07-01,2307,Long Term Sick,2002 Q3
2002-10-01,2283,Long Term Sick,2002 Q4
2003-01-01,2307,Long Term Sick,2003 Q1
2003-04-01,2261,Long Term Sick,2003 Q2
2003-07-01,2266,Long Term Sick,2003 Q3
2003-10-01,2301,Long Term Sick,2003 Q4
2004-01-01,2279,Long Term Sick,2004 Q1
2004-04-01,2315,Long Term Sick,2004 Q2
2004-07-01,2339,Long Term Sick,2004 Q3
2004-10-01,2307,Long Term Sick,2004 Q4
2005-01-01,2285,Long Term Sick,2005 Q1
2005-04-01,2296,Long Term Sick,2005 Q2
2005-07-01,2248,Long Term Sick,2005 Q3
2005-10-01,2255,Long Term Sick,2005 Q4
2006-01-01,2223,Long Term Sick,2006 Q1
2006-04-01,2242,Long Term Sick,2006 Q2
2006-07-01,2194,Long Term Sick,2006 Q3
2006-10-01,2228,Long Term Sick,2006 Q4
2007-01-01,2242,Long Term Sick,2007 Q1
2007-04-01,2209,Long Term Sick,2007 Q2
2007-07-01,2200,Long Term Sick,2007 Q3
2007-10-01,2220,Long Term Sick,2007 Q4
2008-01-01,2224,Long Term Sick,2008 Q1
2008-04-01,2174,Long Term Sick,2008 Q2
2008-07-01,2227,Long Term Sick,2008 Q3
2008-10-01,2149,Long Term Sick,2008 Q4
2009-01-01,2160,Long Term Sick,2009 Q1
2009-04-01,2144,Long Term Sick,2009 Q2
2009-07-01,2191,Long Term Sick,2009 Q3
2009-10-01,2178,Long Term Sick,2009 Q4
2010-01-01,2205,Long Term Sick,2010 Q1
2010-04-01,2246,Long Term Sick,2010 Q2
2010-07-01,2224,Long Term Sick,2010 Q3
2010-10-01,2230,Long Term Sick,2010 Q4
2011-01-01,2190,Long Term Sick,2011 Q1
2011-04-01,2189,Long Term Sick,2011 Q2
2011-07-01,2189,Long Term Sick,2011 Q3
2011-10-01,2139,Long Term Sick,2011 Q4
2012-01-01,2156,Long Term Sick,2012 Q1
2012-04-01,2140,Long Term Sick,2012 Q2
2012-07-01,2064,Long Term Sick,2012 Q3
2012-10-01,2052,Long Term Sick,2012 Q4
2013-01-01,2070,Long Term Sick,2013 Q1
2013-04-01,2064,Long Term Sick,2013 Q2
2013-07-01,1984,Long Term Sick,2013 Q3
2013-10-01,2043,Long Term Sick,2013 Q4
2014-01-01,1996,Long Term Sick,2014 Q1
2014-04-01,1991,Long Term Sick,2014 Q2
2014-07-01,2022,Long Term Sick,2014 Q3
2014-10-01,2036,Long Term Sick,2014 Q4
2015-01-01,2026,Long Term Sick,2015 Q1
2015-04-01,2085,Long Term Sick,2015 Q2
2015-07-01,2111,Long Term Sick,2015 Q3
2015-10-01,2074,Long Term Sick,2015 Q4
2016-01-01,2100,Long Term Sick,2016 Q1
2016-04-01,2042,Long Term Sick,2016 Q2
2016-07-01,2007,Long Term Sick,2016 Q3
2016-10-01,1959,Long Term Sick,2016 Q4
2017-01-01,1991,Long Term Sick,2017 Q1
2017-04-01,1982,Long Term Sick,2017 Q2
2017-07-01,2055,Long Term Sick,2017 Q3
2017-10-01,1997,Long Term Sick,2017 Q4
2018-01-01,1977,Long Term Sick,2018 Q1
2018-04-01,2043,Long Term Sick,2018 Q2
2018-07-01,2000,Long Term Sick,2018 Q3
2018-10-01,2007,Long Term Sick,2018 Q4
2019-01-01,2002,Long Term Sick,2019 Q1
2019-04-01,2031,Long Term Sick,2019 Q2
2019-07-01,2054,Long Term Sick,2019 Q3
2019-10-01,2075,Long Term Sick,2019 Q4
2020-01-01,2127,Long Term Sick,2020 Q1
2020-04-01,2123,Long Term Sick,2020 Q2
2020-07-01,2220,Long Term Sick,2020 Q3
2020-10-01,2233,Long Term Sick,2020 Q4
2021-01-01,2208,Long Term Sick,2021 Q1
2021-04-01,2182,Long Term Sick,2021 Q2
2021-07-01,2287,Long Term Sick,2021 Q3
2021-10-01,2327,Long Term Sick,2021 Q4
2022-01-01,2315,Long Term Sick,2022 Q1
2022-04-01,2386,Long Term Sick,2022 Q2
2022-07-01,2519,Long Term Sick,2022 Q3
