Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1897   54.4   77.8   99.8   58.8   35.9   71.4   29.9  101.8   83.9   36.7   57.3   99.7   248.8   194.5   203.0   177.8   807.3
1898   33.8   47.0   36.6   55.0   80.6   50.9   23.9   76.4   23.5  104.1   78.6   83.4   180.5   172.1   151.2   206.1   693.7
1899  102.7   62.7   32.6   73.6   65.2   38.7   47.1   32.6   87.3   72.9   74.1   66.1   248.8   171.5   118.4   234.4   755.7
1900  102.3  118.3   27.2   39.0   44.0   76.8   44.8  104.4   28.2   91.3   81.8  113.8   286.7   110.3   225.9   201.3   871.9
1901   45.3   38.4   63.4   60.9   32.3   46.5   61.1   57.2   43.9   63.0   59.7  122.0   197.5   156.6   164.8   166.6   693.6
1902   38.6   36.9   47.0   43.5   68.1   65.9   53.1   83.7   39.3   69.4   65.0   64.7   197.5   158.6   202.7   173.8   675.2
1903   81.2   53.0   98.1   51.4   80.0   72.8   94.8  109.3   89.6  191.7   59.6   61.3   198.9   229.4   276.9   341.0  1042.9
1904   86.0   96.5   48.5   41.7   66.3   29.6   68.0   76.2   47.3   37.5   52.7   66.3   243.8   156.5   173.8   137.6   716.7
1905   30.8   30.8   88.3   63.0   22.7   75.3   31.7   96.6   54.0   56.6   98.6   27.1   127.9   173.9   203.6   209.2   675.4
1906  117.9   66.7   49.2   26.6   72.1   57.2   30.9   56.7   29.7  133.8   98.5   67.4   211.8   147.9   144.8   262.0   806.8
1907   32.8   42.5   40.1   73.6   83.3   84.0   57.6   65.1   18.5  141.1   71.3  100.6   142.6   197.0   206.7   230.9   810.4
1908   46.2   48.4   82.5   69.2   55.0   35.1   75.8   84.5   65.8   47.2   43.2   64.4   195.2   206.7   195.4   156.1   717.3
1909   38.5   26.8   95.0   57.6   39.5   83.5   89.6   72.0   67.0  127.1   28.2  123.1   129.7   192.1   245.1   222.3   847.9
1910   80.2   95.6   25.9   61.5   63.0   63.7   78.4  100.6   15.5   83.9  108.2  123.0   298.9   150.4   242.7   207.5   899.4
1911   37.3   55.7   55.1   42.9   36.7   72.8   13.4   49.8   54.6   82.6  102.5  156.6   216.0   134.7   136.1   239.7   760.0
1912   97.1   56.0  106.2    8.0   54.7  115.3   89.6  169.6   48.7   89.1   67.5  100.2   309.7   168.8   374.6   205.3  1001.9
1913  107.9   32.1   95.7   87.9   61.3   34.2   31.3   37.9   57.7   94.3   82.0   47.4   240.2   244.9   103.4   234.0   769.8
1914   42.4   75.4  104.0   30.5   42.3   54.0   85.5   55.9   42.5   60.7  101.8  173.3   165.2   176.7   195.4   205.0   868.2
1915   95.3  113.1   32.9   33.0   59.7   29.8  118.8   71.0   38.8   64.2   66.3  161.9   381.8   125.5   219.6   169.2   884.7
1916   49.9  117.9   97.4   41.4   63.7   60.3   50.0   86.8   47.3  121.6  104.6   85.5   329.7   202.5   197.1   273.6   926.6
1917   56.0   26.8   59.8   50.0   55.4   62.2   60.8  156.0   49.9  115.7   51.9   39.3   168.3   165.3   279.0   217.5   784.0
1918   80.4   55.8   32.3   55.6   52.3   27.6  105.2   56.9  165.9   62.0   59.9  103.3   175.5   140.3   189.7   287.8   857.3
1919  108.3   66.7  106.6   58.6   24.6   31.1   60.7   74.7   47.9   61.2   67.9  127.1   278.4   189.8   166.5   177.0   835.5
1920   96.7   40.3   72.6  107.7   67.0   55.1  122.8   43.5   58.1   58.2   39.5   82.2   264.0   247.3   221.4   155.8   843.7
1921   94.5    8.9   50.6   30.8   45.0   10.3   24.6   85.3   35.2   45.8   58.5   69.8   185.6   126.3   120.3   139.5   559.3
1922   97.2   80.3   61.4   75.0   30.4   37.2  113.5   93.4   73.3   31.8   43.3  105.5   247.3   166.8   244.1   148.4   842.3
1923   53.4  131.9   47.2   62.1   61.4   18.6   69.4   86.3   74.3  121.2   80.2   87.1   290.9   170.7   174.4   275.7   893.2
1924   80.5   23.7   32.0   67.2  115.5   59.9  100.9   85.8   98.1  117.4   68.2  107.0   191.3   214.8   246.6   283.7   956.3
1925   70.0  104.7   29.0   66.8   92.9    4.4   67.1   78.0   88.7   93.3   64.8   87.2   281.7   188.7   149.6   246.8   847.0
1926   98.8   69.9   21.9   63.6   63.0   74.4   64.6   61.2   49.5   78.9  144.9   21.6   255.9   148.5   200.3   273.3   812.4
1927   78.4   70.5   77.4   55.5   32.7   91.9   89.4  119.5  134.9   66.7   91.0   74.3   170.5   165.6   300.8   292.6   982.2
1928  139.9   66.7   70.6   37.1   37.6   88.4   51.8   84.9   29.4  127.9  102.0   74.8   280.9   145.3   225.2   259.3   911.1
1929   43.6   24.8    7.7   29.9   51.2   41.1   60.5   67.2   23.0  109.8  172.8  163.4   143.2    88.7   168.7   305.6   794.9
1930  112.5   24.6   57.9   66.3   55.1   33.9  103.7  100.4  101.6   80.3  114.1   83.1   300.5   179.3   238.0   296.0   933.5
1931   68.5   71.0   19.1   85.4   79.2   88.9  104.9  110.4   67.9   30.8  115.3   39.7   222.5   183.7   304.1   214.0   880.9
1932   75.2    9.1   53.9   75.9  119.2   31.2   92.2   46.4   85.8  139.6   53.0   43.2   123.9   248.9   169.7   278.4   824.4
1933   59.2   87.2   69.4   34.3   52.1   53.6   55.8   29.4   54.2   89.9   44.6   21.0   189.6   155.7   138.8   188.8   650.7
1934   70.2   11.1   66.0   68.6   37.8   40.8   42.6   72.7   61.8   73.2   55.1  158.8   102.2   172.4   156.0   190.2   758.6
1935   40.5   89.6   23.0   90.4   30.0   87.3   22.5   56.7  122.3  118.7  134.9   86.6   288.9   143.5   166.4   375.8   902.5
1936  111.1   68.8   54.4   45.7   26.5   87.7  126.3   32.0   85.0   58.3   93.1   79.8   266.6   126.6   246.0   236.4   868.8
1937  115.9  120.1   85.6   73.5   73.3   40.7   60.3   37.4   58.0   73.4   47.0   89.8   315.8   232.4   138.4   178.4   875.0
1938   95.8   29.3   16.1    6.9   65.9   50.9   78.7   78.9   56.4  116.5  106.8  101.6   214.8    88.8   208.5   279.7   803.7
1939  140.7   48.7   53.8   59.5   31.7   59.8  114.4   68.8   32.0  113.5  136.5   53.1   291.0   145.1   243.0   282.0   912.5
1940   62.1   64.8   71.6   54.0   37.4   19.7  104.7   16.5   47.6   95.7  167.3   67.5   180.0   163.1   140.9   310.6   809.0
1941   78.6   89.6   82.8   38.6   56.1   32.1   68.6  110.9   17.8   74.0   76.1   44.5   235.7   177.6   211.6   167.9   769.9
1942   90.2   28.2   57.5   37.4   90.4   18.8   68.6   79.9   60.7   89.0   42.2   89.4   162.8   185.3   167.3   191.9   752.2
1943  134.1   40.6   23.2   34.4   74.2   54.7   50.3   78.1   77.2   75.3   60.6   47.0   264.1   131.8   183.1   213.1   749.8
1944   72.7   38.2   10.9   52.3   35.0   60.8   68.0   71.4   97.6  103.4  138.9   64.4   157.9    98.1   200.2   340.0   813.6
1945   72.2   68.2   30.4   38.5   75.2   73.7   60.5   65.2   58.2   98.3   17.0   86.0   204.8   144.1   199.4   173.5   743.3
1946   74.3   75.3   35.4   44.3   67.8   77.6   72.9  127.0  114.9   35.0  144.6   85.6   235.6   147.6   277.5   294.5   954.7
1947   70.4   48.2  147.2   72.0   50.4   62.4   64.2   11.6   45.3   17.7   68.1   70.4   204.2   269.6   138.2   131.1   727.9
1948  153.7   42.8   33.4   48.5   64.3   85.7   41.0  107.5   66.8   68.3   49.3   97.0   266.9   146.2   234.2   184.4   858.2
1949   38.5   38.0   36.8   59.5   58.7   18.5   52.4   48.4   45.3  140.0  100.3   74.8   173.5   155.0   119.3   285.6   711.3
1950   35.3  124.9   36.1   66.0   50.7   44.9   93.5  108.5  113.7   37.8  135.9   60.6   235.0   152.7   246.9   287.4   907.8
1951   83.0  103.2  101.5   66.7   76.4   31.5   47.2  119.6   73.2   29.6  166.1   88.6   246.7   244.6   198.3   268.9   986.6
1952   73.0   22.3   68.9   53.1   59.3   49.6   31.3   94.7   83.5   96.6   85.9   77.4   183.9   181.3   175.6   265.9   795.6
1953   29.1   45.1   21.7   67.0   55.3   61.7   88.8   77.0   73.3   65.7   61.3   31.9   151.6   143.9   227.5   200.4   677.9
1954   54.2   72.2   68.7   13.3   73.1   81.8   81.7  115.7   83.8  107.4  150.0   83.2   158.4   155.1   279.2   341.2   985.2
1955   75.3   56.9   48.3   27.6   94.2   74.5   26.0   25.6   47.0   67.7   55.3   95.7   215.4   170.1   126.1   170.0   694.1
1956  107.3   24.9   28.2   37.3   22.0   66.7   93.8  143.4   81.8   52.5   29.1   95.7   227.8    87.6   303.9   163.4   782.7
1957   65.0   86.3   60.0    9.5   42.4   47.6   97.4   96.7  109.5   66.6   57.5   72.8   247.0   111.9   241.7   233.6   811.3
1958   81.6  102.8   44.1   27.9   76.1  104.8   87.9   90.4  102.8   75.2   48.2   94.9   257.2   148.0   283.0   226.1   936.5
1959   89.4    9.3   61.8   72.3   24.3   41.4   59.4   33.7    7.7   76.7  106.9  149.4   193.7   158.4   134.5   191.3   732.3
1960  112.9   71.8   45.9   40.4   40.6   47.2  106.7   99.4  101.5  165.2  129.1  101.7   334.1   126.9   253.3   395.9  1062.5
1961  105.5   64.6   13.9   88.7   34.9   36.5   64.8   75.1   70.5  103.7   54.7   91.2   271.8   137.4   176.3   228.8   803.9
1962   99.7   33.3   39.7   63.0   60.5   15.6   56.5  104.2   92.7   34.5   65.0   66.2   224.2   163.3   176.3   192.2   730.9
1963   28.4   30.2   92.6   72.7   47.6   77.0   51.9   97.5   66.0   56.2  144.1   27.4   124.8   212.9   226.4   266.4   791.6
1964   25.5   29.2   88.5   62.3   54.8   74.1   46.4   48.1   32.1   54.3   52.1   86.2    82.1   205.7   168.6   138.4   653.6
1965   89.3   16.1   66.6   57.6   56.9   64.9   95.5   69.3  128.6   29.2  101.0  143.8   191.7   181.1   229.7   258.8   918.8
1966   51.5  114.8   32.7   96.2   65.4   78.6   72.6  100.9   47.8  115.5   74.5   98.8   310.1   194.3   252.1   237.8   949.4
1967   56.0   82.2   52.0   43.9  128.4   39.2   56.4   72.5   88.9  154.1   68.5   66.8   237.0   224.3   168.1   311.5   908.9
1968   70.1   43.8   53.4   61.7   69.6   79.9   97.0   64.7  139.6   85.6   64.2   73.9   180.7   184.6   241.5   289.4   903.3
1969   85.7   63.2   70.0   53.3  104.6   53.0   66.4   67.7   39.3   16.2  123.3   79.2   222.8   227.9   187.0   178.8   821.8
1970  100.2   75.5   56.2   79.0   23.1   39.7   67.6   74.7   62.0   51.3  155.8   48.0   254.8   158.3   182.0   269.1   833.0
1971   97.6   31.7   61.9   49.3   45.8   93.2   41.4  103.0   22.5   66.7   83.8   35.2   177.3   157.1   237.7   173.0   732.2
1972   94.8   68.6   71.5   61.9   68.0   70.1   52.2   32.9   38.9   30.5   93.3   96.6   198.6   201.4   155.2   162.7   779.4
1973   41.8   36.7   21.2   62.9   73.9   60.3   84.9   57.8   71.1   49.8   44.9   61.3   175.1   158.0   203.0   165.9   666.7
1974  109.9   95.3   42.6   13.2   36.3   61.2   68.7   88.8  131.2   86.3  116.8   69.4   266.5    92.2   218.8   334.4   919.9
1975  109.4   27.6   75.1   63.2   43.8   19.7   60.8   49.0   98.5   31.2   66.1   44.1   206.4   182.0   129.5   195.7   688.4
1976   55.0   37.6   42.1   19.1   58.6   17.4   29.4   26.6  142.1  141.7   77.1   85.1   136.7   119.9    73.4   360.9   731.8
1977   91.4  122.9   68.2   47.1   48.4   80.2   23.4   93.5   36.1   58.7   91.0   85.9   299.3   163.7   197.1   185.9   846.9
1978  103.5   74.4   75.8   45.8   41.9   59.0   79.6   62.3   52.2   16.6   50.7  155.7   263.8   163.6   200.8   119.5   817.5
1979   75.0   58.1  117.0   62.3  109.5   37.2   32.8   85.7   36.7   68.5   79.0  144.0   288.8   288.8   155.7   184.2   905.8
1980   70.6   81.9   92.3   16.8   27.5  116.8   64.1   84.6   60.9  120.7   79.7   69.6   296.4   136.6   265.5   261.3   885.5
1981   54.4   48.8  138.5   58.2   84.4   44.4   52.8   42.3  128.8  109.8   63.4   86.1   172.8   281.1   139.5   302.0   911.9
1982   66.9   41.6   91.9   20.6   42.4  117.0   33.6   78.9   68.7  111.2  112.8   92.6   194.7   155.0   229.5   292.7   878.2
1983   88.2   36.9   60.0  101.9  107.2   32.6   35.8   26.6   88.4   74.0   46.9  102.2   217.6   269.1    95.0   209.2   800.6
1984  131.8   51.5   60.8   10.3   60.0   42.8   25.4   54.9  107.1   86.6  133.3   69.6   285.5   131.1   123.1   327.0   834.1
1985   68.8   25.0   61.0   63.1   64.2   87.4   68.2  103.9   42.3   40.3   70.5  114.5   163.4   188.3   259.6   153.1   809.3
1986  110.0   18.0   71.3   80.2   81.1   40.1   49.7  112.2   25.4   87.7  105.8  123.9   242.6   232.6   202.0   218.9   905.4
1987   28.4   51.6   81.8   60.7   45.4  102.4   73.1   67.6   58.5  153.1   72.1   52.1   203.8   187.9   243.1   283.6   846.7
1988  140.5   58.5   91.7   38.3   53.2   37.6  123.2   75.4   54.8   83.8   44.7   40.6   251.1   183.2   236.2   183.2   842.2
1989   39.3   77.7   78.9   80.8   19.3   53.3   36.4   52.8   37.5   84.3   52.8  123.5   157.6   178.9   142.5   174.7   736.7
1990  114.5  130.2   20.4   36.8   22.8   67.0   31.6   43.2   47.2   93.0   58.6   89.7   368.2    80.0   141.8   198.8   755.0
1991   82.9   59.2   66.7   60.8   13.8   90.7   64.2   26.4   58.5   64.4   86.1   45.5   231.9   141.3   181.3   209.0   719.2
1992   44.2   41.0   76.6   69.6   44.6   35.6   81.5  115.1   87.8   80.2  124.8   72.8   130.7   190.8   232.2   292.8   873.8
1993   98.2   13.9   23.9   90.0   79.9   59.3   77.0   50.5  110.6   89.8   66.1  144.8   184.9   193.8   186.8   266.5   903.9
1994  110.6   72.7   78.6   65.8   59.7   32.2   42.7   67.5   99.0   88.3   76.8  120.0   328.0   204.1   142.3   264.1   913.8
1995  144.9  100.7   62.4   24.9   43.7   21.8   34.3    9.7  108.9   47.4   73.7   79.4   365.6   131.0    65.8   230.1   751.9
1996   56.8   74.2   37.9   44.1   48.2   26.7   40.2   75.8   29.7   73.6  117.9   51.8   210.5   130.2   142.6   221.3   676.9
1997   14.2  102.3   27.7   22.2   67.8  122.9   47.0   86.6   29.3   62.4  102.5   98.4   168.3   117.8   256.5   194.2   783.4
1998  104.0   19.6   83.9  117.7   33.1  116.1   55.1   46.3   86.5  145.5   76.5   82.4   222.0   234.7   217.5   308.5   966.7
1999  118.5   44.1   67.4   68.8   54.8   83.4   23.8   99.8  107.6   74.5   55.8  137.2   245.0   191.0   207.0   237.9   935.7
2000   46.5   85.2   34.0  131.9   83.1   42.4   60.2   61.4  116.8  166.8  160.1  120.7   268.9   249.0   164.0   443.7  1109.1
2001   69.8   90.7   87.5   91.4   39.8   41.1   68.1   78.9   78.8  119.5   57.7   39.4   281.3   218.8   188.0   255.9   862.7
2002   81.5  120.8   46.7   46.5   85.0   54.5   84.7   65.8   34.5  122.9  142.0  121.9   241.7   178.2   204.9   299.3  1006.7
2003   81.4   34.9   32.7   40.3   66.1   66.6   67.8   16.3   32.8   51.6   93.5   90.5   238.1   139.0   150.6   177.8   674.2
2004  112.8   48.9   48.2   78.2   42.7   56.1   66.7  147.2   53.1  130.9   46.4   58.8   252.2   169.0   270.0   230.4   889.8
2005   58.5   45.9   48.2   68.0   45.1   53.7   63.0   57.9   62.8  106.0   75.0   61.6   163.2   161.3   174.5   243.7   745.6
2006   29.9   52.5   80.9   42.6  100.8   24.0   41.2   87.8   73.5  106.0   95.9  109.5   144.0   224.3   152.9   275.4   844.5
2007   95.7   93.8   56.1   10.6  107.2  145.8  124.6   53.9   44.1   45.1   70.1   86.2   299.1   173.9   324.3   159.2   933.1
2008  129.1   37.8   91.7   64.3   62.1   59.1  100.5  106.0   95.9   94.6   81.6   58.3   253.1   218.1   265.6   272.2   981.2
2009   82.3   52.6   41.0   39.7   54.3   54.9  128.5   59.5   30.0   67.7  170.8   93.1   193.3   135.0   242.9   268.5   874.6
2010   67.2   73.6   58.8   24.5   29.5   36.4   61.0   97.3   78.5   73.1   91.5   35.1   234.0   112.9   194.7   243.1   726.6
2011   78.6   77.9   19.3   11.6   48.3   69.9   59.4   78.2   54.3   62.8   48.7  103.8   191.6    79.1   207.5   165.8   712.8
2012   63.9   29.9   26.4  136.5   54.0  148.1  113.6   89.5   88.5  107.1  119.4  148.9   197.7   216.9   351.2   315.0  1125.9
2013   79.1   42.0   65.6   31.4   71.3   35.6   55.1   58.8   52.9  136.6   66.6  117.8   269.9   168.4   149.5   256.2   813.0
2014  159.9  123.2   49.1   53.1   95.7   46.3   51.6  107.4   15.0  102.7  104.4   74.5   401.0   197.8   205.3   222.1   982.9
