quarter,growth,recession,date
2001 Q1,0.9,False,2001-01-01
2001 Q2,0.5,False,2001-04-01
2001 Q3,0.5,False,2001-07-01
2001 Q4,0.2,False,2001-10-01
2002 Q1,0.5,False,2002-01-01
2002 Q2,0.6,False,2002-04-01
2002 Q3,0.7,False,2002-07-01
2002 Q4,0.9,False,2002-10-01
2003 Q1,0.6,False,2003-01-01
2003 Q2,0.8,False,2003-04-01
2003 Q3,1.0,False,2003-07-01
2003 Q4,0.8,False,2003-10-01
2004 Q1,0.4,False,2004-01-01
2004 Q2,0.5,False,2004-04-01
2004 Q3,0.2,False,2004-07-01
2004 Q4,0.3,False,2004-10-01
2005 Q1,0.6,False,2005-01-01
2005 Q2,1.0,False,2005-04-01
2005 Q3,0.9,False,2005-07-01
2005 Q4,1.1,False,2005-10-01
2006 Q1,0.5,False,2006-01-01
2006 Q2,0.3,False,2006-04-01
2006 Q3,0.2,False,2006-07-01
2006 Q4,0.6,False,2006-10-01
2007 Q1,0.8,False,2007-01-01
2007 Q2,0.5,False,2007-04-01
2007 Q3,0.7,False,2007-07-01
2007 Q4,0.4,False,2007-10-01
2008 Q1,0.6,False,2008-01-01
2008 Q2,-0.5,True,2008-04-01
2008 Q3,-1.5,True,2008-07-01
2008 Q4,-2.0,True,2008-10-01
2009 Q1,-1.8,True,2009-01-01
2009 Q2,-0.3,True,2009-04-01
2009 Q3,0.1,False,2009-07-01
2009 Q4,0.3,False,2009-10-01
2010 Q1,0.7,False,2010-01-01
2010 Q2,1.1,False,2010-04-01
2010 Q3,0.7,False,2010-07-01
2010 Q4,0.1,False,2010-10-01
2011 Q1,0.5,False,2011-01-01
2011 Q2,0.1,False,2011-04-01
2011 Q3,0.3,False,2011-07-01
2011 Q4,0.1,False,2011-10-01
2012 Q1,0.7,False,2012-01-01
2012 Q2,-0.1,False,2012-04-01
2012 Q3,1.2,False,2012-07-01
2012 Q4,-0.2,False,2012-10-01
2013 Q1,0.5,False,2013-01-01
2013 Q2,0.7,False,2013-04-01
2013 Q3,0.8,False,2013-07-01
2013 Q4,0.5,False,2013-10-01
2014 Q1,0.9,False,2014-01-01
2014 Q2,0.8,False,2014-04-01
2014 Q3,0.7,False,2014-07-01
2014 Q4,0.6,False,2014-10-01
2015 Q1,0.6,False,2015-01-01
2015 Q2,0.7,False,2015-04-01
2015 Q3,0.5,False,2015-07-01
2015 Q4,0.7,False,2015-10-01
2016 Q1,0.4,False,2016-01-01
2016 Q2,0.6,False,2016-04-01
2016 Q3,0.4,False,2016-07-01
2016 Q4,0.7,False,2016-10-01
2017 Q1,0.6,False,2017-01-01
2017 Q2,0.3,False,2017-04-01
2017 Q3,0.4,False,2017-07-01
2017 Q4,0.4,False,2017-10-01
2018 Q1,0.2,False,2018-01-01
2018 Q2,0.5,False,2018-04-01
2018 Q3,0.6,False,2018-07-01
2018 Q4,0.3,False,2018-10-01
2019 Q1,0.6,False,2019-01-01
2019 Q2,0.1,False,2019-04-01
2019 Q3,0.5,False,2019-07-01
2019 Q4,0.0,False,2019-10-01
2020 Q1,-2.5,True,2020-01-01
2020 Q2,-19.4,True,2020-04-01
2020 Q3,17.6,False,2020-07-01
2020 Q4,1.5,False,2020-10-01
2021 Q1,-1.2,False,2021-01-01
2021 Q2,5.6,False,2021-04-01
2021 Q3,0.9,False,2021-07-01
2021 Q4,1.3,False,2021-10-01
2022 Q1,0.8,False,2022-01-01
