Date,Value,Status
06/30/2020,82053,Decided
09/30/2020,90152,Decided
12/31/2020,98211,Decided
03/31/2021,98917,Decided
06/30/2021,111708,Decided
09/30/2021,112268,Decided
12/31/2021,103589,Decided
03/31/2022,95900,Decided
06/30/2022,99755,Decided
09/30/2022,98213,Decided
12/31/2022,91734,Decided
03/31/2023,87325,Decided
06/30/2023,87410,Decided
09/30/2023,85596,Decided
12/31/2023,80721,Decided
03/31/2005,110233,Granted
06/30/2005,130189,Granted
09/30/2005,124973,Granted
12/31/2005,111942,Granted
03/31/2006,104649,Granted
06/30/2006,122596,Granted
09/30/2006,122226,Granted
12/31/2006,110780,Granted
03/31/2007,106658,Granted
06/30/2007,123777,Granted
09/30/2007,125508,Granted
12/31/2007,115919,Granted
03/31/2008,101883,Granted
06/30/2008,113986,Granted
09/30/2008,108464,Granted
12/31/2008,91283,Granted
03/31/2009,72932,Granted
06/30/2009,83563,Granted
09/30/2009,90077,Granted
12/31/2009,84504,Granted
03/31/2010,76876,Granted
06/30/2010,91115,Granted
09/30/2010,97202,Granted
12/31/2010,88994,Granted
03/31/2011,78440,Granted
06/30/2011,89349,Granted
09/30/2011,94714,Granted
12/31/2011,88723,Granted
03/31/2012,81620,Granted
06/30/2012,90365,Granted
09/30/2012,90056,Granted
12/31/2012,84764,Granted
03/31/2013,77188,Granted
06/30/2013,91544,Granted
09/30/2013,94072,Granted
12/31/2013,85690,Granted
03/31/2014,77884,Granted
06/30/2014,92456,Granted
09/30/2014,95727,Granted
12/31/2014,88815,Granted
03/31/2015,83264,Granted
06/30/2015,95250,Granted
09/30/2015,98758,Granted
12/31/2015,92475,Granted
03/31/2016,86494,Granted
06/30/2016,100751,Granted
09/30/2016,102142,Granted
12/31/2016,93698,Granted
03/31/2017,89587,Granted
06/30/2017,98652,Granted
09/30/2017,98722,Granted
12/31/2017,93132,Granted
03/31/2018,87780,Granted
06/30/2018,94360,Granted
09/30/2018,93293,Granted
12/31/2018,88551,Granted
03/31/2019,81510,Granted
06/30/2019,91706,Granted
09/30/2019,90636,Granted
12/31/2019,83461,Granted
03/31/2020,77209,Granted
06/30/2020,71647,Granted
09/30/2020,79153,Granted
12/31/2020,85918,Granted
03/31/2021,87167,Granted
06/30/2021,99066,Granted
09/30/2021,99690,Granted
12/31/2021,90545,Granted
03/31/2022,83830,Granted
06/30/2022,87458,Granted
09/30/2022,85642,Granted
12/31/2022,79480,Granted
03/31/2023,75173,Granted
06/30/2023,75364,Granted
09/30/2023,73559,Granted
12/31/2023,68870,Granted
