date,country,yield
2013-12-31,GBR,3.032
2014-01-31,GBR,2.711
2014-02-28,GBR,2.723
2014-03-31,GBR,2.739
2014-04-30,GBR,2.669
2014-05-31,GBR,2.568
2014-06-30,GBR,2.671
2014-07-31,GBR,2.617
2014-08-31,GBR,2.374
2014-09-30,GBR,2.431
2014-10-31,GBR,2.245
2014-11-30,GBR,1.926
2014-12-31,GBR,1.756
2015-01-31,GBR,1.362
2015-02-28,GBR,1.781
2015-03-31,GBR,1.582
2015-04-30,GBR,1.835
2015-05-31,GBR,1.804
2015-06-30,GBR,2.03
2015-07-31,GBR,1.883
2015-08-31,GBR,1.951
2015-09-30,GBR,1.766
2015-10-31,GBR,1.925
2015-11-30,GBR,1.83
2015-12-31,GBR,1.961
2016-01-31,GBR,1.572
2016-02-29,GBR,1.337
2016-03-31,GBR,1.416
2016-04-30,GBR,1.604
2016-05-31,GBR,1.44
2016-06-30,GBR,0.899
2016-07-31,GBR,0.689
2016-08-31,GBR,0.643
2016-09-30,GBR,0.759
2016-10-31,GBR,1.243
2016-11-30,GBR,1.424
2016-12-31,GBR,1.24
2017-01-31,GBR,1.418
2017-02-28,GBR,1.145
2017-03-31,GBR,1.142
2017-04-30,GBR,1.087
2017-05-31,GBR,1.041
2017-06-30,GBR,1.257
2017-07-31,GBR,1.228
2017-08-31,GBR,1.036
2017-09-30,GBR,1.362
2017-10-31,GBR,1.335
2017-11-30,GBR,1.327
2017-12-31,GBR,1.188
2018-01-31,GBR,1.498
2018-02-28,GBR,1.505
2018-03-31,GBR,1.351
2018-04-30,GBR,1.421
2018-05-31,GBR,1.226
2018-06-30,GBR,1.281
2018-07-31,GBR,1.33
2018-08-31,GBR,1.432
2018-09-30,GBR,1.573
2018-10-31,GBR,1.441
2018-11-30,GBR,1.359
2018-12-31,GBR,1.269
2019-01-31,GBR,1.228
2019-02-28,GBR,1.31
2019-03-31,GBR,1.003
2019-04-30,GBR,1.185
2019-05-31,GBR,0.892
2019-06-30,GBR,0.832
2019-07-31,GBR,0.609
2019-08-31,GBR,0.479
2019-09-30,GBR,0.486
2019-10-31,GBR,0.631
2019-11-30,GBR,0.7
2019-12-31,GBR,0.825
2020-01-31,GBR,0.526
2020-02-29,GBR,0.44
2020-03-31,GBR,0.355
2020-04-30,GBR,0.227
2020-05-31,GBR,0.185
2020-06-30,GBR,0.172
2020-07-31,GBR,0.105
2020-08-31,GBR,0.313
2020-09-30,GBR,0.232
2020-10-31,GBR,0.263
2020-11-30,GBR,0.306
2020-12-31,GBR,0.196
2021-01-31,GBR,0.329
2021-02-28,GBR,0.823
2021-03-31,GBR,0.846
2021-04-30,GBR,0.843
2021-05-31,GBR,0.796
2021-06-30,GBR,0.718
2021-07-31,GBR,0.566
2021-08-31,GBR,0.622
2021-09-30,GBR,1.022
2021-10-31,GBR,1.032
2021-11-30,GBR,0.811
2021-12-31,GBR,0.972
2022-01-31,GBR,1.309
2022-02-28,GBR,1.415
2022-03-31,GBR,1.607
2022-04-30,GBR,1.909
2022-05-31,GBR,2.1
2022-06-30,GBR,2.24
2022-07-31,GBR,1.853
2022-08-31,GBR,2.799
2022-09-30,GBR,4.096
2022-10-31,GBR,3.523
2022-11-30,GBR,3.163
2022-12-31,GBR,3.669
2023-01-31,GBR,3.334
2023-02-28,GBR,3.824
2023-03-31,GBR,3.49
2023-04-30,GBR,3.716
2023-05-31,GBR,4.179
2023-06-30,GBR,4.387
2023-07-31,GBR,4.308
2023-08-31,GBR,4.36
2023-09-30,GBR,4.447
2023-10-31,GBR,4.518
2023-11-30,GBR,4.176
2023-12-31,GBR,3.539
2024-01-31,GBR,3.798
2024-02-29,GBR,4.126
2024-03-31,GBR,3.938
2024-04-30,GBR,4.351
2024-05-31,GBR,4.324
2024-06-30,GBR,4.176
2024-07-31,GBR,3.971
2024-08-31,GBR,4.017
2024-09-30,GBR,4.01
2024-10-31,GBR,4.449
2024-11-30,GBR,4.247
2024-12-31,GBR,4.573
2025-01-31,GBR,4.537
2025-02-28,GBR,4.486
2025-03-31,GBR,4.677
2025-04-30,GBR,4.439
2025-05-31,GBR,4.648
2025-06-30,GBR,4.486
1991-01-31,USA,8.0206
1991-02-28,USA,8.0449
1991-03-31,USA,8.0641
1991-04-30,USA,8.0179
1991-05-31,USA,8.0614
1991-06-30,USA,8.232
1991-07-31,USA,8.1567
1991-08-31,USA,7.8145
1991-09-30,USA,7.452
1991-10-31,USA,7.4222
1991-11-30,USA,7.3736
1991-12-31,USA,6.6992
1992-01-31,USA,7.2761
1992-02-29,USA,7.2524
1992-03-31,USA,7.5305
1992-04-30,USA,7.5832
1992-05-31,USA,7.3224
1992-06-30,USA,7.1234
1992-07-31,USA,6.6961
1992-08-31,USA,6.6041
1992-09-30,USA,6.3543
1992-10-31,USA,6.7889
1992-11-30,USA,6.9281
1992-12-31,USA,6.6903
1993-01-31,USA,6.3612
1993-02-28,USA,6.0135
1993-03-31,USA,6.0239
1993-04-30,USA,6.0093
1993-05-31,USA,6.1103
1993-06-30,USA,5.7782
1993-07-31,USA,5.8095
1993-08-31,USA,5.4456
1993-09-30,USA,5.3741
1993-10-31,USA,5.4204
1993-11-30,USA,5.8168
1993-12-31,USA,5.7875
1994-01-31,USA,5.6447
1994-02-28,USA,6.1331
1994-03-31,USA,6.738
1994-04-30,USA,7.041
1994-05-31,USA,7.152
1994-06-30,USA,7.325
1994-07-31,USA,7.113
1994-08-31,USA,7.178
1994-09-30,USA,7.608
1994-10-31,USA,7.812
1994-11-30,USA,7.906
1994-12-31,USA,7.831
1995-01-31,USA,7.579
1995-02-28,USA,7.205
1995-03-31,USA,7.198
1995-04-30,USA,7.055
1995-05-31,USA,6.286
1995-06-30,USA,6.207
1995-07-31,USA,6.424
1995-08-31,USA,6.286
1995-09-30,USA,6.182
1995-10-31,USA,6.024
1995-11-30,USA,5.745
1995-12-31,USA,5.575
1996-01-31,USA,5.58
1996-02-29,USA,6.1
1996-03-31,USA,6.33
1996-04-30,USA,6.67
1996-05-31,USA,6.85
1996-06-30,USA,6.72
1996-07-31,USA,6.8
1996-08-31,USA,6.945
1996-09-30,USA,6.7
1996-10-31,USA,6.34
1996-11-30,USA,6.05
1996-12-31,USA,6.43
1997-01-31,USA,6.5
1997-02-28,USA,6.556
1997-03-31,USA,6.907
1997-04-30,USA,6.72
1997-05-31,USA,6.663
1997-06-30,USA,6.502
1997-07-31,USA,6.013
1997-08-31,USA,6.339
1997-09-30,USA,6.103
1997-10-31,USA,5.835
1997-11-30,USA,5.88
1997-12-31,USA,5.744
1998-01-31,USA,5.516
1998-02-28,USA,5.624
1998-03-31,USA,5.658
1998-04-30,USA,5.82
1998-05-31,USA,5.558
1998-06-30,USA,5.45
1998-07-31,USA,5.494
1998-08-31,USA,5.048
1998-09-30,USA,4.429
1998-10-31,USA,4.603
1998-11-30,USA,4.718
1998-12-31,USA,4.658
1999-01-31,USA,4.653
1999-02-28,USA,5.294
1999-03-31,USA,5.242
1999-04-30,USA,5.35
1999-05-31,USA,5.624
1999-06-30,USA,5.785
1999-07-31,USA,5.902
1999-08-31,USA,5.974
1999-09-30,USA,5.881
1999-10-31,USA,6.028
1999-11-30,USA,6.193
1999-12-31,USA,6.435
2000-01-31,USA,6.662
2000-02-29,USA,6.409
2000-03-31,USA,6.002
2000-04-30,USA,6.2182
2000-05-31,USA,6.2852
2000-06-30,USA,6.027
2000-07-31,USA,6.0390625
2000-08-31,USA,5.7265625
2000-09-30,USA,5.8078
2000-10-31,USA,5.7578125
2000-11-30,USA,5.4765625
2000-12-31,USA,5.1116
2001-01-31,USA,5.02734375
2001-02-28,USA,4.90234375
2001-03-31,USA,4.9146
2001-04-30,USA,5.3359375
2001-05-31,USA,5.3828125
2001-06-30,USA,5.3475
2001-07-31,USA,5.0554
2001-08-31,USA,4.84
2001-09-30,USA,4.5902
2001-10-31,USA,4.2421875
2001-11-30,USA,4.7537
2001-12-31,USA,5.0292
2002-01-31,USA,5.0456
2002-02-28,USA,4.8737
2002-03-31,USA,5.406
2002-04-30,USA,5.0893
2002-05-31,USA,5.0446
2002-06-30,USA,4.8088
2002-07-31,USA,4.4593
2002-08-31,USA,4.1297
2002-09-30,USA,3.6001
2002-10-31,USA,3.8949
2002-11-30,USA,4.2109
2002-12-31,USA,3.8181
2003-01-31,USA,3.9659
2003-02-28,USA,3.692
2003-03-31,USA,3.8019
2003-04-30,USA,3.8397
2003-05-31,USA,3.3728
2003-06-30,USA,3.5161
2003-07-31,USA,4.4085
2003-08-31,USA,4.4
2003-09-30,USA,3.9395
2003-10-31,USA,4.285845689
2003-11-30,USA,4.238400787
2003-12-31,USA,4.251934458
2004-01-31,USA,4.1266
2004-02-29,USA,3.9716
2004-03-31,USA,3.8405
2004-04-30,USA,4.4875
2004-05-31,USA,4.592
2004-06-30,USA,4.5826
2004-07-31,USA,4.4729
2004-08-31,USA,4.119
2004-09-30,USA,4.123
2004-10-31,USA,4.022
2004-11-30,USA,4.353
2004-12-31,USA,4.218
2005-01-31,USA,4.132
2005-02-28,USA,4.383
2005-03-31,USA,4.486
2005-04-30,USA,4.206
2005-05-31,USA,3.987
2005-06-30,USA,3.919
2005-07-31,USA,4.284
2005-08-31,USA,4.016
2005-09-30,USA,4.332
2005-10-31,USA,4.559
2005-11-30,USA,4.49
2005-12-31,USA,4.399
2006-01-31,USA,4.521
2006-02-28,USA,4.557
2006-03-31,USA,4.853
2006-04-30,USA,5.057
2006-05-31,USA,5.121
2006-06-30,USA,5.145
2006-07-31,USA,4.988
2006-08-31,USA,4.7317
2006-09-30,USA,4.6335
2006-10-31,USA,4.604
2006-11-30,USA,4.462
2006-12-31,USA,4.7002
2007-01-31,USA,4.8141
2007-02-28,USA,4.5775
2007-03-31,USA,4.6483
2007-04-30,USA,4.6282
2007-05-31,USA,4.892
2007-06-30,USA,5.0265
2007-07-31,USA,4.7327
2007-08-31,USA,4.5272
2007-09-30,USA,4.5944
2007-10-31,USA,4.4728
2007-11-30,USA,3.9492
2007-12-31,USA,4.0347
2008-01-31,USA,3.5968
2008-02-29,USA,3.5186
2008-03-31,USA,3.445
2008-04-30,USA,3.7337
2008-05-31,USA,4.0673
2008-06-30,USA,3.9749
2008-07-31,USA,3.9579
2008-08-31,USA,3.8247
2008-09-30,USA,3.822
2008-10-31,USA,3.974
2008-11-30,USA,2.922
2008-12-31,USA,2.219
2009-01-31,USA,2.851
2009-02-28,USA,3.02
2009-03-31,USA,2.668
2009-04-30,USA,3.119
2009-05-31,USA,3.461
2009-06-30,USA,3.536
2009-07-31,USA,3.481
2009-08-31,USA,3.403
2009-09-30,USA,3.305
2009-10-31,USA,3.388
2009-11-30,USA,3.198
2009-12-31,USA,3.837
2010-01-31,USA,3.588
2010-02-28,USA,3.619
2010-03-31,USA,3.833
2010-04-30,USA,3.659
2010-05-31,USA,3.303
2010-06-30,USA,2.935
2010-07-31,USA,2.905
2010-08-31,USA,2.47
2010-09-30,USA,2.512
2010-10-31,USA,2.603
2010-11-30,USA,2.797
2010-12-31,USA,3.288
2011-01-31,USA,3.374
2011-02-28,USA,3.422
2011-03-31,USA,3.468
2011-04-30,USA,3.29
2011-05-31,USA,3.059
2011-06-30,USA,3.16
2011-07-31,USA,2.793
2011-08-31,USA,2.234
2011-09-30,USA,1.917
2011-10-31,USA,2.116
2011-11-30,USA,2.072
2011-12-31,USA,1.876
2012-01-31,USA,1.795
2012-02-29,USA,1.974
2012-03-31,USA,2.214
2012-04-30,USA,1.919
2012-05-31,USA,1.563
2012-06-30,USA,1.643
2012-07-31,USA,1.47
2012-08-31,USA,1.548
2012-09-30,USA,1.633
2012-10-31,USA,1.694
2012-11-30,USA,1.613
2012-12-31,USA,1.757
2013-01-31,USA,1.985
2013-02-28,USA,1.881
2013-03-31,USA,1.852
2013-04-30,USA,1.673
2013-05-31,USA,2.132
2013-06-30,USA,2.487
2013-07-31,USA,2.588
2013-08-31,USA,2.789
2013-09-30,USA,2.615
2013-10-31,USA,2.543
2013-11-30,USA,2.741
2013-12-31,USA,3.006
2014-01-31,USA,2.666
2014-02-28,USA,2.66
2014-03-31,USA,2.724
2014-04-30,USA,2.648
2014-05-31,USA,2.457
2014-06-30,USA,2.516
2014-07-31,USA,2.558
2014-08-31,USA,2.345
2014-09-30,USA,2.508
2014-10-31,USA,2.335
2014-11-30,USA,2.196
2014-12-31,USA,2.174
2015-01-31,USA,1.68
2015-02-28,USA,2.002
2015-03-31,USA,1.934
2015-04-30,USA,2.044
2015-05-31,USA,2.095
2015-06-30,USA,2.333
2015-07-31,USA,2.205
2015-08-31,USA,2.2
2015-09-30,USA,2.06
2015-10-31,USA,2.151
2015-11-30,USA,2.218
2015-12-31,USA,2.275
2016-01-31,USA,1.93
2016-02-29,USA,1.74
2016-03-31,USA,1.784
2016-04-30,USA,1.819
2016-05-31,USA,1.834
2016-06-30,USA,1.492
2016-07-31,USA,1.458
2016-08-31,USA,1.568
2016-09-30,USA,1.606
2016-10-31,USA,1.834
2016-11-30,USA,2.367
2016-12-31,USA,2.432
2017-01-31,USA,2.451
2017-02-28,USA,2.358
2017-03-31,USA,2.395
2017-04-30,USA,2.282
2017-05-31,USA,2.198
2017-06-30,USA,2.302
2017-07-31,USA,2.292
2017-08-31,USA,2.122
2017-09-30,USA,2.326
2017-10-31,USA,2.376
2017-11-30,USA,2.415
2017-12-31,USA,2.411
2018-01-31,USA,2.72
2018-02-28,USA,2.868
2018-03-31,USA,2.744
2018-04-30,USA,2.936
2018-05-31,USA,2.822
2018-06-30,USA,2.851
2018-07-31,USA,2.964
2018-08-31,USA,2.853
2018-09-30,USA,3.056
2018-10-31,USA,3.159
2018-11-30,USA,3.013
2018-12-31,USA,2.691
2019-01-31,USA,2.635
2019-02-28,USA,2.711
2019-03-31,USA,2.414
2019-04-30,USA,2.507
2019-05-31,USA,2.142
2019-06-30,USA,2.0
2019-07-31,USA,2.021
2019-08-31,USA,1.506
2019-09-30,USA,1.673
2019-10-31,USA,1.691
2019-11-30,USA,1.776
2019-12-31,USA,1.91
2020-01-31,USA,1.519
2020-02-29,USA,1.126
2020-03-31,USA,0.699
2020-04-30,USA,0.625
2020-05-31,USA,0.644
2020-06-30,USA,0.653
2020-07-31,USA,0.536
2020-08-31,USA,0.693
2020-09-30,USA,0.677
2020-10-31,USA,0.859
2020-11-30,USA,0.842
2020-12-31,USA,0.912
2021-01-31,USA,1.094
2021-02-28,USA,1.456
2021-03-31,USA,1.746
2021-04-30,USA,1.631
2021-05-31,USA,1.593
2021-06-30,USA,1.444
2021-07-31,USA,1.239
2021-08-31,USA,1.302
2021-09-30,USA,1.527
2021-10-31,USA,1.556
2021-11-30,USA,1.441
2021-12-31,USA,1.498
2022-01-31,USA,1.782
2022-02-28,USA,1.839
2022-03-31,USA,2.325
2022-04-30,USA,2.885
2022-05-31,USA,2.844
2022-06-30,USA,2.974
2022-07-31,USA,2.642
2022-08-31,USA,3.132
2022-09-30,USA,3.804
2022-10-31,USA,4.077
2022-11-30,USA,3.701
2022-12-31,USA,3.831
2023-01-31,USA,3.529
2023-02-28,USA,3.914
2023-03-31,USA,3.49
2023-04-30,USA,3.452
2023-05-31,USA,3.637
2023-06-30,USA,3.819
2023-07-31,USA,3.957
2023-08-31,USA,4.091
2023-09-30,USA,4.571
2023-10-31,USA,4.875
2023-11-30,USA,4.35
2023-12-31,USA,3.86
2024-01-31,USA,3.965
2024-02-29,USA,4.252
2024-03-31,USA,4.194
2024-04-30,USA,4.684
2024-05-31,USA,4.512
2024-06-30,USA,4.343
2024-07-31,USA,4.105
2024-08-31,USA,3.911
2024-09-30,USA,3.802
2024-10-31,USA,4.284
2024-11-30,USA,4.194
2024-12-31,USA,4.577
2025-01-31,USA,4.567
2025-02-28,USA,4.229
2025-03-31,USA,4.245
2025-04-30,USA,4.175
2025-05-31,USA,4.418
2025-06-30,USA,4.226
1991-01-31,FRA,9.496
1991-02-28,FRA,8.985
1991-03-31,FRA,9.099
1991-04-30,FRA,8.809
1991-05-31,FRA,8.907
1991-06-30,FRA,9.158
1991-07-31,FRA,9.244
1991-08-31,FRA,8.973
1991-09-30,FRA,8.871
1991-10-31,FRA,8.771
1991-11-30,FRA,8.882
1991-12-31,FRA,8.571
1992-01-31,FRA,8.443
1992-02-29,FRA,8.414
1992-03-31,FRA,8.669
1992-04-30,FRA,8.764
1992-05-31,FRA,8.506
1992-06-30,FRA,8.802
1992-07-31,FRA,9.219
1992-08-31,FRA,9.165
1992-09-30,FRA,8.714
1992-10-31,FRA,8.201
1992-11-30,FRA,8.325
1992-12-31,FRA,8.079
1993-01-31,FRA,7.981
1993-02-28,FRA,7.587
1993-03-31,FRA,7.217
1993-04-30,FRA,7.238
1993-05-31,FRA,7.24
1993-06-30,FRA,6.74
1993-07-31,FRA,6.73
1993-08-31,FRA,6.14
1993-09-30,FRA,6.05
1993-10-31,FRA,6.03
1993-11-30,FRA,5.99
1993-12-31,FRA,5.63
1994-01-31,FRA,
1994-02-28,FRA,6.183
1994-03-31,FRA,6.466
1994-04-30,FRA,6.783
1994-05-31,FRA,7.34
1994-06-30,FRA,7.576
1994-07-31,FRA,7.25
1994-08-31,FRA,7.888
1994-09-30,FRA,8.118
1994-10-31,FRA,8.269
1994-11-30,FRA,7.891
1994-12-31,FRA,8.281
1995-01-31,FRA,8.116
1995-02-28,FRA,8.006
1995-03-31,FRA,7.903
1995-04-30,FRA,7.805
1995-05-31,FRA,7.44
1995-06-30,FRA,7.623
1995-07-31,FRA,7.43
1995-08-31,FRA,7.374
1995-09-30,FRA,7.488
1995-10-31,FRA,7.283
1995-11-30,FRA,6.915
1995-12-31,FRA,6.692
1996-01-31,FRA,6.385
1996-02-29,FRA,6.713
1996-03-31,FRA,6.598
1996-04-30,FRA,6.404
1996-05-31,FRA,6.519
1996-06-30,FRA,6.489
1996-07-31,FRA,6.411
1996-08-31,FRA,6.49
1996-09-30,FRA,6.11
1996-10-31,FRA,5.973
1996-11-30,FRA,5.602
1996-12-31,FRA,5.816
1997-01-31,FRA,5.58
1997-02-28,FRA,5.427
1997-03-31,FRA,5.822
1997-04-30,FRA,5.743
1997-05-31,FRA,5.799
1997-06-30,FRA,5.587
1997-07-31,FRA,5.449
1997-08-31,FRA,5.604
1997-09-30,FRA,5.482
1997-10-31,FRA,5.594
1997-11-30,FRA,5.451
1997-12-31,FRA,5.327
1998-01-31,FRA,5.105
1998-02-28,FRA,4.984
1998-03-31,FRA,4.97
1998-04-30,FRA,5.12
1998-05-31,FRA,4.919
1998-06-30,FRA,4.841
1998-07-31,FRA,4.748
1998-08-31,FRA,4.323
1998-09-30,FRA,4.006
1998-10-31,FRA,4.267
1998-11-30,FRA,4.049
1998-12-31,FRA,3.888
1999-01-31,FRA,3.745
1999-02-28,FRA,4.116
1999-03-31,FRA,4.13
1999-04-30,FRA,4.017
1999-05-31,FRA,4.25
1999-06-30,FRA,4.631
1999-07-31,FRA,4.964
1999-08-31,FRA,5.077
1999-09-30,FRA,5.204
1999-10-31,FRA,5.225
1999-11-30,FRA,5.248
1999-12-31,FRA,5.474
