Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
E0603,Cheshire East,283136,65343,,,4.333073168,143,,,,E,E06000049
E2240,Folkestone & Hythe,106655,25008,,,4.264835253,144,,,,E,E07000112
E0101,Bath & North East Somerset,216897,52400,,,4.139255725,146,,,,E,E06000022
E2434,Hinckley & Bosworth,70598,17150,,,4.116501458,148,,,,E,E07000132
E0102,Bristol,445593,108383,,,4.11128129,149,,,,E,E06000023
E2343,West Lancashire,88212,21556,,,4.092224903,150,,,,E,E07000127
E5039,Harrow,417261,102235,,,4.081390913,151,,,,E,E09000015
E4502,Newcastle upon Tyne,686148,170353,,,4.027801095,152,,,,E,E08000021
E5016,Kensington & Chelsea,318805,80190,,,3.975620402,153,,,,E,E09000020
E5041,Hillingdon,317921,80500,,,3.949329193,154,,,,E,E09000017
E1544,Uttlesford,293506,74522,,,3.938514801,155,,,,E,E07000077
W7103,Pembrokeshire,191467,49583,,,3.861545288,156,,,,W,W06000009
E2533,Lincoln,109242,28679,,,3.809128631,157,,,,E,E07000138
E3301,Somerset Council,730896,195650,,,3.735732175,158,,,,E,E06000066
E2236,Gravesham,164643,44196,,,3.725291882,159,,,,E,E07000109
E4404,Sheffield,862417,233176,,,3.698566748,160,,,,E,E08000019
W7302,Anglesey,123401,33634,,,3.668936196,161,,,,W,W06000001
S8101,Clackmannanshire,92652,25391,,,3.649009492,162,,,,S,S12000005
E1536,Colchester,152674,42500,,,3.592329412,163,,,,E,E07000071
E5015,Islington,307545,86700,,,3.547231834,164,,,,E,E09000019
E4205,Rochdale,204036,57528,,,3.546725073,165,,,,E,E08000005
E3201,Telford & Wrekin,350938,99947,,,3.511240958,166,,,,E,E06000020
E1301,Darlington,140946,42037,,,3.352903395,167,,,,E,E06000005
E3132,Oxford,198628,59330,,,3.347851003,168,,,,E,E07000178
E5032,Bexley,223362,66942,,,3.336649637,170,,,,E,E09000004
S8903,Comhairle nan Eilean Siar,129070,38691,,,3.335917914,171,,,,S,S12000013
N9705,Causeway Coast and Glens,52048,15640,,,3.327877238,172,,,,N,N09000004
N9704,Belfast,41166,12801,,,3.215842512,174,,,,N,N09000003
E4210,Wigan,393135,127290,,,3.088498704,175,,,,E,E08000010
W7203,Newport,140009,45525,,,3.075431082,176,,,,W,W06000022
E3032,Bassetlaw,96863,31720,,,3.053688525,177,,,,E,E07000171
